Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3991	4	0.8627267479896545	0.8965642197747091	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	1	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getAutoExpireDate.json
1821	3	0.5554630160331726	0.8413133505508206	0	0	0	1	1.89	0	1	15.0	132.25152587890625	0	0	0	0	0	0	0	0	0	0	0	0	268.8722	14.937344	53.77444	0.017924814	5.0	isLocked.json
6295	3#3	0.3099746108055115#0.3099746108055115	0.8489285910475224#0.8489285910475224	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	15.0#15.0	131.9385528564453#131.9385528564453	0#0	0#0	0#0	0#833	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	314.10678#314.10678	17.450377#17.450377	57.110325#57.110325	0.019036775#0.019036775	5.5#5.5	getGlobalPropertyListeners.json
5966	3#3#4#4	0.8788775205612183#0.900907576084137#0.8756474256515503#0.8756474256515503	0.9309082566470457#0.9253347927598522#0.9265759810055617#0.9265759810055617	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.73#1.73	0#0#0#0	0#1#1#1	12.0#13.0#14.0#14.0	133.59722900390625#133.18099975585938#127.94984436035156#127.94984436035156	0#0#0#0	0#0#0#0	0#0#0#0	0#38#473#504	0#2#1#0	0#4#1#0	0#23#10#0	0#23#10#0	0#1#1#0	0#0#0#0	0#0#0#0	0#0#0#0	186.80931#224.86305#276.0421#276.0421	10.378295#12.492392#15.335673#15.335673	41.51318#44.97261#50.189476#50.189476	0.013837727#0.01499087#0.016729826#0.016729826	4.5#5.0#5.5#5.5	getId.json
6657	14#15#15#15#15#15#15#15#22#23#21#21#19#19#19#19#19	0.015603253617882729#0.011863047257065773#0.011863047257065773#0.011863047257065773#0.011863047257065773#0.011863047257065773#0.011863047257065773#0.011863047257065773#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	0.0018218320558828138#7.343681314441453E-4#7.343681314441453E-4#7.343681314441453E-4#7.343681314441453E-4#7.343681314441453E-4#7.343681314441453E-4#7.343681314441453E-4#4.4354613395803955E-7#5.612458280593975E-7#3.1913665203694214E-7#1.5187678542150768E-5#6.180895004606448E-5#6.180895004606448E-5#6.180895004606448E-5#6.180895004606448E-5#1.8350250695768177E-5	6#7#7#7#7#7#7#7#7#7#7#7#6#6#6#6#6	5#6#6#6#6#6#6#6#6#6#6#6#5#5#5#5#5	11#13#13#13#13#13#13#13#13#13#13#13#11#11#11#11#11	7#8#8#8#8#8#8#8#7#7#6#6#5#5#5#5#5	3.61#3.54#3.54#3.54#3.54#3.54#3.54#3.54#3.55#3.5#3.16#3.16#3.26#3.26#3.26#3.26#3.26	1#1#1#1#1#1#1#1#2#2#2#2#2#2#2#2#2	9#10#10#10#10#10#10#10#22#22#22#18#17#17#17#17#17	88.0#95.0#95.0#95.0#95.0#95.0#95.0#95.0#150.0#151.0#148.0#128.0#117.0#117.0#117.0#117.0#121.0	95.08378601074219#93.2882080078125#93.2882080078125#93.2882080078125#93.2882080078125#93.2882080078125#93.2882080078125#93.2882080078125#84.71694946289062#83.96227264404297#85.73076629638672#86.56635284423828#88.97174072265625#88.97174072265625#88.97174072265625#88.97174072265625#88.66911315917969	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#236#477#535#601#1195#1205#1331#1841#2462#2772#4130#4195#4704#5651#6315#6343	0#2#0#0#0#0#0#0#13#2#3#4#1#0#0#4#1	0#3#0#0#0#0#0#0#19#3#8#8#4#0#0#8#2	0#34#0#0#0#0#0#0#465#8#32#100#72#0#0#230#17	0#34#0#0#0#0#0#0#465#8#32#100#72#0#0#230#17	0#3#1#1#2#0#2#2#1#2#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1	10579.256#12655.22#12655.22#12655.22#12655.22#12655.22#12655.22#12655.22#33268.465#33490.258#34348.01#27502.076#20460.06#20460.06#20460.06#20460.06#24396.879	587.73645#703.06775#703.06775#703.06775#703.06775#703.06775#703.06775#703.06775#1848.248#1860.5698#1908.2229#1527.8931#1136.67#1136.67#1136.67#1136.67#1355.3822	431.80637#470.64865#470.64865#470.64865#470.64865#470.64865#470.64865#470.64865#775.4888#780.6587#770.99915#656.5482#590.1941#590.1941#590.1941#590.1941#625.561	0.14393546#0.15688288#0.15688288#0.15688288#0.15688288#0.15688288#0.15688288#0.15688288#0.25849625#0.26021957#0.2569997#0.2188494#0.19673136#0.19673136#0.19673136#0.19673136#0.20852032	24.5#26.88889#26.88889#26.88889#26.88889#26.88889#26.88889#26.88889#42.899998#42.899998#44.55#41.88889#34.666664#34.666664#34.666664#34.666664#39.0	hasPrivilege.json
6138	5#5#8#8#8#9	0.678030252456665#0.678030252456665#0.6687930226325989#0.626668393611908#0.626668393611908#0.5995425581932068	0.780251499673714#0.780251499673714#0.10081870857562826#0.16093718360504267#0.16093718360504267#0.1691306693429994	1#1#4#4#4#4	1#1#3#3#3#3	2#2#7#7#7#7	2#2#2#2#2#2	2.99#2.99#2.83#2.83#2.83#2.95	0#0#1#1#1#1	1#1#2#2#2#2	25.0#25.0#48.0#45.0#45.0#46.0	120.30387878417969#120.30387878417969#108.5035629272461#108.89363861083984#108.89363861083984#106.81678771972656	0#0#0#0#0#0	0#0#0#0#0#0	0#0#1#1#1#1	0#169#593#642#676#3072	0#0#4#2#0#1	0#0#5#4#0#1	0#0#137#21#0#10	0#0#137#21#0#10	0#1#1#1#0#1	0#0#0#0#0#0	0#1#0#1#0#0	0#1#0#1#0#0	1303.1017#1303.1017#4469.343#3569.4612#3569.4612#3862.7888	72.39454#72.39454#248.29681#198.3034#198.3034#214.59938	104.24813#104.24813#233.1831#216.33098#216.33098#223.46713	0.034749378#0.034749378#0.077727705#0.072110325#0.072110325#0.07448904	12.5#12.5#19.166666#16.5#16.5#17.285713	getLocales.json
6276	13#13#10#10#10#11#11#11	0.0013496490428224206#0.0013496490428224206#0.015971068292856216#0.015971068292856216#0.015971068292856216#0.016428783535957336#0.016428783535957336#0.016428783535957336	0.0015686794697623713#0.0015686794697623713#0.20905292262262196#0.20905292262262196#0.20905292262262196#0.22538808471744573#0.22538808471744573#0.22538808471744573	2#2#1#1#1#1#1#1	2#2#1#1#1#1#1#1	4#4#2#2#2#2#2#2	3#3#2#2#2#2#2#2	3.37#3.37#3.12#3.12#3.12#3.33#3.33#3.33	2#2#1#1#1#1#1#1	9#9#6#6#6#6#6#6	85.0#85.0#52.0#52.0#52.0#53.0#53.0#53.0	97.28695678710938#97.28695678710938#104.91754150390625#104.91754150390625#104.91754150390625#103.2002182006836#103.2002182006836#103.2002182006836	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1#1#0#0#0#0#0#0	0#3#278#814#1403#3097#3098#3343	0#0#2#0#0#1#0#0	0#0#7#0#0#1#0#0	0#0#183#0#0#10#0#0	0#0#183#0#0#10#0#0	0#1#1#0#1#2#2#1	0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0	0#0#1#0#0#0#0#0	19507.5#19507.5#7343.1973#7343.1973#7343.1973#7991.6255#7991.6255#7991.6255	1083.75#1083.75#407.9554#407.9554#407.9554#443.9792#443.9792#443.9792	425.0#425.0#231.89044#231.89044#231.89044#239.74878#239.74878#239.74878	0.14166667#0.14166667#0.077296816#0.077296816#0.077296816#0.07991626#0.07991626#0.07991626	45.9#45.9#31.666666#31.666666#31.666666#33.333332#33.333332#33.333332	savePatient.json
1821	3	0.44447848200798035	0.7793487797646582	0	0	0	1	1.89	0	1	17.0	131.28770446777344	0	0	0	0	0	0	0	0	0	0	0	0	388.35022	21.575012	64.72504	0.021575011	6.0	updatesRequired.json
1904	3	0.7910144925117493	0.7264607684747196	0	0	0	1	1.89	0	0	15.0	131.9385528564453	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getSnapshotVersions.json
1904	3	0.8096826672554016	0.7056719550957022	0	0	0	1	1.89	0	0	15.0	131.9385528564453	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getUpdateVersions.json
