Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3226	3	0.8652061820030212	0.9312153396578401	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDataType.json
3226	3	0.6608080863952637	0.9129382339479786	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDeviceClass.json
3226	3	0.7270565032958984	0.918910714758677	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getCommandClass.json
3226	3	0.923893928527832	0.9286587035834726	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getValue.json
3226	28#9	0.0011280864709988236#0.11836465448141098	1.4331003795746586E-6#0.2691440271385709	7#3	9#2	16#5	9#3	3.71#2.67	4#1	10#3	149.0#47.0	80.10157012939453#106.92008209228516	0#0	2#2	4#0	0#185	0#2	0#23	0#912	0#912	0#4	0#0	0#1	0#1	26735.564#3919.3948	1485.3091#217.74416	813.4553#209.59329	0.27115178#0.06986443	32.866665#18.7	resolveCommandClass.json
2776	3	0.6045985221862793	0.9001990304825847	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	166.05272	9.225151	41.51318	0.013837727	4.0	getChannelTypeUID.json
3226	6	0.452299565076828	0.874840108070486	1	1	2	2	2.75	1	1	24.0	117.90135955810547	0	0	0	0	0	0	0	0	0	0	0	0	750.123	41.6735	93.76537	0.031255126	8.0	getOwnNodeId.json
3226	3	0.2072531282901764	0.9113760636958808	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isFrequentlyListening.json
3226	3	0.8249068260192871	0.9330864308625741	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isListening.json
3226	30#31#31#31#31	0.0#0.0#0.0#0.0#0.0	9.892506917019882E-8#1.7821152208792246E-9#1.7806185796998107E-9#4.457326551151425E-9#3.7431762012618375E-9	6#5#5#5#5	7#6#6#6#6	13#11#11#11#11	9#8#8#8#8	6.34#4.48#4.48#4.48#4.48	4#3#3#3#3	11#18#18#18#18	161.0#185.0#185.0#182.0#182.0	78.33146667480469#77.38460540771484#77.38460540771484#77.524169921875#77.49654388427734	0#0#0#0#0	3#3#3#2#2	1#1#1#1#1	0#185#185#258#748	0#21#1#1#1	0#41#2#2#2	0#906#5#32#5	0#906#5#32#5	0#4#1#1#1	0#0#0#1#0	0#1#1#1#1	0#1#1#1#1	37656.3#63342.883#63342.883#62948.11#65144.67	2092.0166#3519.049#3519.049#3497.1172#3619.1484	922.1952#1044.1134#1044.1134#1016.46313#1021.8772	0.3073984#0.3480378#0.3480378#0.33882105#0.34062573	40.833332#60.666668#60.666668#61.92857#63.75	encapsulate.json
3226	3	0.7135417461395264	0.9339076435318346	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getEndpointId.json
3226	6	0.7494048476219177	0.8173617751675533	1	1	2	2	2.75	1	1	27.0	117.05393981933594	0	1	0	0	0	0	0	0	0	0	0	0	1076.0245	59.77914	110.361496	0.036787163	9.75	getNode.json
3226	3	0.6155019402503967	0.7829183131511398	0	0	0	1	1.89	0	1	18.0	130.85629272460938	0	1	0	0	0	0	0	0	0	0	0	0	562.5922	31.255123	70.32403	0.023441343	8.0	getAssociationGroup.json
3041	4#4	0.05444391816854477#0.05444391816854477	0.16114233958511429#0.16262977229413536	0#0	0#0	0#0	1#1	2.0#2.0	0#0	2#2	35.0#35.0	122.05010986328125#122.05010986328125	0#0	0#0	0#0	0#517	0#1	0#2	0#5	0#5	0#1	0#0	0#0	0#0	1337.8296#1337.8296	74.32387#74.32387	156.08011#156.08011	0.052026704#0.052026704	8.571429#8.571429	isAwake.json
2344	3	0.6895463466644287	0.927932560184918	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isControllerMaster.json
3226	3#3	0.600373387336731#0.6110171675682068	0.8088823494804424#0.82133244509411	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	18.0#18.0	130.85629272460938#130.85629272460938	0#0	1#1	0#0	0#185	0#2	0#4	0#4	0#4	0#4	0#0	0#1	0#1	562.5922#562.5922	31.255123#31.255123	70.32403#70.32403	0.023441343#0.023441343	8.0#8.0	getEndpoint.json
3226	3	0.8945850729942322	0.9313645617284676	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getNodeId.json
