Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
470	4	0.31298431754112244	0.8414764511597654	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getName.json
673	4#4	0.13685251772403717#0.14401865005493164	0.040920931847440056#0.03261595893760923	0#0	0#0	0#0	1#1	2.0#2.0	0#0	4#4	42.0#43.0	120.89131164550781#120.70597839355469	0#0	1#1	1#1	0#97	0#1	0#2	0#6	0#6	0#4	0#0	0#0	0#0	2779.348#3031.7837	154.40822#168.43243	195.04196#202.11891	0.06501399#0.06737297	14.25#15.0	get.json
673	6#6	0.4884222745895386#0.3846599757671356	0.20507214947296631#0.12478953222426568	0#0	0#0	0#0	1#1	1.89#1.89	0#0	4#4	40.0#43.0	114.64286041259766#114.20042419433594	0#0	0#0	3#3	0#447	0#3	0#6	0#18	0#18	0#1	0#0	0#0	0#0	2475.8796#2845.5227	137.54887#158.0846	183.3985#199.6858	0.061132833#0.06656194	13.5#14.25	getAuthenticatedUser.json
548	3	8.251170511357486E-4	0.0012392552377027406	0	0	0	1	1.89	0	11	59.0	123.49795532226562	0	1	0	0	0	0	0	0	0	0	0	0	4632.1045	257.33914	289.50653	0.09650218	16.0	countPlants.json
673	4	0.2360469102859497	0.28419630071056945	0	0	0	1	2.0	0	2	30.0	122.85169219970703	0	0	1	0	0	0	0	0	0	0	0	0	1137.155	63.175278	133.78294	0.044594314	8.5	getAllTypes.json
673	4	0.20423384010791779	0.6126517875639607	0	0	0	1	1.73	0	1	23.0	124.6862564086914	0	1	0	0	0	0	0	0	0	0	0	0	916.6136	50.922977	94.01165	0.031337216	9.75	convertToDTO.json
239	11	0.0	9.653311640071506E-10	0	0	0	2	2.06	1	11	142.0	96.82353973388672	0	5	6	0	0	0	0	0	0	0	0	0	36119.977	2006.6654	817.19403	0.27239802	44.2	getAllOccurrences.json
673	3#6#8#9	0.6789882779121399#0.1276910901069641#0.15852920711040497#0.06939689069986343	0.8228353352885535#0.11454648680529166#0.006400291382828494#0.0033707927230416245	0#2#2#2	0#1#1#1	0#3#3#3	1#2#2#2	1.89#2.75#2.4#2.27	0#1#1#1	1#5#7#8	18.0#43.0#62.0#68.0	131.1385955810547#114.10689544677734#107.02287292480469#104.5884780883789	0#0#0#0	1#1#1#1	0#0#2#2	0#97#125#270	0#3#3#1	0#3#4#1	0#150#100#32	0#150#100#32	0#4#3#1	0#0#0#0	0#0#0#0	0#0#0#0	444.0528#2771.8127#6089.2856#8281.454	24.6696#153.9896#338.29364#460.08078	66.60792#194.51317#310.0#343.0188	0.022202639#0.064837724#0.10333333#0.1143396	6.666667#14.25#19.642857#24.142857	save.json
673	8	0.16058188676834106	0.10580880001752553	1	1	2	2	2.65	1	3	47.0	108.72457885742188	0	1	1	0	0	0	0	0	0	0	0	0	3910.895	217.27194	223.47972	0.07449324	17.5	convertFromDTO.json
470	4	0.84772127866745	0.9288232828905025	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	isEnabled.json
