Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4246	4#3#3#3#3	0.6262217164039612#0.9248579740524292#0.6678892970085144#0.6678892970085144#0.6678892970085144	0.8780320577591163#0.7421996259505806#0.664991660847295#0.664991660847295#0.664991660847295	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.89#1.89#1.89#1.89	0#0#0#0#0	1#0#2#2#2	17.0#20.0#23.0#23.0#23.0	126.77537536621094#130.30841064453125#129.34671020507812#129.34671020507812#129.34671020507812	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#196#258#533#536	0#2#2#0#0	0#5#4#0#0	0#38#42#0#0	0#38#42#0#0	0#1#1#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	314.53738#537.19745#877.44214#877.44214#877.44214	17.474298#29.844303#48.746784#48.746784#48.746784	62.907475#78.13781#94.01165#94.01165#94.01165	0.020969158#0.026045937#0.031337216#0.031337216#0.031337216	5.0#6.875#9.333334#9.333334#9.333334	nextInt.json
1401	3	0.842526912689209	0.9148233782246432	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	in.json
886	4	0.7826811075210571	0.9215379371455802	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	channel.json
823	4	0.16007539629936218	0.43878781398266536	0	0	0	1	1.73	0	2	27.0	123.56243133544922	0	2	0	0	0	0	0	0	0	0	0	0	1653.1373	91.840965	116.692055	0.03889735	14.166666	read.json
3635	3	0.7285000085830688	0.9369977451807704	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getIndexMetadata.json
823	4	0.7253714203834534	0.7626411361752514	0	0	0	1	1.73	0	2	19.0	125.91468811035156	0	0	0	0	0	0	0	0	0	0	0	0	519.61646	28.86758	74.23092	0.024743639	7.0	size.json
751	4	0.2414955198764801	0.9172006200437256	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getEstimatedRemainingTasks.json
1401	4	0.8111411333084106	0.9109216502232259	0	0	0	1	1.73	0	1	14.0	127.94984436035156	0	0	0	0	0	0	0	0	0	0	0	0	276.0421	15.335673	50.189476	0.016729826	5.5	connectedTo.json
4208	3#3#3#3	0.962989866733551#0.8278493285179138#0.8278493285179138#0.25299912691116333	0.793260708670069#0.8388963464794653#0.8388963464794653#0.7887455445890198	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	2#2#2#2	18.0#17.0#17.0#19.0	130.99049377441406#131.28770446777344#131.28770446777344#130.85745239257812	0#0#0#0	0#0#0#0	0#0#0#0	0#54#89#2546	0#1#0#2	0#2#0#4	0#26#0#40	0#26#0#40	0#1#1#1	0#0#0#0	0#0#0#0	0#0#0#0	445.4605#388.35022#388.35022#386.69595	24.747807#21.575012#21.575012#21.483109	68.53239#64.72504#64.72504#70.30836	0.022844128#0.021575011#0.021575011#0.02343612	6.5#6.0#6.0#5.5	needsCleaning.json
772	21	1.00266384833958E-4	1.9711387242345312E-8	5	5	10	6	4.78	2	4	145.0	85.22713470458984	0	5	3	0	0	0	0	0	0	0	0	0	33032.508	1835.1393	849.4073	0.28313577	38.88889	apiCall.json
