Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
301	4	0.7923687696456909	0.6355648289680794	0	0	0	1	1.73	0	2	22.0	125.02987670898438	0	1	0	0	0	0	0	0	0	0	0	0	924.0	51.333332	88.0	0.029333333	10.5	skip.json
301	4	0.0	0.0021939920446159404	0	0	0	1	1.73	0	2	57.0	118.87312316894531	0	4	0	0	0	0	0	0	0	0	0	0	6133.9834	340.77686	287.53046	0.09584349	21.333334	newLogAsErrorConsumer.json
301	13	6.987065426073968E-4	4.639072614121915E-5	1	1	2	3	3.96	2	3	95.0	96.31578826904297	0	2	1	0	0	0	0	0	0	0	0	0	12570.321	698.3512	512.27014	0.17075671	24.538462	newBlockingFixedThreadsEtlExecutor.json
301	5	0.0	0.005716758175172167	0	0	0	1	1.96	0	1	57.0	115.40190887451172	0	5	1	0	0	0	0	0	0	0	0	0	6537.818	363.2121	279.69275	0.09323092	23.375	newLoader.json
301	3	0.16630952060222626	0.8753162075603739	0	0	0	1	1.89	0	0	15.0	132.25152587890625	0	0	0	0	0	0	0	0	0	0	0	0	295.75943	16.43108	53.77444	0.017924814	5.5	newImmediateExecutionEtlExecutor.json
301	4	0.5560124516487122	0.7511088879501222	0	0	0	1	1.73	0	2	19.0	125.91468811035156	0	0	0	0	0	0	0	0	0	0	0	0	519.61646	28.86758	74.23092	0.024743639	7.0	available.json
301	4	0.0	0.09430086499146309	0	0	0	1	1.73	0	2	39.0	121.41315460205078	0	2	0	0	0	0	0	0	0	0	0	0	2857.9863	158.77702	176.41891	0.058806304	16.199999	transform.json
301	3	0.7960647344589233	0.4935491899766296	0	0	0	1	1.89	0	3	24.0	128.92515563964844	0	1	0	0	0	0	0	0	0	0	0	0	1087.4695	60.41497	101.950264	0.03398342	10.666667	constructComponentProducers.json
301	5	0.0	0.0012664503257612137	0	0	0	1	1.96	0	1	66.0	114.54182434082031	0	6	1	0	0	0	0	0	0	0	0	0	7920.0	440.0	330.0	0.11	24.0	newTransformer.json
301	3	7.406087825074792E-4	0.1572127420679341	0	0	0	1	1.89	0	0	34.0	126.78704833984375	0	3	0	0	0	0	0	0	0	0	0	0	2491.5776	138.42097	153.8011	0.051267035	16.199999	newExtractorProducer.json
301	4	0.6498920321464539	0.7647548308322132	0	0	0	1	1.73	0	2	19.0	125.91468811035156	0	0	0	0	0	0	0	0	0	0	0	0	519.61646	28.86758	74.23092	0.024743639	7.0	read.json
