Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
5309	26#26#26#26#26#30#30#30#30#38#38#34#33#36#36#36#36#37#37#37#37#36#36#36#31	1.0425178334116936E-4#1.0425178334116936E-4#1.0425178334116936E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	3.0462780440757085E-15#3.0462780440757085E-15#3.0462780440757085E-15#2.6903202344246103E-16#1.763363678328325E-16#2.039553806778685E-18#4.619096497801501E-19#1.4056215972587337E-20#9.025333422728808E-20#2.566150732346476E-28#2.566150732346476E-28#2.1371080114481E-24#8.100851864125048E-19#5.024650945737209E-22#5.978721776727772E-24#5.978721776727772E-24#5.835991356977079E-23#2.0473105218715903E-23#6.00655924053431E-24#6.00655924053431E-24#6.00655924053431E-24#3.281201362775657E-22#1.4597961542964884E-22#1.4597961542964884E-22#2.2641030727692503E-17	3#3#3#4#5#5#7#8#8#8#8#4#4#5#5#5#4#4#4#4#4#4#4#4#3	4#4#4#5#6#9#11#12#12#13#13#9#9#10#10#10#9#9#9#9#9#9#9#9#7	7#7#7#9#11#14#18#20#20#21#21#13#13#15#15#15#13#13#13#13#13#13#13#13#10	4#4#4#5#5#8#8#9#9#10#10#9#9#11#11#11#9#9#9#9#9#9#9#9#7	3.68#3.68#3.68#3.68#3.68#3.71#3.71#3.71#3.71#3.98#3.98#3.88#3.87#3.82#3.82#3.82#3.82#3.81#3.81#3.81#3.81#3.86#3.86#3.86#3.14	2#2#2#2#2#2#2#2#2#2#2#1#1#1#1#1#1#1#1#1#1#1#1#1#1	13#13#13#14#14#15#16#16#16#24#24#19#22#23#23#23#25#26#26#26#26#26#27#27#17	227.0#227.0#227.0#238.0#240.0#264.0#271.0#286.0#278.0#371.0#371.0#324.0#272.0#309.0#329.0#329.0#319.0#325.0#329.0#329.0#329.0#310.0#313.0#313.0#254.0	79.60997772216797#79.60997772216797#79.60997772216797#79.11744689941406#79.07393646240234#75.46202087402344#75.32593536376953#74.78701782226562#74.9488296508789#69.1825180053711#69.1825180053711#71.97848510742188#73.53276062011719#70.92957305908203#70.5899658203125#70.5899658203125#71.22395324707031#70.66971588134766#70.57970428466797#70.57970428466797#70.57970428466797#71.35929107666016#71.2959213256836#71.2959213256836#75.39128875732422	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3	5#5#5#5#5#5#5#5#5#6#6#6#5#7#7#7#5#5#5#5#5#5#5#5#4	0#27#27#31#58#90#104#107#137#163#163#164#168#168#174#182#411#852#1000#1055#1245#1622#2069#2616#2718	0#0#0#1#1#7#1#3#4#14#1#1#1#9#2#0#2#1#1#0#0#9#1#0#2	0#0#0#2#2#10#2#6#8#20#2#7#3#15#4#0#4#1#2#0#0#19#2#0#9	0#0#0#34#14#130#42#63#28#619#2#249#306#260#23#0#75#35#16#0#0#132#6#0#322	0#0#0#34#14#130#42#63#28#619#2#249#306#260#23#0#75#35#16#0#0#132#6#0#322	0#0#0#1#1#1#1#1#2#1#1#1#1#1#1#0#1#1#3#9#0#2#1#1#2	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0	0#0#0#1#1#0#1#0#0#1#0#1#0#0#1#1#1#0#1#0#0#0#0#1#0	0#0#0#1#1#0#1#0#0#1#0#1#0#0#1#1#1#0#1#0#0#0#0#1#0	88898.98#88898.98#88898.98#98220.19#99045.56#103796.81#106549.01#120169.51#114604.805#182056.83#182056.83#144070.75#116634.79#138060.92#155890.89#155890.89#150492.55#159941.31#156829.67#156829.67#156829.67#143219.05#147710.48#147710.48#95449.81	4938.832#4938.832#4938.832#5456.6772#5502.5312#5766.4897#5919.389#6676.084#6366.9336#10114.269#10114.269#8003.9307#6479.7104#7670.0513#8660.605#8660.605#8360.697#8885.629#8712.76#8712.76#8712.76#7956.614#8206.138#8206.138#5302.7676	1405.0902#1405.0902#1405.0902#1477.85#1490.2688#1673.7203#1718.0994#1823.2614#1767.3994#2454.0574#2454.0574#2118.6875#1724.4392#1985.7158#2119.7285#2119.7285#2049.9785#2093.9565#2130.5164#2130.5164#2130.5164#1997.3125#2021.8021#2021.8021#1601.1603	0.4683634#0.4683634#0.4683634#0.49261665#0.49675626#0.5579068#0.5726998#0.6077538#0.58913314#0.81801915#0.81801915#0.70622915#0.57481307#0.6619053#0.70657617#0.70657617#0.6833262#0.69798553#0.7101721#0.7101721#0.7101721#0.6657708#0.67393404#0.67393404#0.5337201	63.26923#63.26923#63.26923#66.46154#66.46154#62.015625#62.015625#65.909096#64.84375#74.18605#74.18605#68.0#67.63636#69.52703#73.542854#73.542854#73.411766#76.38235#73.61111#73.61111#73.61111#71.70588#73.05882#73.05882#59.612904	getMessages.json
5843	3#3#3#3#3#3#3#3#3#3#3	0.4678672254085541#0.4678672254085541#0.4678672254085541#0.39342132210731506#0.4265262484550476#0.19465303421020508#0.06912293285131454#0.06580876559019089#0.06580876559019089#0.06580876559019089#0.07646356523036957	0.3768181599964945#0.3768181599964945#0.3768181599964945#0.3818317813316422#0.32547423090823646#0.2668964382219339#0.19613802340899814#0.3800823227422992#0.3800823227422992#0.3800823227422992#0.4036570621854529	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#1#1#1#1	22.0#22.0#22.0#22.0#23.0#25.0#27.0#22.0#22.0#22.0#22.0	129.47398376464844#129.47398376464844#129.47398376464844#129.47398376464844#129.14646911621094#128.62307739257812#128.1388702392578#129.47398376464844#129.47398376464844#129.47398376464844#129.57785034179688	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#561#561#745#1589#1596#1619#1619#1779#3150#3274	0#0#0#1#1#1#1#2#0#0#2	0#0#0#2#2#2#2#4#0#0#4	0#0#0#12#7#23#4#25#0#0#22	0#0#0#12#7#23#4#25#0#0#22	0#0#0#4#9#10#3#8#0#1#1	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#0#0#0#0#1#0	802.71063#802.71063#802.71063#802.71063#915.9594#972.43384#1037.6849#550.4302#550.4302#550.4302#647.45416	44.595036#44.595036#44.595036#44.595036#50.886635#54.0241#57.649162#30.579454#30.579454#30.579454#35.969677	91.73836#91.73836#91.73836#91.73836#97.70234#108.0482#118.59257#91.73836#91.73836#91.73836#89.92419	0.030579453#0.030579453#0.030579453#0.030579453#0.032567445#0.03601607#0.039530855#0.030579453#0.030579453#0.030579453#0.029974729	8.75#8.75#8.75#8.75#9.375#9.0#8.75#6.0#6.0#6.0#7.2000003	isAutoBackupEnabled.json
5847	4#3#3#3#3#3#3#3#3#3#3#4#4#4#9#8#8#8	0.2780511975288391#0.6781519055366516#0.8744206428527832#0.9512659907341003#0.8156052827835083#0.8156052827835083#0.8156052827835083#0.8166098594665527#0.7444948554039001#0.7696574926376343#0.7836681008338928#0.14584298431873322#1.4336197637021542E-4#0.41509613394737244#0.26299750804901123#0.23611624538898468#0.23611624538898468#0.23611624538898468	0.13083081575075978#0.720598392147185#0.8047966921893035#0.7051429081492517#0.5171606782933851#0.5171606782933851#0.5171606782933851#0.512232115626205#0.5149968313750736#0.45023025214121776#0.4312378940545398#0.017419406118733646#7.868772844806603E-4#0.18670809403688166#0.391938306578781#0.5457200078846046#0.5457200078846046#0.5457200078846046	0#0#0#0#0#0#0#0#0#0#0#0#0#0#2#2#2#2	0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#3#3#3#3	1#1#1#1#1#1#1#1#1#1#1#1#1#1#3#3#3#3	2.0#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#2.0#2.0#2.0#3.66#3.87#3.87#3.87	0#0#0#0#0#0#0#0#0#0#0#0#0#0#2#2#2#2	2#1#1#1#2#2#2#2#2#2#2#5#5#2#2#2#2#2	32.0#19.0#17.0#17.0#20.0#20.0#20.0#20.0#20.0#21.0#21.0#44.0#64.0#31.0#42.0#37.0#37.0#37.0	122.37174224853516#130.45266723632812#131.28770446777344#131.28770446777344#130.07347106933594#130.07347106933594#130.07347106933594#130.07347106933594#130.07347106933594#129.7158966064453#129.7158966064453#120.6494140625#118.57814025878906#122.60694122314453#107.23126983642578#109.99791717529297#109.99791717529297#109.99791717529297	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#0#0#0#0	1#0#0#0#0#0#0#0#0#0#0#1#1#1#2#1#1#1	0#3#4#4#6#565#565#628#749#1593#1595#1598#1600#1619#1623#1637#1783#3154	0#1#2#1#1#0#0#1#1#1#1#2#2#1#8#1#0#0	0#3#4#2#2#0#0#2#2#2#2#3#4#2#11#3#0#0	0#129#22#31#40#0#0#4#12#7#6#184#96#201#145#49#0#0	0#129#22#31#40#0#0#4#12#7#6#184#96#201#145#49#0#0	0#4#3#1#1#0#0#1#4#9#1#1#10#1#8#1#0#1	0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0#1#1#0#0#0#0#0#1	0#1#0#0#0#0#0#0#0#0#1#1#0#0#0#0#0#1	1603.4269#658.6667#582.5253#582.5253#919.6792#919.6792#919.6792#919.6792#919.6792#1050.8212#1050.8212#5993.6704#6086.256#1589.2782#2220.9578#1530.2565#1530.2565#1530.2565	89.07927#36.592594#32.36252#32.36252#51.09329#51.09329#51.09329#51.09329#51.09329#58.378952#58.378952#332.9817#338.12534#88.293236#123.38654#85.01425#85.01425#85.01425	146.7188#76.0#64.72504#64.72504#81.74926#81.74926#81.74926#81.74926#81.74926#87.56843#87.56843#204.32967#304.3128#140.23042#197.41847#167.3718#167.3718#167.3718	0.048906267#0.025333334#0.021575011#0.021575011#0.027249753#0.027249753#0.027249753#0.027249753#0.027249753#0.029189477#0.029189477#0.06810989#0.1014376#0.046743475#0.06580616#0.0557906#0.0557906#0.0557906	10.928572#8.666667#9.0#9.0#11.25#11.25#11.25#11.25#11.25#12.0#12.0#29.333334#20.0#11.333334#11.25#9.142858#9.142858#9.142858	isFirstBackup.json
3520	10#10	0.13742545247077942#0.13742545247077942	0.0017217838296701238#0.0017217838296701238	1#1	1#1	2#2	2#2	2.8#2.8	1#1	6#6	70.0#70.0	102.48821258544922#102.48821258544922	0#0	1#1	2#2	0#827	0#0	0#0	0#0	0#0	0#1	0#0	0#1	0#1	10482.714#10482.714	582.373#582.373	369.97815#369.97815	0.12332605#0.12332605	28.333332#28.333332	refreshToken.json
5309	10#14#14#14#14#4#4#4#4#4#3#3	0.01687834970653057#0.0#0.0#0.0#0.0#0.6083953380584717#0.6083953380584717#0.891471266746521#0.891471266746521#0.891471266746521#0.5488345623016357#0.5488345623016357	3.4628256785395917E-4#7.168622693920731E-9#7.526589207147752E-9#7.526589207147752E-9#7.526589207147752E-9#0.8750529097695404#0.8750529097695404#0.940386227787565#0.940386227787565#0.940386227787565#0.8844631453973322#0.8844631453973322	2#4#4#4#4#0#0#0#0#0#0#0	2#3#3#3#3#0#0#0#0#0#0#0	4#7#7#7#7#0#0#0#0#0#0#0	3#4#4#4#4#1#1#1#1#1#1#1	2.8#2.81#3.52#3.52#3.52#1.73#1.73#1.73#1.73#1.73#1.89#1.89	0#1#1#1#1#0#0#0#0#0#0#0	6#16#16#16#16#1#1#0#0#0#1#1	82.0#148.0#148.0#148.0#148.0#17.0#17.0#13.0#13.0#13.0#15.0#15.0	101.72410583496094#92.64822387695312#92.64822387695312#92.64822387695312#92.64822387695312#126.62725830078125#126.62725830078125#128.335205078125#128.335205078125#128.335205078125#132.25152587890625#132.25152587890625	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#0#0#0#0#0#0#0	0#9#9#27#27#80#182#1052#1055#1245#1622#2616	0#5#4#0#0#1#0#1#0#0#1#0	0#6#8#0#0#12#0#2#0#0#3#0	0#380#314#0#0#762#0#28#0#0#34#0	0#380#314#0#0#762#0#28#0#0#34#0	0#2#1#0#0#2#0#1#9#0#2#1	0#0#0#0#0#1#1#0#0#0#0#0	0#0#0#0#0#1#1#1#0#0#0#1	0#0#0#0#0#1#1#1#0#0#0#1	12573.334#45683.43#45683.43#45683.43#45683.43#355.9877#355.9877#233.02258#233.02258#233.02258#268.8722#268.8722	698.51855#2537.9683#2537.9683#2537.9683#2537.9683#19.777094#19.777094#12.945699#12.945699#12.945699#14.937344#14.937344	410.0#787.6453#787.6453#787.6453#787.6453#64.72504#64.72504#46.604515#46.604515#46.604515#53.77444#53.77444	0.13666667#0.26254845#0.26254845#0.26254845#0.26254845#0.021575011#0.021575011#0.015534839#0.015534839#0.015534839#0.017924814#0.017924814	30.666668#58.0#58.0#58.0#58.0#5.5#5.5#5.0#5.0#5.0#5.0#5.0	getStoreUri.json
5847	4#3#3#7#7#7#7#7#7#7#10#10#10#10#10#10#10#10#10#11	0.009583967737853527#0.36895808577537537#0.6418771743774414#0.10436231642961502#0.09561824798583984#0.09561824798583984#0.2775687575340271#0.2775687575340271#0.3401857614517212#0.34144702553749084#0.13312511146068573#0.08492346853017807#0.08817032724618912#0.08817032724618912#0.2685575485229492#0.2685575485229492#0.2685575485229492#0.2564657926559448#0.21487906575202942#0.20378491282463074	0.03245778000727501#0.4648529844675145#0.6208951261957677#0.04715908763648637#0.020222554020486488#0.020222554020486488#0.14148312524594409#0.14148312524594409#0.12445330533546889#0.11937833254995238#0.08875223077076108#0.037139528153628774#0.02840321519473412#0.02840321519473412#0.12560358406919003#0.12560358406919003#0.12560358406919003#0.2267643447072842#0.0625037506238881#0.02885388325577539	0#0#0#2#2#2#2#2#2#2#2#2#2#2#1#1#1#1#1#1	0#0#0#1#1#1#1#1#1#1#2#2#2#2#2#2#2#2#2#2	0#0#0#3#3#3#3#3#3#3#4#4#4#4#3#3#3#3#3#3	1#1#1#2#2#2#2#2#2#2#4#4#4#4#4#4#4#4#4#4	2.0#1.89#1.89#3.02#3.02#3.02#3.02#3.02#3.02#3.02#4.4#4.4#4.4#4.4#4.4#4.4#4.4#4.4#4.4#4.63	0#0#0#1#1#1#1#1#1#1#2#2#2#2#2#2#2#2#2#2	3#2#2#6#7#7#5#5#5#5#6#7#7#7#7#7#7#6#8#8	40.0#25.0#21.0#46.0#51.0#51.0#43.0#43.0#44.0#44.0#53.0#57.0#58.0#58.0#50.0#50.0#50.0#47.0#55.0#60.0	121.08204650878906#128.8092498779297#129.93223571777344#110.94255828857422#110.35152435302734#110.35152435302734#111.53955078125#111.53955078125#111.42000579833984#111.42000579833984#103.96784210205078#103.48292541503906#103.34259796142578#103.34259796142578#104.27083587646484#104.27083587646484#104.27083587646484#104.70954132080078#103.83229064941406#101.67217254638672	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#0#0#0#0#0#0	1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#3#4#547#565#565#565#565#618#620#749#1451#1593#1600#1617#1783#3154#3278#3349#3927	0#1#2#5#1#0#1#0#2#1#7#1#1#0#4#0#0#1#1#1	0#3#4#6#2#0#2#0#4#2#11#2#2#0#8#0#0#2#2#1	0#150#46#156#33#0#72#0#35#10#123#24#7#0#33#0#0#20#42#33	0#150#46#156#33#0#72#0#35#10#123#24#7#0#33#0#0#20#42#33	0#4#3#2#1#0#1#0#2#1#1#3#9#10#4#0#1#2#2#1	0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#1#0#1#0#0#0#0#0#1#0#1#0#0#0	0#1#0#0#0#0#1#0#1#0#0#0#0#0#0#0#1#0#0#0	2326.7178#1303.1017#1176.0#4054.2021#5223.5444#5223.5444#5520.295#5520.295#5648.674#5648.674#5138.2617#6712.626#7183.5845#7183.5845#3317.075#3317.075#3317.075#2783.6006#4027.39#4353.113	129.2621#72.39454#65.333336#225.23346#290.1969#290.1969#306.68304#306.68304#313.81522#313.81522#285.45898#372.92368#399.088#399.088#184.28194#184.28194#184.28194#154.64447#223.74388#241.8396	188.0176#104.24813#84.0#221.13832#247.75703#247.75703#197.15338#197.15338#201.73834#201.73834#254.78981#279.69275#287.34338#287.34338#240.36775#240.36775#240.36775#220.92067#261.51883#294.41342	0.06267253#0.034749378#0.028#0.07371277#0.08258568#0.08258568#0.065717794#0.065717794#0.06724612#0.06724612#0.084929936#0.09323092#0.095781125#0.095781125#0.08012258#0.08012258#0.08012258#0.07364022#0.08717294#0.09813781	12.375#12.5#14.0#18.333332#21.083334#21.083334#28.0#28.0#28.0#28.0#20.166668#24.0#25.0#25.0#13.8#13.8#13.8#12.6#15.4#14.785714	isLoginInformationSet.json
3520	3#3	0.47175347805023193#0.47175347805023193	0.5456357898493429#0.5456357898493429	0#0	0#0	0#0	1#1	1.89#1.89	0#0	2#2	19.0#19.0	130.45266723632812#130.45266723632812	0#0	0#0	0#0	0#827	0#0	0#0	0#0	0#0	0#1	0#0	0#1	0#1	494.0#494.0	27.444445#27.444445	76.0#76.0	0.025333334#0.025333334	6.5#6.5	getOauth2RefreshToken.json
2643	3	0.20070195198059082	0.5184146733343286	0	0	0	1	1.89	0	1	20.0	130.07347106933594	0	0	0	0	0	0	0	0	0	0	0	0	490.49554	27.249752	81.74926	0.027249753	6.0	isUseOldScheduler.json
4228	8#8#8#3#3#3	0.11669117957353592#0.11669117957353592#0.1464800089597702#0.648231565952301#0.648231565952301#0.648231565952301	0.3756259634352263#0.3756259634352263#0.2907367767486567#0.6313785783325851#0.6313785783325851#0.6313785783325851	1#1#1#0#0#0	1#1#1#0#0#0	2#2#2#0#0#0	3#3#3#1#1#1	4.47#4.47#4.47#1.89#1.89#1.89	2#2#2#0#0#0	3#3#3#2#2#2	38.0#38.0#40.0#20.0#20.0#20.0	109.85923767089844#109.85923767089844#109.52240753173828#130.18594360351562#130.18594360351562#130.18594360351562	0#0#0#0#0#0	1#1#1#1#1#1	0#0#0#0#0#0	0#164#283#716#1535#1671	0#0#1#1#0#0	0#0#2#7#0#0	0#0#14#156#0#0	0#0#14#156#0#0	0#0#1#1#1#1	0#0#0#0#0#1	0#0#0#0#1#1	0#0#0#0#1#1	2449.5088#2449.5088#2439.2#693.3334#693.3334#693.3334	136.08382#136.08382#135.51111#38.51852#38.51852#38.51852	171.89536#171.89536#183.3985#80.0#80.0#80.0	0.05729845#0.05729845#0.061132833#0.026666667#0.026666667#0.026666667	14.25#14.25#13.3#8.666667#8.666667#8.666667	getMostRecentTimestamp.json
2602	3	0.3072164058685303	0.4975887054585068	0	0	0	1	1.89	0	1	20.0	130.07347106933594	0	0	0	0	0	0	0	0	0	0	0	0	490.49554	27.249752	81.74926	0.027249753	6.0	isCallLogBackupAfterCallEnabled.json
