Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1767	4	0.7223336100578308	0.5461091991166221	0	0	0	1	1.73	0	2	20.0	125.41301727294922	0	0	0	0	0	0	0	0	0	0	0	0	572.2448	31.791378	81.74926	0.027249753	7.0	password.json
2107	3#3#3#3	0.0051264166831970215#0.002327566733583808#0.0022335383109748363#0.0022582849487662315	0.05017625455561704#0.034127257641265306#0.030371939942699072#0.04842538126983942	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	2#2#2#2	36.0#38.0#38.0#36.0	126.29036712646484#125.94933319091797#125.94933319091797#126.29036712646484	0#0#0#0	2#2#2#2	0#0#0#0	0#14#724#1551	0#1#1#1	0#2#2#2	0#21#20#24	0#21#20#24	0#2#1#2	0#0#0#0	0#0#0#0	0#0#0#0	1903.6781#1987.543#1987.543#1903.6781	105.759895#110.41905#110.41905#105.759895	169.21584#180.68573#180.68573#169.21584	0.05640528#0.060228575#0.060228575#0.05640528	11.25#11.0#11.0#11.25	getGroups.json
1228	3	0.7783998847007751	0.8732073271540587	0	0	0	1	1.89	0	0	15.0	131.9385528564453	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getLanguages.json
1746	3	0.26320236921310425	0.38296256584922916	0	0	0	1	1.89	0	2	25.0	128.62307739257812	0	1	0	0	0	0	0	0	0	0	0	0	972.43384	54.0241	108.0482	0.03601607	9.0	findPlugin.json
760	5#5	0.18215781450271606#0.169149249792099	0.5966950972240389#0.6090670190446038	0#0	0#0	0#0	1#1	1.96#1.96	0#0	2#2	27.0#27.0	120.03731536865234#120.03731536865234	0#0	2#2	0#0	0#665	0#1	0#2	0#14	0#14	0#4	0#0	0#0	0#0	1529.2539#1529.2539	84.95855#84.95855	114.694046#114.694046	0.03823135#0.03823135	13.333333#13.333333	checkEntityPermission.json
798	4#4	0.6049608588218689#0.6049608588218689	0.8315806798922863#0.8315806798922863	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	18.0#18.0	126.19583892822266#126.19583892822266	0#0	0#0	0#0	0#604	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	457.10617#457.10617	25.394787#25.394787	70.32403#70.32403	0.023441343#0.023441343	6.5#6.5	getWriter.json
973	3	0.10173096507787704	0.2669358429703898	0	0	0	1	1.89	0	3	27.0	128.31268310546875	0	0	0	0	0	0	0	0	0	0	0	0	745.5113	41.417294	114.694046	0.03823135	6.5	isAutoDbUpgrade.json
5327	3#4#4#4#4#4	0.7128949165344238#0.7145086526870728#0.7145086526870728#0.7145086526870728#0.7145086526870728#0.49886253476142883	0.7629564367022996#0.7769746318228545#0.7769746318228545#0.7769746318228545#0.7769746318228545#0.6085409595224618	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0	1#1#1#1#1#1	18.0#19.0#19.0#19.0#19.0#22.0	130.85629272460938#125.79222106933594#125.79222106933594#125.79222106933594#125.79222106933594#124.71717071533203	0#0#0#0#0#0	1#1#1#1#1#1	0#0#0#0#0#0	0#9#388#1327#1936#2046	0#1#0#0#0#1	0#1#0#0#0#2	0#10#0#0#0#14	0#10#0#0#0#14	0#1#0#0#1#5	0#0#0#0#0#0	0#1#0#0#0#0	0#1#0#0#0#0	562.5922#658.6667#658.6667#658.6667#658.6667#876.1351	31.255123#36.592594#36.592594#36.592594#36.592594#48.67417	70.32403#76.0#76.0#76.0#76.0#93.45441	0.023441343#0.025333334#0.025333334#0.025333334#0.025333334#0.03115147	8.0#8.666667#8.666667#8.666667#8.666667#9.375	findByKey.json
3703	8#8#8#8#8#8#7#7#7#6	0.3440883755683899#0.4511885643005371#0.42523452639579773#0.4511885643005371#0.42523452639579773#0.4511885643005371#0.1991240531206131#0.1991240531206131#0.1991240531206131#0.2915201783180237	0.12720081228907335#0.18004135788173486#0.1745302839542992#0.18004135788173486#0.1745302839542992#0.18004135788173486#0.08771310445924968#0.08771310445924968#0.08771310445924968#0.1941623614599178	1#1#1#1#1#1#0#0#0#0	1#1#1#1#1#1#0#0#0#0	2#2#2#2#2#2#0#0#0#0	2#2#2#2#2#2#1#1#1#1	2.65#2.65#2.65#2.65#2.65#2.65#1.98#1.98#1.98#2.0	1#1#1#1#1#1#0#0#0#0	2#2#2#2#2#2#4#4#4#3	44.0#42.0#42.0#42.0#42.0#42.0#43.0#43.0#43.0#37.0	109.010498046875#109.30946350097656#109.30946350097656#109.30946350097656#109.30946350097656#109.30946350097656#111.64020538330078#111.64020538330078#111.64020538330078#114.98188781738281	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#1	0#0#78#79#116#312#318#1556#1556#1957	0#1#2#2#2#2#2#0#0#2	0#2#4#4#4#4#5#0#0#5	0#7#10#10#10#10#112#0#0#68	0#7#10#10#10#10#112#0#0#68	0#6#2#2#2#2#3#0#0#14	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0#0#0	0#0#0#0#0#0#1#0#0#0	3490.1396#3494.8423#3494.8423#3494.8423#3494.8423#3494.8423#2728.6052#2728.6052#2728.6052#2720.5256	193.89665#194.1579#194.1579#194.1579#194.1579#194.1579#151.58917#151.58917#151.58917#151.14032	211.52362#199.70528#199.70528#199.70528#199.70528#199.70528#202.11891#202.11891#202.11891#171.82268	0.07050788#0.06656843#0.06656843#0.06656843#0.06656843#0.06656843#0.06737297#0.06737297#0.06737297#0.057274226	16.5#17.5#17.5#17.5#17.5#17.5#13.5#13.5#13.5#15.833333	getPluginInstance.json
3220	3#3	0.1610735058784485#0.1610735058784485	0.931903035479266#0.931903035479266	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#165	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	internalPropertiesDao.json
