Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
98	4	0.6755366325378418	0.9103951701157487	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	342.66196	19.036776	57.110325	0.019036775	6.0	getResource.json
4431	4#4#4#4	0.9256681203842163#0.8435596227645874#0.8435596227645874#0.8435596227645874	0.9355898486514492#0.8928453704436299#0.8928453704436299#0.8928453704436299	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	0#0#0#0	13.0#15.0#15.0#15.0	128.335205078125#127.27810668945312#127.27810668945312#127.27810668945312	0#0#0#0	0#0#0#0	0#0#0#0	0#44#167#203	0#1#0#0	0#2#0#0	0#5#0#0	0#5#0#0	0#4#3#0	0#0#0#0	0#0#0#0	0#0#0#0	233.02258#342.66196#342.66196#342.66196	12.945699#19.036776#19.036776#19.036776	46.604515#57.110325#57.110325#57.110325	0.015534839#0.019036775#0.019036775#0.019036775	5.0#6.0#6.0#6.0	isOpen.json
2608	4#4	0.4078390300273895#0.4078390300273895	0.8380691266853392#0.8380691266853392	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	18.0#18.0	126.33003997802734#126.33003997802734	0#0	0#0	0#0	0#601	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	411.19434#411.19434	22.84413#22.84413	68.53239#68.53239	0.022844128#0.022844128	6.0#6.0	isStarted.json
3283	4#4	0.8241575956344604#0.8162005543708801	0.8701685566297588#0.9314934498570675	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	15.0#13.0	127.27810668945312#128.335205078125	0#0	0#0	0#0	0#2731	0#1	0#2	0#20	0#20	0#3	0#0	0#0	0#0	342.66196#233.02258	19.036776#12.945699	57.110325#46.604515	0.019036775#0.015534839	6.0#5.0	createSession.json
5815	10#10#10#11#10#11#11#10	0.059672676026821136#0.059672676026821136#0.059672676026821136#0.07056150585412979#0.059672676026821136#0.07056150585412979#0.06682298332452774#0.179678812623024	0.013070478733859655#0.013070478733859655#0.013070478733859655#0.013614248603898637#0.013070478733859655#0.013614248603898637#0.01367646698947393#0.13471842528530592	2#2#2#2#2#2#2#1	2#2#2#2#2#2#2#1	4#4#4#4#4#4#4#2	3#3#3#3#3#3#3#3	3.6#3.6#3.6#3.74#3.6#3.74#3.74#3.77	2#2#2#2#2#2#2#2	5#5#5#5#5#5#5#2	67.0#67.0#67.0#68.0#67.0#68.0#68.0#51.0	102.87239074707031#102.87239074707031#102.87239074707031#101.20143127441406#102.87239074707031#101.20143127441406#101.20143127441406#104.29129791259766	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#1	0#0#915#1247#1252#1383#1579#1770	0#0#0#1#0#1#1#3	0#0#0#1#1#1#2#7	0#0#0#10#10#10#1#100	0#0#0#10#10#10#1#100	0#0#0#2#2#3#1#2	0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0	0#0#0#1#0#1#1#0	5369.774#5369.774#5369.774#5764.4824#5369.774#5764.4824#5764.4824#3785.0525	298.32077#298.32077#298.32077#320.24902#298.32077#320.24902#320.24902#210.2807	328.76166#328.76166#328.76166#336.88535#328.76166#336.88535#336.88535#250.2514	0.10958722#0.10958722#0.10958722#0.11229511#0.10958722#0.11229511#0.11229511#0.08341713	16.333334#16.333334#16.333334#17.11111#16.333334#17.11111#17.11111#15.125	next.json
4431	4#4#4#4	0.9332895278930664#0.858311116695404#0.858311116695404#0.858311116695404	0.9376270160911837#0.8947255475253623#0.8947255475253623#0.8947255475253623	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	0#0#0#0	13.0#15.0#15.0#15.0	128.335205078125#127.27810668945312#127.27810668945312#127.27810668945312	0#0#0#0	0#0#0#0	0#0#0#0	0#44#167#203	0#1#0#0	0#2#0#0	0#5#0#0	0#5#0#0	0#4#3#0	0#0#0#0	0#0#0#0	0#0#0#0	233.02258#342.66196#342.66196#342.66196	12.945699#19.036776#19.036776#19.036776	46.604515#57.110325#57.110325#57.110325	0.015534839#0.019036775#0.019036775#0.019036775	5.0#6.0#6.0#6.0	getId.json
449	3	0.7657937407493591	0.9008918028535309	0	0	0	1	1.89	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	284.93387	15.829659	51.806156	0.01726872	5.5	getOrder.json
2252	4#4	0.09764143824577332#0.09764143824577332	0.5699370056669052#0.5699370056669052	0#0	0#0	0#0	1#1	2.0#2.0	0#0	1#1	26.0#26.0	123.8484878540039#123.8484878540039	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	0#0	0#0	927.7475#927.7475	51.541527#51.541527	110.44612#110.44612	0.036815375#0.036815375	8.400001#8.400001	getTransaction.json
98	4#4	0.15330491960048676#0.29780465364456177	0.4163923187365066#0.47009797903429473	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#2	28.0#27.0	123.21045684814453#123.47842407226562	0#0	1#1	0#0	0#92	0#1	0#2	0#8	0#8	0#1	0#0	0#1	0#1	1581.6118#1689.9441	87.867325#93.88578	124.86409#118.59257	0.041621365#0.039530855	12.666667#14.25	getMetadataReader.json
2608	4#4	0.5068609118461609#0.5068609118461609	0.8703147169199056#0.8703147169199056	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	17.0#17.0	126.77537536621094#126.77537536621094	0#0	0#0	0#0	0#601	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	345.99112#345.99112	19.22173#19.22173	62.907475#62.907475	0.020969158#0.020969158	5.5#5.5	start.json
