Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
5033	3#3#3#3#3#3#3#3	0.753023087978363#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.859980046749115	0.8456713896629948#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8436905137233416	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	14.0#14.0#14.0#14.0#14.0#14.0#14.0#14.0	132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#65#578#1514#1577#2027#2409#2850	0#1#0#0#0#0#0#1	0#2#0#0#0#0#0#2	0#4#0#0#0#0#0#1	0#4#0#0#0#0#0#1	0#7#0#2#8#0#7#10	0#0#0#0#0#0#1#0	0#0#0#0#0#0#1#1	0#0#0#0#0#1#1#1	250.94739#250.94739#250.94739#250.94739#250.94739#250.94739#250.94739#250.94739	13.941522#13.941522#13.941522#13.941522#13.941522#13.941522#13.941522#13.941522	50.189476#50.189476#50.189476#50.189476#50.189476#50.189476#50.189476#50.189476	0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826	5.0#5.0#5.0#5.0#5.0#5.0#5.0#5.0	getThisComponentId.json
5033	3#3#3#3#3#3	0.7515167593955994#0.7515167593955994#0.7515167593955994#0.7515167593955994#0.7515167593955994#0.7405771613121033	0.9130077377997761#0.9130077377997761#0.9130077377997761#0.9130077377997761#0.9130077377997761#0.9189707462936633	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	0#0#0#0#0#0	12.0#12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#195#578#1577#2027#2850	0#0#0#0#0#1	0#0#0#0#0#2	0#0#0#0#0#1	0#0#0#0#0#1	0#0#0#8#0#10	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#1#1	186.80931#186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5#4.5	getRawTopology.json
2902	10#10#10#15#15	0.009506269358098507#0.009506269358098507#0.011876016855239868#0.002811400219798088#0.002787558361887932	0.002266314166057087#0.002266314166057087#0.0021435142769926424#9.471544093646538E-5#9.749847468347244E-5	0#0#0#1#1	0#0#0#1#1	0#0#0#2#2	3#3#3#4#4	3.77#3.77#3.77#4.77#4.77	2#2#2#3#3	4#4#4#5#5	72.0#72.0#72.0#97.0#97.0	102.26763153076172#102.26763153076172#102.26763153076172#93.59489440917969#93.59489440917969	0#0#0#0#0	1#1#1#1#1	3#3#3#4#4	0#0#214#356#357	0#0#2#7#1	0#0#4#9#2	0#0#25#236#5	0#0#25#236#5	0#0#1#1#1	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	9602.018#9602.018#9602.018#15886.946#15886.946	533.44543#533.44543#533.44543#882.60815#882.60815	369.30838#369.30838#369.30838#529.5649#529.5649	0.12310279#0.12310279#0.12310279#0.17652163#0.17652163	26.0#26.0#26.0#30.0#30.0	getAllSubscribedPartitions.json
5033	3#3#3#3#3#3#3	0.9067463278770447#0.9067463278770447#0.9067463278770447#0.9067463278770447#0.9067463278770447#0.9067463278770447#0.9017473459243774	0.9097724098272176#0.9097724098272176#0.9097724098272176#0.9097724098272176#0.9097724098272176#0.9097724098272176#0.9165950323892853	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0	0#0#0#0#0#0#0	12.0#12.0#12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#195#578#1577#2027#2409#2850	0#0#0#0#0#0#1	0#0#0#0#0#0#2	0#0#0#0#0#0#1	0#0#0#0#0#0#1	0#0#0#8#0#7#10	0#0#0#0#0#1#0	0#0#0#0#0#1#1	0#0#0#0#1#1#1	186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5#4.5#4.5	getStormId.json
1845	23#27	4.7305808402597904E-4#0.0	2.5262353148242715E-8#1.164081471729947E-9	5#5	7#7	12#12	7#8	3.09#2.96	2#2	10#12	155.0#174.0	83.4247817993164#79.81623077392578	0#0	4#4	2#1	0#83	0#8	0#12	0#280	0#280	0#1	0#0	0#0	0#0	51940.152#60357.395	2885.564#3353.1885	865.6692#1005.9566	0.2885564#0.33531886	60.0#60.0	areAllProcessesDead.json
4895	3#3#3#3#3#4	0.7870879769325256#0.7870879769325256#0.7870879769325256#0.7870879769325256#0.7870879769325256#0.7768292427062988	0.806957629661367#0.806957629661367#0.806957629661367#0.806957629661367#0.806957629661367#0.7926281598895776	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.73	0#0#0#0#0#0	2#2#2#2#2#2	20.0#20.0#20.0#20.0#20.0#21.0	130.59072875976562#130.59072875976562#130.59072875976562#130.59072875976562#130.59072875976562#125.52845764160156	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#440#1439#1889#1898#2689	0#0#0#0#0#1	0#0#0#0#0#1	0#0#0#0#0#10	0#0#0#0#0#10	0#0#8#0#9#2	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#1#0#1	444.0528#444.0528#444.0528#444.0528#444.0528#519.7039	24.6696#24.6696#24.6696#24.6696#24.6696#28.87244	74.0088#74.0088#74.0088#74.0088#74.0088#79.95445	0.024669599#0.024669599#0.024669599#0.024669599#0.024669599#0.026651485	6.0#6.0#6.0#6.0#6.0#6.5	keySet.json
3498	14#14#14#14	0.0071543361991643906#0.0071543361991643906#0.0071543361991643906#0.007066973019391298	2.412436492013875E-4#2.412436492013875E-4#2.412436492013875E-4#2.4322540765399448E-4	2#2#2#2	1#1#1#1	3#3#3#3	3#3#3#3	2.62#2.62#2.62#2.62	1#1#1#1	7#7#7#7	85.0#85.0#85.0#85.0	95.59850311279297#95.59850311279297#95.59850311279297#95.59850311279297	0#0#0#0	2#2#2#2	1#1#1#1	0#42#492#1361	0#0#0#1	0#0#0#2	0#0#0#1	0#0#0#1	0#8#0#2	0#0#0#0	0#0#0#1	0#0#1#1	16805.07#16805.07#16805.07#16805.07	933.615#933.615#933.615#933.615	466.80753#466.80753#466.80753#466.80753	0.15560251#0.15560251#0.15560251#0.15560251	36.0#36.0#36.0#36.0	getBlob.json
2733	3	0.13305963575839996	0.9137153004998612	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getLatestEmittedOffset.json
2819	8	0.08122076094150543	0.01561717582420404	2	2	4	2	3.12	1	4	51.0	107.99250793457031	0	1	0	0	0	0	0	0	0	0	0	0	3550.2446	197.23581	257.2641	0.0857547	13.8	getRemoteVersion.json
2922	4	0.7459577322006226	0.7938340138569553	0	0	0	1	1.73	0	1	19.0	125.91468811035156	0	1	0	0	0	0	0	0	0	0	0	0	593.84735	32.99152	74.23092	0.024743639	8.0	del.json
