Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1914	3	0.8945925831794739	0.9370029937641291	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getLocale.json
2653	3#3#3	0.8511800169944763#0.7589787840843201#0.7996609807014465	0.9478255012428375#0.9204592695752828#0.936603461650337	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#94#95	0#1#1	0#2#2	0#13#8	0#13#8	0#1#1	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getResource.json
2604	7#3	0.7779708504676819#0.5034126043319702	0.5495802746453785#0.7066344095822508	1#0	1#0	2#0	2#1	2.56#1.89	1#0	2#2	35.0#21.0	112.68008422851562#130.05470275878906	0#0	1#1	1#0	0#8	0#2	0#8	0#70	0#70	0#1	0#0	0#0	0#0	1794.3463#656.3576	99.685905#36.46431	158.32466#82.0447	0.052774888#0.027348233	11.333334#8.0	matches.json
2622	3#3#12#12#15#15#16#17#13#13#17#19#14#19#20#20#22#23#22#27#30#30#30	0.2261594980955124#0.23623941838741302#0.006748259533196688#0.006724941544234753#0.023284977301955223#0.019933898001909256#0.02070639282464981#0.006240834016352892#0.0024865055456757545#0.0024865055456757545#0.0012215747265145183#0.0012923761969432235#0.004853509366512299#0.0012923761969432235#3.9967408520169556E-4#3.0044050072319806E-4#2.464141871314496E-4#1.3060469063930213E-4#3.8982927799224854E-4#2.785782562568784E-4#0.0#0.0#0.0	0.5459764649983013#0.5329255537858467#3.4054690037204496E-5#3.4637001504955124E-5#2.1833454345967962E-5#2.1762332921049323E-5#1.446550338317466E-5#4.300742121994974E-6#1.839132162975964E-5#1.839132162975964E-5#3.824793556131371E-8#1.465027076774316E-8#3.872949482426621E-5#1.465027076774316E-8#2.199209206965391E-9#1.031408151696115E-9#1.1954100559995907E-10#9.69213586178644E-12#8.84015267544342E-11#6.11895740068824E-13#4.6370181242342094E-15#9.588692690252737E-16#4.6370181242342094E-15	0#0#0#0#0#0#0#0#0#0#1#2#0#2#2#2#2#2#2#3#3#3#3	0#0#0#0#0#0#0#0#0#0#1#2#0#2#2#2#2#2#2#3#3#3#3	0#0#0#0#0#0#0#0#0#0#2#4#0#4#4#4#4#4#4#6#6#6#6	1#1#1#1#3#3#3#3#2#2#3#4#2#4#4#4#4#4#4#6#6#6#6	1.89#1.89#4.16#4.16#5.63#5.63#5.63#5.62#5.77#5.77#6.02#6.09#5.81#6.09#6.18#6.18#6.37#6.28#6.14#5.78#5.53#5.53#5.53	0#0#1#1#2#2#2#2#2#2#3#3#2#3#3#3#3#3#3#3#3#3#3	1#1#6#6#4#4#5#6#7#7#10#11#5#11#12#13#14#16#14#16#20#22#20	24.0#24.0#96.0#96.0#106.0#106.0#110.0#118.0#102.0#102.0#137.0#146.0#101.0#146.0#155.0#158.0#172.0#185.0#173.0#204.0#230.0#236.0#230.0	129.12539672851562#129.12539672851562#97.89298248291016#97.89298248291016#93.24530029296875#93.24530029296875#91.97953796386719#90.60543060302734#96.02191162109375#96.02191162109375#89.61360931396484#87.2295150756836#94.87259674072266#87.2295150756836#86.00617980957031#85.88714599609375#83.86402893066406#82.7287826538086#83.81558990478516#79.07763671875#76.66860961914062#76.5050277709961#76.66860961914062	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#0#2#2#1#1#1#1#0#0#2#2#1#2#2#2#3#3#3#3#4#4#4	0#1#2#7#15#16#66#89#118#118#189#225#225#225#286#286#286#286#286#675#1034#1546#1620	0#1#12#1#11#1#1#1#3#0#5#3#3#8#1#1#3#1#1#5#3#1#1	0#2#14#2#19#2#1#1#10#0#6#4#11#11#1#2#4#1#3#5#3#2#2	0#6#424#5#333#12#39#62#243#0#231#69#339#339#44#22#140#82#68#248#215#43#43	0#6#424#5#333#12#39#62#243#0#231#69#339#339#44#22#140#82#68#248#215#43#43	0#2#1#2#2#2#1#3#1#1#1#1#1#1#2#2#2#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0	1115.8773#1115.8773#15479.569#15479.569#16931.371#16931.371#18899.113#23309.127#15712.821#15712.821#31207.094#35214.91#17852.25#35214.91#37133.57#38876.965#48018.61#56503.85#47390.9#63311.09#82374.07#88276.07#82374.07	61.993183#61.993183#859.9761#859.9761#940.6317#940.6317#1049.9507#1294.9515#872.9345#872.9345#1733.7274#1956.3839#991.7917#1956.3839#2062.976#2159.8313#2667.7004#3139.1028#2632.8276#3517.2827#4576.3374#4904.226#4576.3374	98.099106#98.099106#530.26196#530.26196#592.006#592.006#617.6181#665.97504#566.56805#566.56805#805.9221#862.406#561.0135#862.406#930.0#951.5341#1043.3673#1130.077#1053.1311#1266.7285#1449.8695#1496.2046#1449.8695	0.0326997#0.0326997#0.17675398#0.17675398#0.19733533#0.19733533#0.2058727#0.22199167#0.18885602#0.18885602#0.2686407#0.28746867#0.18700449#0.28746867#0.31#0.31717804#0.3477891#0.37669235#0.3510437#0.42224285#0.48328984#0.49873486#0.48328984	11.375#11.375#29.192307#29.192307#28.6#28.6#30.599998#35.0#27.733334#27.733334#38.72222#40.833332#31.821428#40.833332#39.92857#40.857143#46.022728#50.0#45.0#49.98#56.814816#59.0#56.814816	forwardTo.json
2483	3#3	0.850444495677948#0.5474411249160767	0.9254449913952341#0.7739473745524899	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#1	12.0#18.0	133.59722900390625#130.85629272460938	0#0	0#0	0#0	0#15	0#1	0#2	0#20	0#20	0#1	0#0	0#0	0#0	186.80931#457.10617	10.378295#25.394787	41.51318#70.32403	0.013837727#0.023441343	4.5#6.5	hasErrors.json
2348	3#3#3#3	0.15021754801273346#0.16222602128982544#0.16222602128982544#0.3896108567714691	0.6678488639291004#0.65253802965849#0.65253802965849#0.7957340165372431	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	22.0#22.0#22.0#18.0	129.69032287597656#129.69032287597656#129.69032287597656#130.85629272460938	0#0#0#0	1#1#1#0	0#0#0#0	0#0#2#221	0#2#0#2	0#4#0#4	0#14#0#43	0#14#0#43	0#1#0#2	0#0#0#0	0#0#0#0	0#0#0#0	660.0#660.0#660.0#421.94415	36.666668#36.666668#36.666668#23.441341	88.0#88.0#88.0#70.32403	0.029333333#0.029333333#0.029333333#0.023441343	7.5#7.5#7.5#6.0	newRelationBuilder.json
2456	4#3#4	0.26978376507759094#0.1765117645263672#0.30887100100517273	0.47314624054057874#0.45005552128088777#0.07172948377811261	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.89#2.0	0#0#0	1#1#2	26.0#25.0#38.0	123.67467498779297#128.62307739257812#121.41175079345703	0#0#0	2#2#1	0#0#1	0#0#330	0#0#3	0#1#5	0#10#110	0#10#110	0#3#3	0#0#0	0#0#0	0#0#0	1713.0038#1530.6827#2779.3477	95.16688#85.03793#154.4082	114.20025#108.0482#176.46652	0.03806675#0.03601607#0.058822174	15.0#14.166666#15.75	existsTwoWayFor.json
2014	4#3	0.6393312215805054#0.7448960542678833	0.8083849222814062#0.7885323235727454	0#0	0#0	0#0	1#1	1.73#1.89	0#0	0#0	19.0#18.0	126.04888916015625#131.1385955810547	0#0	1#1	0#0	0#4	0#0	0#1	0#10	0#10	0#1	0#0	0#1	0#1	651.0577#549.5153	36.169872#30.52863	72.339745#66.60792	0.024113249#0.022202639	9.0#8.25	create.json
2615	3	0.913459837436676	0.9363936039723579	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getResult.json
2348	3#3#3#3	0.5950838327407837#0.5921502709388733#0.5921502709388733#0.4191141724586487	0.6281473309810617#0.6336352576468177#0.6336352576468177#0.6485152836525191	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	1#1#1#0	21.0#21.0#21.0#22.0	129.61952209472656#129.61952209472656#129.61952209472656#129.69032287597656	0#0#0#0	1#1#1#0	0#0#0#0	0#0#2#221	0#1#0#2	0#2#0#4	0#6#0#40	0#6#0#40	0#1#0#2	0#0#0#0	0#0#0#0	0#0#0#0	624.4454#624.4454#624.4454#572.0	34.69141#34.69141#34.69141#31.777779	89.20648#89.20648#89.20648#88.0	0.029735494#0.029735494#0.029735494#0.029333333	7.0#7.0#7.0#6.5	getRelations.json
