Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1849	3#4	0.48182153701782227#0.572383463382721	0.9369187904118312#0.9376612568248505	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	12.0#13.0	133.59722900390625#128.335205078125	0#0	0#0	0#0	0#195	0#1	0#1	0#10	0#10	0#1	0#0	0#0	0#0	186.80931#233.02258	10.378295#12.945699	41.51318#46.604515	0.013837727#0.015534839	4.5#5.0	getControllerMethod.json
1849	3#4	0.8945925831794739#0.874343991279602	0.9370029937641291#0.9301287077496432	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	12.0#13.0	133.59722900390625#128.335205078125	0#0	0#0	0#0	0#34	0#1	0#1	0#10	0#10	0#12	0#0	0#0	0#0	186.80931#233.02258	10.378295#12.945699	41.51318#46.604515	0.013837727#0.015534839	4.5#5.0	getLocale.json
1918	4#5#5#4	0.19258131086826324#0.27175477147102356#0.28998807072639465#0.04038343206048012	0.3566642610433402#0.37897339173056754#0.33474549326888553#0.35282806688915064	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.6#1.6#1.73	0#0#0#0	2#2#3#2	29.0#30.0#31.0#28.0	123.1068344116211#119.23677062988281#119.0662612915039#123.21045684814453	0#0#0#0	0#0#0#0	0#0#0#0	0#30#96#96	0#1#1#1	0#1#2#3	0#10#6#79	0#10#6#79	0#4#5#4	0#0#0#0	0#0#0#0	0#0#0#0	955.32904#1070.2635#1175.0603#998.9127	53.073837#59.459087#65.28113#55.49515	127.377205#133.78294#138.24239#124.86409	0.042459067#0.044594314#0.046080794#0.041621365	7.5#8.0#8.5#8.0	listAll.json
1560	4	0.9107400178909302	0.8774171362165604	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	1	0	0	0	0	0	0	0	0	0	0	285.55164	15.863979	57.110325	0.019036775	5.0	getResource.json
1849	3#4	0.5034126043319702#0.5670020580291748	0.7066344095822508#0.7088801096655027	0#0	0#0	0#0	1#1	1.89#1.73	0#0	2#2	21.0#22.0	130.05470275878906#125.02987670898438	0#0	1#1	0#0	0#34	0#1	0#1	0#10	0#10	0#12	0#0	0#0	0#0	656.3576#762.6667	36.46431#42.370373	82.0447#88.0	0.027348233#0.029333333	8.0#8.666667	matches.json
1849	10#10#11#9	0.014479907229542732#0.03536552935838699#0.04137177765369415#0.025819504633545876	0.007397409055201545#0.025810923665795068#0.028315252783083666#0.06558600277777302	0#0#0#0	0#0#0#0	0#0#0#0	3#3#3#2	2.8#2.8#2.95#2.95	1#1#1#1	5#3#3#3	66.0#60.0#61.0#50.0	102.85283660888672#103.44619750976562#101.76632690429688#106.28121948242188	0#0#0#0	1#1#1#1	0#0#0#0	0#30#33#40	0#1#1#1	0#2#1#4	0#43#10#55	0#43#10#55	0#2#3#1	0#0#0#0	0#0#0#0	0#0#0#0	5903.3335#4808.753#5171.08#4272.9946	327.96298#267.15295#287.28223#237.3886	330.0#294.41342#302.206#247.70982	0.11#0.09813781#0.10073533#0.08256994	17.88889#16.333334#17.11111#17.25	forwardTo.json
1849	3	0.913459837436676	0.9363936039723579	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getResult.json
1920	5#4#5#6#6#4	0.07082369178533554#0.833275556564331#0.8037272691726685#0.1434263288974762#0.1511661559343338#0.25655123591423035	0.14046753519793945#0.5516354282321126#0.5737035069197397#0.19095587743883985#0.16473138710415813#0.640420726881779	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.96#2.0#1.96#2.0#2.0#1.73	0#0#0#0#0#0	3#2#2#4#5#1	38.0#26.0#27.0#39.0#40.0#23.0	117.79682159423828#123.8484878540039#119.94750213623047#114.6451644897461#114.51351165771484#124.6862564086914	0#0#0#0#0#0	1#1#1#1#1#1	2#1#1#1#1#0	0#1#32#89#98#98	0#2#1#2#1#1	0#5#1#3#2#4	0#101#10#56#6#110	0#101#10#56#6#110	0#2#4#1#5#4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	2794.0532#1472.6149#1653.1373#2444.2288#2763.8586#763.84467	155.22517#81.811935#91.840965#135.79048#153.5477#42.435814	176.46652#110.44612#116.692055#183.31715#188.0176#94.01165	0.058822174#0.036815375#0.03889735#0.061105717#0.06267253#0.031337216	15.833333#13.333333#14.166666#13.333334#14.7#8.125	find.json
1849	12#13#12#13#12#12#12#12#12#12#12	5.961272399872541E-4#0.0014965340960770845#6.234225002117455E-4#8.914288482628763E-4#0.0034368655178695917#0.0020306457299739122#8.184665930457413E-4#0.0016245294827967882#0.0014445593114942312#0.0012868549674749374#6.451669614762068E-4	3.248500674955869E-4#3.4240490666101757E-4#5.487119881558009E-4#3.6203512300933674E-4#0.0010892449350517282#6.780552738897052E-4#2.601949411840068E-4#4.1676042264186477E-4#4.2364310276454337E-4#7.528187187031965E-4#4.617684350754422E-4	4#4#4#4#3#3#3#3#3#3#3	3#3#3#3#2#2#2#2#2#2#2	7#7#7#7#5#5#5#5#5#5#5	3#3#3#3#2#2#2#2#2#2#2	3.04#2.92#3.04#2.92#5.2#5.2#5.2#5.2#5.2#5.2#5.2	1#1#1#1#2#2#2#2#2#2#2	5#4#5#4#3#3#3#3#3#3#3	87.0#89.0#84.0#88.0#82.0#84.0#88.0#86.0#86.0#84.0#86.0	98.28892517089844#96.83444213867188#98.47140502929688#96.85493469238281#98.74884033203125#98.58653259277344#98.27412414550781#98.42835998535156#98.42835998535156#98.62353515625#98.46417236328125	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1#2#1#2#0#0#0#0#0#0#0	0#14#15#18#30#45#52#58#58#362#475	0#4#1#1#11#1#1#1#1#2#1	0#7#2#2#22#2#2#2#2#4#2	0#107#114#127#221#24#40#47#10#29#31	0#107#114#127#221#24#40#47#10#29#31	0#2#1#1#1#1#1#1#1#2#1	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	17702.191#16807.0#15199.58#14223.983#11296.164#11099.345#10929.406#10984.46#10984.46#9874.501#9834.692	983.4551#933.7222#844.42114#790.2213#627.5647#616.63025#607.1892#610.2478#610.2478#548.5834#546.3718	449.7835#463.64136#434.2737#461.81763#430.33008#443.9738#471.46457#457.68582#457.68582#440.82593#454.5446	0.14992784#0.15454713#0.1447579#0.1539392#0.14344336#0.14799125#0.15715486#0.15256195#0.15256195#0.14694197#0.15151486	39.35714#36.25#35.0#30.800001#26.25#25.0#23.181818#24.0#24.0#22.4#21.636364	handlerFor.json
1849	3#4#4	0.8497164845466614#0.8163837194442749#0.8163837194442749	0.7524470429207339#0.7635403913682514#0.7635403913682514	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.73#1.73	0#0#0	0#0#0	18.0#19.0#19.0	130.85629272460938#125.79222106933594#125.79222106933594	0#0#0	0#0#0	0#0#0	0#34#72	0#1#0	0#1#0	0#10#0	0#10#0	0#12#0	0#0#0	0#0#0	0#0#0	457.10617#532.0#532.0	25.394787#29.555555#29.555555	70.32403#76.0#76.0	0.023441343#0.025333334#0.025333334	6.5#7.0#7.0	getInputStream.json
