Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
7143	7#7#7#7#7#7#7#7#8#8	0.5117396712303162#0.5117396712303162#0.5117396712303162#0.5117396712303162#0.5117396712303162#0.7317583560943604#0.7317583560943604#0.7317583560943604#0.7006456255912781#0.7006456255912781	0.7664068627058637#0.7664068627058637#0.7664068627058637#0.7664068627058637#0.7664068627058637#0.8787495651940948#0.8787495651940948#0.8787495651940948#0.8799854768675246#0.8799854768675246	1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2#2#2	2#2#2#2#2#2#2#2#2#2	2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.65#2.65	1#1#1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2#2#2	31.0#31.0#31.0#31.0#31.0#27.0#27.0#27.0#28.0#28.0	113.83831787109375#113.83831787109375#113.83831787109375#113.83831787109375#113.83831787109375#114.66917419433594#114.66917419433594#114.66917419433594#112.20437622070312#112.20437622070312	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#277#430#430#459#602#826#1815#2140#5584	0#0#0#0#0#2#0#0#1#0	0#0#0#0#0#4#0#0#1#0	0#0#0#0#0#10#0#0#10#0	0#0#0#0#0#10#0#0#10#0	0#0#0#0#2#1#0#0#10#6	0#0#0#0#0#0#0#0#0#0	0#0#0#1#0#0#0#0#0#1	0#0#0#1#0#0#0#0#0#1	1182.6393#1182.6393#1182.6393#1182.6393#1182.6393#936.00006#936.00006#936.00006#1068.1903#1068.1903	65.70218#65.70218#65.70218#65.70218#65.70218#52.000004#52.000004#52.000004#59.343906#59.343906	126.71135#126.71135#126.71135#126.71135#126.71135#108.0#108.0#108.0#114.44896#114.44896	0.042237118#0.042237118#0.042237118#0.042237118#0.042237118#0.036#0.036#0.036#0.038149655#0.038149655	9.333334#9.333334#9.333334#9.333334#9.333334#8.666667#8.666667#8.666667#9.333334#9.333334	getLocale.json
5629	14#14#15#18#13	0.12291879206895828#0.12291879206895828#0.1178818792104721#0.062426112592220306#0.03253389522433281	0.009898025477514493#0.009898025477514493#0.010317331516758354#1.875679323050664E-4#7.732761007896087E-4	3#3#3#4#3	3#3#3#4#3	6#6#6#8#6	4#4#4#5#4	2.56#2.56#2.72#2.48#3.56	1#1#1#1#2	5#5#5#8#8	74.0#74.0#75.0#101.0#82.0	96.48687744140625#96.48687744140625#95.25682830810547#90.33380889892578#96.99214935302734	0#0#0#0#0	1#1#1#1#1	1#1#1#2#1	0#301#626#1158#3569	0#0#1#7#6	0#0#1#11#17	0#0#10#150#170	0#0#10#150#170	0#0#10#1#1	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	8888.928#8888.928#9446.43#18422.094#12479.572	493.8293#493.8293#524.80164#1023.44965#693.3096	376.47226#376.47226#384.69623#537.5147#430.33008	0.12549075#0.12549075#0.12823208#0.17917158#0.14344336	23.61111#23.61111#24.555555#34.272724#29.0	getResource.json
5635	3#3#3#3#3#3	0.18187803030014038#0.18187803030014038#0.19699326157569885#0.19699326157569885#0.19699326157569885#0.19699326157569885	0.5924078273136353#0.5924078273136353#0.5755198425322661#0.5755198425322661#0.5755198425322661#0.5755198425322661	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	1#1#1#1#1#1	25.0#25.0#25.0#25.0#25.0#25.0	128.91311645507812#128.91311645507812#128.91311645507812#128.91311645507812#128.91311645507812#128.91311645507812	0#0#0#0#0#0	2#2#2#2#2#2	0#0#0#0#0#0	0#21#172#307#969#1125	0#0#2#0#0#0	0#0#4#0#0#0	0#0#8#0#0#0	0#0#8#0#0#0	0#0#2#0#1#1	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1192.1766#1192.1766#1192.1766#1192.1766#1192.1766#1192.1766	66.23203#66.23203#66.23203#66.23203#66.23203#66.23203	102.18657#102.18657#102.18657#102.18657#102.18657#102.18657	0.034062188#0.034062188#0.034062188#0.034062188#0.034062188#0.034062188	11.666666#11.666666#11.666666#11.666666#11.666666#11.666666	mapUrlFor.json
5022	4	0.44106221199035645	0.9237709855261919	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getContainerRequest.json
4945	13#13#13#14#15	0.05623583868145943#0.05623583868145943#0.05623583868145943#0.04695906490087509#0.015941103920340538	0.004945752752644372#0.004945752752644372#0.004945752752644372#0.0019328107912719124#1.3764399059962694E-4	5#4#4#4#3	5#5#5#5#3	10#9#9#9#6	4#4#4#4#4	3.29#3.29#3.29#3.44#2.53	2#2#2#2#1	6#6#6#6#8	79.0#79.0#79.0#84.0#101.0	97.53536224365234#97.53536224365234#97.53536224365234#95.87197875976562#93.79591369628906	0#0#0#0#0	1#1#1#1#1	1#1#1#1#1	0#0#21#1563#1624	0#1#0#1#9	0#2#0#1#17	0#30#0#31#196	0#30#0#31#196	0#1#1#1#1	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	13179.908#13179.908#13179.908#12579.458#16303.481	732.2171#732.2171#732.2171#698.85876#905.74896	387.64435#387.64435#387.64435#423.7291#509.4838	0.12921478#0.12921478#0.12921478#0.14124303#0.16982794	34.0#34.0#34.0#29.6875#32.0	find.json
5629	3#3#4	0.8304282426834106#0.8304282426834106#0.843191385269165	0.8954404002901512#0.8954404002901512#0.8928141909324047	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.73	0#0#0	0#0#0	13.0#13.0#14.0	132.9956512451172#132.9956512451172#127.78498840332031	0#0#0	0#0#0	0#0#0	0#301#626	0#0#1	0#0#1	0#0#10	0#0#10	0#0#10	0#0#0	0#0#0	0#0#0	209.72032#209.72032#259.0308	11.651129#11.651129#14.390599	46.604515#46.604515#51.806156	0.015534839#0.015534839#0.01726872	4.5#4.5#5.0	getContextPath.json
5680	8#8#8#8#12#12#12#12#12#12#12	0.011360506527125835#0.011360506527125835#0.011360506527125835#0.011360506527125835#0.002064186381176114#0.002272200072184205#0.002205234719440341#0.004774907138198614#0.0035910482984036207#0.0035910482984036207#0.0032983527053147554	0.0012507421288576743#0.0012507421288576743#0.0012507421288576743#0.0012507421288576743#6.469685862903414E-5#6.787333201646223E-5#5.670707718314701E-5#2.927973146727393E-4#1.5399416807748478E-4#1.5399416807748478E-4#1.5731653799661816E-4	2#2#2#2#3#3#3#3#3#3#3	1#1#1#1#2#2#2#2#2#2#2	3#3#3#3#5#5#5#5#5#5#5	2#2#2#2#3#3#3#3#3#3#3	2.4#2.4#2.4#2.4#2.31#2.31#2.31#2.31#2.31#2.31#2.31	1#1#1#1#1#1#1#1#1#1#1	6#6#6#6#9#9#10#9#10#10#10	69.0#69.0#69.0#69.0#92.0#92.0#93.0#85.0#88.0#88.0#88.0	106.29283142089844#106.29283142089844#106.29283142089844#106.29283142089844#97.81297302246094#97.81297302246094#97.75675964355469#98.29499053955078#98.07881927490234#98.07881927490234#98.07881927490234	0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#1#1#1#1	2#2#2#2#2#2#2#2#2#2#2	0#18#66#68#219#232#373#397#423#475#533	0#0#0#0#5#1#1#2#1#0#1	0#0#0#0#6#2#2#4#2#0#2	0#0#0#0#115#13#6#37#14#0#4	0#0#0#0#115#13#6#37#14#0#4	0#1#0#0#1#1#1#1#1#1#1	0#0#0#0#1#0#0#0#0#0#0	0#0#0#0#1#0#1#1#0#0#0	0#0#0#0#1#0#1#1#1#0#0	7419.8774#7419.8774#7419.8774#7419.8774#14114.714#14114.714#15445.823#12377.09#13347.3955#13347.3955#13347.3955	412.21542#412.21542#412.21542#412.21542#784.15076#784.15076#858.1013#687.6161#741.522#741.522#741.522	356.72485#356.72485#356.72485#356.72485#492.89478#492.89478#498.25235#449.2592#468.32965#468.32965#468.32965	0.118908286#0.118908286#0.118908286#0.118908286#0.16429825#0.16429825#0.16608411#0.14975306#0.15610988#0.15610988#0.15610988	20.800001#20.800001#20.800001#20.800001#28.636364#28.636364#31.0#27.55#28.5#28.5#28.5	renderContextRelativeUrl.json
5380	7#7#7#7#8#8	0.6398902535438538#0.6398902535438538#0.6398902535438538#0.6398902535438538#0.6047800183296204#0.6047800183296204	0.5355846095105475#0.5355846095105475#0.5355846095105475#0.5355846095105475#0.5606871861805086#0.5606871861805086	1#1#1#1#1#1	1#1#1#1#1#1	2#2#2#2#2#2	2#2#2#2#2#2	2.56#2.56#2.56#2.56#2.65#2.65	1#1#1#1#1#1	2#2#2#2#2#2	35.0#35.0#35.0#35.0#36.0#36.0	112.83319091796875#112.83319091796875#112.83319091796875#112.83319091796875#110.44464111328125#110.44464111328125	0#0#0#0#0#0	1#1#1#1#1#1	1#1#1#1#1#1	0#2#52#170#2810#3821	0#0#0#0#1#0	0#0#0#0#1#0	0#0#0#0#10#0	0#0#0#0#10#0	0#1#0#1#1#6	0#0#0#0#0#0	0#1#0#1#0#1	0#1#0#1#0#1	1967.7582#1967.7582#1967.7582#1967.7582#2183.3376#2183.3376	109.3199#109.3199#109.3199#109.3199#121.29654#121.29654	153.73111#153.73111#153.73111#153.73111#160.53954#160.53954	0.051243704#0.051243704#0.051243704#0.051243704#0.053513177#0.053513177	12.8#12.8#12.8#12.8#13.6#13.6	getHeader.json
5770	3#3#3#4	0.8769389390945435#0.8769389390945435#0.8769389390945435#0.8494381904602051	0.9487679573345775#0.9487679573345775#0.9487679573345775#0.944251220217238	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.73	0#0#0#0	0#0#0#0	12.0#12.0#12.0#13.0	133.59722900390625#133.59722900390625#133.59722900390625#128.335205078125	0#0#0#0	0#0#0#0	0#0#0#0	0#156#442#767	0#0#0#1	0#0#0#1	0#0#0#10	0#0#0#10	0#0#0#10	0#0#0#0	0#0#0#0	0#0#0#0	186.80931#186.80931#186.80931#233.02258	10.378295#10.378295#10.378295#12.945699	41.51318#41.51318#41.51318#46.604515	0.013837727#0.013837727#0.013837727#0.015534839	4.5#4.5#4.5#5.0	getRequest.json
5022	4#4	0.5460151433944702#0.07936377078294754	0.5473166378227757#0.10643478180232858	0#0	0#0	0#0	1#1	1.73#1.73	0#0	2#4	24.0#38.0	124.26470947265625#121.70132446289062	0#0	0#0	0#0	0#3	0#1	0#2	0#86	0#86	0#2	0#0	0#0	0#0	1087.4695#2128.0776	60.41497#118.22653	101.950264#166.90805	0.03398342#0.05563602	10.666667#12.75	shouldPreserveClientUrl.json
