Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1419	8#10#10#10#10#10#9#9#9#9#9	0.09838910400867462#1.3186055002734065E-4#1.3186055002734065E-4#4.3186586117371917E-4#4.3186586117371917E-4#0.0#0.0#0.0#0.0#0.0#0.0	0.024428552306332292#6.287624269117177E-6#6.287624269117177E-6#1.758182334616235E-5#1.758182334616235E-5#3.588085872980901E-6#3.5279599799776665E-5#3.5279599799776665E-5#3.596424668134476E-5#3.596424668134476E-5#2.2304156481225396E-5	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.94#1.96#1.96#1.96#1.96#1.96#1.99#1.99#1.99#1.99#1.99	0#0#0#0#0#0#0#0#0#0#0	10#13#13#13#13#17#10#10#10#10#11	54.0#105.0#105.0#99.0#99.0#107.0#93.0#93.0#93.0#93.0#95.0	108.17556762695312#100.89845275878906#100.89845275878906#101.20442199707031#101.20442199707031#100.7543716430664#103.33411407470703#103.33411407470703#103.33411407470703#103.33411407470703#103.173583984375	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#0#0#0#0#0#0#0#0#0#0	0#13#58#59#121#148#167#172#186#259#322	0#6#0#2#0#2#5#0#5#0#1	0#10#0#4#0#4#11#0#10#0#2	0#285#0#12#0#67#196#0#25#0#33	0#285#0#12#0#67#196#0#25#0#33	0#54#20#23#5#28#84#24#79#88#65	0#0#0#1#0#0#0#0#1#0#0	0#0#0#1#0#0#0#0#1#0#0	0#0#0#1#0#0#0#0#1#0#0	3569.461#11375.001#11375.001#9075.0#9075.0#10987.7705#8344.519#8344.519#8344.519#8344.519#9144.031	198.30339#631.9445#631.9445#504.16666#504.16666#610.4317#463.58435#463.58435#463.58435#463.58435#508.00174	259.59717#525.0#525.0#495.0#495.0#539.7502#456.34082#456.34082#456.34082#456.34082#470.64865	0.08653239#0.175#0.175#0.165#0.165#0.17991672#0.1521136#0.1521136#0.1521136#0.1521136#0.15688288	13.75#21.666668#21.666668#18.333334#18.333334#20.357141#18.285715#18.285715#18.285715#18.285715#19.428572	shouldWinHandWinningFirstAndTyingSecond.json
216	7	0.0	7.185208819766193E-7	0	0	0	1	1.98	0	12	102.0	106.40189361572266	0	0	2	0	0	0	0	0	0	0	0	0	9547.513	530.41736	553.479	0.184493	17.25	returnsBadWhenLostFirstRoundAndBestCardValueIsLessThanThreeWithOneCard.json
1150	8	0.012278317473828793	0.004152265116187745	0	0	0	1	2.0	0	5	62.0	107.30072784423828	0	0	3	0	0	0	0	0	0	0	0	0	4040.3376	224.4632	307.1602	0.10238673	13.153846	shouldOurosWorthLessThanEspadilha.json
377	8#8	0.0#0.0	6.621515403628941E-9#6.556486448507536E-9	0#0	0#0	0#0	1#1	2.0#2.0	0#0	14#14	125.0#125.0	103.0037841796875#103.0037841796875	0#0	0#0	2#2	0#1	0#1	0#2	0#17	0#17	0#25	0#0	0#0	0#0	17779.916#17779.916	987.77313#987.77313	701.83875#701.83875	0.23394625#0.23394625	25.333334#25.333334	shouldPlayTheLowestCardIfHaveMaoGiga.json
2	3	0.0	0.0332004003886268	0	0	0	1	1.89	0	4	41.0	125.8877944946289	0	0	0	0	0	0	0	0	0	0	0	0	1919.7854	106.65475	182.8367	0.060945567	10.5	getDefaultHand.json
216	7#7#7	4.5776955084875226E-4#4.7982801334001124E-4#4.570078745018691E-4	1.8615061115418918E-4#1.8658643867594643E-4#1.8973263712154017E-4	0#0#0	0#0#0	0#0#0	1#1#1	1.98#1.98#1.98	0#0#0	10#10#10	76.0#76.0#76.0	108.22461700439453#108.22461700439453#108.22461700439453	0#0#0	0#0#0	2#2#2	0#0#0	0#2#1	0#4#2	0#19#9	0#19#9	0#1#1	0#0#0	0#0#0	0#0#0	6724.4897#6724.4897#6724.4897	373.58276#373.58276#373.58276	389.8255#389.8255#389.8255	0.12994184#0.12994184#0.12994184	17.25#17.25#17.25	shouldCallTrucoWhenStatusIsGood.json
1181	3#3#3#3	0.7956981062889099#0.745360255241394#0.745360255241394#0.745360255241394	0.8344419711167993#0.820147045215267#0.820147045215267#0.820147045215267	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	15.0#15.0#15.0#15.0	131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453	0#0#0#0	0#0#0#0	0#0#0#0	0#17#18#41	0#1#0#0	0#2#0#0	0#5#0#0	0#5#0#0	0#10#0#11	0#0#0#0	0#0#0#0	0#0#0#0	314.10678#314.10678#314.10678#314.10678	17.450377#17.450377#17.450377#17.450377	57.110325#57.110325#57.110325#57.110325	0.019036775#0.019036775#0.019036775#0.019036775	5.5#5.5#5.5#5.5	getOpenCards.json
2	6	0.21578291058540344	0.6451369919870086	0	0	0	1	1.89	0	3	29.0	116.80848693847656	0	0	0	0	0	0	0	0	0	0	0	0	665.1031	36.950172	120.92783	0.040309276	5.5	limparMemoriaRodada.json
1160	5#6#6	0.6165988445281982#0.7040604948997498#0.8006659150123596	0.41900739873301424#0.13137049219405417#0.20824816355391693	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.89#1.89	0#0#0	2#3#3	28.0#39.0#36.0	119.84819793701172#114.7745132446289#115.2608413696289	0#0#0	0#0#0	0#1#1	0#63#63	0#2#1	0#3#2	0#86#58	0#86#58	0#16#31	0#0#0	0#0#0	0#0#0	832.5938#1519.915#1384.21	46.25521#84.43973#76.90055	118.94197#178.81354#162.84824	0.039647322#0.059604514#0.054282747	7.0#8.5#8.5	shouldThrowIfQuitsRequestOrMaoDeOnzeInDoneState.json
1134	5#5#5#5#5	0.41535353660583496#0.44754353165626526#0.44754353165626526#0.4321591258049011#0.4321591258049011	0.13379654195224328#0.126406906047654#0.13262821572297467#0.13486501495981887#0.13486501495981887	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.96#1.96#1.96	0#0#0#0#0	3#3#3#3#3	36.0#36.0#36.0#36.0#36.0	117.95510864257812#117.95510864257812#117.95510864257812#117.95510864257812#117.95510864257812	0#0#0#0#0	1#1#1#1#1	1#1#1#1#1	0#23#24#54#177	0#2#1#2#0	0#4#2#4#0	0#25#2#10#0	0#25#2#10#0	0#30#49#4#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	2200.8335#2032.7144#2200.8335#2200.8335#2200.8335	122.268524#112.92857#122.268524#122.268524#122.268524	171.17595#171.17595#171.17595#171.17595#171.17595	0.05705865#0.05705865#0.05705865#0.05705865#0.05705865	12.857142#11.875#12.857142#12.857142#12.857142	findByEmail.json
219	11#11	0.0#0.0	2.3598365910372895E-6#2.29265932931809E-6	0#0	0#0	0#0	1#1	1.92#1.92	0#0	8#8	109.0#109.0	98.90835571289062#98.90835571289062	0#0	0#0	6#6	0#0	0#1	0#2	0#6	0#6	0#6	0#0	0#0	0#0	10582.446#10582.446	587.9137#587.9137	572.0241#572.0241	0.1906747#0.1906747	18.5#18.5	testGetBestCardWithThreeCards.json
427	13#16#10#9#9#10#10#7	0.0023415153846144676#3.3240337506867945E-4#4.936946788802743E-4#8.881061803549528E-4#9.040696895681322E-4#0.0011179933790117502#0.0018448623595759273#0.08075806498527527	8.677334997554496E-10#7.71645303163451E-14#8.470642482473331E-7#1.0517526869533388E-5#1.0569306533231913E-5#8.15739428024836E-6#1.3688108674945792E-5#0.0562499276721448	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.44#1.32#1.6#1.66#1.66#1.6#1.6#1.81	0#0#0#0#0#0#0#0	16#21#12#12#12#13#13#7	147.0#200.0#112.0#97.0#97.0#100.0#98.0#48.0	94.21674346923828#89.1786880493164#100.20368957519531#102.72872924804688#102.72872924804688#100.82769012451172#100.96855926513672#111.00830841064453	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	8#11#6#5#5#5#5#2	0#3#4#6#7#9#15#15	0#5#4#3#1#1#2#2	0#7#14#7#2#1#4#7	0#269#576#62#2#27#8#319	0#269#576#62#2#27#8#319	0#1#2#9#5#5#4#3	0#0#0#0#0#0#0#0	0#0#1#1#0#1#1#1	0#0#1#1#0#1#1#1	32779.203#51484.53#24547.33#18584.795#18584.795#19957.23#20718.777#4792.927	1821.0669#2860.2517#1363.7406#1032.4886#1032.4886#1108.735#1151.0432#266.2737	837.96466#1156.272#600.04584#512.684#512.684#532.1928#517.9694#228.2346	0.27932155#0.385424#0.20001528#0.17089467#0.17089467#0.17739761#0.17265648#0.0760782	39.117645#44.526318#40.909092#36.25#36.25#37.5#40.0#21.0	againstAll.json
2	3	0.9307443499565125	0.7688190881253757	1	1	2	2	1.89	0	0	18.0	130.6262969970703	0	0	0	0	0	0	0	0	0	0	0	0	580.1732	32.231846	70.32403	0.023441343	8.25	getEstrategia.json
1150	7	0.05196858197450638	0.00819696395043558	0	0	0	1	1.98	0	7	58.0	109.91271209716797	0	0	2	0	0	0	0	0	0	0	0	0	4069.9087	226.10603	281.7629	0.09392097	14.444445	shouldCorrectlyCreateCardToPlayFromCard.json
584	10#10	0.0#0.0	1.1759031077432676E-8#1.1862660662447217E-8	0#0	0#0	0#0	1#1	1.96#1.96	0#0	14#14	127.0#127.0	99.30632019042969#99.30632019042969	0#0	0#0	5#5	0#383	0#1	0#2	0#16	0#16	0#37	0#0	0#0	0#0	15752.323#15752.323	875.1291#875.1291	713.0682#713.0682	0.23768939#0.23768939	22.090908#22.090908	ShouldNotRisIfLostFirstRound.json
1155	6#6#5#5#5#5#5#5	0.25110623240470886#0.25110623240470886#0.11766578257083893#0.10950453579425812#0.09933698922395706#0.10452169179916382#0.10444548726081848#0.2996458113193512	0.1142530995528829#0.1142530995528829#0.22434725012574552#0.2182469102027961#0.11174072747040222#0.11278228837316473#0.11706430192972066#0.12779581763960338	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.89#1.89#1.6#1.6#1.6#1.6#1.6#1.6	0#0#0#0#0#0#0#0	2#2#2#2#1#1#1#2	40.0#40.0#33.0#33.0#38.0#38.0#38.0#37.0	114.64286041259766#114.64286041259766#118.82000732421875#118.82000732421875#118.0864028930664#118.0864028930664#118.0864028930664#118.2250747680664	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#0#0#0#0#0#0	0#16#22#24#30#45#45#63	0#0#3#1#1#1#1#1	0#0#7#2#2#2#2#2	0#0#112#8#16#5#7#18	0#0#112#8#16#5#7#18	0#1#29#51#40#12#49#3	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	2226.982#2226.982#1087.0985#1087.0985#2403.4758#2403.4758#2403.4758#2762.7676	123.72122#123.72122#60.394363#60.394363#133.52643#133.52643#133.52643#153.48709	183.3985#183.3985#144.94647#144.94647#166.90805#166.90805#166.90805#162.51575	0.061132833#0.061132833#0.04831549#0.04831549#0.05563602#0.05563602#0.05563602#0.054171916	12.142858#12.142858#7.5#7.5#14.4#14.4#14.4#17.0	shouldThrowIfUuidIsNull.json
1239	6#6#6#6	0.0#0.0#0.0#0.0	1.2956702684566206E-4#8.330162054853758E-5#4.696617213730188E-5#4.696617213730188E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	13#13#13#13	80.0#82.0#84.0#84.0	110.63573455810547#110.45948028564453#110.2882080078125#110.2882080078125	0#0#0#0	0#0#0#0	1#1#1#1	0#2#21#79	0#1#1#0	0#2#2#0	0#6#15#0	0#6#15#0	0#48#13#88	0#0#0#0	0#0#0#0	0#0#0#0	7976.2563#7858.333#7796.615#7796.615	443.12537#436.57407#433.1453#433.1453	396.33572#410.0#423.7291#423.7291	0.1321119#0.13666667#0.14124303#0.14124303	20.125#19.166666#18.4#18.4	shouldGetDefaultValuesOfPlayerAndOpponentIfCurrentPlayerIsNull.json
1239	5#5#5	0.12613871693611145#0.12271957099437714#0.3127032518386841	0.3530861816271167#0.3645508305740645#0.3891875192316048	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.6#1.6	0#0#0	2#2#3	30.0#30.0#29.0	119.48943328857422#119.48943328857422#119.66572570800781	0#0#0	0#0#0	0#0#0	0#106#147	0#1#1	0#2#2	0#20#18	0#20#18	0#29#7	0#0#0	0#0#0	0#0#0	1070.4778#1070.4778#1154.9054	59.47099#59.47099#64.16141	127.43783#127.43783#123.1899	0.042479277#0.042479277#0.0410633	8.400001#8.400001#9.375	shouldThrowIfRequestsIntelHistoryWithNullUuid.json
2	3	0.4142143428325653	0.8980622975075779	0	0	0	1	1.89	0	0	13.0	132.9956512451172	0	0	0	0	0	0	0	0	0	0	0	0	209.72032	11.651129	46.604515	0.015534839	4.5	marcarBlefeAceito.json
948	9	0.07273220270872116	0.002910913288589448	2	2	4	3	2.67	0	6	68.0	104.27169799804688	0	1	2	0	0	0	0	0	0	0	0	0	8060.9526	447.8307	348.79123	0.11626374	23.11111	handResultFromDto.json
1	10	2.1475006360560656E-4	1.5689635806484744E-5	0	0	0	1	1.96	0	10	94.0	101.18525695800781	0	0	1	0	0	0	0	0	0	0	0	0	6813.6387	378.5355	496.82782	0.16560927	13.714286	respondeRecusaAposPerderPrimeiraComManilha.json
