Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4561	26#29#28#58#58#18	0.0#0.0#0.0010348937939852476#0.0#0.0#0.019611718133091927	1.3578093190209947E-9#3.3349959883619426E-11#2.5980514484374173E-8#1.5512637334912118E-16#1.8105423213935787E-16#0.004958739537205921	4#6#6#12#12#3	5#7#7#16#17#2	9#13#13#28#29#5	6#7#7#14#14#4	3.63#3.63#3.62#4.15#4.15#3.58	2#3#3#5#5#2	7#9#9#17#17#6	178.0#200.0#165.0#305.0#305.0#88.0	80.9215316772461#78.21272277832031#79.83216094970703#62.77608871459961#62.79283142089844#91.391357421875	0#0#0#0#0#0	1#1#1#1#1#0	3#3#2#3#3#1	0#0#0#13#64#606	0#4#15#39#1#10	0#5#31#48#2#60	0#152#310#954#23#1386	0#152#310#954#23#1386	0#12#21#21#13#10	0#0#0#0#0#0	0#0#1#0#0#0	0#0#1#0#0#0	51636.613#72394.555#43989.66#138305.9#141498.92#10167.365	2868.7007#4021.9197#2443.87#7683.6616#7861.0513#564.85364	999.41833#1145.5841#935.9502#1887.8965#1881.8271#458.43192	0.33313945#0.38186136#0.3119834#0.6292988#0.6272757#0.15281063	51.666664#63.194447#47.0#73.25926#75.19231#22.178572	parseForMerge.json
3986	4	0.11588343977928162	0.7719363884896122	0	0	0	1	1.73	0	1	18.0	126.0733642578125	0	0	0	0	0	0	0	0	0	0	0	0	468.0	26.0	72.0	0.024	6.5	before.json
4622	9#9#8#8#8#8#8	0.019680654630064964#0.019014861434698105#0.017413241788744926#0.011472760699689388#0.011472760699689388#0.0300231222063303#0.03292935714125633	0.01266043793581681#0.012647031632720681#0.011176778430308296#0.005238587768089441#0.005415636650856697#0.005526625198501203#0.005552772214213748	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.99#1.99#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0	6#6#6#7#7#7#7	60.0#60.0#59.0#63.0#63.0#63.0#63.0	105.77667236328125#105.77667236328125#107.83203887939453#107.43104553222656#107.43104553222656#107.43104553222656#107.43104553222656	0#0#0#0#0#0#0	0#0#0#0#0#0#0	4#4#4#4#4#4#4	0#0#1#22#40#55#68	0#1#0#1#3#3#1	0#2#1#2#6#6#2	0#9#8#19#3#15#7	0#9#8#19#3#15#7	0#1#5#29#56#2#15	0#0#0#0#0#0#0	0#1#0#0#0#0#0	0#1#0#0#0#0#0	5420.572#5420.572#4976.4604#5991.158#5991.158#5991.158#5991.158	301.14288#301.14288#276.47003#332.84213#332.84213#332.84213#332.84213	285.29324#285.29324#277.32596#299.55792#299.55792#299.55792#299.55792	0.09509775#0.09509775#0.09244198#0.099852644#0.099852644#0.099852644#0.099852644	19.0#19.0#17.944445#20.0#20.0#20.0#20.0	shouldMergeData.json
4423	4#4	0.77958744764328#0.7845293879508972	0.18387679825384493#0.1881891978794434	0#0	0#0	0#0	1#1	1.73#1.73	0#0	4#4	30.0#30.0	122.7774429321289#122.7774429321289	0#0	0#0	0#0	0#149	0#1	0#2	0#7	0#7	0#35	0#0	0#0	0#0	1221.3618#1221.3618	67.85343#67.85343	135.70686#135.70686	0.045235623#0.045235623	9.0#9.0	shouldDisallowDocumentRootThatIsNonExistent.json
4561	6#6	0.1490699201822281#0.11334788054227829	0.02847187169523029#0.05285937091934432	0#0	0#0	0#0	1#1	2.0#2.0	0#0	7#7	46.0#43.0	113.72686004638672#114.26679229736328	0#0	0#0	1#0	0#0	0#1	0#2	0#48	0#48	0#21	0#0	0#1	0#1	3444.916#2996.7314	191.38422#166.48508	218.72482#197.15338	0.072908275#0.065717794	15.75#15.2	shouldBeInvalidIfXmlSummaryWithTooFewArgs.json
4618	4#4#5#4	0.2801940143108368#0.2801940143108368#0.07621529698371887#0.79969322681427	0.13543592767772097#0.13543592767772097#0.09573326422032624#0.5463088854609993	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.96#1.73	0#0#0#0	4#4#7#1	33.0#33.0#39.0#22.0	122.28182983398438#122.28182983398438#117.79822540283203#124.91740417480469	0#0#0#0	0#0#0#0	0#0#0#0	0#7#49#357	0#1#3#2	0#2#5#5	0#1#62#91	0#1#62#91	0#17#18#22	0#0#0#0	0#0#0#0	0#0#0#0	1880.897#1880.897#2094.9746#1049.1155	104.49428#104.49428#116.38748#58.284195	149.27754#149.27754#176.41891#89.92419	0.04975918#0.04975918#0.058806304#0.029974729	12.599999#12.599999#11.875#11.666666	shouldDetectInvalidOptions3.json
2871	7	0.14579306542873383	0.07015936674278091	0	0	0	1	1.98	0	2	46.0	111.48896026611328	0	0	3	0	0	0	0	0	0	0	0	0	4280.582	237.81012	208.08385	0.069361284	20.571428	shouldInstrumentGetProp.json
4561	6#6	0.01618904247879982#0.010902456939220428	0.0072640123264974725#0.014641046846738231	0#0	0#0	0#0	1#1	2.0#2.0	0#0	7#7	55.0#52.0	112.79766082763672#113.278564453125	0#0	0#0	1#0	0#0	0#1	0#2	0#48	0#48	0#21	0#0	0#1	0#1	6864.869#6341.92	381.38162#352.3289	261.51883#238.41805	0.08717294#0.07947268	26.25#26.6	shouldBeInvalidIfLCovWithTooManyArgs.json
4622	4#4#4	0.5738402605056763#0.5738402605056763#0.5738402605056763	0.5316681937334932#0.5316681937334932#0.5423204600131756	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	2#2#2	22.0#22.0#22.0	124.91740417480469#124.91740417480469#124.91740417480469	0#0#0	0#0#0	0#0#0	0#7#40	0#1#1	0#2#2	0#24#1	0#24#1	0#14#56	0#0#0	0#0#0	0#0#0	876.7608#876.7608#876.7608	48.708935#48.708935#48.708935	89.92419#89.92419#89.92419	0.029974729#0.029974729#0.029974729	9.75#9.75#9.75	shouldLoadFileFromClasspathAbsolutePath.json
4461	20#22#23#23#23#4	2.738285984378308E-4#0.0#0.0#0.0#0.0#2.0794206648133695E-4	2.011701726945481E-12#6.781410438036458E-15#7.565090244867112E-16#4.341749738893084E-16#4.3189894949553106E-16#0.8436982362687928	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	2.68#2.55#2.5#2.5#2.5#1.73	0#0#0#0#0#0	24#29#32#32#32#1	187.0#215.0#227.0#229.0#229.0#14.0	85.76007080078125#83.3753890991211#82.35488891601562#82.29163360595703#82.29163360595703#127.94984436035156	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#0	0#135#151#184#343#471	0#3#1#1#1#2	0#4#1#2#2#24	0#115#42#19#5#1100	0#115#42#19#5#1100	0#47#27#43#20#12	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	50031.94#61610.76#65988.97#65485.47#65485.47#250.94739	2779.5522#3422.82#3666.0537#3638.0815#3638.0815#13.941522	1113.4347#1308.8046#1386.635#1403.6058#1403.6058#50.189476	0.3711449#0.43626818#0.46221167#0.46786863#0.46786863#0.016729826	44.93478#47.074074#47.589287#46.65517#46.65517#5.0	shouldStoreJSCoverageJSONInSpecifiedSubDirectoryAndNotCopySourceForReportForProxy.json
