Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3835	7#7	0.0377928726375103#0.0377928726375103	0.06459831683419472#0.06459831683419472	0#0	0#0	0#0	1#1	1.98#1.98	0#0	4#4	49.0#49.0	110.96097564697266#110.96097564697266	0#0	0#0	2#2	0#161	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	3368.453#3368.453	187.13628#187.13628	230.32156#230.32156	0.07677385#0.07677385	14.625#14.625	testSetRelationalInputConfigurationValue.json
3694	3	0.7490370869636536	0.7577044677863887	0	0	0	1	1.89	0	1	18.0	130.85629272460938	0	1	0	0	0	0	0	0	0	0	0	0	562.5922	31.255123	70.32403	0.023441343	8.0	hasType.json
3573	7#7#7	0.002179789124056697#0.0017560699488967657#0.0017731485422700644	0.6101456309528982#0.4602333393793053#0.4568825680183802	0#0#0	0#0#0	0#0#0	2#2#2	2.56#2.56#2.56	1#1#1	2#3#3	33.0#36.0#36.0	113.13916015625#112.60784912109375#112.60784912109375	0#0#0	0#0#0	2#2#2	0#5#13	0#1#1	0#2#2	0#9#4	0#9#4	0#21#12	0#0#0	0#0#0	0#0#0	1623.4005#1910.4204#1910.4204	90.18892#106.13447#106.13447	144.94647#160.53954#160.53954	0.04831549#0.053513177#0.053513177	11.2#11.9#11.9	getInformationContent.json
3753	9#9#9	0.08871298283338547#0.08481200039386749#0.038436159491539	0.0018806515221750852#0.0019050560843509971#7.700113915835085E-4	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	8#8#8	68.0#68.0#72.0	104.73169708251953#104.73169708251953#104.35382843017578	0#0#0	0#0#0	2#2#2	0#2#1721	0#1#1	0#2#2	0#9#32	0#9#32	0#27#17	0#0#0	0#0#1	0#0#1	8060.9526#8060.9526#7978.989	447.8307#447.8307#443.27716	348.79123#348.79123#375.08066	0.11626374#0.11626374#0.12502688	23.11111#23.11111#21.272728	testListInclusionDependencyAlgorithms.json
4136	3#3#3#3#4	0.3895975649356842#0.7460148334503174#0.7460148334503174#0.7460148334503174#0.5686711668968201	0.8558228694035558#0.8108686796948297#0.8108686796948297#0.8108686796948297#0.7810142262752603	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#2.0	0#0#0#0#0	0#0#0#0#0	17.0#17.0#17.0#17.0#20.0	131.28770446777344#131.1535186767578#131.1535186767578#131.1535186767578#125.5254898071289	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#153#298#300#344	0#2#0#0#2	0#4#0#0#3	0#20#0#0#44	0#20#0#0#44	0#14#19#7#14	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	776.70044#531.3371#531.3371#531.3371#693.3334	43.150024#29.518728#29.518728#29.518728#38.51852	64.72504#66.41714#66.41714#66.41714#80.0	0.021575011#0.022139046#0.022139046#0.022139046#0.026666667	12.0#8.0#8.0#8.0#8.666667	setStrictQuotes.json
30	9#9	0.11311322450637817#0.06685679405927658	0.0471926879308465#0.04600102686776413	0#0	0#0	0#0	2#2	2.95#2.95	1#1	1#1	55.0#55.0	105.99913024902344#105.99913024902344	0#0	1#1	3#3	0#29	0#4	0#8	0#42	0#42	0#9	0#0	0#0	0#0	5034.2373#5034.2373	279.67984#279.67984	261.51883#261.51883	0.08717294#0.08717294	19.25#19.25	convertResults.json
448	9	1.4225700579117984E-4	2.5797301025552698E-5	1	1	2	2	2.67	1	11	89.0	102.84217834472656	0	1	1	0	0	0	0	0	0	0	0	0	16125.185	895.84357	479.91623	0.15997207	33.6	warnIfNotFullyConfigured.json
4143	11#11#11#11#15#15#15	0.18842801451683044#0.18842801451683044#0.18842801451683044#0.18842801451683044#0.07432255893945694#0.07432255893945694#0.07432255893945694	0.3383754560741969#0.3383754560741969#0.3383754560741969#0.3383754560741969#0.014371442937910428#0.014371442937910428#0.014371442937910428	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	2.67#2.67#2.67#2.67#2.53#2.53#2.53	1#1#1#1#1#1#1	2#2#2#2#4#4#4	47.0#47.0#47.0#47.0#75.0#75.0#75.0	103.62551879882812#103.62551879882812#103.62551879882812#103.62551879882812#95.89743041992188#95.89743041992188#95.89743041992188	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#4#4#4	0#174#239#305#337#536#755	0#0#0#0#6#0#0	0#0#0#0#8#0#0	0#0#0#0#223#0#0	0#0#0#0#223#0#0	0#14#161#19#12#37#52	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	4050.2124#4050.2124#4050.2124#4050.2124#10682.486#10682.486#10682.486	225.0118#225.0118#225.0118#225.0118#593.47144#593.47144#593.47144	220.92067#220.92067#220.92067#220.92067#371.56473#371.56473#371.56473	0.07364022#0.07364022#0.07364022#0.07364022#0.12385491#0.12385491#0.12385491	18.333334#18.333334#18.333334#18.333334#28.75#28.75#28.75	testInputGenerationExceptionStringThrowable.json
2689	3	0.6559737324714661	0.9210299210078945	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getSimilarityMeasure.json
3959	7#7#7	0.009203636087477207#0.009203636087477207#0.009203636087477207	0.11710878663843945#0.11710878663843945#0.11710878663843945	0#0#0	0#0#0	0#0#0	1#1#1	1.98#1.98#1.98	0#0#0	5#5#5	45.0#45.0#45.0	111.67749786376953#111.67749786376953#111.67749786376953	0#0#0	0#0#0	1#1#1	0#55#121	0#0#0	0#0#0	0#0#0	0#0#0	0#161#12	0#0#0	0#0#0	0#0#0	3411.465#3411.465#3411.465	189.52583#189.52583#189.52583	200.67442#200.67442#200.67442	0.06689148#0.06689148#0.06689148	17.0#17.0#17.0	testGetSetSecond.json
