Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1896	10	0.2506992220878601	0.13907545589672896	2	2	4	3	3.6	2	4	55.0	104.1851577758789	0	1	2	0	0	0	0	0	0	0	0	0	5257.232	292.06845	255.41208	0.08513736	20.583334	removePet.json
4820	3#3#3	0.9293338060379028#0.8480493426322937#0.8480493426322937	0.949733743663737#0.9276777466328953#0.9276777466328953	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#204#1443	0#2#0	0#4#0	0#16#0	0#16#0	0#307#2	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getArenaWarp.json
4760	7#7#7	0.02697361260652542#0.28245922923088074#0.28245922923088074	0.15846415717190934#0.02129536234378517#0.02129536234378517	2#2#2	2#2#2	4#4#4	3#3#3	3.02#2.56#2.56	0#0#0	0#2#2	46.0#55.0#55.0	110.95885467529297#109.67679595947266#109.67679595947266	0#0#0	2#2#2	0#2#2	0#144#1383	0#5#0	0#10#0	0#81#0	0#81#0	0#307#2	0#0#0	0#0#0	0#0#0	4429.0737#5352.599#5352.599	246.05965#297.3666#297.3666	210.90826#269.87897#269.87897	0.070302755#0.08995966#0.08995966	21.0#19.833332#19.833332	compareKills.json
2520	5	0.44981294870376587	0.5311301101718289	0	0	0	1	1.96	0	2	25.0	120.53388214111328	0	0	0	0	0	0	0	0	0	0	0	0	625.4888	34.749374	104.24813	0.034749378	6.0	missingCloseParenThrows.json
3608	7#7#7	0.4039037823677063#0.4039037823677063#0.4039037823677063	0.3052757381897782#0.3052757381897782#0.3052757381897782	1#1#1	1#1#1	2#2#2	2#2#2	2.56#2.56#2.56	1#1#1	2#2#2	39.0#39.0#39.0	112.04727172851562#112.04727172851562#112.04727172851562	0#0#0	1#1#1	1#1#1	0#11#231	0#1#0	0#2#0	0#1#0	0#1#0	0#2#2	0#0#0	0#0#0	0#0#0	2388.438#2388.438#2388.438	132.691#132.691#132.691	178.81354#178.81354#178.81354	0.059604514#0.059604514#0.059604514	13.357142#13.357142#13.357142	getAmplification.json
1513	6	0.3535458445549011	0.36674605781660624	0	0	0	1	2.0	0	3	32.0	115.8733139038086	0	0	2	0	0	0	0	0	0	0	0	0	1640.5453	91.1414	144.75398	0.048251327	11.333334	returnsNullIfNotAll.json
4077	13#17#14#14	0.0#0.0#4.4793193228542805E-4#4.4793193228542805E-4	2.2578551201119937E-9#4.0356758807769057E-10#1.5548968570484438E-7#1.5548968570484438E-7	0#1#1#1	0#1#1#1	0#2#2#2	1#2#2#2	1.44#1.94#2.14#2.14	0#1#1#1	25#26#14#14	152.0#167.0#131.0#131.0	94.36540222167969#89.17139434814453#93.67437744140625#93.67437744140625	0#0#0#0	3#3#3#3	7#7#7#7	0#0#198#700	0#4#2#0	0#4#7#0	0#82#173#0	0#82#173#0	0#1#1#2	0#0#0#0	0#0#0#0	0#0#0#0	32195.824#41271.277#26701.676#26701.676	1788.6569#2292.8486#1483.4264#1483.4264	814.3479#917.13947#706.39355#706.39355	0.2714493#0.30571315#0.23546451#0.23546451	39.535713#45.0#37.8#37.8	setLocation.json
1735	14	0.0	4.3993140614717475E-12	0	0	0	1	1.64	0	27	181.0	92.04067993164062	0	0	5	0	0	0	0	0	0	0	0	0	76505.09	4250.283	1010.8782	0.3369594	75.681816	readyOverridesLobbyIfPlayersReady.json
1298	8	0.008218600414693356	0.002493847785763571	0	0	0	1	2.83	1	9	67.0	106.75939178466797	0	1	3	0	0	0	0	0	0	0	0	0	10339.421	574.4123	340.86002	0.113620006	30.333334	initialRender.json
1164	12	0.10741625726222992	4.930832266004972E-4	0	0	0	1	1.73	0	14	87.0	98.97056579589844	0	0	4	0	0	0	0	0	0	0	0	0	8598.751	477.70837	431.0151	0.1436717	19.949999	skipsNullPickInTwoPickersAndReturnsSingleton.json
4616	3#3#3	0.07144944369792938#0.07144944369792938#0.6484604477882385	0.6069781430173136#0.6069781430173136#0.8207950703085466	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	22.0#22.0#17.0	129.57785034179688#129.57785034179688#131.28770446777344	0#0#0	2#2#1	0#0#0	0#1239#2313	0#0#2	0#0#4	0#0#26	0#0#26	0#2#9	0#0#0	0#0#0	0#0#0	876.7608#876.7608#474.65027	48.708935#48.708935#26.36946	89.92419#89.92419#64.72504	0.029974729#0.029974729#0.021575011	9.75#9.75#7.3333335	addPermission.json
4120	3#3	0.8387606739997864#0.8387606739997864	0.8018372930274799#0.8018372930274799	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	18.0#18.0	130.85629272460938#130.85629272460938	0#0	1#1	0#0	0#743	0#0	0#0	0#0	0#0	0#2	0#0	0#0	0#0	562.5922#562.5922	31.255123#31.255123	70.32403#70.32403	0.023441343#0.023441343	8.0#8.0	removeMount.json
2256	9	0.07089714705944061	0.09485109128590738	1	1	2	2	2.67	1	4	52.0	106.23372650146484	0	2	1	0	0	0	0	0	0	0	0	0	4874.6577	270.81433	249.98245	0.08332749	19.5	safeTell.json
4823	3#4#4	0.76678866147995#0.7816217541694641#0.7816217541694641	0.9349214359851372#0.933077200586996#0.933077200586996	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.73#1.73	0#0#0	0#0#0	12.0#13.0#13.0	133.59722900390625#128.335205078125#128.335205078125	0#0#0	0#0#0	0#0#0	0#207#1446	0#1#0	0#1#0	0#10#0	0#10#0	0#307#2	0#0#0	0#0#0	0#0#0	186.80931#233.02258#233.02258	10.378295#12.945699#12.945699	41.51318#46.604515#46.604515	0.013837727#0.015534839#0.015534839	4.5#5.0#5.0	getFrequency.json
4074	8#8#8	0.1017860397696495#0.1017860397696495#0.08789578080177307	0.1278577902622893#0.1278577902622893#0.0828219962100022	1#1#1	1#1#1	2#2#2	2#2#2	3.12#3.12#3.12	1#1#1	5#5#5	48.0#48.0#50.0	108.73796844482422#108.73796844482422#108.46271514892578	0#0#0	1#1#1	1#1#1	0#697#1780	0#0#1	0#0#2	0#0#12	0#0#12	0#2#1	0#0#0	0#0#0	0#0#0	5266.133#5266.133#4935.462	292.56293#292.56293#274.19232	222.90509#222.90509#235.022	0.0743017#0.0743017#0.078340665	23.625#23.625#21.0	clearInv.json
4616	62#61#61#61#61#63#63#61	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	3.3160267480585595E-29#1.936721168521655E-28#1.9373893065597353E-28#1.9373893065597353E-28#8.850284672353577E-31#2.4359880195543053E-32#1.0285984168683329E-32#1.887177795907114E-32	8#8#8#8#8#8#8#7	15#15#15#15#15#15#15#14	23#23#23#23#23#23#23#21	13#13#13#13#13#13#13#14	3.32#3.33#3.33#3.33#3.33#3.31#3.31#3.46	2#2#2#2#2#2#2#2	37#36#36#36#44#46#46#30	429.0#421.0#421.0#421.0#445.0#461.0#465.0#456.0	59.89124298095703#60.27823257446289#60.27823257446289#60.27823257446289#59.97700881958008#59.22068786621094#59.17576217651367#59.53418731689453	0#0#0#0#0#0#0#0	4#4#4#4#4#4#4#4	10#9#9#9#9#10#10#10	0#6#539#1239#1842#2302#2355#2355	0#4#1#0#4#2#1#9	0#9#2#0#8#2#2#20	0#73#7#0#92#91#13#621	0#73#7#0#92#91#13#621	0#29#49#2#31#6#20#10	0#0#1#0#0#0#0#0	0#0#1#0#0#0#1#1	0#0#1#0#0#0#1#1	342306.25#318080.62#318080.62#318080.62#360130.84#395177.2#404511.3#413169.56	19017.014#17671.146#17671.146#17671.146#20007.27#21954.29#22472.852#22953.865	2791.844#2726.2837#2726.2837#2726.2837#2888.8748#3021.6655#3047.8838#3009.56	0.93061465#0.9087612#0.9087612#0.9087612#0.9629583#1.0072218#1.0159613#1.0031867	122.609375#116.671875#116.671875#116.671875#124.661285#130.78125#132.71875#137.2857	parseWave.json
4760	7#7#7	0.02348160743713379#0.3314521610736847#0.3314521610736847	0.1596359343223985#0.01953213118836222#0.01953213118836222	2#2#2	2#2#2	4#4#4	3#3#3	3.02#2.56#2.56	0#0#0	0#2#2	46.0#55.0#55.0	110.95885467529297#109.67679595947266#109.67679595947266	0#0#0	2#2#2	0#2#2	0#144#1383	0#5#0	0#10#0	0#95#0	0#95#0	0#307#2	0#0#0	0#0#0	0#0#0	4429.0737#5352.599#5352.599	246.05965#297.3666#297.3666	210.90826#269.87897#269.87897	0.070302755#0.08995966#0.08995966	21.0#19.833332#19.833332	compareWaves.json
4868	3#6#8#8#12#12	0.7467767596244812#0.3920643627643585#0.01215181965380907#0.011157510802149773#0.027028389275074005#0.027028389275074005	0.7943055906556703#0.02275152437898026#0.0031671971638694194#0.005745941116590876#0.004741465249755704#0.004741465249755704	0#1#8#7#7#7	0#1#7#6#6#6	0#2#15#13#13#13	1#2#5#5#5#5	1.89#2.75#3.87#3.87#4.71#4.71	0#0#0#0#3#3	1#3#3#3#7#7	18.0#51.0#70.0#68.0#77.0#77.0	130.99049377441406#112.79667663574219#105.74964904785156#106.00236511230469#98.59168243408203#98.59168243408203	0#0#0#0#0#0	1#2#3#3#3#3	0#1#1#1#1#1	0#17#31#63#252#1491	0#5#7#1#8#0	0#7#12#2#12#0	0#199#204#7#100#0	0#199#204#7#100#0	0#56#40#22#307#2	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	502.57086#5755.782#6190.2686#6239.807#8496.651#8496.651	27.920603#319.7657#343.9038#346.65594#472.0362#472.0362	68.53239#250.2514#346.79376#330.3427#388.41833#388.41833	0.022844128#0.08341713#0.11559792#0.11011424#0.12947278#0.12947278	7.3333335#23.0#17.85#18.88889#21.875#21.875	inRegion.json
1298	12	0.001696632825769484	1.1039931578445961E-5	0	0	0	1	1.73	0	14	97.0	97.89982604980469	0	0	4	0	0	0	0	0	0	0	0	0	15153.703	841.8724	529.5649	0.17652163	28.615385	migrateDeletesPendingFileOnCompletion.json
