Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
576	2#7#10	0.3161361813545227#0.035066571086645126#0.003224411513656378	0.9141507581714728#0.011641978463217722#5.9329213295265375E-5	0#3#3	0#2#2	0#5#5	1#3#3	0.0#3.02#2.99	0#2#2	0#10#15	9.0#58.0#91.0	142.4026641845703#109.75348663330078#101.09239959716797	0#0#0	0#0#0	0#0#1	0#66#100	0#6#5	0#7#7	0#279#241	0#279#241	0#23#13	0#0#1	0#1#1	0#1#1	94.5#2792.2422#9999.917	5.25#155.12457#555.55096	27.0#265.92783#462.95914	0.009#0.08864261#0.15431972	3.5#10.5#21.599998	saveTimeFrequency.json
539	3	0.029640616849064827	0.676799034630937	0	0	0	1	1.89	0	0	21.0	129.93223571777344	0	0	0	0	0	0	0	0	0	0	0	0	462.0	25.666666	84.0	0.028	5.5	enableWhitelist.json
8	3	0.2132169008255005	0.9258895396619582	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getNotificationManager.json
525	3	0.8018373250961304	0.8406905683408	0	0	0	1	1.89	0	0	16.0	131.60296630859375	0	1	0	0	0	0	0	0	0	0	0	0	446.72964	24.818314	60.91768	0.020305892	7.3333335	setUpdateMessageView.json
533	5#5	0.8251168131828308#0.81212317943573	0.9580126255546009#0.967550762067847	0#0	0#0	0#0	1#1	1.6#1.6	0#0	0#0	13.0#13.0	124.72027587890625#124.72027587890625	0#0	0#0	0#0	0#23	0#1	0#2	0#6	0#6	0#23	0#0	0#1	0#1	233.02258#233.02258	12.945699#12.945699	46.604515#46.604515	0.015534839#0.015534839	5.0#5.0	service.json
561	4	0.7473551034927368	0.7282840084549536	0	0	0	1	1.73	0	2	20.0	125.5254898071289	0	1	0	0	0	0	0	0	0	0	0	0	840.0	46.666668	80.0	0.026666667	10.5	isValid.json
560	3	0.1528182327747345	0.5332176217942427	0	0	0	1	1.89	0	2	23.0	129.34671020507812	0	1	0	0	0	0	0	0	0	0	0	0	916.6136	50.922977	94.01165	0.031337216	9.75	launchUpdateWebServices.json
532	3	0.4544406533241272	0.860361506603053	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setStatusCode.json
515	6#10#10	0.16736182570457458#0.08168190717697144#0.10595303773880005	0.7788586211207468#0.7519389718188244#0.7511600660721521	0#2#2	0#2#2	0#4#4	1#3#3	2.0#2.8#2.8	0#1#1	3#3#3	25.0#37.0#37.0	117.91908264160156#106.91014099121094#106.91014099121094	0#0#0	0#0#0	0#0#0	0#7#507	0#6#2	0#8#4	0#114#10	0#114#10	0#26#27	0#0#0	0#1#1	0#1#1	586.03357#1764.4214#1764.4214	32.55742#98.02341#98.02341	97.672264#151.23613#151.23613	0.03255742#0.050412044#0.050412044	6.0#11.666666#11.666666	onStop.json
1295	5	0.9022476077079773	0.6860493412493563	0	0	0	1	1.96	0	1	24.0	120.96249389648438	0	0	0	0	0	0	0	0	0	0	0	0	720.0	40.0	96.0	0.032	7.5	flagEndAsync.json
570	6	0.3840896189212799	0.7194236296199406	2	1	3	2	2.75	1	1	28.0	116.66458892822266	0	1	0	0	0	0	0	0	0	0	0	0	1165.6313	64.75729	118.94197	0.039647322	9.8	isChecked.json
532	3	0.7380589246749878	0.6358738810137881	0	0	0	1	1.89	0	1	22.0	129.57785034179688	0	1	0	0	0	0	0	0	0	0	0	0	1011.6471	56.202618	89.92419	0.029974729	11.25	objToJson.json
532	18#18#18#18#16#8	2.2532002185471356E-4#2.2532002185471356E-4#4.274616076145321E-4#8.030555909499526E-4#0.002579331398010254#0.05211189016699791	5.80168912459945E-7#5.80168912459945E-7#1.4141595249899154E-6#5.2119301257741135E-6#1.2329940249675482E-5#0.04148778290801851	4#4#4#4#4#2	3#3#3#3#3#2	7#7#7#7#7#4	4#4#4#4#3#2	4.0#4.0#4.0#4.0#3.15#2.4	3#3#3#3#2#1	8#8#8#8#8#4	126.0#126.0#122.0#117.0#109.0#50.0	89.03147888183594#89.03147888183594#89.2242431640625#89.52064514160156#92.11213684082031#108.0954818725586	0#0#0#0#0#0	1#1#1#1#1#0	5#5#5#5#4#1	0#7#17#71#211#231	0#0#4#2#1#6	0#0#8#4#4#20	0#0#30#35#65#341	0#0#30#35#65#341	0#13#68#4#1#1	0#0#0#0#0#0	0#0#1#1#0#0	0#0#1#1#1#1	23155.121#23155.121#22193.154#22992.238#19868.252#3699.2222	1286.3956#1286.3956#1232.953#1277.3466#1103.7917#205.51234	721.718#721.718#695.4537#656.9211#602.06824#252.2197	0.24057268#0.24057268#0.23181789#0.2189737#0.2006894#0.08407323	32.083336#32.083336#31.911764#35.0#33.0#14.666666	syncPendingMessages.json
590	5	0.1089562475681305	0.9469279442290651	1	1	2	2	2.99	1	1	16.0	123.59590148925781	0	0	0	0	0	0	0	0	0	0	0	0	249.07907	13.837727	55.350906	0.018450303	4.5	restoreAllSessionsIfNecessary.json
567	5	0.06803718209266663	0.08334200975816317	0	0	0	1	1.96	0	2	40.0	117.46711730957031	0	4	0	0	0	0	0	0	0	0	0	0	2308.4382	128.24657	188.0176	0.06267253	12.277778	onReceivedError.json
588	3	0.7629877924919128	0.8636783359296066	0	0	0	1	1.89	0	1	14.0	132.61029052734375	0	0	0	0	0	0	0	0	0	0	0	0	250.94739	13.941522	50.189476	0.016729826	5.0	clearTags.json
375	3	0.5781003832817078	0.7954553804888994	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setPhoneNumber.json
599	5#5	0.3846552073955536#0.3846552073955536	0.22314342270813273#0.22314342270813273	0#0	0#0	0#0	1#1	1.96#1.96	0#0	2#2	33.0#33.0	118.74115753173828#118.74115753173828	0#0	1#1	1#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	2001.393#2001.393	111.1885#111.1885	147.16124#147.16124	0.049053747#0.049053747	13.6#13.6	getMyPhoneNumber.json
