Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
47	4#4#3#3	0.48073092103004456#0.5719441771507263#0.5546815991401672#0.5546815991401672	0.539175651768374#0.7346906159424622#0.7164298196894988#0.7164298196894988	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.89#1.89	0#0#0#0	2#3#3#3	23.0#20.0#19.0#19.0	124.48601531982422#125.5254898071289#130.57513427734375#130.57513427734375	0#0#0#0	0#0#0#0	0#0#0#0	0#1#2#2	0#1#0#0	0#2#1#0	0#26#10#0	0#26#10#0	0#26#8#66	0#0#0#0	0#0#0#0	0#0#0#0	732.7675#600.0#519.61646#519.61646	40.709305#33.333332#28.86758#28.86758	97.70234#80.0#74.23092#74.23092	0.032567445#0.026666667#0.024743639#0.024743639	7.5#7.5#7.0#7.0	getFrequencyEnd.json
21	3#3#3	0.913459837436676#0.913459837436676#0.913459837436676	0.9400910971959786#0.9400910971959786#0.9400910971959786	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#3#17	0#0#0	0#0#0	0#0#0	0#0#0	0#14#15	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getLocale.json
44	9	0.0	4.139592994345175E-4	0	0	0	1	1.89	0	11	75.0	104.14155578613281	0	0	1	0	0	0	0	0	0	0	0	0	10046.804	558.15576	390.709	0.13023634	25.714287	testTransformScanResults.json
28	4#3#3#3	0.5988659262657166#0.3521677255630493#0.3406011164188385#0.14165976643562317	0.7854366297130442#0.6045782218324353#0.6582705642642185#0.5355690535566734	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.89#1.89#1.89	0#0#0#0	2#4#2#2	18.0#23.0#21.0#23.0	126.19583892822266#129.4591827392578#129.93223571777344#129.34671020507812	0#0#0#0	0#0#0#0	0#0#0#0	0#1#2#6	0#1#1#1	0#3#2#2	0#34#12#25	0#34#12#25	0#17#17#40	0#0#0#0	0#0#0#0	0#0#0#0	457.10617#644.0#728.0#763.84467	25.394787#35.77778#40.444443#42.435814	70.32403#92.0#84.0#94.01165	0.023441343#0.030666666#0.028#0.031337216	6.5#7.0#8.666667#8.125	getWiFiChannelLast.json
101	6#6	4.52600623248145E-4#2.8106715762987733E-4	0.40920707353816216#0.31967640051817586	2#2	1#1	3#3	2#2	2.75#2.75	1#1	6#7	38.0#40.0	115.51179504394531#115.12258911132812	0#0	1#1	0#0	0#0	0#1	0#2	0#7	0#7	0#6	0#0	0#0	0#0	2857.8904#3360.0	158.77168#186.66667	148.46184#160.0	0.049487278#0.053333335	19.25#21.0	cleanVendorName.json
5	5	0.21410034596920013	0.6175312616561986	0	0	0	1	1.96	0	6	30.0	119.92462158203125	0	0	0	0	0	0	0	0	0	0	0	0	1523.6874	84.6493	117.20672	0.039068907	13.0	verifySettings.json
121	3#3#3#3#3#3#3	0.619854748249054#0.643765389919281#0.5979863405227661#0.5979863405227661#0.5979863405227661#0.5979863405227661#0.643765389919281	0.7358795079220715#0.7504938732349797#0.7847587718789732#0.7847587718789732#0.7847587718789732#0.7847587718789732#0.7504938732349797	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0	1#1#1#1#1#1#1	19.0#19.0#18.0#18.0#18.0#18.0#19.0	130.45266723632812#130.45266723632812#130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938#130.45266723632812	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#0#0#0	0#6#15#15#22#77#95	0#2#1#0#0#0#1	0#4#2#0#0#0#2	0#18#8#0#0#0#8	0#18#8#0#0#0#8	0#28#42#6#10#53#15	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	798.0#798.0#685.6593#685.6593#685.6593#685.6593#798.0	44.333332#44.333332#38.092182#38.092182#38.092182#38.092182#44.333332	76.0#76.0#70.32403#70.32403#70.32403#70.32403#76.0	0.025333334#0.025333334#0.023441343#0.023441343#0.023441343#0.023441343#0.025333334	10.5#10.5#9.75#9.75#9.75#9.75#10.5	validParentIndex.json
44	9	4.03381884098053E-4	0.0018070266507751514	0	0	0	1	1.89	0	11	69.0	104.74256134033203	0	0	1	0	0	0	0	0	0	0	0	0	7756.8374	430.93542	348.0632	0.11602107	22.285715	testTransformWifiConfiguration.json
121	3#3#4#4#4#3	0.6970280408859253#0.7040402293205261#0.7556456923484802#0.7556456923484802#0.7448413372039795#0.7391801476478577	0.7633022676664422#0.7734232278321986#0.8281692805108541#0.8281692805108541#0.8431666637201031#0.8321752019493881	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.73#1.73#1.73#1.89	0#0#0#0#0#0	1#1#0#0#0#0	18.0#18.0#16.0#16.0#16.0#15.0	130.85629272460938#130.85629272460938#126.80831146240234#126.80831146240234#126.80831146240234#131.9385528564453	0#0#0#0#0#0	1#1#0#0#0#0	0#0#0#0#0#0	0#6#15#18#22#76	0#1#3#0#1#1	0#2#5#0#2#3	0#4#40#0#8#11	0#4#40#0#8#11	0#28#42#1#17#66	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	562.5922#562.5922#375.0615#375.0615#375.0615#314.10678	31.255123#31.255123#20.83675#20.83675#20.83675#17.450377	70.32403#70.32403#62.51025#62.51025#62.51025#57.110325	0.023441343#0.023441343#0.02083675#0.02083675#0.02083675#0.019036775	8.0#8.0#6.0#6.0#6.0#5.5	getChildren.json
95	3#3	0.015329058282077312#0.015329058282077312	0.11078287352635237#0.11078287352635237	0#0	0#0	0#0	1#1	1.89#1.89	0#0	4#4	35.0#35.0	126.71056365966797#126.71056365966797	0#0	2#2	0#0	0#50	0#0	0#0	0#0	0#0	0#66	0#0	0#0	0#0	2107.0815#2107.0815	117.06009#117.06009	156.08011#156.08011	0.052026704#0.052026704	13.5#13.5	validateTextViewValue.json
35	13#13#11#11#7#7	0.0026875620242208242#0.0026759523898363113#0.0#0.0#0.0#0.0	1.5018634743079909E-5#1.5046285344664727E-5#4.2472927637905575E-7#2.489088561864129E-7#6.121762435084883E-5#6.185409071032344E-5	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.69#1.69#1.78#1.78#1.98#1.98	0#0#0#0#0#0	16#16#21#21#13#13	101.0#101.0#116.0#119.0#86.0#86.0	96.49095916748047#96.49095916748047#98.47718811035156#98.34441375732422#107.81231689453125#107.81231689453125	0#0#0#0#0#0	0#0#0#0#0#0	3#3#0#0#0#0	0#9#11#11#12#26	0#1#4#1#3#3	0#2#10#2#10#6	0#6#258#10#260#4	0#6#258#10#260#4	0#15#17#1#31#34	0#0#0#0#0#0	0#0#0#1#0#0	0#0#0#1#0#0	13985.683#13985.683#15081.151#16576.266#10831.143#10831.143	776.98236#776.98236#837.84174#920.9036#601.73016#601.73016	541.11273#541.11273#621.476#637.5487#421.99258#421.99258	0.18037091#0.18037091#0.20715867#0.21251623#0.14066419#0.14066419	25.846153#25.846153#24.266666#26.0#25.666666#25.666666	testToggleWiFiBand.json
