Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
120	8	0.3575931787490845	0.5161081245871934	1	1	2	2	3.12	1	2	36.0	110.52349090576172	0	1	0	0	0	0	0	0	0	0	0	0	2352.086	130.67145	158.12343	0.05270781	14.875	getAvatarImageOf.json
2708	5#5	0.012213753536343575#0.027820996940135956	0.0026217485640092925#0.003849271516355226	0#0	0#0	0#0	1#1	1.96#1.96	0#0	6#6	55.0#53.0	115.44393157958984#115.68251037597656	0#0	1#1	1#1	0#2663	0#1	0#2	0#22	0#22	0#67	0#0	0#0	0#0	5548.8335#5079.1665	308.26852#282.1759	277.44168#265.0	0.09248056#0.08833333	20.0#19.166666	registerCommitWebHook.json
3378	7#7#11#10	0.10427618771791458#0.052061326801776886#0.0#0.0	0.03522572078466118#0.012153720180552023#5.3263631420387225E-11#1.336264272785342E-10	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.81#1.81#1.54#1.6	0#0#0#0	6#6#11#10	51.0#55.0#156.0#149.0	110.7529525756836#110.13679504394531#96.5890121459961#98.37176513671875	0#0#0#0	1#1#1#1	1#1#2#2	0#339#2892#3326	0#1#4#0	0#2#4#1	0#41#413#24	0#41#413#24	0#26#79#25	0#1#0#0	0#1#1#0	0#1#1#0	5193.9863#7016.853#49800.832#37953.875	288.5548#389.82516#2766.713#2108.5486	239.72244#269.87897#893.5556#853.46014	0.079907484#0.08995966#0.29785186#0.2844867	21.666668#26.0#55.733334#44.47059	withMockGitRepos.json
149	11#9	0.0#6.419311393983662E-4	2.2476532729737168E-7#5.479466575397281E-5	0#0	0#0	0#0	1#1	1.78#1.89	0#0	20#14	114.0#85.0	98.3514633178711#103.45244598388672	0#0	0#0	2#1	0#22	0#1	0#4	0#149	0#149	0#11	0#0	0#0	0#0	18209.213#9007.26	1011.6229#500.40332	636.6857#446.07385	0.21222858#0.14869128	28.6#20.192307	test_pullrequest_rejected.json
149	6	0.19620168209075928	0.2537001973136674	0	0	0	1	1.89	0	3	32.0	116.02641296386719	0	0	1	0	0	0	0	0	0	0	0	0	2248.8665	124.93703	140.55415	0.046851385	16.0	remove_jwt_query_param.json
1244	3#3	0.0018115682760253549#0.0012236380716785789	0.9045658000137975#0.8972873904981039	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1057	0#2	0#4	0#16	0#16	0#1	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	sendStopNotificationForNotBuildJobs.json
3378	13#14#15#16	0.0#0.0#0.0#0.0	1.5310776239048918E-11#1.487533657778383E-14#4.808101188384566E-15#8.75071119729037E-20	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.69#1.64#1.6#1.56	0#0#0#0	19#23#24#28	170.0#207.0#214.0#259.0	93.5127182006836#91.2363052368164#89.9206771850586#87.60307312011719	0#0#0#0	0#0#0#0	4#4#4#4	0#339#458#461	0#7#1#2	0#13#1#3	0#332#50#299	0#332#50#299	0#2#95#54	0#0#0#0	0#0#1#0	0#0#1#0	40083.918#69237.71#77872.766#102438.02	2226.8843#3846.5396#4326.2646#5691.0015	959.4555#1179.9911#1225.775#1565.498	0.3198185#0.39333037#0.4085917#0.5218327	41.77778#58.67647#63.52941#65.434784	uriResolverByCredentialsTest.json
1268	11	0.21530552208423615	1.590249560597379E-4	0	0	0	2	3.17	1	9	81.0	100.1147232055664	0	0	2	0	0	0	0	0	0	0	0	0	10487.408	582.6338	433.96173	0.14465392	24.166666	doClearWhenUserWithoutAdminPermissionThenReturnForbiddenStatus.json
1152	13#14	3.146180824842304E-4#1.433147699572146E-4	5.175049231524077E-8#6.267334836957649E-10	0#0	0#0	0#0	1#1	1.69#1.64	0#0	20#24	123.0#145.0	95.1186294555664#92.94567108154297	0#0	0#0	3#3	0#1100	0#6	0#11	0#197	0#197	0#25	0#0	0#0	0#0	23623.914#31752.842	1312.4397#1764.0468	704.53424#849.4073	0.23484474#0.28313577	33.53125#37.38235	retrieveTriggersRequiredApiCalls_cloud.json
2920	8#8#8#8#8	0.0033879184629768133#0.0066359625197947025#0.01843833178281784#0.019126057624816895#0.019126057624816895	5.9861126008272984E-5#8.333198076100066E-5#2.1507499717412723E-4#2.137783162247651E-4#2.137783162247651E-4	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.94#1.94#1.94#1.94#1.94	0#0#0#0#0	7#7#7#7#7	87.0#85.0#81.0#81.0#81.0	105.49124908447266#105.6121826171875#105.96057891845703#105.96057891845703#105.96057891845703	0#0#0#0#0	0#0#0#0#0	2#2#2#2#2	0#3#1624#1624#2868	0#1#1#1#0	0#2#2#2#0	0#6#29#4#0	0#6#29#4#0	0#54#55#16#25	0#0#0#0#0	0#0#1#0#0	0#0#1#0#0	16312.5#15300.0#17488.158#17488.158#17488.158	906.25#850.0#971.56433#971.56433#971.56433	435.0#425.0#397.45813#397.45813#397.45813	0.145#0.14166667#0.13248605#0.13248605#0.13248605	37.5#36.0#44.0#44.0#44.0	given__sshCheckoutWithCredentials__when__decoratingGit__then__credentialsApplied.json
