Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3544	3#3	0.7544681429862976#0.6433361768722534	0.9209345976017332#0.9062294381440154	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#140	0#2	0#4	0#28	0#28	0#91	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getBufferMemorySize.json
6674	9#9#9#11#11#11#11#11#12#12#12#12#20#21#21	0.0037209915462881327#0.003856028662994504#0.003856028662994504#0.006257787812501192#0.006191456224769354#0.006165248807519674#0.006038398947566748#0.005384160205721855#0.0051372600719332695#0.003937695175409317#0.01727256365120411#0.01727256365120411#0.004848328884691#0.004496787674725056#0.004496787674725056	0.010666985139988861#0.010826423040901426#0.010826423040901426#0.0010258374462896109#0.0011708550691886539#0.00117399143479071#9.92789268497342E-4#9.975716690209322E-4#3.047229316581E-4#2.220478388766968E-4#0.0015936184806544637#0.0015936184806544637#4.66256202365136E-5#4.9782531560241765E-5#4.9782531560241765E-5	0#0#0#0#0#0#0#0#0#0#0#0#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#2#2#2	0#0#0#0#0#0#0#0#0#0#0#0#3#3#3	2#2#2#2#2#2#2#2#2#2#2#2#5#5#5	2.95#2.95#2.95#3.0#3.0#3.0#3.0#3.0#2.89#2.89#2.89#2.89#3.2#3.41#3.41	1#1#1#1#1#1#1#1#1#1#1#1#2#2#2	7#7#7#9#9#9#10#10#9#9#7#7#7#7#7	63.0#63.0#63.0#79.0#79.0#79.0#80.0#80.0#86.0#87.0#77.0#77.0#114.0#115.0#115.0	105.23589324951172#105.23589324951172#105.23589324951172#100.55792236328125#100.60388946533203#100.60388946533203#100.53848266601562#100.53848266601562#98.53943634033203#98.44105529785156#99.15386199951172#99.15386199951172#87.99736022949219#87.1268539428711#87.1268539428711	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#30#51#233#254#369#907#1107#1217#1224#1412#1527#1536#4512#5573	0#1#0#3#2#1#1#2#2#1#2#0#8#1#0	0#2#0#4#4#2#2#4#3#2#4#0#8#1#0	0#6#0#118#14#1#6#2#120#25#50#0#317#10#0	0#6#0#118#14#1#6#2#120#25#50#0#317#10#0	0#1#0#6#6#3#1#1#4#1#5#3#1#14#0	0#0#0#0#0#0#1#0#0#0#0#0#0#0#0	0#0#0#0#0#1#1#0#1#0#0#0#1#0#1	0#0#0#0#0#1#1#0#1#0#0#0#1#0#1	4212.554#4212.554#4212.554#7322.569#7917.954#7917.954#8800.0#8800.0#11118.868#10881.578#9047.369#9047.369#19111.043#20100.865#20100.865	234.03079#234.03079#234.03079#406.8094#439.88635#439.88635#488.8889#488.8889#617.7149#604.5321#502.63162#502.63162#1061.7246#1116.7147#1116.7147	302.86337#302.86337#302.86337#398.50714#395.0#395.0#400.0#400.0#448.013#456.5697#398.08423#398.08423#606.69977#616.11847#616.11847	0.10095446#0.10095446#0.10095446#0.13283572#0.13166666#0.13166666#0.13333334#0.13333334#0.14933766#0.1521899#0.13269474#0.13269474#0.20223325#0.20537283#0.20537283	13.909091#13.909091#13.909091#18.375#20.045454#20.045454#22.0#22.0#24.818182#23.833334#22.727274#22.727274#31.5#32.625#32.625	activate.json
1508	4#3	0.00199977308511734#0.0020087615121155977	0.13872794557761672#0.3268293059736813	0#0	0#0	0#0	1#1	2.0#1.89	0#0	1#0	35.0#27.0	121.71652221679688#128.0600128173828	0#0	1#1	1#0	0#29	0#0	0#1	0#75	0#75	0#1	0#0	0#0	0#0	1778.6251#903.0349	98.81251#50.168606	166.42107#120.404655	0.05547369#0.040134884	10.6875#7.5	createRawClientFor.json
281	3	0.8294427990913391	0.9412813094355167	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getContainer.json
1577	3	0.0	0.004772586445800211	0	0	0	1	1.89	0	1	53.0	124.10772705078125	0	6	0	0	0	0	0	0	0	0	0	0	3913.5894	217.42163	257.473	0.08582433	15.2	downloadWithResponse.json
2277	6#9	0.35295408964157104#0.0841512456536293	0.13638115252041105#0.007459326217870362	0#1	0#1	0#2	1#2	2.0#2.51	0#1	3#7	39.0#61.0	114.52821350097656#105.10916900634766	0#0	0#0	1#1	0#840	0#3	0#3	0#156	0#156	0#5	0#1	0#1	0#1	3449.7578#8689.387	191.65321#482.7437	187.48685#310.33524	0.062495615#0.103445075	18.4#28.0	doStart.json
1603	3#3	0.7033858895301819#0.7033858895301819	0.7875942544811998#0.7875942544811998	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#1476	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setCamelId.json
430	47#52	0.0#0.0	2.7529988254723063E-18#5.547069639965151E-21	9#10	9#10	18#20	10#11	2.23#2.2	1#1	41#46	313.0#351.0	67.23291778564453#64.70646667480469	0#0	0#0	9#10	0#30	0#5	0#5	0#359	0#359	0#2	0#0	0#0	0#0	116125.39#138979.88	6451.4106#7721.104	1841.2673#2089.9229	0.61375576#0.69664097	63.068184#66.5	setupCommonServices.json
2010	3#10#10	0.0#0.0#0.0	4.93483727560803E-4#3.750672595221203E-8#1.359369853732358E-7	2#4#4	1#3#3	3#7#7	2#4#4	1.89#2.8#2.8	0#1#1	5#12#12	64.0#133.0#130.0	122.7472152709961#98.76583862304688#99.0519027709961	0#0#0	1#1#1	0#0#0	0#1279#1618	0#8#1	0#9#2	0#299#16	0#299#16	0#2#1	0#0#0	0#1#0	0#0#0	5760.0#27125.365#24482.129	320.0#1506.9647#1360.1183	320.0#692.8573#655.77124	0.10666667#0.23095243#0.21859041	18.0#39.15#37.333336	createTransformerKey.json
4112	3	0.7393425107002258	0.8976135373647992	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getFetchWaitMaxMs.json
