Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1172	3	0.8455102443695068	0.8146627607794158	0	0	0	1	1.89	0	1	18.0	130.85629272460938	0	1	0	0	0	0	0	0	0	0	0	0	685.6593	38.092182	70.32403	0.023441343	9.75	midnight.json
2045	9	0.0	7.613321802332477E-9	0	0	0	1	1.89	0	14	126.0	101.00109100341797	0	0	5	0	0	0	0	0	0	0	0	0	15661.813	870.10077	714.7256	0.23824187	21.913044	testDayOfWeekIsCorrectlyApplied.json
2953	10#10#10#10	0.0#0.0#0.0#0.0	3.302155138840972E-6#3.3041394600572004E-6#1.2384260942418085E-6#1.2384260942418085E-6	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.83#1.83#1.83#1.83	0#0#0#0	9#9#9#9	101.0#101.0#106.0#106.0	100.64330291748047#100.64330291748047#100.36125946044922#100.36125946044922	0#0#0#0	0#0#0#0	5#5#5#5	0#183#204#1973	0#1#5#1	0#2#10#2	0#12#30#58	0#12#30#58	0#23#397#198	0#0#0#0	0#0#1#1	0#0#1#1	13991.841#13991.841#15299.272#15299.272	777.32446#777.32446#849.9596#849.9596	551.4026#551.4026#582.1364#582.1364	0.18380086#0.18380086#0.19404547#0.19404547	25.375#25.375#26.28125#26.28125	testGetValueFromListWhereIndexLessThanZero.json
1083	7	0.0	2.076819921219763E-4	0	0	0	1	1.98	0	7	75.0	108.25245666503906	0	0	3	0	0	0	0	0	0	0	0	0	6702.438	372.35767	387.7444	0.12924813	17.285713	throwExceptionWhenEndDateIsBeforeStartDate.json
3234	3	0.10008277744054794	0.24651509471334757	0	0	0	1	1.89	0	0	32.0	127.42921447753906	0	2	0	0	0	0	0	0	0	0	0	0	1812.4491	100.69162	135.93369	0.045311227	13.333333	between.json
1047	6	0.6323144435882568	0.1867927516746801	0	0	0	1	2.0	0	2	37.0	115.04825592041016	0	0	2	0	0	0	0	0	0	0	0	0	1696.436	94.246445	169.6436	0.056547865	10.0	testSpring53ScheduleWeekly.json
2759	10#10#10#10#8#16	2.0060337556060404E-4#1.9611979951150715E-4#1.9611979951150715E-4#1.5684323443565518E-4#2.0007039711344987E-4#3.3315885229967535E-4	1.614566845427439E-5#1.8820843662298384E-5#1.8820843662298384E-5#9.297171397377046E-6#1.1753805171610552E-5#6.137476864753736E-10	1#1#1#1#1#5	1#1#1#1#1#2	2#2#2#2#2#7	2#2#2#2#2#3	2.53#2.53#2.53#2.53#2.83#3.38	1#1#1#1#1#2	11#11#11#12#11#11	96.0#96.0#96.0#99.0#93.0#152.0	100.80996704101562#100.84577941894531#100.84577941894531#100.64995574951172#104.58998107910156#90.05545043945312	0#0#0#0#0#0	2#2#2#2#2#3	2#2#2#2#2#7	0#9#123#186#266#322	0#1#0#1#2#14	0#2#0#2#6#20	0#40#0#21#107#485	0#40#0#21#107#485	0#137#18#5#10#5	0#0#0#0#0#0	0#1#0#1#1#0	0#1#1#1#1#0	19357.627#18604.617#18604.617#19962.55#17047.91#51146.05	1075.4237#1033.5898#1033.5898#1109.0306#947.10614#2841.4473	510.9051#507.39862#507.39862#526.87085#494.9393#894.16174	0.17030169#0.16913287#0.16913287#0.17562361#0.16497977#0.29805392	37.88889#36.666668#36.666668#37.88889#34.444447#57.199997	getPreviousPotentialValue.json
1171	4	0.4318694770336151	0.6664102244766156	0	0	0	1	2.0	0	1	20.0	125.5254898071289	0	0	0	0	0	0	0	0	0	0	0	0	480.0	26.666666	80.0	0.026666667	6.0	withSupportedNicknameDaily.json
3772	4#7#5#5#5	0.4461978077888489#0.04386497288942337#0.07337578386068344#0.07337578386068344#0.5443778038024902	0.7098073313948807#0.2385620350155961#0.330466584608918#0.330466584608918#0.49533307199266663	0#2#0#0#0	0#1#0#0#0	0#3#0#0#0	1#2#1#1#1	2.0#2.56#1.96#1.96#1.96	0#1#0#0#0	0#1#1#1#1	20.0#40.0#32.0#32.0#27.0	125.5254898071289#112.13882446289062#119.15383911132812#119.15383911132812#119.94750213623047	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#454#865#1004#1022	0#3#1#0#3	0#3#4#0#6	0#134#54#0#21	0#134#54#0#21	0#2#2#68#137	0#0#0#0#0	0#0#1#0#1	0#0#1#0#1	693.3334#3360.1226#1784.1296#1784.1296#1633.6887	38.51852#186.67348#99.11832#99.11832#90.76048	80.0#175.69269#135.93369#135.93369#116.692055	0.026666667#0.05856423#0.045311227#0.045311227#0.03889735	8.666667#19.125#13.125#13.125#14.0	withMondayDoWValue.json
2953	5#5#5	0.013614202849566936#0.014267049729824066#0.014224577695131302	0.05510409117116467#0.043372096635902406#0.05347844295576723	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	7#7#5	44.0#45.0#43.0	117.17095947265625#116.98399353027344#117.1540298461914	0#0#0	0#0#0	1#1#1	0#204#1973	0#1#1	0#2#2	0#6#54	0#6#54	0#397#198	0#0#0	0#1#1	0#1#1	4299.1934#4704.1714#4110.1997	238.84407#261.34286#228.34442	199.03673#206.3233#199.6858	0.06634557#0.06877443#0.06656194	21.6#22.800001#20.583334	everyEvenHourShouldBeParsedCorrectly.json
2953	10#15#10	0.04936341941356659#0.006466053891927004#0.08198041468858719	1.3463847072195216E-4#2.131482352917609E-6#0.0032935892739742786	0#1#1	0#1#1	0#2#2	1#2#2	1.83#2.29#2.8	0#1#1	8#10#8	82.0#110.0#64.0	101.89544677734375#93.25505828857422#103.15267944335938	0#0#0	0#0#0	6#7#2	0#204#208	0#12#2	0#19#9	0#237#364	0#237#364	0#397#11	0#0#0	0#1#0	0#1#0	9674.174#19599.082#10636.188	537.4541#1088.8379#590.89935	433.40298#617.6181#325.59763	0.14446767#0.2058727#0.10853254	22.321428#31.733334#32.666664	testLastExecutionDaysOfWeekOverMonthBoundary.json
2953	4#4#4	0.14531466364860535#0.10939894616603851#0.10834874212741852	0.647453925511025#0.7305418161268791#0.7316798130540714	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	1#1#1	20.0#18.0#18.0	125.5254898071289#126.33003997802734#126.33003997802734	0#0#0	0#0#0	0#0#0	0#204#2793	0#1#1	0#2#2	0#17#14	0#17#14	0#397#5	0#0#0	0#1#0	0#1#0	866.6666#628.2135#628.2135	48.148148#34.90075#34.90075	80.0#68.53239#68.53239	0.026666667#0.022844128#0.022844128	10.833333#9.166666#9.166666	testEveryFiveMinutesBetween14and15EveryDay.json
3960	9#9#9#9#9#9#9#9#9#9#9#9#9	1.4278585149440914E-4#1.4278585149440914E-4#1.8921511946246028E-4#2.027396985795349E-4#1.125013004639186E-4#1.125013004639186E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.450237047276547E-6#1.4599297685410982E-6#1.4924988590804667E-6#1.4741210109084744E-6#6.492953661838564E-7#6.492953661838564E-7#3.920487221427395E-7#3.332600501282955E-7#2.3304213376290316E-7#2.299110217091568E-7#1.2646738387042686E-7#2.3264861332735413E-7#2.314456317192585E-7	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0#0#0#0#0#0	7#7#7#7#7#7#7#7#7#6#8#8#8	104.0#104.0#104.0#104.0#108.0#108.0#110.0#111.0#113.0#113.0#115.0#113.0#113.0	102.26226043701172#102.26226043701172#102.26226043701172#102.26226043701172#102.03337097167969#102.03337097167969#101.9062728881836#101.85921478271484#101.76634979248047#101.76634979248047#101.61439514160156#101.76634979248047#101.76634979248047	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2#2	0#1#5#7#7#18#189#284#653#1199#1205#1211#1324	0#1#3#4#1#0#1#1#3#1#4#1#1	0#2#6#8#2#0#2#2#6#2#8#2#2	0#1#75#44#10#0#16#22#52#9#44#17#6	0#1#75#44#10#0#16#22#52#9#44#17#6	0#8#36#34#15#0#33#38#40#27#28#397#18	0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#1#0#1#0#0#1#0	0#1#0#0#0#0#1#1#1#0#0#1#1	14580.826#14580.826#14580.826#14580.826#15781.128#15781.128#15674.027#14644.925#14908.798#15863.549#17065.965#15505.149#15505.149	810.0459#810.0459#810.0459#810.0459#876.7293#876.7293#870.7793#813.60693#828.26654#881.3083#948.10913#861.3972#861.3972	560.801#560.801#560.801#560.801#586.0366#586.0366#600.5375#605.9969#616.9158#616.9158#635.2096#616.9158#616.9158	0.18693368#0.18693368#0.18693368#0.18693368#0.19534554#0.19534554#0.20017916#0.20199896#0.20563859#0.20563859#0.21173653#0.20563859#0.20563859	26.0#26.0#26.0#26.0#26.92857#26.92857#26.099998#24.166666#24.166666#25.714287#26.866667#25.133333#25.133333	testDescribeAtXHours.json
2953	4#4	0.03753747418522835#0.0315246656537056	0.10260917247744021#0.16424656475399238	0#0	0#0	0#0	1#1	1.73#1.73	0#0	3#3	38.0#36.0	121.62247467041016#122.06648254394531	0#0	0#0	0#0	0#204	0#1	0#2	0#17	0#17	0#397	0#0	0#1	0#1	2146.4731#1763.3468	119.248505#97.963715	169.4584#155.58942	0.056486133#0.051863138	12.666667#11.333334	testGetFrom.json
2761	3#3	0.018236134201288223#0.018625076860189438	0.11059122054302767#0.09335359878844893	0#0	0#0	0#0	1#1	1.89#1.89	0#0	4#4	34.0#35.0	126.7169418334961#126.49983978271484	0#0	1#1	0#0	0#11	0#1	0#2	0#6	0#6	0#137	0#0	0#1	0#1	2728.0525#2979.8074	151.55847#165.54486	155.88872#162.53496	0.051962905#0.05417832	17.5#18.333332	lastFieldIsOptional.json
2953	4	0.0	0.6370838663771919	0	0	0	1	1.73	0	1	21.0	125.39425659179688	0	0	0	0	0	0	0	0	0	0	0	0	1148.6259	63.812546	82.0447	0.027348233	14.0	testCronAndWithRangesAndEveryExpressions.json
