Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2974	15#15#15#15#15#15#9#9#9#9#9#9#9#9#9	0.0017557792598381639#0.001744197215884924#0.0018635131418704987#0.0018635131418704987#0.0018353628693148494#0.0018353628693148494#0.015295904129743576#0.015295904129743576#0.01381000131368637#0.012459797784686089#0.03247123211622238#0.03125855699181557#0.017392084002494812#0.0234212726354599#0.0234212726354599	2.3266166195966126E-11#2.3312265026297623E-11#2.3112548160238393E-11#2.3112548160238393E-11#2.344334855737146E-11#2.344334855737146E-11#2.1757475521608049E-7#2.1757475521608049E-7#3.528811713205279E-7#9.062261427233588E-7#1.5150214708041875E-6#1.5500839636444158E-6#9.536379549907362E-7#2.237210284723727E-6#2.237210284723727E-6	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#1#1#1#1#1#1#1#1#1	2.0#2.0#2.0#2.0#2.0#2.0#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	1#1#1#1#1#1#0#0#0#0#0#0#0#0#0	16#16#16#16#16#16#13#13#12#12#12#12#12#11#11	166.0#166.0#166.0#166.0#166.0#166.0#116.0#116.0#114.0#111.0#108.0#108.0#110.0#106.0#106.0	90.89466094970703#90.89466094970703#90.89466094970703#90.89466094970703#90.89466094970703#90.89466094970703#101.69441986083984#101.69441986083984#101.81848907470703#102.0646743774414#102.20714569091797#102.20714569091797#102.0747299194336#102.3043441772461#102.3043441772461	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	8#8#8#8#8#8#5#5#5#5#5#5#5#5#5	0#36#364#451#451#460#740#740#752#802#802#920#1129#1397#1881	0#1#1#0#1#0#0#1#2#1#1#1#1#1#0	0#2#2#0#2#0#0#2#4#2#2#2#2#2#0	0#4#34#0#11#0#282#0#17#24#35#8#6#23#0	0#4#34#0#11#0#282#0#17#24#35#8#6#23#0	0#5#46#1#9#4#3#12#11#38#16#113#16#50#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#1#0#0#0#0#0#0#1#1#1#1	0#0#0#0#1#0#0#0#0#0#0#0#1#1#0	58710.152#58710.152#58710.152#58710.152#58710.152#58710.152#26511.947#26511.947#24994.217#21284.383#19619.178#19619.178#19206.773#17642.033#17642.033	3261.675#3261.675#3261.675#3261.675#3261.675#3261.675#1472.886#1472.886#1388.5676#1182.4657#1089.9543#1089.9543#1067.043#980.113#980.113	972.42487#972.42487#972.42487#972.42487#972.42487#972.42487#625.5088#625.5088#610.7609#582.51996#566.7762#566.7762#581.3942#556.28033#556.28033	0.32414162#0.32414162#0.32414162#0.32414162#0.32414162#0.32414162#0.20850293#0.20850293#0.20358698#0.19417332#0.1889254#0.1889254#0.19379808#0.18542677#0.18542677	60.375#60.375#60.375#60.375#60.375#60.375#42.384613#42.384613#40.923077#36.53846#34.615387#34.615387#33.035713#31.714285#31.714285	shouldAssignUnequalDescriptionsToDifferentStepsInAScenarioOutline.json
2789	12#12#12#12#12#12#13#13#13#13#13#13#13#13	0.15787848830223083#0.15787848830223083#0.15787848830223083#0.11182930320501328#0.08580124378204346#0.11182930320501328#0.04548768326640129#0.03995636850595474#0.03876180574297905#0.03876180574297905#0.03713065758347511#0.043382979929447174#0.043382979929447174#0.046925660222768784	0.03177118206527249#0.03177118206527249#0.03177118206527249#0.011455639471391084#0.005091476611877965#0.011455639471391084#0.006918077409605639#0.00494331549067266#0.006677975729094269#0.006677975729094269#0.006635346623528513#0.002889400408153703#0.002889400408153703#0.00293212795028256	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.73#1.73#1.73#1.73#1.73#1.73#1.69#1.69#1.69#1.69#1.69#1.69#1.69#1.69	0#0#0#0#0#0#0#0#0#0#0#0#0#0	8#8#8#5#5#5#6#6#6#6#6#7#7#7	66.0#66.0#66.0#72.0#75.0#72.0#77.0#78.0#77.0#77.0#77.0#81.0#81.0#81.0	100.80984497070312#100.80984497070312#100.80984497070312#100.291015625#99.95587158203125#100.291015625#98.58222198486328#98.45523834228516#98.58222198486328#98.58222198486328#98.58222198486328#98.25898742675781#98.25898742675781#98.25898742675781	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	4#4#4#4#4#4#4#4#4#4#4#4#4#4	0#262#266#538#562#589#590#590#612#617#657#659#1696#2635	0#0#0#3#3#3#1#1#1#1#1#3#0#1	0#0#0#6#6#6#1#2#2#2#2#6#0#2	0#0#0#72#48#48#33#21#7#0#4#45#0#15	0#0#0#72#48#48#33#21#7#0#4#45#0#15	0#37#28#9#31#48#13#37#21#120#30#36#0#51	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#1#1#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	6354.758#6354.758#6354.758#7460.355#7488.948#7460.355#8957.863#8530.269#7862.0083#7862.0083#7862.0083#8184.3506#8184.3506#8184.3506	353.0421#353.0421#353.0421#414.46417#416.05267#414.46417#497.65906#473.9038#436.77823#436.77823#436.77823#454.68616#454.68616#454.68616	302.6075#302.6075#302.6075#334.35764#356.61658#334.35764#361.93387#370.88123#361.93387#361.93387#361.93387#385.1459#385.1459#385.1459	0.10086917#0.10086917#0.10086917#0.11145254#0.118872195#0.11145254#0.12064462#0.123627074#0.12064462#0.12064462#0.12064462#0.12838197#0.12838197#0.12838197	21.0#21.0#21.0#22.3125#21.0#22.3125#24.75#23.0#21.722223#21.722223#21.722223#21.25#21.25#21.25	throws_ambiguous_steps_def_exception_when_many_patterns_match.json
1811	3#3	0.20769044756889343#0.20769044756889343	0.729681492774243#0.729681492774243	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	21.0#21.0	130.05470275878906#130.05470275878906	0#0	1#1	0#0	0#718	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	656.3576#656.3576	36.46431#36.46431	82.0447#82.0447	0.027348233#0.027348233	8.0#8.0	color.json
1915	5#5	0.018510865047574043#0.018510865047574043	0.030427778079988865#0.030427778079988865	0#0	0#0	0#0	1#1	1.96#1.96	0#0	6#6	44.0#44.0	116.74798583984375#116.74798583984375	0#0	0#0	1#1	0#822	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	2837.5847#2837.5847	157.6436#157.6436	215.90318#215.90318	0.07196773#0.07196773	13.142858#13.142858	findNothingInOutline.json
2153	14#14#14#14	0.010380162857472897#0.009908190928399563#0.009908190928399563#0.00975289661437273	1.2394229860001802E-4#1.1067758989112828E-4#1.1067758989112828E-4#8.346422060847406E-5	1#1#1#1	1#1#1#1	2#2#2#2	3#3#3#3	4.5#4.5#4.5#4.5	3#3#3#3	8#8#8#8	91.0#91.0#91.0#92.0	95.21388244628906#95.18475341796875#95.18475341796875#95.09956359863281	0#0#0#0	1#1#1#1	2#2#2#2	0#29#1060#1316	0#1#0#1	0#2#0#2	0#9#0#8	0#9#0#8	0#4#0#4	0#0#0#0	0#1#1#1	0#1#0#1	14241.583#14742.805#14742.805#15414.496	791.19904#819.0447#819.0447#856.3609	502.64413#505.4676#505.4676#513.8165	0.16754805#0.1684892#0.1684892#0.17127217	28.333332#29.166666#29.166666#30.0	parseFeatureWithLinesFile.json
42	4	0.0	0.004739658425923115	0	0	0	1	1.73	0	11	53.0	119.44727325439453	0	0	0	0	0	0	0	0	0	0	0	0	4450.6045	247.2558	257.473	0.08582433	17.285713	supportsFileSelectorWithFilePosition.json
1901	4#4#4	0.7939122915267944#0.7939122915267944#0.7939122915267944	0.8204760222669552#0.8204760222669552#0.8204760222669552	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	19.0#19.0#19.0	126.04888916015625#126.04888916015625#126.04888916015625	0#0#0	1#1#1	0#0#0	0#808#1181	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#0#0	651.0577#651.0577#651.0577	36.169872#36.169872#36.169872	72.339745#72.339745#72.339745	0.024113249#0.024113249#0.024113249	9.0#9.0#9.0	service.json
4130	5#5#4#5#5#5	0.008281060494482517#0.008281060494482517#2.575370017439127E-4#0.0010323261376470327#0.0024386774748563766#0.0024386774748563766	0.018506234837560986#0.018506234837560986#0.002699407601124278#0.003965872410481414#0.006623664805568935#0.006623664805568935	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.96#1.96#2.0#1.96#1.96#1.96	0#0#0#0#0#0	3#3#4#4#4#4	48.0#48.0#57.0#57.0#54.0#54.0	116.2955322265625#116.2955322265625#119.01683807373047#115.40190887451172#115.68305969238281#115.68305969238281	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	0#1607#1945#1958#2222#3037	0#0#1#2#1#0	0#0#3#3#2#0	0#0#43#7#20#0	0#0#43#7#20#0	0#12#151#18#13#0	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#0	3458.0193#3458.0193#4589.504#4589.504#3890.2717#3890.2717	192.11218#192.11218#254.97244#254.97244#216.1262#216.1262	235.53073#235.53073#279.69275#279.69275#264.97208#264.97208	0.07851025#0.07851025#0.09323092#0.09323092#0.088324025#0.088324025	14.681818#14.681818#16.409092#16.409092#14.681818#14.681818	testDoesNotMatchCollectionWithNullElement.json
2119	4#4#4#4	0.33039361238479614#1.0025168012361974E-4#1.0025168012361974E-4#5.442639230750501E-4	0.8413965047304478#0.8633190332213023#0.8633190332213023#0.7393233687838723	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	1#1#1#2	18.0#18.0#18.0#20.0	126.33003997802734#126.33003997802734#126.33003997802734#125.5254898071289	0#0#0#0	1#1#1#1	0#0#0#0	0#9#1026#1965	0#2#0#1	0#4#0#2	0#88#0#46	0#88#0#46	0#6#0#51	0#0#0#0	0#1#1#0	0#1#0#0	502.57086#502.57086#502.57086#840.0	27.920603#27.920603#27.920603#46.666668	68.53239#68.53239#68.53239#80.0	0.022844128#0.022844128#0.022844128#0.026666667	7.3333335#7.3333335#7.3333335#10.5	addDefaultParameterTransformer.json
3144	6#6#6#6#6#6#6#6#6#6	0.7544506788253784#0.750404953956604#0.750404953956604#0.750404953956604#0.7643022537231445#0.7518792152404785#0.7497038245201111#0.7482022047042847#0.745387852191925#0.745387852191925	0.27571080197676756#0.2618803827962668#0.2618803827962668#0.2618803827962668#0.21658939611127953#0.22220212260601446#0.30881105829229843#0.3289418286016112#0.4110899179364372#0.4110899179364372	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	2.0#2.0#2.0#2.0#2.0#2.0#2.0#2.0#2.0#2.0	0#0#0#0#0#0#0#0#0#0	4#4#4#4#4#4#3#3#4#4	35.0#35.0#35.0#35.0#36.0#36.0#35.0#35.0#33.0#33.0	115.4073257446289#115.4073257446289#115.4073257446289#115.4073257446289#115.19073486328125#115.19073486328125#115.56043243408203#115.56043243408203#115.86640167236328#115.86640167236328	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2	0#90#534#621#651#966#972#1090#1271#2051	0#2#0#0#1#1#3#1#1#0	0#4#0#0#2#2#6#2#2#0	0#15#0#0#4#5#41#8#7#0	0#15#0#0#4#5#41#8#7#0	0#26#46#28#5#18#120#113#24#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#1#1	0#0#0#0#0#0#0#0#1#0	2256.1265#2256.1265#2256.1265#2256.1265#2195.28#2195.28#2213.728#2213.728#2087.2292#2087.2292	125.34036#125.34036#125.34036#125.34036#121.96#121.96#122.98489#122.98489#115.957184#115.957184	158.32466#158.32466#158.32466#158.32466#165.05864#165.05864#153.73111#153.73111#144.94647#144.94647	0.052774888#0.052774888#0.052774888#0.052774888#0.055019546#0.055019546#0.051243704#0.051243704#0.04831549#0.04831549	14.25#14.25#14.25#14.25#13.3#13.3#14.4#14.4#14.4#14.4	empty_tag_predicate_matches_pickle_with_any_tags.json
