Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4746	8	0.673140287399292	0.9092175253617449	1	1	2	2	4.21	2	1	27.0	112.39348602294922	0	0	0	0	0	0	0	0	0	0	0	0	1241.5668	68.97593	110.361496	0.036787163	11.25	activate.json
5824	3#3	0.38653379678726196#0.38653379678726196	0.8877350817822116#0.8877350817822116	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	13.0#13.0	132.9956512451172#132.9956512451172	0#0	0#0	0#0	0#1477	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	209.72032#209.72032	11.651129#11.651129	46.604515#46.604515	0.015534839#0.015534839	4.5#4.5	releaseTempFileHold.json
6284	3#3#4	0.7440795302391052#0.7440795302391052#0.8069905638694763	0.9209912565269518#0.9209912565269518#0.9236637289863348	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.73	0#0#0	0#0#0	12.0#12.0#13.0	133.59722900390625#133.59722900390625#128.335205078125	0#0#0	0#0#0	0#0#0	0#1937#4727	0#0#1	0#0#1	0#0#10	0#0#10	0#0#5	0#0#0	0#0#0	0#0#0	186.80931#186.80931#233.02258	10.378295#10.378295#12.945699	41.51318#41.51318#46.604515	0.013837727#0.013837727#0.015534839	4.5#4.5#5.0	isUnwrapped.json
5159	3	0.7932446599006653	0.9238075641375797	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getResourcename.json
6088	3	0.7054513692855835	0.8841955639926428	0	0	0	1	1.89	0	2	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	getLocale.json
6284	3	0.7530407905578613	0.7580084928691411	0	0	0	1	1.89	0	0	18.0	130.7338104248047	0	1	0	0	0	0	0	0	0	0	0	0	624.0	34.666668	72.0	0.024	8.666667	setDomainExpressions.json
6108	3	0.3283907175064087	0.5892077714341697	0	0	0	1	1.89	0	2	21.0	129.93223571777344	0	1	0	0	0	0	0	0	0	0	0	0	728.0	40.444443	84.0	0.028	8.666667	getResource.json
6284	3#3	0.6833680868148804#0.5055513381958008	0.9207055670081008#0.9210614813792706	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1027	0#1	0#2	0#8	0#8	0#13	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getMessageNumber.json
6284	3#3#3	0.06400159001350403#0.20972402393817902#0.1969897449016571	0.9206031182031889#0.8299611790924961#0.8885480148003229	0#1#0	0#1#0	0#2#0	1#2#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#17.0#14.0	133.59722900390625#130.9235076904297#132.4454345703125	0#0#0	0#0#0	0#0#0	0#489#3953	0#1#1	0#2#2	0#41#8	0#41#8	0#1#4	0#0#0	0#0#0	0#0#0	186.80931#531.3371#284.93387	10.378295#29.518728#15.829659	41.51318#66.41714#51.806156	0.013837727#0.022139046#0.01726872	4.5#8.0#5.5	isIgnoreUnknownAssertions.json
5159	3	0.8008396029472351	0.9204919543651399	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getArtifactId.json
4875	11#11#11#11	0.006882478948682547#0.007183939218521118#0.0137809282168746#0.0137809282168746	0.0013569464448648955#0.0013767021655970283#0.002048663539304901#0.002048663539304901	1#1#1#1	1#1#1#1	2#2#2#2	3#3#3#3	3.45#3.45#3.45#3.45	2#2#2#2	5#5#5#5	78.0#78.0#75.0#75.0	100.30738830566406#100.30738830566406#100.47029876708984#100.47029876708984	0#0#0#0	1#1#1#1	4#4#4#4	0#972#1806#2834	0#1#1#0	0#2#2#0	0#6#8#0	0#6#8#0	0#7#23#2	0#0#0#1	0#0#0#1	0#0#0#1	10127.128#10127.128#10178.29#10178.29	562.6182#562.6182#565.4606#565.4606	400.08408#400.08408#387.7444#387.7444	0.13336135#0.13336135#0.12924813#0.12924813	25.3125#25.3125#26.25#26.25	resolveAttachedWsdl.json
5708	8#8#8#16#16#16#16	0.0#0.0#0.0#0.0#0.0#0.0#0.0	2.7778835849227814E-5#2.8237758639501128E-5#6.0866112183098516E-6#8.793057899550536E-8#5.992177263259783E-8#5.992177263259783E-8#6.06293191276285E-8	2#2#2#2#2#2#2	1#1#1#1#1#1#1	3#3#3#3#3#3#3	2#2#2#3#3#3#3	2.4#2.4#2.4#3.16#3.16#3.16#3.16	1#1#1#2#2#2#2	11#11#11#17#17#17#17	88.0#88.0#96.0#129.0#131.0#131.0#131.0	104.95016479492188#104.95016479492188#104.46070098876953#91.07221221923828#90.9922103881836#90.9922103881836#90.9922103881836	0#0#0#0#0#0#0	2#2#3#3#3#3#3	1#1#1#2#2#2#2	0#751#752#1406#2843#3667#4595	0#1#2#12#1#0#1	0#2#4#16#2#0#2	0#5#26#364#7#0#4	0#5#26#364#7#0#4	0#7#7#1#1#2#6	0#0#0#0#0#1#0	0#0#0#0#0#1#0	0#0#0#0#0#1#0	14008.468#14008.468#16236.756#35927.43#37497.9#37497.9#37497.9	778.2482#778.2482#902.042#1995.9683#2083.2166#2083.2166#2083.2166	461.81763#461.81763#507.39862#735.35675#746.7576#746.7576#746.7576	0.1539392#0.1539392#0.16913287#0.24511892#0.2489192#0.2489192#0.2489192	30.333332#30.333332#32.0#48.857143#50.214283#50.214283#50.214283	getDoneFile.json
6284	3	0.9211968779563904	0.9170544715885959	0	0	0	1	1.89	0	0	14.0	132.61029052734375	0	1	0	0	0	0	0	0	0	0	0	0	301.13684	16.729824	50.189476	0.016729826	6.0	setLastMessage.json
4133	3	0.31397971510887146	0.6929117071957274	0	0	0	1	1.89	0	1	18.0	130.7338104248047	0	0	0	0	0	0	0	0	0	0	0	0	468.0	26.0	72.0	0.024	6.5	getCleanupHooks.json
5132	3	0.6619094014167786	0.802227907655733	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setFaultCode.json
1921	3	0.35969454050064087	0.8219170957426193	0	0	0	1	1.89	0	2	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	getRequestCharacterEncoding.json
3513	3	0.28313785791397095	0.6494192171174136	0	0	0	1	1.89	0	1	21.0	129.81976318359375	0	1	0	0	0	0	0	0	0	0	0	0	697.4234	38.745743	85.83672	0.028612241	8.125	getSignatureAlgorithm.json
6215	3	0.6722137928009033	0.8432305856712674	0	0	0	1	1.89	0	2	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	getLocalName.json
3384	3#4#4#9#11#13#22#22#22#19	0.8370947241783142#0.5299891233444214#0.5243685841560364#0.03223433718085289#0.015326732769608498#0.0033819288946688175#0.0#0.0#0.0#0.0	0.8992415580660443#0.7661037506100515#0.7063246882163445#0.04703371628807184#0.028555103953121587#8.173855853402634E-4#3.15701979693321E-7#3.170341574686384E-7#1.1241132160541564E-6#4.468776789215953E-6	0#0#0#1#2#2#4#4#3#3	0#0#0#1#2#2#4#4#3#3	0#0#0#2#4#4#8#8#6#6	1#1#1#2#3#3#5#5#4#4	1.89#2.0#2.0#2.67#3.95#3.72#5.57#5.57#5.57#4.42	0#0#0#1#2#2#3#3#3#3	1#3#3#8#9#17#14#14#14#14	15.0#22.0#22.0#56.0#65.0#89.0#140.0#140.0#136.0#123.0	132.25152587890625#125.28655242919922#125.15235137939453#105.96532440185547#101.64958190917969#97.14558410644531#84.95445251464844#84.95445251464844#85.43409729003906#88.49974822998047	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	0#0#0#1#1#1#2#2#2#2	0#3#5#12#13#14#177#353#423#1448	0#1#1#6#7#4#21#1#1#13	0#1#2#7#12#6#32#2#2#30	0#53#20#195#82#136#535#5#15#168	0#53#20#195#82#136#535#5#15#168	0#5#8#2#1#5#26#2#1#16	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#0#0	0#0#0#0#0#0#0#1#0#0	403.30832#1005.1417#1117.3707#7238.6777#9774.266#15612.499#39110.902#39110.902#38861.785#28793.1	22.406017#55.841206#62.076153#402.14877#543.0148#867.3611#2172.828#2172.828#2158.988#1599.6167	53.77444#83.76181#85.95159#263.22464#309.0677#436.71326#809.3904#809.3904#771.4498#675.4979	0.017924814#0.027920604#0.02865053#0.08774155#0.10302256#0.14557108#0.2697968#0.2697968#0.25714993#0.22516598	7.5#12.0#13.0#27.5#31.625#35.75#48.32143#48.32143#50.375#42.625	setClient.json
