Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3509	12#12#12#12#12#12	0.41683802008628845#0.41683802008628845#0.41683802008628845#0.41683802008628845#0.41683802008628845#0.38105615973472595	8.383062192838752E-4#8.383062192838752E-4#8.383062192838752E-4#8.383062192838752E-4#8.383062192838752E-4#8.882336823243691E-4	4#4#4#4#4#4	3#3#3#3#3#3	7#7#7#7#7#7	4#4#4#4#4#4	2.75#2.75#2.75#2.75#2.75#2.75	1#1#1#1#1#1	5#5#5#5#5#5	81.0#81.0#81.0#81.0#81.0#81.0	98.39090728759766#98.39090728759766#98.39090728759766#98.39090728759766#98.39090728759766#98.39090728759766	0#0#0#0#0#0	1#1#1#1#1#1	4#4#4#4#4#4	0#13#104#321#536#557	0#0#0#0#0#1	0#0#0#0#0#2	0#0#0#0#0#7	0#0#0#0#0#7	0#5#0#24#0#13	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	12532.383#12532.383#12532.383#12532.383#12532.383#12532.383	696.24347#696.24347#696.24347#696.24347#696.24347#696.24347	421.96573#421.96573#421.96573#421.96573#421.96573#421.96573	0.14065525#0.14065525#0.14065525#0.14065525#0.14065525#0.14065525	29.7#29.7#29.7#29.7#29.7#29.7	escapeSpecialCharacter.json
2140	3#3	0.5602060556411743#0.6726560592651367	0.8866080752010917#0.889281206847515	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#18	0#18	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterSetCatalog.json
2140	3#3	0.5602060556411743#0.5647385716438293	0.8866080752010917#0.8896366363869075	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#19	0#19	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterGetCharacterStream.json
2140	3#3	0.5602060556411743#0.6699905395507812	0.8866080752010917#0.8876099511901656	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#19	0#19	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterUpdateRef.json
2140	3#3	0.5602060556411743#0.6495286822319031	0.8866080752010917#0.8939425069832693	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#18	0#18	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterGetMetaData.json
3188	10#10#10#10#10#10	0.0#0.0#0.0#0.0#0.0#0.0	9.641027367219425E-18#9.641027367219425E-18#5.795190270819672E-16#1.3181430777833878E-16#1.2544310729004786E-16#1.4748378435712618E-17	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.83#1.83#1.83#1.83#1.83#1.83	0#0#0#0#0#0	24#24#24#25#25#26	220.0#220.0#202.0#208.0#209.0#217.0	96.02885437011719#96.02885437011719#96.52863311767578#96.33881378173828#96.33250427246094#96.08229064941406	0#0#0#0#0#0	0#0#0#0#0#0	6#6#6#6#6#6	0#215#235#474#778#1980	0#0#1#2#1#2	0#0#2#4#2#4	0#0#40#23#2#60	0#0#40#23#2#60	0#0#6#20#14#24	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#1#0	75571.5#75571.5#65205.383#68643.87#72512.17#75261.766	4198.4165#4198.4165#3622.5212#3813.548#4028.454#4181.209	1339.2418#1339.2418#1216.5183#1261.7466#1263.2783#1325.5498	0.44641393#0.44641393#0.4055061#0.4205822#0.42109278#0.44184995	56.42857#56.42857#53.600002#54.403847#57.399998#56.777775	getLogEntryParameterOrderWithIndex.json
2140	3#3	0.5602060556411743#0.6177967190742493	0.8866080752010917#0.8785861692570988	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#19	0#19	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterGetAsciiStream.json
2140	3#3	0.5602060556411743#0.6522737741470337	0.8866080752010917#0.8848833052718674	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#18	0#18	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterUpdateString.json
4289	3#3#3	0.5820125937461853#0.5820125937461853#0.5820125937461853	0.38703875681509087#0.38703875681509087#0.38703875681509087	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	26.0#26.0#26.0	128.50894165039062#128.50894165039062#128.50894165039062	0#0#0	2#2#2	0#0#0	0#884#1316	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	1196.4996#1196.4996#1196.4996	66.4722#66.4722#66.4722	110.44612#110.44612#110.44612	0.036815375#0.036815375#0.036815375	10.833333#10.833333#10.833333	bar.json
2140	3#3	0.5602060556411743#0.7020301818847656	0.8866080752010917#0.8889654681800047	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	1#1	0#0	0#82	0#1	0#2	0#19	0#19	0#403	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	afterGetBlob.json
3249	3#3	0.7845419049263#0.7845419049263	0.6921745578169509#0.6921745578169509	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.1535186767578#131.1535186767578	0#0	0#0	0#0	0#276	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	398.5028#398.5028	22.139046#22.139046	66.41714#66.41714	0.022139046#0.022139046	6.0#6.0	isByName.json
