Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2037	18	0.0	6.127484632648715E-13	0	0	0	1	1.66	0	32	196.0	87.44895935058594	0	0	2	0	0	0	0	0	0	0	0	0	39583.86	2199.1033	1117.2863	0.37242875	35.428574	testGetHttpURLConnection.json
2062	10	0.0	1.8514431213726716E-17	0	0	0	1	1.83	0	29	221.0	96.08052825927734	0	0	3	0	0	0	0	0	0	0	0	0	57460.004	3192.2224	1326.0	0.442	43.333336	testNoQueryDnsQuery.json
2062	5	0.30662766098976135	0.4846041099145016	0	0	0	1	1.96	0	1	28.0	119.94457244873047	0	0	0	0	0	0	0	0	0	0	0	0	825.64514	45.869175	116.757904	0.0389193	7.0714283	tinySetUp.json
2030	6	0.18627005815505981	0.006028530208941458	0	0	0	1	2.0	0	4	56.0	112.54033660888672	0	0	0	0	0	0	0	0	0	0	0	0	4396.5737	244.25409	274.78586	0.091595285	16.0	testReadNewer.json
2028	10	0.009214979596436024	0.013220231000306174	0	1	1	2	3.32	1	5	63.0	103.37259674072266	0	2	3	0	0	0	0	0	0	0	0	0	4823.586	267.977	312.11438	0.10403813	15.454545	onMeasure.json
2035	13	0.0	1.8150185593566808E-5	0	0	0	1	1.69	0	14	114.0	96.48188781738281	0	0	0	0	0	0	0	0	0	0	0	0	26328.492	1462.694	542.0572	0.18068573	48.57143	testHandleTimeout.json
2062	17#22	0.0#0.0	2.3935240050869287E-27#1.3605793434743933E-30	1#1	1#1	2#2	2#2	1.52#1.37	0#0	43#50	336.0#382.0	84.86526489257812#80.02122497558594	0#0	0#0	3#3	0#0	0#7	0#9	0#267	0#267	0#9	0#0	0#0	0#0	156548.08#204575.0	8697.115#11365.277	2099.3037#2386.7083	0.6997679#0.7955694	74.57143#85.71429	testHandleDnsRequestEmptyPacket.json
1395	8	0.05037626996636391	0.04731487499685089	3	2	5	3	3.87	1	5	54.0	107.71556854248047	0	1	2	0	0	0	0	0	0	0	0	0	4672.749	259.59717	259.59717	0.08653239	18.0	removeURL.json
2062	10	0.0	2.6107766605974837E-22	0	0	0	1	1.83	0	32	267.0	94.90265655517578	0	0	3	0	0	0	0	0	0	0	0	0	88373.41	4909.634	1663.0946	0.55436486	53.13793	testDnsQuery.json
2037	6	0.109097421169281	0.10782291090974604	0	0	0	1	2.0	0	2	41.0	114.3851089477539	0	0	1	0	0	0	0	0	0	0	0	0	2384.8857	132.49365	192.71803	0.064239345	12.375	testOpenItemFile.json
2037	19	0.0	3.4814230367772377E-12	0	0	0	1	1.63	0	17	196.0	86.76690673828125	0	0	2	0	0	0	0	0	0	0	0	0	52474.656	2915.2588	1076.4032	0.35880107	48.75	testGetItemFile.json
2062	14#14#28#35	0.0#0.0#0.0#0.0	3.7768247553867887E-7#3.7768247553867887E-7#9.645248493752866E-12#1.963295789261444E-15	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.64#1.64#1.24#1.12	0#0#0#0	22#22#50#64	140.0#140.0#279.0#361.0	94.15596771240234#94.15596771240234#80.08091735839844#75.12612915039062	0#0#0#0	0#0#0#0	0#0#0#0	0#10#11#160	0#0#14#7	0#0#14#7	0#0#950#489	0#0#950#489	0#0#1#1	0#0#0#0	0#0#0#1	0#0#0#1	25126.44#25126.44#96895.36#164404.97	1395.9133#1395.9133#5383.0757#9133.609	673.02966#673.02966#1163.4092#1505.343	0.22434323#0.22434323#0.38780305#0.501781	37.333332#37.333332#83.28571#109.21429	testParseLine.json
2035	6	0.1607063114643097	0.009366702303212661	0	0	0	1	2.0	0	5	53.0	112.7767562866211	0	0	0	0	0	0	0	0	0	0	0	0	2864.4265	159.13481	262.57242	0.08752414	10.909091	testSendPacket_error.json
2030	17#17#16#18#18	0.0#0.0#0.0#0.0#0.0	8.785639196510905E-6#8.794554853461678E-6#6.301860344059618E-5#7.475548172127584E-8#7.495753481438723E-8	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.52#1.52#1.56#1.66#1.66	0#0#0#0#0	15#15#13#19#19	119.0#119.0#106.0#139.0#139.0	91.4776382446289#91.4776382446289#93.10235595703125#89.39979553222656#89.39979553222656	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#3#1353#1456#1465	0#1#0#2#3	0#2#1#2#6	0#4#72#127#15	0#4#72#127#15	0#1#1#1#13	0#0#0#1#0	0#1#1#1#0	0#1#1#1#0	16364.882#16364.882#11961.487#22094.861#22094.861	909.1601#909.1601#664.5271#1227.4923#1227.4923	615.2211#615.2211#543.704#767.7751#767.7751	0.20507371#0.20507371#0.18123466#0.25592503#0.25592503	26.6#26.6#22.0#28.777779#28.777779	testRead.json
1395	9#10#12#17#20#21#20#22	0.08035431802272797#0.0018983815098181367#0.0#0.0#0.0#0.0#0.0#0.0	0.38968913201662275#0.16181737518994718#0.013855069548788575#1.0879592176451433E-6#5.941684806943139E-7#7.692519619880436E-8#5.941684806943139E-7#2.3564260540650187E-7	1#1#1#1#1#1#1#1	1#1#1#1#2#2#2#3	2#2#2#2#3#3#3#4	2#2#2#2#3#3#3#4	4.66#4.75#4.75#4.45#4.21#4.16#4.21#4.07	2#2#2#2#2#2#2#2	2#3#5#10#11#12#11#12	40.0#48.0#68.0#129.0#139.0#153.0#139.0#147.0	107.7779541015625#105.06006622314453#100.17830657958984#90.86909484863281#87.57701110839844#86.28759765625#87.57701110839844#85.43412780761719	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0	0#0#0#0#718#718#798#798	0#1#2#6#3#1#0#2	0#1#2#7#3#1#1#2	0#56#120#583#99#160#160#109	0#56#120#583#99#160#160#109	0#2#2#4#1#1#1#2	0#0#0#0#0#0#0#0	0#1#1#1#1#1#1#1	0#0#1#1#1#1#1#1	3529.3306#6016.5635#12749.105#34241.81#36235.01#44782.688#36235.01#39674.332	196.07391#334.25354#708.2836#1902.3228#2013.0562#2487.927#2013.0562#2204.1296	185.75424#225.62112#326.90015#661.6775#718.6196#790.99854#718.6196#771.4454	0.06191808#0.07520704#0.108966716#0.22055916#0.23953988#0.26366618#0.23953988#0.25714844	19.0#26.666668#39.0#51.75#50.423077#56.615387#50.423077#51.42857	runUpdate.json
