Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
238	22	6.48201908916235E-4	9.70277818196877E-8	2	6	8	9	5.47	4	11	141.0	83.9974365234375	0	1	3	0	0	0	0	0	0	0	0	0	34780.66	1932.2589	815.1717	0.2717239	42.666668	isKeySizeSupported.json
8932	3#3#3	0.6894334554672241#0.6641798615455627#0.6641798615455627	0.9438264182987732#0.9543884689053226#0.9543884689053226	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#1170#6859	0#1#0	0#2#0	0#4#0	0#4#0	0#4#0	0#0#0	0#1#0	0#1#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getPreference.json
7196	4#4#5#5#5	0.28348296880722046#0.28348296880722046#0.39289021492004395#0.37347710132598877#0.3779032826423645	0.30209848728142374#0.30209848728142374#0.3367442645573615#0.411977656696812#0.40611790203952636	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	2.0#2.0#1.96#1.96#1.96	0#0#0#0#0	2#2#2#2#2	29.0#29.0#30.0#29.0#29.0	123.02798461914062#123.02798461914062#119.16252136230469#119.41305541992188#119.41305541992188	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#5123#5123#5123#5278	0#0#1#1#1	0#0#1#2#2	0#0#6#7#5	0#0#6#7#5	0#0#395#393#362	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1379.4509#1379.4509#1538.0112#1379.4509#1379.4509	76.63616#76.63616#85.44507#76.63616#76.63616	129.32352#129.32352#135.70686#129.32352#129.32352	0.043107837#0.043107837#0.045235623#0.043107837#0.043107837	10.666667#10.666667#11.333334#10.666667#10.666667	fromString_at.json
238	11	0.026102563366293907	0.0056312853341818365	1	1	2	3	2.67	1	6	73.0	100.78462982177734	0	1	2	0	0	0	0	0	0	0	0	0	9776.785	543.1547	365.0	0.12166667	26.785713	rrsetListToRecords.json
1128	5#5#6	0.7532519698143005#0.7532519698143005#0.6339000463485718	0.6718970176641181#0.6718970176641181#0.570127642702434	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.6#1.49	0#0#0	1#1#1	21.0#21.0#26.0	121.54438018798828#121.54438018798828#117.37632751464844	0#0#0	0#0#0	0#0#0	0#0#890	0#0#1	0#0#1	0#0#88	0#0#88	0#1#169	0#0#0	0#0#0	0#0#0	600.85706#600.85706#1355.2257	33.380947#33.380947#75.29031	85.83672#85.83672#108.41805	0.028612241#0.028612241#0.03613935	7.0#7.0#12.5	val_cnametooptin.json
7972	15#19#19#19#19#19#19#22	0.07937795668840408#0.011658329516649246#0.011003553867340088#0.00919153168797493#0.00919153168797493#0.009190305136144161#0.01014566421508789#0.013789106160402298	7.765789568736877E-7#0.03398854293523048#0.0347843411687741#0.07298294069583873#0.07298294069583873#0.07243256834083985#0.07427958395658157#0.15045054735232408	3#4#4#4#4#4#2#2	8#8#8#7#7#7#6#6	11#12#12#11#11#11#8#8	4#6#6#6#6#6#6#6	4.18#3.86#3.86#3.86#3.86#3.86#3.86#3.69	3#3#3#3#3#3#3#3	7#9#9#9#9#9#9#9	123.0#79.0#79.0#75.0#75.0#75.0#75.0#78.0	92.29930877685547#90.73970794677734#90.73970794677734#91.05410766601562#91.05410766601562#91.05410766601562#91.05410766601562#88.47518157958984	0#0#0#0#0#0#0#0	1#2#2#2#2#2#2#2	3#3#3#3#3#3#3#3	0#58#735#2322#5899#5901#5902#5999	0#7#1#1#0#1#2#6	0#10#2#2#0#2#4#9	0#118#14#12#0#6#30#28	0#118#14#12#0#6#30#28	0#5#2#1#0#11#27#220	0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0	0#1#0#0#0#0#0#0	31344.959#10047.739#10047.739#10049.379#10049.379#10049.379#10049.379#10451.354	1741.3866#558.20776#558.20776#558.2988#558.2988#558.2988#558.2988#580.63074	679.39813#401.90958#401.90958#378.32956#378.32956#378.32956#378.32956#393.46274	0.22646604#0.13396986#0.13396986#0.12610985#0.12610985#0.12610985#0.12610985#0.13115424	46.136364#25.0#25.0#26.5625#26.5625#26.5625#26.5625#26.5625	byteArrayToString.json
42	13#13	0.0#0.0	0.9979076239306796#0.9978882413358784	1#1	1#1	2#2	2#2	2.72#2.72	1#1	8#8	7.0#7.0	118.86908721923828#118.86908721923828	0#0	0#0	5#5	0#21	0#4	0#8	0#31	0#31	0#58	0#0	0#1	0#1	21.0#21.0	1.1666666#1.1666666	7.0#7.0	0.0023333333#0.0023333333	3.0#3.0	testLargeMessageIsNotLargerThanMax.json
1416	10#10	0.017802994698286057#0.016931476071476936	0.015095508950320883#0.011116489143766405	0#0	0#0	0#0	3#3	2.53#2.53	1#1	6#6	67.0#68.0	102.97895812988281#102.84744262695312	0#0	2#2	3#3	0#1226	0#1	0#2	0#5	0#5	0#88	0#0	0#0	0#0	8857.551#8305.76	492.08615#461.4311	322.09277#330.3427	0.10736426#0.11011424	27.5#25.142859	expandSet.json
9640	20#22#32#32#37#38#24#23#22#22#22#22#22#22#22#22#26#30#37#34#28#28#28#28#28#28#30#30#29	0.0#0.0#0.0#0.0#0.0#0.0#0.006619390100240707#0.012335953302681446#0.021873287856578827#0.024196237325668335#0.023173997178673744#0.022973714396357536#0.021724795922636986#0.04356027767062187#0.023835713043808937#0.023835713043808937#0.008657349273562431#0.003540684934705496#7.6697813346982E-4#0.0012910282239317894#0.002016691491007805#0.001621318981051445#0.0016302713192999363#0.0016014116117730737#0.0016014116117730737#0.001676494488492608#0.0019819443114101887#0.0019819443114101887#0.0019530297722667456	1.0098481902703296E-11#3.3905196010451816E-12#2.118532691229509E-19#5.894947777178823E-19#1.3838771027789075E-19#2.223687305847203E-20#5.739890525888017E-9#4.890448836564571E-8#3.341920575601816E-7#4.5804801168947184E-7#3.2628601729824374E-7#2.90913635945952E-7#2.8677264657041865E-7#1.773004894207458E-6#3.745473270324914E-7#3.745473270324914E-7#1.458989973843074E-7#9.952420963647299E-9#5.2141483438745305E-11#1.4255628253955568E-10#5.10924743806289E-11#1.1392519090430859E-11#7.663289904975026E-12#1.3308439350385346E-11#1.3308439350385346E-11#7.24634649249275E-10#1.1758743476530712E-9#1.1758743476530712E-9#2.7604381638630167E-9	1#2#4#4#5#5#4#4#4#4#4#4#4#4#4#4#5#6#8#7#7#7#7#7#7#5#5#5#5	1#2#4#4#5#5#4#4#4#4#4#4#4#4#4#4#5#6#10#9#8#8#8#8#8#7#7#7#7	2#4#8#8#10#10#8#8#8#8#8#8#8#8#8#8#10#12#18#16#15#15#15#15#15#12#12#12#12	2#3#5#5#6#6#5#5#5#5#5#5#5#5#5#5#6#7#10#9#8#8#8#8#8#8#8#8#8	2.15#2.19#2.82#2.82#3.91#3.88#4.39#4.41#4.43#4.43#4.43#4.43#4.43#4.43#4.43#4.43#4.2#4.06#5.31#5.51#5.62#5.62#5.62#5.62#5.62#5.62#5.65#5.65#5.72	1#1#2#2#3#3#3#3#3#3#3#3#3#3#3#3#3#3#4#4#4#4#4#4#4#4#4#4#4	28#28#37#37#36#38#14#12#10#10#11#11#11#11#11#11#11#14#17#17#14#14#14#14#14#14#14#14#14	198.0#205.0#288.0#285.0#300.0#310.0#162.0#151.0#139.0#138.0#139.0#139.0#139.0#131.0#139.0#139.0#151.0#173.0#210.0#200.0#190.0#196.0#198.0#196.0#196.0#179.0#181.0#181.0#176.0	85.74827575683594#83.69847869873047#74.8835678100586#74.97563934326172#72.07106018066406#71.4505615234375#82.78590393066406#83.91431427001953#85.06502532958984#85.12818908691406#85.06502532958984#85.0400161743164#85.0400161743164#85.39888000488281#85.09063720703125#85.09063720703125#81.64871978759766#78.39322662353516#73.14139556884766#75.03727722167969#78.6369857788086#78.4346694946289#78.38187408447266#78.45478820800781#78.45478820800781#79.01129150390625#77.83583068847656#77.83583068847656#78.57583618164062	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#6#6#7#7#6#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#4	0#144#184#185#185#187#187#188#193#197#197#199#202#205#206#224#278#523#1069#1377#1384#1740#1751#1751#7567#7570#7667#7667#7780	0#2#12#1#12#1#1#1#1#2#1#4#1#2#3#1#8#4#10#1#5#2#2#1#0#4#4#0#1	0#2#14#2#19#1#16#3#3#4#2#8#2#4#6#2#12#4#13#5#16#4#4#2#0#8#6#0#3	0#42#449#44#203#49#614#60#47#15#7#18#4#26#24#10#100#132#269#73#253#67#12#8#0#40#28#0#50	0#42#449#44#203#49#614#60#47#15#7#18#4#26#24#10#100#132#269#73#253#67#12#8#0#40#28#0#50	0#3#30#2#1#1#6#2#2#2#1#23#11#10#6#16#1#2#3#5#2#1#6#5#0#27#220#0#51	0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0	0#1#0#1#1#0#1#0#0#0#0#0#0#0#0#1#0#0#1#0#0#0#1#0#0#0#0#0#0	0#1#0#1#0#0#1#0#0#0#0#0#0#0#0#1#0#0#1#0#0#0#1#0#0#0#0#0#0	47689.656#57417.33#92311.01#94814.914#98616.9#101223.8#30243.734#27583.652#23230.588#23483.84#23978.357#24303.424#24303.424#22478.402#23220.355#23220.355#28676.605#36765.926#51842.06#46958.84#45167.508#48080.285#48570.902#46634.223#46634.223#36700.25#37110.31#37110.31#35541.01	2649.4253#3189.8516#5128.389#5267.495#5478.717#5623.5444#1680.2075#1532.4252#1290.5883#1304.6577#1332.131#1350.1902#1350.1902#1248.8002#1290.0198#1290.0198#1593.1448#2042.5514#2880.1143#2608.8245#2509.306#2671.127#2698.3835#2590.79#2590.79#2038.9028#2061.6838#2061.6838#1974.5006	1067.6788#1125.83#1747.0337#1716.3749#1826.2389#1893.6426#936.58026#860.7664#792.36115#782.7947#792.36115#796.18097#796.18097#743.0877#788.4671#788.4671#868.98804#995.5956#1245.4548#1176.5287#1126.8401#1171.5469#1183.5015#1167.0225#1167.0225#1048.5786#1060.2946#1060.2946#1022.0945	0.35589296#0.37527665#0.5823446#0.57212496#0.6087463#0.6312142#0.31219342#0.28692213#0.26412037#0.26093155#0.26412037#0.26539364#0.26539364#0.24769591#0.26282236#0.26282236#0.2896627#0.3318652#0.41515163#0.39217624#0.37561336#0.39051563#0.3945005#0.38900748#0.38900748#0.3495262#0.35343152#0.35343152#0.34069815	44.666668#51.0#52.83871#55.24138#54.0#53.454544#32.291664#32.045456#29.318182#30.0#30.261904#30.525#30.525#30.25#29.449999#29.449999#33.0#36.928574#41.625#39.913044#40.083336#41.04#41.04#39.960003#39.960003#35.0#35.0#35.0#34.772728	sendUpdate.json
1327	7#7	5.53827325347811E-4#7.107697892934084E-4	6.568327859306946E-6#1.1523342581346683E-5	0#0	0#0	0#0	1#1	1.98#1.98	0#0	14#14	88.0#86.0	107.01969909667969#107.19673156738281	0#0	0#0	3#3	0#80	0#1	0#2	0#20	0#20	0#40	0#0	0#1	0#1	10812.487#10314.857	600.6937#573.0476	491.47668#475.02634	0.16382556#0.15834211	22.0#21.714285	lookupAsync_relativeQueryWithHostsNdots3.json
