Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
740	6	0.04070849344134331	0.2899355176852762	0	0	0	1	2.0	0	4	37.0	115.11836242675781	0	0	1	0	0	0	0	0	0	0	0	0	1721.5385	95.64102	167.3718	0.0557906	10.285714	testPropagatorProviderFactory.json
1406	27#27	0.0#0.0	2.1903319986292174E-25#3.430567661654129E-25	0#0	0#0	0#0	1#1	1.26#1.26	0#0	23#23	344.0#343.0	77.65062713623047#77.68474578857422	0#0	0#0	13#13	0#447	0#1	0#2	0#7	0#7	0#4	0#0	0#0	0#0	113503.76#109237.6	6305.764#6068.756	2079.2715#2065.672	0.6930905#0.6885574	54.588234#52.88235	testSimplifiedUrl.json
2243	3#3	3.089883830398321E-4#3.764853172469884E-4	0.07307939535797357#0.0731530487974111	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	37.0#37.0	126.2772445678711#126.2772445678711	0#0	2#2	0#0	0#1479	0#1	0#2	0#8	0#8	0#3	0#0	0#1	0#1	1425.0063#1425.0063	79.16702#79.16702	169.6436#169.6436	0.056547865#0.056547865	8.400001#8.400001	getEmptyUrl.json
2306	26#20#20#20#20	0.006046510301530361#0.009062175638973713#0.008561455644667149#0.010939217172563076#0.00994642823934555	1.3042748195284128E-5#2.6669324789286853E-5#2.679570815278342E-5#2.382218437992097E-5#2.367399069574825E-5	4#4#4#4#4	2#2#2#3#3	6#6#6#7#7	4#4#4#4#4	9.35#7.07#7.07#7.07#7.07	5#5#5#5#5	6#6#6#6#6	131.0#111.0#111.0#111.0#111.0	82.77754211425781#88.03437042236328#88.03437042236328#88.00875091552734#88.00875091552734	0#0#0#0#0	2#2#2#2#2	4#4#4#4#4	0#23#110#174#1250	0#13#1#1#1	0#34#2#2#2	0#304#3#34#12	0#304#3#34#12	0#13#16#4#7	0#1#0#0#0	0#1#1#1#1	0#1#1#1#1	23687.365#16436.896#16436.896#17927.883#17927.883	1315.9647#913.1609#913.1609#995.99347#995.99347	764.1086#629.6392#629.6392#632.74884#632.74884	0.25470287#0.20987974#0.20987974#0.21091628#0.21091628	31.0#26.105263#26.105263#28.333332#28.333332	scheduleServiceNamesLookup.json
5009	13#13#13#13#13#15#15#15#15#15	3.534037678036839E-4#3.534037678036839E-4#3.534037678036839E-4#3.534037678036839E-4#3.534037678036839E-4#2.53719394095242E-4#2.548732445575297E-4#0.0015454142121598125#0.0015037332195788622#0.0015064225299283862	0.037415405581145235#0.037415405581145235#0.037415405581145235#0.037415405581145235#0.037415405581145235#0.0011411115743876392#0.0011441539336623902#0.002285664586929938#0.0031378704408798726#0.00607849443199804	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	3.2#3.2#3.2#3.2#3.2#2.99#2.99#2.99#2.99#2.99	0#0#0#0#0#0#0#0#0#0	6#6#6#6#6#8#8#8#8#8	70.0#70.0#70.0#70.0#70.0#90.0#90.0#86.0#85.0#83.0	99.07783508300781#99.07783508300781#99.07783508300781#99.07783508300781#99.07783508300781#95.08553314208984#95.08553314208984#95.32193756103516#95.42872619628906#95.65028381347656	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#3#3#3#3#3	0#155#155#200#2430#2492#2639#2781#4050#4148	0#0#0#0#0#4#3#2#1#1	0#0#0#0#0#6#6#4#2#2	0#0#0#0#0#143#18#20#7#17	0#0#0#0#0#143#18#20#7#17	0#0#0#0#26#3#54#9#14#16	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0#0#0	0#0#0#0#0#0#1#0#0#0	7773.3525#7773.3525#7773.3525#7773.3525#7773.3525#11520.135#11520.135#10248.947#9562.5#8247.256	431.8529#431.8529#431.8529#431.8529#431.8529#640.0075#640.0075#569.386#531.25#458.18088	329.0308#329.0308#329.0308#329.0308#329.0308#453.99545#453.99545#433.81787#425.0#407.2719	0.10967693#0.10967693#0.10967693#0.10967693#0.10967693#0.15133181#0.15133181#0.14460596#0.14166667#0.1357573	23.625#23.625#23.625#23.625#23.625#25.375#25.375#23.625#22.5#20.25	testSelect_Invokersize0.json
984	4	0.7051799893379211	0.8018940749934739	0	0	0	1	1.73	0	1	19.0	126.04888916015625	0	1	0	0	0	0	0	0	0	0	0	0	530.49146	29.471748	72.339745	0.024113249	7.3333335	sayName.json
970	4	0.6959069967269897	0.7966199692628844	0	0	0	1	1.73	0	0	18.0	126.19583892822266	0	0	0	0	0	0	0	0	0	0	0	0	421.94415	23.441341	70.32403	0.023441343	6.0	isValid.json
832	6	0.009571518748998642	0.04143177815355347	0	0	0	1	2.0	0	6	51.0	113.68675231933594	0	0	0	0	0	0	0	0	0	0	0	0	4408.3667	244.90926	220.41833	0.073472776	20.0	testGetDesc.json
1453	20#20#20	0.005849488545209169#0.005849488545209169#0.002839757828041911	2.3099692737408187E-7#2.3099692737408187E-7#8.340719165260534E-8	7#7#8	4#4#5	11#11#13	5#5#5	4.81#4.81#4.81	3#3#3	12#12#13	133.0#133.0#137.0	86.74186706542969#86.74186706542969#86.54264831542969	0#0#0	0#0#0	7#7#7	0#159#395	0#0#1	0#0#2	0#0#30	0#0#30	0#7#1	0#0#0	0#0#1	0#0#1	34489.66#34489.66#38892.49	1916.0923#1916.0923#2160.6938	772.37823#772.37823#802.5434	0.2574594#0.2574594#0.26751447	44.653847#44.653847#48.46154	computeAttributedMethods.json
1400	5#4	0.5717508792877197#0.7374716997146606	0.7708573693329583#0.8620866604476833	0#0	0#0	0#0	1#1	1.96#1.73	0#0	2#1	21.0#16.0	121.6568603515625#126.94251251220703	0#0	0#0	0#0	0#61	0#0	0#1	0#31	0#31	0#10	0#0	0#0	0#0	546.0#365.50607	30.333334#20.305893	84.0#60.91768	0.028#0.020305892	6.5#6.0	afterAll.json
