Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
969	3#3#3#3	0.02356588840484619#0.02356588840484619#0.02356588840484619#0.02356588840484619	0.8279478706781348#0.8279478706781348#0.8279478706781348#0.8279478706781348	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0	1#1#1#1	0#0#0#0	0#0#0#1634	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#6#128#0	0#0#0#0	0#0#0#1	0#0#0#0	776.70044#776.70044#776.70044#776.70044	43.150024#43.150024#43.150024#43.150024	64.72504#64.72504#64.72504#64.72504	0.021575011#0.021575011#0.021575011#0.021575011	12.0#12.0#12.0#12.0	setOverrideDefaultInitialization.json
1085	10#10#10#10#10#10#10	0.31790339946746826#0.31790339946746826#0.31790339946746826#0.31790339946746826#0.31790339946746826#0.31790339946746826#0.31790339946746826	0.07777494020276214#0.07777494020276214#0.07777494020276214#0.07777494020276214#0.07777494020276214#0.07777494020276214#0.07777494020276214	3#3#3#3#3#3#3	2#2#2#2#2#2#2	5#5#5#5#5#5#5	3#3#3#3#3#3#3	2.8#2.8#2.8#2.8#2.8#2.8#2.8	2#2#2#2#2#2#2	1#1#1#1#1#1#1	60.0#60.0#60.0#60.0#60.0#60.0#60.0	103.73269653320312#103.73269653320312#103.73269653320312#103.73269653320312#103.73269653320312#103.73269653320312#103.73269653320312	0#0#0#0#0#0#0	2#2#2#2#2#2#2	1#1#1#1#1#1#1	0#0#116#116#693#698#1750	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#1#0#19#1#1#0	0#0#0#0#0#0#0	0#0#0#0#1#1#1	0#0#0#0#1#0#0	8358.94#8358.94#8358.94#8358.94#8358.94#8358.94#8358.94	464.3856#464.3856#464.3856#464.3856#464.3856#464.3856#464.3856	278.63135#278.63135#278.63135#278.63135#278.63135#278.63135#278.63135	0.09287711#0.09287711#0.09287711#0.09287711#0.09287711#0.09287711#0.09287711	30.0#30.0#30.0#30.0#30.0#30.0#30.0	nextDouble.json
603	3#3	0.4380590319633484#0.4380590319633484	0.871442568460928#0.871442568460928	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#1268	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setPriorityQueue.json
1871	3#3#3#3#3	0.5704566836357117#0.5704566836357117#0.5704566836357117#0.5863351225852966#0.5863351225852966	0.5845637393088177#0.5845637393088177#0.5845637393088177#0.519929430935626#0.519929430935626	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	3#3#3#2#2	21.0#21.0#21.0#23.0#23.0	129.81976318359375#129.81976318359375#129.81976318359375#129.2428436279297#129.2428436279297	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#902#902#1506#2536	0#0#0#1#0	0#0#0#2#0	0#0#0#3#0	0#0#0#3#0	0#0#19#66#0	0#0#0#0#0	0#0#0#0#1	0#0#0#0#0	643.77545#643.77545#643.77545#767.26624#767.26624	35.765305#35.765305#35.765305#42.6259#42.6259	85.83672#85.83672#85.83672#95.90828#95.90828	0.028612241#0.028612241#0.028612241#0.031969428#0.031969428	7.5#7.5#7.5#8.0#8.0	getRandomSize.json
744	3#3	0.09936338663101196#0.09936338663101196	0.8927591257160571#0.8927591257160571	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	13.0#13.0	132.9956512451172#132.9956512451172	0#0	0#0	0#0	0#1409	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	209.72032#209.72032	11.651129#11.651129	46.604515#46.604515	0.015534839#0.015534839	4.5#4.5	resetNumConstructorCalled.json
603	3#3	0.8026288151741028#0.8026288151741028	0.8921025581487975#0.8921025581487975	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	14.0#14.0	132.4454345703125#132.4454345703125	0#0	0#0	0#0	0#1268	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	284.93387#284.93387	15.829659#15.829659	51.806156#51.806156	0.01726872#0.01726872	5.5#5.5	getStack.json
603	3#3	0.9170398712158203#0.9170398712158203	0.8511279610951237#0.8511279610951237	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#1268	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setI.json
603	3#3	0.6958458423614502#0.6958458423614502	0.8693348220135759#0.8693348220135759	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#1268	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setVector.json
2428	4#4#4#4#4#4#4#4#3#3#3#3	0.18809162080287933#0.47970616817474365#0.47970616817474365#0.4801325500011444#0.4801325500011444#0.4801325500011444#0.48055893182754517#0.48055893182754517#0.4067266881465912#0.4067266881465912#0.4067266881465912#0.4067266881465912	0.3893795401896715#0.6305577208776877#0.6305577208776877#0.5837516824167486#0.5837516824167486#0.5837516824167486#0.5291575010941679#0.5291575010941679#0.620884276050486#0.620884276050486#0.620884276050486#0.620884276050486	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	2.0#2.0#2.0#2.0#2.0#2.0#2.0#2.0#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0#0#0#0#0	3#2#2#2#2#2#2#2#2#2#2#2	31.0#26.0#26.0#27.0#27.0#27.0#28.0#28.0#23.0#23.0#23.0#23.0	122.76004028320312#123.94486236572266#123.94486236572266#123.65223693847656#123.65223693847656#123.65223693847656#123.37332153320312#123.37332153320312#129.34671020507812#129.34671020507812#129.34671020507812#129.34671020507812	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#0#0#0#0	0#126#140#271#276#279#281#322#331#1459#1459#3093	0#2#0#1#0#0#1#0#1#0#0#0	0#4#0#2#0#0#2#0#3#0#0#0	0#43#0#6#0#0#9#0#53#0#0#0	0#43#0#6#0#0#9#0#53#0#0#0	0#10#0#6#0#0#11#7#3#0#19#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#0#0#0	2025.4073#1138.3895#1138.3895#1290.308#1290.308#1290.308#1452.1678#1452.1678#877.44214#877.44214#877.44214#877.44214	112.52263#63.243862#63.243862#71.68378#71.68378#71.68378#80.675995#80.675995#48.746784#48.746784#48.746784#48.746784	136.16183#108.41805#108.41805#114.694046#114.694046#114.694046#121.013985#121.013985#94.01165#94.01165#94.01165#94.01165	0.04538728#0.03613935#0.03613935#0.03823135#0.03823135#0.03823135#0.040337995#0.040337995#0.031337216#0.031337216#0.031337216#0.031337216	14.875#10.5#10.5#11.25#11.25#11.25#12.0#12.0#9.333334#9.333334#9.333334#9.333334	isStatic.json
603	3#3	0.6820957064628601#0.6820957064628601	0.8684890969980954#0.8684890969980954	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	14.0#14.0	132.4454345703125#132.4454345703125	0#0	0#0	0#0	0#1268	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	284.93387#284.93387	15.829659#15.829659	51.806156#51.806156	0.01726872#0.01726872	5.5#5.5	getFirstName.json
