Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2925	44#44#44#44#44#44#44#45	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	0.9999999887520711#0.9999999886923375#0.9999999892120238#0.9999999891936603#0.9999999891864414#0.9999999890779127#0.9999999890658641#0.9999999926313832	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	2.38#2.38#2.38#2.38#2.38#2.38#2.38#2.36	1#1#1#1#1#1#1#1	35#35#35#35#35#35#35#36	10.0#10.0#10.0#10.0#10.0#10.0#10.0#10.0	92.1250228881836#92.1250228881836#92.1250228881836#92.1250228881836#92.1250228881836#92.1250228881836#92.1250228881836#91.7609634399414	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	10#10#10#10#10#10#10#10	0#40#55#241#549#1339#1624#2650	0#3#6#2#1#1#3#4	0#6#12#4#2#2#6#7	0#18#334#20#6#22#3#167	0#18#334#20#6#22#3#167	0#11#11#22#14#2#8#13	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	21.055162#21.055162#21.055162#21.055162#21.055162#21.055162#21.055162#21.055162	1.1697313#1.1697313#1.1697313#1.1697313#1.1697313#1.1697313#1.1697313#1.1697313	28.07355#28.07355#28.07355#28.07355#28.07355#28.07355#28.07355#28.07355	0.00935785#0.00935785#0.00935785#0.00935785#0.00935785#0.00935785#0.00935785#0.00935785	0.75#0.75#0.75#0.75#0.75#0.75#0.75#0.75	testKeyedCEPOperatorNFAUpdateWithRocksDB.json
1448	11#11#11#11#11#8	0.021109411492943764#0.022256974130868912#0.018287798389792442#0.0180982518941164#0.029087642207741737#0.03793494775891304	2.1793392288235732E-7#2.1665375879113759E-7#3.178240544585797E-7#2.381697290715727E-7#3.8705342778337107E-7#7.450905417190128E-7	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.78#1.78#1.78#1.78#1.78#1.94	0#0#0#0#0#0	13#13#14#14#14#15	112.0#112.0#110.0#111.0#109.0#100.0	98.28764343261719#98.28764343261719#98.38134002685547#98.31041717529297#98.4288330078125#104.11095428466797	0#0#0#0#0#0	0#0#0#0#0#0	4#4#4#4#4#2	0#0#206#273#624#1260	0#1#1#1#1#1	0#2#2#2#2#5	0#8#19#10#30#233	0#8#19#10#30#233	0#3#8#9#12#28	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	20257.203#20257.203#19895.469#19679.746#19714.6#16591.844	1125.4001#1125.4001#1105.3038#1093.3192#1095.2555#921.7691	644.5474#644.5474#633.03766#641.7309#627.2828#567.24255	0.21484914#0.21484914#0.21101256#0.2139103#0.20909426#0.18908085	31.42857#31.42857#31.42857#30.666666#31.42857#29.25	testDuplicateJobSubmissionWithRunningJobId.json
421	3	0.5963376760482788	0.90493258514128	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getRefreshHandlerDesc.json
771	8	0.030324680730700493	0.09541267990125334	0	0	0	1	3.12	1	7	50.0	108.75569152832031	0	0	2	0	0	0	0	0	0	0	0	0	4643.8564	257.99203	232.19281	0.0773976	20.0	recycleRequestedBuffers.json
198	8	4.2100739665329456E-4	3.2737619822214186E-5	0	0	0	1	1.73	0	6	86.0	105.22689819335938	0	3	3	0	0	0	0	0	0	0	0	0	11406.938	633.7188	457.68582	0.15256195	24.923077	checkSstDataAgainstKeyGroupRange.json
2452	4	0.012760601937770844	0.1685527359038789	0	0	0	1	2.0	0	0	34.0	122.12659454345703	0	1	0	0	0	0	0	0	0	0	0	0	2563.3516	142.40842	153.8011	0.051267035	16.666666	setOfferSlotsFunction.json
205	4	0.5003144145011902	0.9336526444095868	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	isDeterministic.json
561	3	0.6737861633300781	0.9266843225628846	0	0	0	1	0.0	0	0	12.0	133.59722900390625	0	1	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	emitRecordAttributes.json
3023	3#3	0.720876932144165#0.7629683613777161	0.9409684922837023#0.8411926535886646	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#1	11.0#15.0	134.26058959960938#132.086669921875	0#0	0#0	0#0	0#1093	0#1	0#2	0#11	0#11	0#3	0#0	0#0	0#0	146.16483#277.533	8.120268#15.418499	36.541206#55.506596	0.012180402#0.018502198	4.0#5.0	getWindowTime.json
3660	3#4#4#3#3#4#3	0.921122670173645#0.5863105058670044#0.5863105058670044#0.8431612849235535#0.22543686628341675#0.44431087374687195#0.03727004677057266	0.8915769625209008#0.852416583156721#0.852416583156721#0.9342486294842337#0.9170155137533215#0.9218973559559538#0.7942962170801228	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.73#1.73#1.89#1.89#1.73#1.89	0#0#0#0#0#0#0	0#0#0#0#0#0#1	15.0#18.0#18.0#12.0#12.0#13.0#17.0	132.086669921875#126.19583892822266#126.19583892822266#133.59722900390625#133.59722900390625#128.335205078125#131.43582153320312	0#0#0#0#0#0#0	1#1#1#0#0#0#0	0#0#0#0#0#0#0	0#113#117#223#433#463#1385	0#3#0#2#2#1#1	0#5#0#5#4#1#3	0#44#0#43#20#10#37	0#44#0#43#20#10#37	0#12#0#8#41#14#5	0#0#0#0#0#0#0	0#0#1#0#0#0#0	0#0#1#0#0#0#0	312.2246#703.2403#703.2403#186.80931#186.80931#233.02258#345.99112	17.345812#39.068905#39.068905#10.378295#10.378295#12.945699#19.22173	55.506596#70.32403#70.32403#41.51318#41.51318#46.604515#62.907475	0.018502198#0.023441343#0.023441343#0.013837727#0.013837727#0.015534839#0.020969158	5.625#10.0#10.0#4.5#4.5#5.0#5.5	getCurrentKeyGroupIndex.json
