Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
146	10	0.013768775388598442	1.2890752477320662E-4	0	0	0	1	1.83	0	10	85.0	101.82347106933594	0	0	5	0	0	0	0	0	0	0	0	0	8940.987	496.72153	439.44363	0.14648122	20.346153	updateOwnerMailAndTel_fail.json
146	6	0.18769985437393188	0.06005657674782514	0	0	0	1	2.0	0	6	44.0	114.08087921142578	0	0	1	0	0	0	0	0	0	0	0	0	2171.0027	120.61126	204.32967	0.06810989	10.625	signUp_fail2.json
219	3#3	0.6066483855247498#0.6485684514045715	0.7975498579949528#0.7510135573290239	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	18.0#18.0	130.99049377441406#130.85629272460938	0#0	1#1	0#0	0#1	0#1	0#2	0#12	0#12	0#2	0#0	0#0	0#0	428.32742#483.4777	23.795967#26.85987	68.53239#70.32403	0.022844128#0.023441343	6.25#6.875	getMemberInfo.json
104	4	0.14024224877357483	0.2846650997750642	0	0	0	1	2.0	0	2	32.0	122.5160903930664	0	2	1	0	0	0	0	0	0	0	0	0	1712.4218	95.134544	142.70181	0.04756727	12.0	isOwnerOrder.json
177	5#5	0.02831610105931759#0.40150725841522217	0.05322084517107389#0.5085124988286336	0#0	0#0	0#0	1#1	1.96#1.96	0#0	1#1	44.0#28.0	116.97151184082031#119.67438507080078	0#0	0#0	1#1	0#26	0#2	0#4	0#99	0#99	0#10	0#0	0#0	0#0	2094.046#1306.7144	116.335884#72.595245	206.81935#122.984886	0.06893978#0.04099496	10.125#10.625	getShopCategories.json
121	3	0.4799371659755707	0.5717616983655174	0	0	0	1	1.89	0	1	21.0	129.81976318359375	0	1	0	0	0	0	0	0	0	0	0	0	697.4234	38.745743	85.83672	0.028612241	8.125	getOwnerTokens.json
127	4#6	0.3141370117664337#0.4869905412197113	0.3019258955788934#0.06266843351647888	0#0	0#0	0#0	1#1	2.0#1.89	0#0	2#4	30.0#46.0	122.93054962158203#113.78675079345703	0#0	2#2	1#3	0#5	0#3	0#4	0#157	0#157	0#4	0#0	0#0	0#0	1686.6498#3814.7424	93.70277#211.93013	131.76952#216.22023	0.043923173#0.07207341	12.8#17.642857	deliveryPrice.json
103	9	0.018538959324359894	0.0023028039434912916	3	1	4	2	2.51	1	8	69.0	104.51256561279297	0	2	1	0	0	0	0	0	0	0	0	0	7605.181	422.51007	348.0632	0.11602107	21.85	signIn.json
104	9#9	0.018151668831706047#0.015840163454413414	8.992719255575406E-4#1.9062485366139453E-4	3#3	1#1	4#4	2#2	2.67#2.67	1#1	4#4	68.0#75.0	104.46066284179688#103.83628845214844	0#0	3#3	1#1	0#3	0#1	0#2	0#28	0#28	0#30	0#0	0#0	0#0	8964.65#8919.116	498.03613#495.50647	351.5549#396.40518	0.11718497#0.13213506	25.5#22.5	orderApprove.json
186	3	0.07778708636760712	0.45316518300135106	0	0	0	1	1.89	0	1	23.0	129.2428436279297	0	2	0	0	0	0	0	0	0	0	0	0	1007.0369	55.946495	95.90828	0.031969428	10.5	setLoginMemberId.json
