Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
728	3	0.10926376283168793	0.4824289953242335	0	0	0	1	1.89	0	0	23.0	129.2428436279297	0	0	0	0	0	0	0	0	0	0	0	0	623.4038	34.633545	95.90828	0.031969428	6.5	denyDelete.json
965	5	0.6150688529014587	0.03744535875422245	0	0	0	1	1.96	0	2	45.0	116.79476165771484	0	2	2	0	0	0	0	0	0	0	0	0	3557.2502	197.62502	213.96994	0.07132331	16.625	createApiExceptionFromErrors.json
563	33	0.0	8.819424152694475E-11	11	10	21	11	4.59	3	22	213.0	75.09087371826172	0	2	4	0	0	0	0	0	0	0	0	0	75928.37	4218.2427	1169.7648	0.38992158	64.90909	allowsForLowerThan.json
563	4	0.9862524271011353	0.4698534996624013	0	0	0	1	1.73	0	1	26.0	123.75868225097656	0	1	0	0	0	0	0	0	0	0	0	0	1123.7013	62.42785	112.37013	0.03745671	10.0	handleCombineSubschemaNoMatch.json
1615	4#4#4	0.423988401889801#0.39912596344947815#0.5903886556625366	0.3904999351275722#0.4509052517329042#0.5035973252958922	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	3#3#3	26.0#25.0#24.0	123.8484878540039#124.1488037109375#124.4649429321289	0#0#0	0#0#0	0#0#0	0#946#1052	0#1#2	0#2#4	0#7#22	0#7#22	0#284#79	0#0#0	0#0#1	0#0#1	1242.5189#1094.6053#1144.4895	69.02883#60.81141#63.58275	110.44612#104.24813#98.099106	0.036815375#0.034749378#0.0326997	11.25#10.5#11.666666	testIntegerStaysInteger_success.json
1615	21#21	7.052188739180565E-4#7.052188739180565E-4	1.9167800520907136E-10#1.8916658724308373E-10	4#4	2#2	6#6	6#6	3.38#3.38	2#2	11#11	161.0#161.0	84.5013198852539#84.5013198852539	0#0	3#3	1#1	0#946	0#1	0#2	0#6	0#6	0#284	0#0	0#0	0#0	27490.617#27490.617	1527.2565#1527.2565	976.6404#976.6404	0.3255468#0.3255468	28.148148#28.148148	performStaging.json
1294	27#27#27#27#27	0.0#0.0#0.0#0.0#0.0	6.071937922270805E-23#9.355127106455688E-23#4.9750106341809606E-23#9.355127106455688E-23#4.97698270653475E-23	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.42#1.42#1.42#1.42#1.42	0#0#0#0#0	47#47#47#47#47	317.0#316.0#318.0#316.0#318.0	78.05703735351562#78.09210205078125#78.04066467285156#78.09210205078125#78.04066467285156	0#0#0#0#0	0#0#0#0#0	4#4#4#4#4	0#625#948#948#962	0#1#1#1#1	0#2#2#2#2	0#7#24#24#24	0#7#24#24#24	0#284#57#57#73	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	210130.4#204277.56#198596.83#204277.56#198596.83	11673.911#11348.754#11033.157#11348.754#11033.157	1922.9503#1910.0286#1929.0164#1910.0286#1929.0164	0.64098346#0.6366762#0.64300543#0.6366762#0.64300543	109.275#106.950005#102.952385#106.950005#102.952385	testChangeOwnerStaging.json
1553	39#39#39#39#39#39	0.0#0.0#0.0#0.0#0.0#0.0	1.0123675242122368E-29#1.0136945293884208E-29#2.2149909270595263E-29#5.9867316266805746E-30#2.2149909270595263E-29#5.9953126632215095E-30	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	1.57#1.57#1.57#1.57#1.57#1.57	1#1#1#1#1#1	51#51#51#51#51#51	384.0#384.0#383.0#389.0#383.0#389.0	70.42262268066406#70.42262268066406#70.47156524658203#70.39073181152344#70.47156524658203#70.39073181152344	0#0#0#0#0#0	0#0#0#0#0#0	10#10#10#10#10#10	0#0#884#1207#1207#1221	0#1#2#3#3#3	0#2#4#6#6#6	0#15#29#89#89#89	0#15#29#89#89#89	0#100#284#57#57#73	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	242320.64#242320.64#239266.23#236582.38#239266.23#236582.38	13462.258#13462.258#13292.568#13143.465#13292.568#13143.465	2540.0486#2540.0486#2516.2546#2555.6738#2516.2546#2555.6738	0.84668285#0.84668285#0.83875155#0.8518913#0.83875155#0.8518913	95.4#95.4#95.08824#92.57143#95.08824#92.57143	testDeleteLatestSchemaVersionStagedSchemaDeleteSub_negative.json
1615	7	0.027420055121183395	0.026755566120388295	0	0	0	2	2.56	1	2	50.0	110.30465698242188	0	1	2	0	0	0	0	0	0	0	0	0	6075.0	337.5	250.0	0.083333336	24.3	buildEventContext.json
1615	10	0.23899953067302704	0.009431681026960766	1	2	3	3	4.4	2	3	62.0	103.22579956054688	0	2	0	0	0	0	0	0	0	0	0	0	5305.494	294.74966	307.1602	0.10238673	17.272728	getFrameworkConfigTemplate.json
