Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4130	7#3	0.48270297050476074#0.06508795917034149	0.5023758583907231#0.22112975015748504	0#0	0#0	0#0	2#1	3.02#1.89	1#0	2#2	33.0#30.0	113.13916015625#127.76480865478516	0#0	0#0	0#0	0#3437	0#1	0#6	0#120	0#120	0#43	0#0	0#1	0#1	1304.5183#1019.5026	72.473236#56.639034	144.94647#127.43783	0.04831549#0.042479277	9.0#8.0	testEquals_setOfNonInstantiable.json
5055	3#3#3#3	0.8246427178382874#0.8246427178382874#0.8246427178382874#0.8246427178382874	0.8060626011769346#0.8060626011769346#0.8060626011769346#0.8060626011769346	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0	0#0#0#0	0#0#0#0	0#22#28#28	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#1	0#0#0#0	0#0#0#0	0#0#0#0	259.0308#259.0308#259.0308#259.0308	14.390599#14.390599#14.390599#14.390599	51.806156#51.806156#51.806156#51.806156	0.01726872#0.01726872#0.01726872#0.01726872	5.0#5.0#5.0#5.0	customWeigher.json
5084	4#3	0.8138190507888794#0.8991474509239197	0.9441489767012721#0.9583462078139713	0#0	0#0	0#0	1#1	1.73#0.0	0#0	1#0	13.0#10.0	128.5205535888672#134.999755859375	0#0	0#0	0#0	0#350	0#0	0#1	0#21	0#21	0#25	0#1	0#1	0#1	224.86305#126.797	12.492392#7.0442777	44.97261#31.69925	0.01499087#0.010566416	5.0#4.0	doStart.json
4668	22#23#23#23#23#23#11#11	0.2088114619255066#0.184065043926239#0.18294945359230042#0.18698245286941528#0.18294945359230042#0.18698245286941528#0.03139722719788551#0.04298722743988037	0.12056584066827565#0.05253010784175657#0.07003092041769704#0.16515686030393778#0.07003092041769704#0.16515686030393778#0.007188652749555063#0.007202006190081548	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	3.28#3.49#3.49#3.49#3.49#3.49#2.67#2.67	1#1#1#1#1#1#1#1	5#5#5#5#5#5#9#9	84.0#89.0#88.0#84.0#88.0#84.0#67.0#67.0	89.15304565429688#88.01335144042969#88.1103744506836#88.43292236328125#88.1103744506836#88.43292236328125#101.6446533203125#101.6446533203125	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2	0#833#1035#1156#1159#1173#1238#4453	0#1#1#1#1#1#5#1	0#1#2#2#2#2#25#2	0#37#10#20#20#20#430#2	0#37#10#20#20#20#430#2	0#61#22#63#63#65#130#3	0#0#0#0#0#0#0#0	0#0#1#0#0#0#1#1	0#0#1#0#0#0#1#1	13536.179#13136.219#12463.618#13536.179#12463.618#13536.179#7532.001#7532.001	752.00995#729.7899#692.4232#752.00995#692.4232#752.00995#418.4445#418.4445	430.85977#467.06555#458.43192#430.85977#458.43192#430.85977#337.9744#337.9744	0.14361992#0.15568852#0.15281063#0.14361992#0.15281063#0.14361992#0.112658136#0.112658136	31.416668#28.125#27.1875#31.416668#27.1875#31.416668#22.285715#22.285715	testSuccessfulAsList_resultCancelledRacingInputDone.json
3821	5#5#5#6#6	0.035997044295072556#0.11866118013858795#0.05589568614959717#0.06506871432065964#0.06506871432065964	0.0459801709033248#0.08209423546927781#0.048604723383729835#0.0502297883283527#0.05061356984213943	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.96#2.0#2.0	0#0#0#0#0	5#5#6#6#6	44.0#41.0#44.0#45.0#45.0	116.91162109375#117.40169525146484#116.97151184082031#113.84114837646484#113.84114837646484	0#0#0#0#0	0#0#0#0#0	2#2#2#2#2	0#391#712#3288#3450	0#2#1#1#1	0#4#2#1#2	0#21#18#18#1	0#21#18#18#1	0#130#63#66#26	0#0#0#0#0	0#1#0#0#1	0#1#0#0#1	3682.185#3498.5652#3981.2725#4306.145#4306.145	204.56584#194.36473#221.18181#239.23029#239.23029	209.21506#190.3981#206.81935#213.96994#213.96994	0.06973835#0.063466035#0.06893978#0.07132331#0.07132331	17.6#18.375#19.25#20.125#20.125	testTransformAsync_genericsWildcard_asyncFunction.json
3471	18#18#18#19#19#15#16#10	0.0015845844754949212#0.002424786565825343#0.001161166001111269#0.001155771897174418#0.001155771897174418#4.3982351780869067E-4#5.187884089536965E-4#0.00788756925612688	3.10847216134962E-6#7.329865041302405E-6#2.1812643592440947E-6#2.2433658178494842E-6#2.250995631204371E-6#8.920790170561024E-7#9.436257188175945E-7#2.721541469358223E-4	1#1#1#1#1#1#1#0	1#1#1#1#1#1#1#0	2#2#2#2#2#2#2#0	3#3#3#3#3#2#2#1	2.75#2.75#2.75#2.87#2.87#2.92#2.99#2.56	1#1#1#1#1#1#1#1	9#9#11#11#11#11#11#8	121.0#117.0#123.0#124.0#124.0#121.0#122.0#79.0	89.75336456298828#89.96080017089844#89.6681137084961#88.71842956542969#88.71842956542969#92.9696044921875#91.84864807128906#102.12625885009766	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	5#5#5#5#5#5#5#2	0#41#362#2938#3100#3189#3289#3298	0#2#2#1#1#1#1#6	0#4#4#1#2#6#1#18	0#16#36#18#1#98#21#284	0#16#36#18#1#98#21#284	0#130#63#66#26#76#4#4	0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0	0#1#0#0#1#0#0#0	21965.52#21198.277#23126.467#24167.81#24167.81#20879.053#21846.14#8844.508	1220.3066#1177.6821#1284.8037#1342.6561#1342.6561#1159.9474#1213.6744#491.36154	656.57806#630.9011#667.43054#676.96954#676.96954#652.4704#662.0043#414.58627	0.21885936#0.21030037#0.22247684#0.22565651#0.22565651#0.21749014#0.22066809#0.13819543	33.454544#33.6#34.649998#35.699997#35.699997#32.0#33.0#21.333334	testCatchingAsync_stackOverflow.json
3821	5	0.23777024447917938	0.6305077337364989	0	0	0	1	1.96	0	1	26.0	120.43379974365234	0	0	1	0	0	0	0	0	0	0	0	0	991.89105	55.105057	106.27403	0.035424676	9.333334	testCatchingAsync_fallbackReturnsCheckedException.json
5084	3	0.0	0.026004422126601753	0	0	0	1	1.89	0	4	43.0	125.71898651123047	0	0	0	0	0	0	0	0	0	0	0	0	2596.9575	144.27542	188.86964	0.06295655	13.75	factoryWithAllKeyStrengths.json
3023	5	0.7496551871299744	0.6463836494933433	1	1	2	2	2.99	1	2	24.0	120.73249816894531	0	0	0	0	0	0	0	0	0	0	0	0	624.0	34.666668	96.0	0.032	6.5	postReadCleanup.json
3023	3#3	0.9190464615821838#0.9190464615821838	0.8618142127757283#0.8618142127757283	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	13.0#13.0	132.9956512451172#132.9956512451172	0#0	0#0	0#0	0#228	0#0	0#0	0#0	0#0	0#54	0#0	0#1	0#1	256.32483#256.32483	14.240269#14.240269	46.604515#46.604515	0.015534839#0.015534839	5.5#5.5	base64.json
