Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2923	8#8	0.0659998208284378#0.0625380203127861	0.01683652248455644#0.01744815088498082	0#0	0#0	0#0	1#1	1.94#1.94	0#0	10#10	59.0#59.0	107.89501953125#107.89501953125	0#0	0#0	3#3	0#18	0#1	0#2	0#10	0#10	0#25	0#0	0#0	0#0	4383.8003#4383.8003	243.54446#243.54446	273.98752#273.98752	0.09132917#0.09132917	16.0#16.0	emptyParentShouldBeIgnored.json
2005	14	0.0016400142339989543	2.150380253895406E-5	0	0	0	1	1.64	0	12	99.0	95.23572540283203	0	0	3	0	0	0	0	0	0	0	0	0	12593.233	699.6241	546.83264	0.18227755	23.029411	SSLSkipVerify.json
1873	4#4	0.44858700037002563#0.37745702266693115	0.38123522774878205#0.49841429071900967	2#0	1#0	3#0	2#1	1.73#1.73	0#0	1#1	26.0#22.0	123.52867889404297#124.81353759765625	0#0	1#1	0#0	0#12	0#1	0#2	0#37	0#37	0#8	0#0	0#1	0#1	1573.1819#1146.7295	87.398994#63.707195	112.37013#91.73836	0.03745671#0.030579453	14.0#12.5	setPassphraseKey.json
502	3	0.24124658107757568	0.8972745630727839	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDisableChildPoliciesOverride.json
1902	16#16	0.006526714190840721#0.00518304668366909	6.373587211555286E-8#6.420722859660883E-9	1#1	1#1	2#2	3#3	3.73#3.73	2#2	15#15	127.0#136.0	91.05683898925781#90.59148406982422	0#0	2#2	0#1	0#79	0#2	0#4	0#52	0#52	0#1	0#0	0#0	0#0	24533.854#29865.877	1362.9918#1659.2153	737.53406#806.5803	0.24584469#0.2688601	33.264706#37.02778	authenticate.json
1570	10#11#11	0.008536186069250107#0.003109441138803959#0.0031726739834994078	6.763400422883131E-4#2.196904242499625E-4#2.1869876235659238E-4	0#0#0	0#0#0	0#0#0	2#2#2	2.53#2.41#2.41	1#1#1	6#5#5	75.0#82.0#82.0	102.2047119140625#100.08560943603516#100.08560943603516	0#0#0	1#2#2	1#2#2	0#1068#1352	0#6#1	0#11#2	0#125#5	0#125#5	0#33#3	0#0#0	0#1#0	0#1#1	8295.053#10182.623#10182.623	460.83627#565.7013#565.7013	390.709#436.3981#436.3981	0.13023634#0.14546603#0.14546603	21.230768#23.333334#23.333334	setTokenExpiry.json
1459	4	0.36140620708465576	0.5870573389134299	0	0	0	1	1.73	0	2	23.0	124.48601531982422	0	0	0	0	0	0	0	0	0	0	0	0	732.7675	40.709305	97.70234	0.032567445	7.5	getSensitiveVariables.json
2922	8#10#10	0.014258545823395252#0.005184351000934839#0.010373866185545921	0.0025273130871512586#6.480908536099952E-4#0.0014215327433659281	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.6#1.6	0#0#0	2#3#3	75.0#86.0#80.0	106.64727783203125#102.14075469970703#102.46234130859375	0#0#0	0#0#0	3#4#4	0#681#866	0#3#2	0#4#4	0#71#27	0#71#27	0#14#12	0#0#0	0#0#0	0#0#0	7164.807#8728.0205#8636.411	398.04483#484.89#479.80063	348.2892#413.43253#388.6385	0.11609641#0.13781084#0.12954617	20.57143#21.111113#22.222223	standardSecrets.json
1775	6	0.745307981967926	0.050357712477021546	1	1	2	2	1.89	0	3	45.0	113.61115264892578	0	1	1	0	0	0	0	0	0	0	0	0	5242.2637	291.23688	213.96994	0.07132331	24.5	getName.json
1221	3	0.6654474139213562	0.8747261739494498	0	0	0	1	1.89	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	284.93387	15.829659	51.806156	0.01726872	5.5	getContext.json
