Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2207	4#4	0.6767512559890747#0.772001326084137	0.6718870628230873#0.5183041659273396	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	21.0#25.0	125.15930938720703#124.05243682861328	0#0	1#1	0#0	0#0	0#1	0#2	0#45	0#45	0#1	0#0	0#0	0#0	801.1428#1132.7808	44.507935#62.932266	85.83672#106.19819	0.028612241#0.035399396	9.333334#10.666667	getRegionLocator.json
3472	4#4#4	0.5343127250671387#0.5343127250671387#0.2388754040002823	0.9180772288746574#0.9180772288746574#0.9180084455084216	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	13.0#13.0#13.0	128.335205078125#128.335205078125#128.335205078125	0#0#0	0#0#0	0#0#0	0#114#1744	0#0#1	0#0#2	0#0#14	0#0#14	0#17#19	0#0#0	0#0#0	0#0#0	233.02258#233.02258#233.02258	12.945699#12.945699#12.945699	46.604515#46.604515#46.604515	0.015534839#0.015534839#0.015534839	5.0#5.0#5.0	getRegionNormalizerManager.json
4184	3#3	0.29481983184814453#0.29481983184814453	0.8723467151828023#0.8723467151828023	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	16.0#16.0	131.75106811523438#131.75106811523438	0#0	1#1	0#0	0#1346	0#0	0#0	0#0	0#0	0#52	0#0	0#0	0#0	651.2774#651.2774	36.18208#36.18208	59.207035#59.207035	0.019735679#0.019735679	11.0#11.0	setTimeRangeTracker.json
5847	3#3#3#4#4#4#4#4#4#4#4	0.20786142349243164#0.20786142349243164#0.20786142349243164#0.790964663028717#0.790964663028717#0.790964663028717#0.790964663028717#0.790964663028717#0.790964663028717#0.790964663028717#0.790964663028717	0.9139642742588574#0.9139642742588574#0.9139642742588574#0.9068012718679541#0.9068012718679541#0.9068012718679541#0.9068012718679541#0.9068012718679541#0.9068012718679541#0.9068012718679541#0.9068012718679541	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.73#1.73#1.73#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	12.0#12.0#12.0#13.0#13.0#13.0#13.0#13.0#13.0#13.0#13.0	133.59722900390625#133.59722900390625#133.59722900390625#128.335205078125#128.335205078125#128.335205078125#128.335205078125#128.335205078125#128.335205078125#128.335205078125#128.335205078125	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#65#238#323#324#1061#1337#1523#2175#4689#4962	0#0#0#2#0#0#0#0#0#0#0	0#0#0#3#0#0#0#0#0#0#0	0#0#0#25#0#0#0#0#0#0#0	0#0#0#25#0#0#0#0#0#0#0	0#2#0#4#0#0#4#11#13#123#1	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	186.80931#186.80931#186.80931#233.02258#233.02258#233.02258#233.02258#233.02258#233.02258#233.02258#233.02258	10.378295#10.378295#10.378295#12.945699#12.945699#12.945699#12.945699#12.945699#12.945699#12.945699#12.945699	41.51318#41.51318#41.51318#46.604515#46.604515#46.604515#46.604515#46.604515#46.604515#46.604515#46.604515	0.013837727#0.013837727#0.013837727#0.015534839#0.015534839#0.015534839#0.015534839#0.015534839#0.015534839#0.015534839#0.015534839	4.5#4.5#4.5#5.0#5.0#5.0#5.0#5.0#5.0#5.0#5.0	hasFilterRow.json
3040	10#10#11#8#8#8	0.02712397091090679#0.01987934671342373#0.015648622065782547#0.039964012801647186#0.039964012801647186#0.039964012801647186	0.0015938003409093325#0.0015070449610383562#0.0018825521492984356#0.04881297970470267#0.04881297970470267#0.04881297970470267	5#5#4#1#1#1	4#4#3#1#1#1	9#9#7#2#2#2	4#4#3#2#2#2	3.49#3.49#2.41#2.4#2.4#2.4	2#2#1#1#1#1	6#6#8#4#4#4	73.0#74.0#75.0#51.0#51.0#51.0	102.05268859863281#102.02790832519531#100.69194030761719#108.3597412109375#108.3597412109375#108.3597412109375	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#163#591#1506#1642#1882	0#3#7#0#0#0	0#6#13#3#0#0	0#44#195#173#0#0	0#44#195#173#0#0	0#5#3#2#1#123	0#0#0#0#0#0	0#1#1#0#0#0	0#1#0#0#0#0	10356.771#12553.571#7720.289#3904.0515#3904.0515#3904.0515	575.3762#697.42065#428.90494#216.89175#216.89175#216.89175	368.24075#370.0#371.56473#239.72244#239.72244#239.72244	0.122746915#0.123333335#0.12385491#0.079907484#0.079907484#0.079907484	28.125#33.92857#20.777777#16.285715#16.285715#16.285715	getMinToStart.json
2597	4	0.8138190507888794	0.9441489767012721	0	0	0	1	1.73	0	1	13.0	128.5205535888672	0	0	0	0	0	0	0	0	0	0	0	0	224.86305	12.492392	44.97261	0.01499087	5.0	doStart.json
1094	12	0.0015918693970888853	7.530054094422655E-6	0	0	0	1	1.73	0	8	105.0	97.69318389892578	0	0	5	0	0	0	0	0	0	0	0	0	13518.662	751.0368	551.0324	0.18367746	24.533335	testRecycleOnlyPooledBuffers.json
5510	3#3#4#4#4	0.6664578318595886#0.6664578318595886#0.7368943691253662#0.5685243606567383#0.5685243606567383	0.5338807253016489#0.5338807253016489#0.16317015528577156#0.817220397595892#0.817220397595892	0#0#1#0#0	0#0#1#0#0	0#0#2#0#0	1#1#2#1#1	1.89#1.89#2.0#1.73#1.73	0#0#0#0#0	2#2#2#1#1	19.0#19.0#31.0#16.0#16.0	130.45266723632812#130.45266723632812#122.30683135986328#126.94251251220703#126.94251251220703	0#0#0#0#0	0#0#0#0#0	0#0#1#0#0	0#724#1560#2562#2672	0#0#2#3#0	0#0#3#6#0	0#0#100#135#0	0#0#100#135#0	0#0#2#10#52	0#0#0#0#0	0#0#0#0#0	0#0#1#0#0	494.0#494.0#1620.3258#365.50607#365.50607	27.444445#27.444445#90.0181#20.305893#20.305893	76.0#76.0#142.13383#60.91768#60.91768	0.025333334#0.025333334#0.047377944#0.020305892#0.020305892	6.5#6.5#11.400001#6.0#6.0	getBulkLoadTimestamp.json
3793	3#3#3	0.47331562638282776#0.47331562638282776#0.47331562638282776	0.8101385982951362#0.8101385982951362#0.8101385982951362	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	15.0#15.0#15.0	132.086669921875#132.086669921875#132.086669921875	0#0#0	0#0#0	0#0#0	0#2635#2793	0#0#0	0#0#0	0#0#0	0#0#0	0#123#29	0#0#0	0#0#0	0#0#0	305.2863#305.2863#305.2863	16.96035#16.96035#16.96035	55.506596#55.506596#55.506596	0.018502198#0.018502198#0.018502198	5.5#5.5#5.5	getAgeOfLastShippedOp.json
1927	6	0.0	3.5085353092928E-5	0	0	0	1	1.89	0	2	80.0	110.19508361816406	0	2	1	0	0	0	0	0	0	0	0	0	8762.516	486.80643	431.38538	0.14379513	20.3125	clearSlowLogResponses.json
