Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1190	3	0.11025157570838928	0.38345981493985737	0	0	0	1	1.89	0	1	26.0	128.41912841796875	0	1	0	0	0	0	0	0	0	0	0	0	917.68933	50.982742	112.37013	0.03745671	8.166666	concat_pipeOperator.json
2522	3#3	0.7215563058853149#0.7215563058853149	0.8640074363384712#0.8640074363384712	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#1090	0#0	0#0	0#0	0#0	0#1	0#0	0#0	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setCode.json
744	5#8	0.12318265438079834#0.1286020129919052	0.5834028024688235#0.17703901338865283	0#0	0#0	0#0	1#1	1.96#1.94	0#0	2#1	27.0#44.0	120.13368225097656#109.42042541503906	0#0	1#1	0#1	0#43	0#4	0#5	0#120	0#120	0#14	0#0	0#0	0#0	1407.3497#4086.5933	78.1861#227.03296	112.58798#204.32967	0.037529327#0.06810989	12.5#20.0	visitIsTruePredicate.json
2302	17#18#17#17#17	2.442196710035205E-4#1.0705796739785001E-4#0.0023803310468792915#0.0023803310468792915#0.0013319585705175996	1.6879389222724054E-5#3.978679789129199E-6#2.3550624908247702E-4#2.3550624908247702E-4#6.126145170481982E-5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.09#3.05#3.09#3.09#3.09	1#1#1#1#1	12#14#10#10#10	118.0#129.0#106.0#106.0#112.0	91.60513305664062#90.2156982421875#92.30084228515625#92.30084228515625#91.92070770263672	0#0#0#0#0	0#0#0#0#1	4#4#4#4#4	0#85#705#930#1869	0#1#4#0#3	0#1#9#0#6	0#76#235#0#37	0#76#235#0#37	0#65#8#1#53	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	25847.137#31902.63#15990.661#15990.661#18079.107	1435.952#1772.3684#888.37006#888.37006#1004.39484	600.3206#656.2827#525.14484#525.14484#564.9721	0.20010687#0.21876091#0.17504828#0.17504828#0.18832403	43.055553#48.61111#30.45#30.45#32.0	testRemoveEntityWithNullLazyManyToOne.json
1866	4	0.5663141012191772	0.8472577278930252	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getTiming.json
680	3	0.336997926235199	0.5391954027189854	0	0	0	1	1.89	0	1	24.0	128.92515563964844	0	1	0	0	0	0	0	0	0	0	0	0	955.78375	53.0991	101.950264	0.03398342	9.375	createEnhancer.json
293	3	0.602961540222168	0.497976267879703	0	0	0	1	1.89	0	1	22.0	129.47398376464844	0	0	0	0	0	0	0	0	0	0	0	0	596.2993	33.12774	91.73836	0.030579453	6.5	jsonArrayAppend_oracle.json
2442	5#5	0.019403401762247086#0.0028898408636450768	0.5039359378594742#0.2864336714846886	0#0	0#0	0#0	1#1	1.96#1.96	0#0	2#2	28.0#34.0	120.0484390258789#118.83859252929688	0#0	0#1	0#0	0#1022	0#3	0#6	0#39	0#39	0#15	0#0	0#0	0#0	1115.8773#1819.812	61.993183#101.10067	114.44896#144.42953	0.038149655#0.04814318	9.75#12.599999	testPkjcOneToOneJoinException.json
5745	14#14#14#4#4#4#4	0.02671762742102146#0.02749384567141533#0.02749384567141533#0.06980251520872116#0.06980251520872116#0.06980251520872116#0.06980251520872116	0.001354466506075153#0.0011894662344365925#0.0011894662344365925#0.49325641305392603#0.49325641305392603#0.49325641305392603#0.49325641305392603	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	3#3#3#1#1#1#1	2.91#2.91#2.91#1.73#1.73#1.73#1.73	1#1#1#0#0#0#0	5#5#5#1#1#1#1	84.0#84.0#84.0#26.0#26.0#26.0#26.0	95.93455505371094#95.89629364013672#95.89629364013672#123.8484878540039#123.8484878540039#123.8484878540039#123.8484878540039	0#0#0#0#0#0#0	2#2#2#2#2#2#2	2#2#2#0#0#0#0	0#26#361#1098#4940#5499#5499	0#2#0#2#0#0#0	0#4#0#14#0#0#0	0#20#0#398#0#0#0	0#20#0#398#0#0#0	0#3#0#5#2#5#5	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	10860.29#11361.286#11361.286#1082.372#1082.372#1082.372#1082.372	603.3494#631.18256#631.18256#60.131775#60.131775#60.131775#60.131775	437.59412#440.82593#440.82593#110.44612#110.44612#110.44612#110.44612	0.14586471#0.14694197#0.14694197#0.036815375#0.036815375#0.036815375#0.036815375	24.818182#25.772726#25.772726#9.8#9.8#9.8#9.8	createClob.json
6097	3#3#3#3#3#3#3	0.6163043975830078#0.6163043975830078#0.6163043975830078#0.6163043975830078#0.6163043975830078#0.6163043975830078#0.6163043975830078	0.835925973683127#0.835925973683127#0.835925973683127#0.835925973683127#0.835925973683127#0.835925973683127#0.835925973683127	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0	0#0#0#0#0#0#0	17.0#17.0#17.0#17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#0#0#0	0#0#619#713#1036#1085#4572	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#3#0#4	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	776.70044#776.70044#776.70044#776.70044#776.70044#776.70044#776.70044	43.150024#43.150024#43.150024#43.150024#43.150024#43.150024#43.150024	64.72504#64.72504#64.72504#64.72504#64.72504#64.72504#64.72504	0.021575011#0.021575011#0.021575011#0.021575011#0.021575011#0.021575011#0.021575011	12.0#12.0#12.0#12.0#12.0#12.0#12.0	setBusDriver.json
