Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2657	4	0.5528745651245117	0.8662874230212236	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	342.66196	19.036776	57.110325	0.019036775	6.0	getContainer.json
462	5	0.08568807691335678	0.23374262121004846	0	0	0	1	1.96	0	3	30.0	119.09241485595703	0	0	1	0	0	0	0	0	0	0	0	0	1444.2632	80.23685	137.54887	0.045849625	10.5	switchExprAllowed.json
2856	4#4#4	0.05147446691989899#0.02035444974899292#3.126695810351521E-4	0.7425569927889716#0.4326149057496549#0.1598558409344749	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#1#3	19.0#26.0#34.0	125.91468811035156#123.94486236572266#122.27970123291016	0#0#0	0#0#0	0#0#0	0#1#1165	0#1#1	0#2#2	0#47#46	0#47#46	0#88#39	0#0#0	0#0#1	0#0#1	445.3855#1355.2257#2240.0818	24.743639#75.29031#124.44899	74.23092#108.41805#149.33879	0.024743639#0.03613935#0.049779598	6.0#12.5#15.0	asCastExpr.json
3065	5#5#5#9#9	9.052378009073436E-4#9.592598653398454E-4#0.0075890370644629#0.0063454769551754#0.003294700291007757	0.00744255398608241#0.007261595629077475#0.016852187561892096#1.2658393768006466E-4#2.7986039709869842E-5	0#0#0#1#1	0#0#0#1#1	0#0#0#2#2	1#1#1#2#2	1.96#1.96#1.96#2.27#2.27	0#0#0#1#1	4#4#4#6#6	55.0#55.0#50.0#81.0#88.0	115.69420623779297#115.69420623779297#116.24688720703125#103.40028381347656#102.90093994140625	0#0#0#0#0	4#4#3#3#3	2#2#2#3#3	0#0#139#145#1078	0#1#2#5#1	0#2#4#6#2	0#3#31#221#6	0#3#31#221#6	0#4#21#6#18	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	5288.0903#5288.0903#4754.8877#11932.972#14041.594	293.7828#293.7828#264.16043#662.9429#780.08856	264.4045#264.4045#237.74438#431.07617#474.52393	0.08813484#0.08813484#0.07924813#0.14369206#0.15817465	20.0#20.0#20.0#27.681818#29.590908	calculatedSyntaxModelAfterListRemoval.json
2855	9#7#7#8	0.0#0.0#0.0#0.0	9.665686791235915E-6#1.8551603396688442E-5#7.74066535342991E-6#1.7618477663390563E-6	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.66#1.81#1.81#1.73	0#0#0#0	9#7#7#8	96.0#88.0#93.0#102.0	102.7826156616211#107.34336853027344#107.0560073852539#104.3049545288086	0#0#0#0	4#4#4#5	2#2#2#2	0#44#1164#1259	0#0#1#3	0#2#2#5	0#82#43#228	0#82#43#228	0#11#39#7	0#0#0#0	0#0#1#0	0#0#1#0	12034.861#9842.488#11072.8#13886.776	668.6034#546.80493#615.1555#771.48755	507.39862#461.81763#488.05728#546.47034	0.16913287#0.1539392#0.16268577#0.18215679	23.71875#21.3125#22.6875#25.411766	generateAsType.json
3612	3#3#3#3#3	0.18116600811481476#0.18116600811481476#0.18116600811481476#0.18116600811481476#0.18116600811481476	0.45373714459023273#0.45373714459023273#0.45373714459023273#0.45373714459023273#0.45373714459023273	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	28.0#28.0#28.0#28.0#28.0	128.21994018554688#128.21994018554688#128.21994018554688#128.21994018554688#128.21994018554688	0#0#0#0#0	2#2#2#2#2	0#0#0#0#0	0#79#706#868#885	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#15	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1459.4738#1459.4738#1459.4738#1459.4738#1459.4738	81.08188#81.08188#81.08188#81.08188#81.08188	116.757904#116.757904#116.757904#116.757904#116.757904	0.0389193#0.0389193#0.0389193#0.0389193#0.0389193	12.5#12.5#12.5#12.5#12.5	createParameter.json
1329	7	4.798408190254122E-4	0.17096931036497537	0	0	0	1	1.98	0	5	41.0	112.24042510986328	0	0	1	0	0	0	0	0	0	0	0	0	3457.6323	192.09068	180.085	0.060028337	19.2	testBuild_withCurrentJREConfiguration.json
2777	4#5	0.45714694261550903#0.026476077735424042	0.6689155292751962#0.5051548746871312	0#0	0#0	0#0	1#1	1.73#1.6	0#0	1#1	20.0#25.0	125.30915069580078#120.2636947631836	0#0	0#0	0#0	0#4	0#1	0#1	0#77	0#77	0#84	0#0	0#0	0#0	625.4888#878.46344	34.749374#48.803524	83.398506#109.80793	0.027799502#0.036602642	7.5#8.0	toFieldAccessExpr.json
3203	7#7#7#7	0.7996867299079895#0.7996867299079895#0.7996867299079895#0.7996867299079895	0.8685875109844221#0.8685875109844221#0.8685875109844221#0.8685875109844221	2#2#2#2	2#2#2#2	4#4#4#4	3#3#3#3	3.02#3.02#3.02#3.02	0#0#0#0	2#2#2#2	28.0#28.0#28.0#28.0	114.3725357055664#114.3725357055664#114.3725357055664#114.3725357055664	0#0#0#0	0#0#0#0	0#0#0#0	0#297#459#476	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#15	0#0#0#0	0#0#0#0	0#0#0#0	875.1435#875.1435#875.1435#875.1435	48.619083#48.619083#48.619083#48.619083	109.39294#109.39294#109.39294#109.39294	0.03646431#0.03646431#0.03646431#0.03646431	8.0#8.0#8.0#8.0	jj_3R_414.json
2808	19#19#14#14	0.024755295366048813#0.024755295366048813#0.019306138157844543#0.019306138157844543	3.0780757631993633E-4#3.0780757631993633E-4#1.265964025974785E-4#1.265964025974785E-4	0#0#0#0	1#1#1#1	1#1#1#1	2#2#2#2	4.27#4.27#3.18#3.18	3#3#2#2	6#6#5#5	99.0#99.0#91.0#91.0	90.08848571777344#90.08848571777344#95.47382354736328#95.47382354736328	0#0#0#0	1#1#1#1	4#4#4#4	0#64#205#1231	0#0#4#0	0#0#13#0	0#0#97#0	0#0#97#0	0#0#4#2	0#0#0#0	0#0#0#0	0#0#0#0	16729.03#16729.03#14762.102#14762.102	929.3905#929.3905#820.11676#820.11676	543.6935#543.6935#499.75864#499.75864	0.18123116#0.18123116#0.1665862#0.1665862	30.76923#30.76923#29.538462#29.538462	dumpToTempFile.json
