Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4454	7#7	0.13213926553726196#0.13623225688934326	0.20734222611471909#0.22217438134398307	1#1	1#1	2#2	2#2	2.56#2.56	1#1	3#3	40.0#40.0	111.78627014160156#111.78627014160156	0#0	2#2	0#0	0#191	0#1	0#2	0#11	0#11	0#3	0#1	0#1	0#1	2115.198#2115.198	117.511#117.511	188.0176#188.0176	0.06267253#0.06267253	11.25#11.25	unloadedProfile.json
2328	6#7	9.440378053113818E-4#0.0017906774301081896	0.05808983984633154#0.013557985123901172	0#0	0#0	0#0	1#1	2.0#1.98	0#0	7#8	48.0#57.0	114.00200653076172#110.23755645751953	0#0	1#1	0#1	0#1949	0#2	0#3	0#58	0#58	0#70	0#0	0#1	0#1	4356.5034#6705.7285	242.02797#372.54047	207.45255#264.6998	0.06915085#0.08823327	21.0#25.333334	printInfo.json
4480	13#13#13#13#13#15	0.01882769726216793#0.018246816471219063#0.018246816471219063#0.011086576618254185#0.011086576618254185#0.001860001590102911	0.017256660042125248#0.015301638702936042#0.015301638702936042#0.00946246339969167#0.00946246339969167#8.628622667098428E-5	6#6#6#5#5#5	5#5#5#4#4#4	11#11#11#9#9#9	5#5#5#5#5#5	2.65#2.65#2.65#2.65#2.65#2.47	3#3#3#3#3#3	3#3#3#4#4#7	72.0#72.0#72.0#75.0#75.0#101.0	97.89439392089844#97.89439392089844#97.89439392089844#97.68212127685547#97.68212127685547#93.43809509277344	0#0#0#0#0#0	3#3#3#3#3#3	0#0#0#0#0#1	0#1#10#26#85#2874	0#3#0#2#3#3	0#6#0#4#6#4	0#50#0#28#139#214	0#50#0#28#139#214	0#91#59#39#1#4	0#0#0#0#0#0	0#0#1#1#0#0	0#0#1#1#0#0	14329.763#14329.763#14329.763#12559.215#12559.215#22844.607	796.0979#796.0979#796.0979#697.73413#697.73413#1269.1449	346.12955#346.12955#346.12955#360.5516#360.5516#522.1625	0.11537652#0.11537652#0.11537652#0.12018387#0.12018387#0.17405416	41.399998#41.399998#41.399998#34.833336#34.833336#43.75	handleActivationPerks.json
4778	3#3#3#3#3#3	0.25981152057647705#0.23435825109481812#0.11087881773710251#0.10044099390506744#0.013661612756550312#0.013661612756550312	0.5911435068603024#0.6309020979100444#0.6111348883068093#0.6228999675075495#0.6084014199317425#0.6084014199317425	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	1#1#1#1#1#1	20.0#19.0#19.0#19.0#19.0#19.0	129.9696044921875#130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#259#702#2121#3269	0#1#1#2#2#0	0#2#2#4#4#0	0#7#7#23#36#0	0#7#7#23#36#0	0#73#12#3#1#91	0#0#0#0#0#0	0#1#0#0#1#0	0#1#0#0#1#0	542.0903#465.97076#465.97076#465.97076#465.97076#465.97076	30.116127#25.887264#25.887264#25.887264#25.887264#25.887264	83.398506#77.6618#77.6618#77.6618#77.6618#77.6618	0.027799502#0.025887266#0.025887266#0.025887266#0.025887266#0.025887266	6.5#6.0#6.0#6.0#6.0#6.0	getFishingLureModifier.json
379	15	0.010667646303772926	0.008026870980786116	3	4	7	4	3.52	3	7	82.0	95.07540893554688	0	0	1	0	0	0	0	0	0	0	0	0	12216.204	678.678	398.35446	0.13278481	30.666668	getIngredientLevelUpdated.json
2320	3#3#3	0.08015201985836029#0.04400291666388512#0.0869838073849678	0.53297061533192#0.5363562388825537#0.39898272850294664	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#2	19.0#19.0#22.0	130.34019470214844#130.34019470214844#129.37762451171875	0#0#0	0#0#0	0#0#0	0#0#9	0#1#1	0#2#2	0#7#24	0#7#24	0#6#16	0#0#0	0#0#1	0#0#1	465.97076#465.97076#654.18085	25.887264#25.887264#36.34338	77.6618#77.6618#93.45441	0.025887266#0.025887266#0.03115147	6.0#6.0#7.0	getDoExperienceBarsAlwaysUpdateTitle.json
4261	3#3#3#3	0.09394185990095139#0.09394185990095139#0.05523015186190605#0.05523015186190605	0.6109426802375034#0.6054639112769181#0.573772221973924#0.573772221973924	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	1#1#1#1	19.0#19.0#19.0#19.0	130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844	0#0#0#0	0#0#0#0	0#0#0#0	0#5#185#2752	0#1#2#0	0#2#4#0	0#2#60#0	0#2#60#0	0#2#1#91	0#0#0#0	0#0#0#0	0#0#0#0	465.97076#465.97076#465.97076#465.97076	25.887264#25.887264#25.887264#25.887264	77.6618#77.6618#77.6618#77.6618	0.025887266#0.025887266#0.025887266#0.025887266	6.0#6.0#6.0#6.0	getDatabasePlayerCooldown.json
3880	3#3#3#4	0.002580199157819152#0.0022010982502251863#0.0025578862987458706#0.02781427651643753	0.591343087097818#0.6027943690803347#0.5921970607720137#0.256411529097931	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#2.0	0#0#0#0	1#1#1#1	19.0#19.0#19.0#28.0	130.34019470214844#130.34019470214844#130.34019470214844#123.1362075805664	0#0#0#0	0#0#0#1	0#0#0#1	0#0#1563#2365	0#1#2#3	0#2#4#5	0#1#14#127	0#1#14#127	0#4#6#5	0#0#0#0	0#0#0#0	0#0#0#0	465.97076#465.97076#465.97076#1302.7859	25.887264#25.887264#25.887264#72.37699	77.6618#77.6618#77.6618#126.65974	0.025887266#0.025887266#0.025887266#0.04221991	6.0#6.0#6.0#10.285714	getRuptureChanceToApplyOnHit.json
4479	3	0.12575353682041168	0.6740603077070787	0	0	0	1	1.89	0	1	20.0	130.07347106933594	0	1	0	0	0	0	0	0	0	0	0	0	664.2127	36.900707	81.74926	0.027249753	8.125	addxpOthers.json
4231	7#6#7#13#13	0.0032382188364863396#0.005399275105446577#0.0032382188364863396#0.004337620921432972#0.003336524125188589	0.002512254285164871#0.004056871931692029#0.002512254285164871#0.0021061012411578727#0.0012952867355118661	0#0#0#1#1	0#0#0#2#2	0#0#0#3#3	1#1#1#3#3	1.81#1.89#1.81#2.89#2.89	0#0#0#1#1	8#7#8#9#9	62.0#57.0#62.0#79.0#81.0	109.3259048461914#112.3045883178711#109.3259048461914#97.49382781982422#97.32421875	0#0#0#0#0	3#3#3#3#3	1#1#1#1#1	0#1904#1905#2479#2722	0#0#1#11#1	0#1#1#16#2	0#32#32#151#17	0#32#32#151#17	0#12#12#19#91	0#0#0#0#0	0#1#0#1#0	0#1#1#1#0	8516.413#6941.8066#8516.413#18379.084#17180.031	473.13406#385.6559#473.13406#1021.06024#954.44617	315.4227#287.53046#315.4227#408.4241#421.96573	0.1051409#0.09584349#0.1051409#0.13614137#0.14065525	27.0#24.142857#27.0#45.0#40.714283	showTopPowerScoreboard.json
