Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
937	9#9	0.046957217156887054#0.046957217156887054	3.085694581690688E-4#3.085694581690688E-4	0#0	0#0	0#0	1#1	1.89#1.89	0#0	4#4	76.0#76.0	104.07267761230469#104.07267761230469	0#0	0#0	5#5	0#654	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	7423.471#7423.471	412.41507#412.41507	395.91846#395.91846	0.13197282#0.13197282	18.75#18.75	shouldFindNonMatchingIndexesWhenMultiArgsDoNotMatch.json
2325	6#6	0.018417099490761757#0.018417099490761757	0.017496806775745652#0.017496806775745652	0#0	0#0	0#0	1#1	2.0#2.0	0#0	7#7	49.0#49.0	113.39833068847656#113.39833068847656	0#0	0#0	1#1	0#2042	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	3994.1055#3994.1055	221.89474#221.89474	232.98949#232.98949	0.07766316#0.07766316	17.142857#17.142857	should_not_throw_NPE_when_verifying_with_returns_smart_nulls.json
6104	9#9#9#9#9#9	8.193543762899935E-4#8.193543762899935E-4#8.193543762899935E-4#3.2118914532475173E-4#3.1045108335092664E-4#3.1045108335092664E-4	0.0019452377927960585#0.0019452377927960585#0.0019452377927960585#0.002028235702081047#0.0039860809131546816#0.0039860809131546816	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	13#13#13#13#13#13	80.0#80.0#80.0#80.0#78.0#78.0	104.69316864013672#104.69316864013672#104.69316864013672#104.69316864013672#104.9986343383789#104.9986343383789	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#205#2443#2463#4804#5821	0#0#0#1#1#0	0#0#0#2#2#0	0#0#0#18#17#0	0#0#0#18#17#0	0#7#0#57#260#0	0#0#0#0#0#0	0#1#0#1#1#1	0#1#0#1#1#1	17173.96#17173.96#17173.96#17173.96#14288.966#14288.966	954.10895#954.10895#954.10895#954.10895#793.8314#793.8314	351.38538#351.38538#351.38538#351.38538#331.33835#331.33835	0.11712846#0.11712846#0.11712846#0.11712846#0.11044612#0.11044612	48.875#48.875#48.875#48.875#43.125#43.125	should_return_consecutive_values_set_by_shorten_then_return_method.json
123	7	0.2148299515247345	0.7064803462405511	2	1	3	2	2.8	1	1	32.0	113.67322540283203	0	1	0	0	0	0	0	0	0	0	0	0	2452.4778	136.24876	130.79881	0.043599606	18.75	toCodegenLoader.json
5625	4#4#4#4#4#4#4#4	0.31400635838508606#0.31400635838508606#0.31400635838508606#0.09425699710845947#0.09425699710845947#0.08944761008024216#0.17406588792800903#0.17406588792800903	0.8685946993123831#0.8685946993123831#0.8685946993123831#0.8501449291607055#0.8501449291607055#0.8463290588191356#0.8049179408987681#0.8049179408987681	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.73#1.73#1.73#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	16.0#16.0#16.0#16.0#16.0#16.0#18.0#18.0	126.94251251220703#126.94251251220703#126.94251251220703#126.94251251220703#126.94251251220703#126.94251251220703#126.0733642578125#126.0733642578125	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#5#393#1931#1964#3793#3827#5342	0#0#0#1#0#1#1#0	0#0#0#2#0#2#2#0	0#0#0#19#0#4#10#0	0#0#0#19#0#4#10#0	0#7#16#12#0#87#40#0	0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#1	0#0#1#0#0#0#0#1	365.50607#365.50607#365.50607#365.50607#365.50607#365.50607#468.0#468.0	20.305893#20.305893#20.305893#20.305893#20.305893#20.305893#26.0#26.0	60.91768#60.91768#60.91768#60.91768#60.91768#60.91768#72.0#72.0	0.020305892#0.020305892#0.020305892#0.020305892#0.020305892#0.020305892#0.024#0.024	6.0#6.0#6.0#6.0#6.0#6.0#6.5#6.5	enforces_new_instances.json
3674	9#9#9#9#9	0.6558820605278015#0.6558820605278015#0.5804637670516968#0.5804637670516968#0.5804637670516968	0.04615989995262364#0.04615989995262364#0.030417723500600742#0.0340858377945178#0.0340858377945178	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.98#3.98#3.98#3.98#3.98	1#1#1#1#1	6#6#6#6#6	54.0#54.0#56.0#56.0#56.0	106.11102294921875#106.11102294921875#105.87405395507812#105.92191314697266#105.92191314697266	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#13#188#360#3391	0#0#1#1#0	0#0#2#2#0	0#0#8#6#0	0#0#8#6#0	0#0#2#15#0	0#0#0#0#0	0#0#1#1#1	0#0#1#1#1	6130.8184#6130.8184#6000.0#5707.2344#5707.2344	340.601#340.601#333.33334#317.06857#317.06857	267.5266#267.5266#280.0#277.435#277.435	0.08917554#0.08917554#0.093333334#0.092478335#0.092478335	22.916668#22.916668#21.428572#20.571428#20.571428	coexists_with_mockito_matcher.json
860	5#5#5	0.5506551861763#0.5506551861763#0.5506551861763	0.8306253471388544#0.8306253471388544#0.8306253471388544	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	2#2#2	19.0#19.0#19.0	122.29976654052734#122.29976654052734#122.29976654052734	0#0#0	0#0#0	0#0#0	0#568#577	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#1#0	408.27005#408.27005#408.27005	22.68167#22.68167#22.68167	74.23092#74.23092#74.23092	0.024743639#0.024743639#0.024743639	5.5#5.5#5.5	testNoneMatchByTypeParameter.json
3896	6#6#6#6#6#6	0.015749968588352203#0.014620435424149036#0.014620435424149036#0.014620435424149036#0.0087992949411273#0.0087992949411273	0.01756543919060894#0.011805150392655277#0.011805150392655277#0.011805150392655277#0.006702682821028773#0.006702682821028773	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	2.0#2.0#2.0#2.0#2.0#2.0	0#0#0#0#0#0	5#5#5#5#6#6	50.0#53.0#53.0#53.0#56.0#56.0	113.1817398071289#112.93321228027344#112.93321228027344#112.93321228027344#112.5924301147461#112.5924301147461	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#0#0#235#1232#3613	0#1#0#0#1#0	0#2#0#0#2#0	0#6#0#0#9#0	0#6#0#0#9#0	0#6#0#0#31#0	0#0#0#0#1#0	0#0#0#0#1#1	0#0#0#0#1#1	4663.662#4688.1323#4688.1323#4688.1323#5223.3013#5223.3013	259.09235#260.45178#260.45178#260.45178#290.1834#290.1834	242.89906#254.78981#254.78981#254.78981#272.04694#272.04694	0.08096635#0.084929936#0.084929936#0.084929936#0.09068231#0.09068231	19.2#18.4#18.4#18.4#19.2#19.2	method_with_subtype_return_can_be_called.json
5675	8#8#8#8#8#8	2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4	1.0309951605536703E-4#1.0014743448907262E-4#1.0014743448907262E-4#1.0309951605536703E-4#1.0309951605536703E-4#1.0309951605536703E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0	13#13#13#13#13#13	82.0#82.0#82.0#82.0#82.0#82.0	105.6662826538086#105.6662826538086#105.6662826538086#105.6662826538086#105.6662826538086#105.6662826538086	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#19#44#44#2014#5392	0#1#0#1#0#0	0#2#0#2#0#0	0#4#0#4#0#0	0#4#0#4#0#0	0#8#6#8#0#0	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	10328.096#10328.096#10328.096#10328.096#10328.096#10328.096	573.7831#573.7831#573.7831#573.7831#573.7831#573.7831	420.6012#420.6012#420.6012#420.6012#420.6012#420.6012	0.14020039#0.14020039#0.14020039#0.14020039#0.14020039#0.14020039	24.555555#24.555555#24.555555#24.555555#24.555555#24.555555	withAnyPatternArguments.json
3209	5#5	0.5211796164512634#0.5211796164512634	0.7245324131997808#0.7245324131997808	0#0	0#0	0#0	1#1	1.96#1.96	0#0	3#3	22.0#22.0	121.67162322998047#121.67162322998047	0#0	0#0	0#0	0#2926	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	753.8563#753.8563	41.880905#41.880905	83.76181#83.76181	0.027920604#0.027920604	9.0#9.0	shouldMatchVarArgs_emptyByteArray.json
5726	5#5#5#5#5	0.1509094089269638#0.38725507259368896#0.38725507259368896#0.25691312551498413#0.25691312551498413	0.303937820605941#0.627307209801419#0.627307209801419#0.630189467136707#0.630189467136707	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.96#1.96#1.96	0#0#0#0#0	4#3#3#4#4	32.0#24.0#24.0#25.0#25.0	119.06403350830078#120.85002136230469#120.85002136230469#120.7502212524414#120.7502212524414	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#10#2065#4426#5443	0#1#0#2#0	0#2#0#4#0	0#49#0#29#0	0#49#0#29#0	0#2#0#260#0	0#0#0#0#0	0#1#0#1#1	0#1#0#1#1	1383.017#1103.615#1103.615#1050.0#1050.0	76.834274#61.311943#61.311943#58.333332#58.333332	138.3017#98.099106#98.099106#100.0#100.0	0.046100564#0.0326997#0.0326997#0.033333335#0.033333335	10.0#11.25#11.25#10.5#10.5	shouldSetMockToBeSerializable.json
3091	7#6#6	0.16164818406105042#0.20932723581790924#0.20932723581790924	0.22068273146125766#0.31432786063974044#0.31432786063974044	0#0#0	0#0#0	0#0#0	1#1#1	1.98#2.0#2.0	0#0#0	6#5#5	38.0#33.0#33.0	112.55669403076172#115.95040893554688#115.95040893554688	0#0#0	0#0#0	0#0#0	0#0#2808	0#0#0	0#1#0	0#29#0	0#29#0	0#4#0	0#0#0	0#1#1	0#1#1	2016.5549#1711.4835#1711.4835	112.03083#95.08242#95.08242	169.4584#142.62363#142.62363	0.056486133#0.04754121#0.04754121	11.9#12.0#12.0	stubbed_method_is_implicitly_verified.json
2373	31#31#31	0.003937141504138708#0.003937141504138708#0.003937141504138708	2.4855962909207878E-6#2.4855962909207878E-6#2.4855962909207878E-6	2#2#2	1#1#1	3#3#3	2#2#2	5.53#5.53#5.53	2#2#2	10#10#10	157.0#157.0#157.0	79.4243392944336#79.4243392944336#79.4243392944336	0#0#0	2#2#2	2#2#2	0#575#2081	0#0#0	0#0#0	0#0#0	0#0#0	0#40#0	0#0#0	0#0#1	0#0#1	28612.984#28612.984#28612.984	1589.6102#1589.6102#1589.6102	919.70306#919.70306#919.70306	0.3065677#0.3065677#0.3065677	31.11111#31.11111#31.11111	automaticModule.json
6351	3#3#3	0.8828071355819702#0.8828071355819702#0.8828071355819702	0.926745142435912#0.926745142435912#0.926745142435912	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#2690#6068	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#1	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getHeadline.json
4243	8#8#8#8#8#8#8	0.0028472456615418196#0.0014893044717609882#0.015514041297137737#0.015514041297137737#0.0024688548874109983#0.0024688548874109983#0.0024688548874109983	1.3326839080845187E-4#1.3378693178072557E-4#2.847738956229279E-4#2.847738956229279E-4#1.8099534385298654E-4#1.8099534385298654E-4#1.8099534385298654E-4	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0	15#15#15#15#15#15#15	81.0#81.0#75.0#75.0#81.0#81.0#81.0	105.73008728027344#105.73008728027344#106.13028717041016#106.13028717041016#105.73008728027344#105.73008728027344#105.73008728027344	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	0#0#1#582#1102#3960#4019	0#3#3#0#4#0#0	0#6#6#0#8#0#0	0#49#175#0#153#0#0	0#49#175#0#153#0#0	0#4#14#0#8#0#2	0#0#0#0#0#0#0	0#1#0#0#0#1#1	0#1#0#0#0#1#0	16064.915#16064.915#14906.979#14906.979#13710.573#13710.573#13710.573	892.4953#892.4953#828.16547#828.16547#761.6985#761.6985#761.6985	415.47192#415.47192#384.69623#384.69623#415.47192#415.47192#415.47192	0.13849065#0.13849065#0.12823208#0.12823208#0.13849065#0.13849065#0.13849065	38.666668#38.666668#38.75#38.75#33.0#33.0#33.0	isolated_class_loader_can_load_classes_isolated_classes_in_isolation.json
2968	9#9#9#9	0.02738175354897976#0.02738175354897976#0.018373005092144012#0.018373005092144012	5.758804226807687E-4#5.758804226807687E-4#3.117567620148435E-4#3.117567620148435E-4	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	10#10#10#10	77.0#77.0#80.0#80.0	104.17212677001953#104.17212677001953#103.92916870117188#103.92916870117188	0#0#0#0	0#0#0#0	2#2#2#2	0#1114#2031#2685	0#0#1#0	0#0#2#0	0#0#12#0	0#0#12#0	0#31#53#0	0#0#0#0	0#0#1#1	0#0#1#1	15225.999#15225.999#14244.896#14244.896	845.88885#845.88885#791.3831#791.3831	388.41833#388.41833#406.99704#406.99704	0.12947278#0.12947278#0.13566568#0.13566568	39.2#39.2#35.0#35.0	should_not_fail_when_used_in_concurrent_tests.json
5886	12#12#12#12#11#11#11	0.1058121845126152#0.1058121845126152#0.1058121845126152#0.07210476696491241#0.16786818206310272#0.19066502153873444#0.19066502153873444	0.0086984310691661#0.0086984310691661#0.0086984310691661#0.01633146774813466#0.028809620721264938#0.02866355289466162#0.02866355289466162	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	3.04#3.04#3.04#3.04#2.95#2.95#2.95	1#1#1#1#1#1#1	10#10#10#10#9#9#9	68.0#68.0#68.0#66.0#60.0#60.0#60.0	99.97399139404297#99.97399139404297#99.97399139404297#100.22697448730469#102.18426513671875#102.18426513671875#102.18426513671875	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#1#2225#2611#2613#2638#5603	0#0#0#1#1#1#0	0#0#0#2#3#2#0	0#0#0#37#65#1#0	0#0#0#37#65#1#0	0#1#0#3#79#5#0	0#0#0#0#0#0#0	0#0#0#0#0#0#1	0#0#0#0#0#0#1	8500.0#8500.0#8500.0#7448.6597#5954.497#5954.497#5954.497	472.22223#472.22223#472.22223#413.81442#330.8054#330.8054#330.8054	340.0#340.0#340.0#323.85477#291.47888#291.47888#291.47888	0.11333334#0.11333334#0.11333334#0.10795159#0.097159624#0.097159624#0.097159624	25.0#25.0#25.0#23.0#20.428572#20.428572#20.428572	should_not_report_argument_types_when_to_string_is_the_same.json
937	5#5	0.595500648021698#0.595500648021698	0.3570288432338046#0.3570288432338046	0#0	0#0	0#0	1#1	1.96#1.96	0#0	4#4	30.0#30.0	119.58580780029297#119.58580780029297	0#0	0#0	0#0	0#654	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	1563.7219#1563.7219	86.87344#86.87344	125.097755#125.097755	0.041699253#0.041699253	12.5#12.5	shouldVerifyVarArgs_eq_NullArrayArg1.json
6289	12#12#12#12#12#12#12	0.028991948813199997#0.028991948813199997#0.028991948813199997#0.03269336745142937#0.04030400142073631#0.042349521070718765#0.042349521070718765	0.03472271508171369#0.03472271508171369#0.03472271508171369#0.03362058726219844#0.06025397209355158#0.1023896451847985#0.1023896451847985	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	2.56#2.56#2.56#2.56#2.56#2.56#2.56	1#1#1#1#1#1#1	11#11#11#11#10#10#10	66.0#66.0#66.0#66.0#63.0#61.0#61.0	100.51347351074219#100.51347351074219#100.51347351074219#100.51347351074219#100.82174682617188#101.13385772705078#101.13385772705078	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#390#2628#2648#2952#4989#6006	0#0#0#2#1#1#0	0#0#0#4#2#2#0	0#0#0#13#33#17#0	0#0#0#13#33#17#0	0#7#0#57#21#260#0	0#0#0#0#1#0#0	0#1#0#1#1#1#1	0#1#0#1#1#1#1	7866.6924#7866.6924#7866.6924#7866.6924#7076.8896#6029.8945#6029.8945	437.03845#437.03845#437.03845#437.03845#393.16052#334.99414#334.99414	306.4945#306.4945#306.4945#306.4945#288.85263#272.02533#272.02533	0.102164835#0.102164835#0.102164835#0.102164835#0.09628421#0.09067511#0.09067511	25.666666#25.666666#25.666666#25.666666#24.5#22.166666#22.166666	should_stub_void_method.json
6051	6#6#6#6#6#6	0.07505989819765091#0.07509942352771759#0.07509942352771759#0.04809165373444557#0.14347486197948456#0.14347486197948456	0.03878392528426192#0.038986255912209195#0.038986255912209195#0.011227380738758924#0.04388070642789722#0.04388070642789722	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	2.0#2.0#2.0#2.0#2.0#2.0	0#0#0#0#0#0	7#7#7#9#9#9	49.0#49.0#49.0#57.0#50.0#50.0	113.73191833496094#113.73191833496094#113.73191833496094#112.87126922607422#113.78972625732422#113.78972625732422	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#2357#2390#2410#4751#5768	0#1#0#2#3#0	0#2#0#4#6#0	0#2#0#63#48#0	0#2#0#63#48#0	0#27#0#57#260#0	0#0#0#0#0#0	0#0#0#1#1#1	0#0#0#1#1#1	5572.0596#5572.0596#5572.0596#6209.719#6050.699#6050.699	309.55887#309.55887#309.55887#344.9844#336.14996#336.14996	218.51215#218.51215#218.51215#257.84302#216.0964#216.0964	0.07283738#0.07283738#0.07283738#0.08594767#0.07203214#0.07203214	25.5#25.5#25.5#24.083332#28.0#28.0	should_stub.json
5750	8#8#8#8#8#8#8#8	0.2401704490184784#0.24286992847919464#0.2401704490184784#0.20432084798812866#0.20432084798812866#0.2812863290309906#0.14421425759792328#0.14421425759792328	0.008791232269717161#0.00852338422841112#0.008791232269717161#0.008786938279386472#0.008786938279386472#0.01803729262497216#0.027048280152361645#0.027048280152361645	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0#0	5#5#5#5#5#5#5#5	58.0#58.0#58.0#58.0#58.0#55.0#54.0#54.0	107.55370330810547#107.55370330810547#107.55370330810547#107.55370330810547#107.55370330810547#107.87583923339844#108.12109375#108.12109375	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3	0#895#895#1076#2089#2457#4821#5467	0#1#1#1#0#1#2#0	0#2#2#2#0#2#4#0	0#4#4#10#0#17#28#0	0#4#4#10#0#17#28#0	0#81#75#27#0#6#52#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#1	0#0#0#1#0#0#1#1	5851.497#5851.497#5851.497#5851.497#5851.497#6383.928#5164.6416#5164.6416	325.08316#325.08316#325.08316#325.08316#325.08316#354.6627#286.92453#286.92453	292.57486#292.57486#292.57486#292.57486#292.57486#275.0#262.331#262.331	0.097524956#0.097524956#0.097524956#0.097524956#0.097524956#0.09166667#0.087443665#0.087443665	20.0#20.0#20.0#20.0#20.0#23.214285#19.6875#19.6875	should_match_varargs_using_any_varargs.json
6442	9#9#9#9#9#9#9#9#9#9#9#9	0.30294400453567505#0.3317294716835022#0.3317294716835022#0.3317294716835022#0.3376978039741516#0.34293004870414734#0.34860605001449585#0.1994786262512207#0.19784291088581085#0.19621732831001282#0.19621732831001282#0.19621732831001282	0.3554297105855354#0.3593535890913023#0.3593535890913023#0.3593535890913023#0.3223413909064037#0.30881031485998#0.3103242996100464#0.19824835793997173#0.19707493371843968#0.19768421756445187#0.19768421756445187#0.19768421756445187	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2	2.95#2.95#2.95#2.95#2.95#2.95#2.95#2.95#2.95#2.95#2.95#2.95	1#1#1#1#1#1#1#1#1#1#1#1	5#5#5#5#5#5#5#6#6#6#6#6	41.0#41.0#41.0#41.0#41.0#41.0#41.0#44.0#44.0#44.0#44.0#44.0	107.86027526855469#107.86027526855469#107.86027526855469#107.86027526855469#107.78602600097656#107.78602600097656#107.78602600097656#107.28234100341797#107.28234100341797#107.28234100341797#107.28234100341797#107.28234100341797	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#3#5#18#28#28#47#56#57#494#2781#6159	0#1#0#0#3#1#2#2#1#1#0#0	0#2#0#0#6#2#4#4#2#2#0#0	0#6#0#0#29#16#16#34#3#1#0#0	0#6#0#0#29#16#16#34#3#1#0#0	0#38#0#4#30#59#84#53#41#42#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#1#0#1	0#0#0#0#0#0#0#0#0#1#0#1	1950.2582#1950.2582#1950.2582#1950.2582#1695.6896#1695.6896#1695.6896#2101.6768#2101.6768#2101.6768#2101.6768#2101.6768	108.34768#108.34768#108.34768#108.34768#94.20498#94.20498#94.20498#116.75982#116.75982#116.75982#116.75982#116.75982	182.8367#182.8367#182.8367#182.8367#185.46603#185.46603#185.46603#204.32967#204.32967#204.32967#204.32967#204.32967	0.060945567#0.060945567#0.060945567#0.060945567#0.061822012#0.061822012#0.061822012#0.06810989#0.06810989#0.06810989#0.06810989#0.06810989	10.666667#10.666667#10.666667#10.666667#9.142858#9.142858#9.142858#10.285715#10.285715#10.285715#10.285715#10.285715	shouldFailOnLastTwoInvocationsInWrongOrder.json
6453	3#3#3#3#4#4	0.6443132758140564#0.6443132758140564#0.6443132758140564#0.05226385220885277#0.08974630385637283#0.08974630385637283	0.47883608825380036#0.47883608825380036#0.47883608825380036#0.09642390797524937#0.10284044458236424#0.10284044458236424	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.73#1.73	0#0#0#0#0#0	2#2#2#4#4#4	25.0#25.0#25.0#36.0#37.0#37.0	128.91311645507812#128.91311645507812#128.91311645507812#126.56407165527344#121.68689727783203#121.68689727783203	0#0#0#0#0#0	1#1#1#1#1#1	0#0#0#0#0#0	0#2#2792#3178#4914#6170	0#0#0#1#1#0	0#0#0#2#1#0	0#0#0#66#10#0	0#0#0#66#10#0	0#4#0#3#75#0	0#0#0#0#0#0	0#0#0#0#1#1	0#0#0#0#1#1	1532.7986#1532.7986#1532.7986#2528.4978#2782.5562#2782.5562	85.15548#85.15548#85.15548#140.4721#154.58646#154.58646	102.18657#102.18657#102.18657#160.53954#167.3718#167.3718	0.034062188#0.034062188#0.034062188#0.053513177#0.0557906#0.0557906	15.0#15.0#15.0#15.75#16.625#16.625	matches.json
6380	13#13#13	0.0#0.0#0.0	2.7888303486206377E-8#2.7888303486206377E-8#2.7888303486206377E-8	0#0#0	0#0#0	0#0#0	1#1#1	1.69#1.69#1.69	0#0#0	22#22#22	154.0#154.0#154.0	94.86090087890625#94.86090087890625#94.86090087890625	0#0#0	0#0#0	2#2#2	0#2719#6097	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#1	27145.527#27145.527#27145.527	1508.0848#1508.0848#1508.0848	740.33264#740.33264#740.33264	0.24677755#0.24677755#0.24677755	36.666664#36.666664#36.666664	testObject.json
3091	4#5#5	0.8215399384498596#0.6184331178665161#0.6184331178665161	0.799450262750065#0.45880752806577185#0.45880752806577185	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.6#1.6	0#0#0	2#2#2	17.0#26.0#26.0	126.62725830078125#120.3299331665039#120.3299331665039	0#0#0	0#0#0	0#0#0	0#427#2808	0#1#0	0#1#0	0#58#0	0#58#0	0#31#0	0#1#0	0#1#1	0#1#1	388.35022#1138.3895#1138.3895	21.575012#63.243862#63.243862	64.72504#108.41805#108.41805	0.021575011#0.03613935#0.03613935	6.0#10.5#10.5	unfinished_stubbing.json
540	8#8	0.010777733288705349#0.010777733288705349	0.0036376662382602296#0.0036376662382602296	0#0	0#0	0#0	1#1	1.94#1.94	0#0	8#8	67.0#67.0	107.05387878417969#107.05387878417969	0#0	0#0	2#2	0#257	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	5636.6235#5636.6235	313.14575#313.14575	322.09277#322.09277	0.10736426#0.10736426	17.5#17.5	loads_alternative_plugin_inheritance_reversed.json
6380	3#3#3	0.9407289624214172#0.9407289624214172#0.9407289624214172	0.8717033123078575#0.8717033123078575#0.8717033123078575	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#2719#6097	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#1	776.70044#776.70044#776.70044	43.150024#43.150024#43.150024	64.72504#64.72504#64.72504	0.021575011#0.021575011#0.021575011	12.0#12.0#12.0	setB.json
