Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3836	14#14#15#15#15	0.0015679931966587901#0.002050550887361169#0.0017740429611876607#0.0017534256912767887#0.002164879348129034	5.874384634346203E-12#9.929272737949392E-12#4.972457634389991E-12#2.947126895714208E-12#6.065893010364468E-12	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.64#1.64#1.6#1.6#1.6	0#0#0#0#0	10#10#11#12#11	168.0#166.0#171.0#173.0#170.0	92.1582260131836#92.24234771728516#90.94850158691406#90.86664581298828#90.97900390625	0#0#0#0#0	0#0#0#0#0	7#7#7#7#7	0#0#2134#2295#3674	0#1#1#1#1	0#2#1#2#2	0#2#19#30#7	0#2#19#30#7	0#1#19#18#14	0#1#0#0#0	0#1#1#1#0	0#1#1#1#0	45632.945#46145.98#49907.945#52070.047#49616.086	2535.1636#2563.6655#2772.6636#2892.7803#2756.4492	988.28406#972.42487#1005.932#1021.892#1000.0494	0.32942802#0.32414162#0.33531067#0.34063068#0.3333498	46.173916#47.454548#49.613636#50.954548#49.613636	testFilenameContainingSemicolon.json
3755	12	0.5948513746261597	0.8113511845163984	1	1	2	2	4.85	2	4	44.0	102.75836944580078	0	1	0	0	0	0	0	0	0	0	0	0	3317.2786	184.29326	199.03673	0.06634557	16.666666	activate.json
2824	19#19#19#19#19	7.149347220547497E-4#6.693528266623616E-4#6.693528266623616E-4#6.204425590112805E-4#6.204425590112805E-4	3.862043600521567E-15#6.991328262015175E-15#6.991328262015175E-15#4.707664025636065E-15#5.496995059072384E-15	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.46#1.46#1.46#1.46#1.46	0#0#0#0#0	15#15#15#16#16	211.0#208.0#208.0#210.0#210.0	85.9039306640625#85.9783935546875#85.9783935546875#85.92862701416016#85.94798278808594	0#0#0#0#0	0#0#0#0#0	10#10#10#10#10	0#917#1122#1283#1311	0#1#1#1#2	0#2#2#2#4	0#5#24#30#88	0#5#24#30#88	0#9#19#18#16	0#0#0#0#0	0#1#1#1#0	0#1#1#1#0	76243.18#73154.914#73154.914#73858.32#75600.0	4235.7324#4064.1619#4064.1619#4103.24#4200.0	1270.7196#1252.6526#1252.6526#1264.6973#1260.0	0.4235732#0.41755086#0.41755086#0.42156574#0.42	60.0#58.4#58.4#58.4#60.0	testDecodeContentDispositionFieldParameters.json
4173	4	0.06216806918382645	0.31253157028783635	0	0	0	1	1.73	0	3	28.0	123.55950164794922	0	0	0	0	0	0	0	0	0	0	0	0	1459.4738	81.08188	116.757904	0.0389193	12.5	testGatheringWritesHeapPooled.json
2759	4#4	0.6475147604942322#0.576975405216217	0.8676146982040893#0.8570655058255722	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	15.0#15.0	127.42622375488281#127.42622375488281	0#0	0#0	0#0	0#1246	0#1	0#2	0#4	0#4	0#16	0#0	0#0	0#0	305.2863#305.2863	16.96035#16.96035	55.506596#55.506596	0.018502198#0.018502198	5.5#5.5	cleanupFactory.json
4793	3#3#3#3#3#3#3	0.48572787642478943#0.5055158138275146#0.8982400894165039#0.8907722234725952#0.8907722234725952#0.8907722234725952#0.8386180996894836	0.8169543407760322#0.7896071607803257#0.8040171827980754#0.833162990186078#0.833162990186078#0.833162990186078#0.8926674711569532	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0.0#0.0#0.0#0.0#0.0#0.0#0.0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	14.0#15.0#15.0#14.0#14.0#14.0#12.0	132.4454345703125#131.9385528564453#131.9385528564453#132.4454345703125#132.4454345703125#132.4454345703125#133.59722900390625	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#0#0#0	0#219#319#372#690#1444#2420	0#1#1#1#0#0#1	0#2#2#2#0#0#2	0#6#11#6#0#0#17	0#6#11#6#0#0#17	0#9#13#77#4#10#17	0#0#1#0#0#0#0	0#0#1#1#0#0#0	0#0#1#1#0#0#0	284.93387#342.66196#342.66196#284.93387#284.93387#284.93387#186.80931	15.829659#19.036776#19.036776#15.829659#15.829659#15.829659#10.378295	51.806156#57.110325#57.110325#51.806156#51.806156#51.806156#41.51318	0.01726872#0.019036775#0.019036775#0.01726872#0.01726872#0.01726872#0.013837727	5.5#6.0#6.0#5.5#5.5#5.5#4.5	handlerAdded.json
4173	4	0.06371059268712997	0.3001085642653996	0	0	0	1	1.73	0	3	28.0	123.46312713623047	0	0	0	0	0	0	0	0	0	0	0	0	1585.893	88.10516	118.94197	0.039647322	13.333333	testGatheringWritesMixesPooled.json
1031	10	0.13652612268924713	0.20416695500810517	2	2	4	3	2.53	1	3	49.0	104.72284698486328	0	1	1	0	0	0	0	0	0	0	0	0	4836.753	268.7085	230.32156	0.07677385	21.0	validateValidHeaderValue.json
1893	4#5	0.29685789346694946#0.4348697364330292	0.8153384617436148#0.5231772449933144	0#0	0#0	0#0	1#1	1.73#1.6	0#0	1#1	16.0#25.0	126.94251251220703#120.34770202636719	0#0	0#1	0#0	0#429	0#4	0#7	0#75	0#75	0#69	0#0	0#0	0#0	365.50607#972.43384	20.305893#54.0241	60.91768#108.0482	0.020305892#0.03601607	6.0#9.0	testSessionLocalWhenNonMutualWithoutKeyManager.json
3182	3	0.9136973023414612	0.9265173160083982	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getUserEvent.json
