Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2649	6	0.00724969943985343	0.013057711176084709	2	1	3	2	2.75	1	3	54.0	112.60601806640625	0	3	1	0	0	0	0	0	0	0	0	0	5235.21	290.845	259.59717	0.08653239	20.166668	fillOverrideOrPrependLauncherValue.json
4897	3	0.6176644563674927	0.8551020496367416	0	0	0	1	1.89	0	2	17.0	131.43582153320312	0	0	0	0	0	0	0	0	0	0	0	0	345.99112	19.22173	62.907475	0.020969158	5.5	stopCron.json
2460	4	0.569107711315155	0.6068627026926797	0	0	0	1	1.73	0	2	23.0	124.58238983154297	0	0	0	0	0	0	0	0	0	0	0	0	872.76526	48.486958	95.90828	0.031969428	9.099999	testTrimWhitespaceReplacement.json
3878	3	0.08754698932170868	0.888799573322565	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isHighlyAvailableMode.json
2853	4#5#5	0.3693656027317047#0.302932471036911#0.01514467690140009	0.7214743885929018#0.5889069288074037#0.10860248480414518	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.96#1.96	0#0#0	1#1#2	20.0#26.0#37.0	125.5254898071289#120.23355865478516#117.87252044677734	0#0#0	0#0#0	0#0#0	0#116#774	0#1#2	0#1#4	0#33#74	0#33#74	0#2#137	0#0#0	0#0#0	0#0#0	520.0#927.7475#1760.9023	28.88889#51.541527#97.82791	80.0#110.44612#173.91628	0.026666667#0.036815375#0.057972092	6.5#8.400001#10.125	setUpStreams.json
4897	40#44#44#42#41#41#41#44#44	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	9.86714888806535E-32#1.8795400430203875E-32#9.86702511044283E-33#1.190324694117989E-30#2.3384819659470716E-30#3.477416570000182E-31#6.579839043082903E-31#3.1410952931120942E-34#1.4512074064501519E-37	0#0#0#0#0#0#0#2#2	0#0#0#0#0#0#0#1#1	0#0#0#0#0#0#0#3#3	1#1#1#1#1#1#1#2#2	0.87#1.96#1.96#2.0#2.02#2.02#2.02#2.08#2.08	0#1#1#1#1#1#1#2#2	49#51#51#46#45#45#45#51#51	422.0#434.0#437.0#413.0#409.0#418.0#415.0#448.0#480.0	69.95797729492188#68.21224975585938#68.17642974853516#69.2513198852539#69.70638275146484#69.59320068359375#69.63065338134766#67.75160217285156#67.35558319091797	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	8#8#8#8#8#8#8#9#9	0#0#0#190#193#355#650#760#2818	0#41#1#0#0#3#1#13#4	0#78#2#2#1#6#2#23#8	0#327#18#138#37#36#13#310#228	0#327#18#138#37#36#13#310#228	0#3#28#53#52#8#95#83#137	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#0	0#1#0#0#0#0#0#1#0	226972.23#245974.22#251574.86#227306.33#218126.89#233890.38#228583.39#284552.03#315045.44	12609.568#13665.234#13976.381#12628.129#12118.16#12993.91#12699.077#15808.446#17502.523	2682.887#2788.999#2808.2776#2640.027#2607.391#2664.7666#2645.6414#2915.4922#3146.2026	0.89429563#0.92966634#0.93609256#0.88000906#0.8691304#0.88825554#0.88188046#0.9718307#1.0487342	84.6#88.19444#89.58333#86.1#83.65714#87.77143#86.399994#97.6#100.13514	testCreateprotoConfWithLibPath.json
3289	4	0.45409369468688965	0.6728123524625482	0	0	0	1	1.73	0	0	22.0	125.02987670898438	0	0	0	0	0	0	0	0	0	0	0	0	616.0	34.22222	88.0	0.029333333	7.0	getAvailableDependenciesAsList.json
4897	22#22#24#24#24#24#24	0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.1206556352522311E-15#1.1206556352522311E-15#9.613818845218952E-17#1.1646391130056244E-16#2.9439580601581985E-17#1.1646391130056244E-16#2.9439580601581985E-17	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.15#1.15#1.11#1.11#1.11#1.11#1.11	0#0#0#0#0#0#0	28#28#30#30#31#30#31	230.0#230.0#243.0#242.0#245.0#242.0#245.0	83.2245101928711#83.2245101928711#81.44430541992188#81.46575164794922#81.32350158691406#81.46575164794922#81.32350158691406	0#0#0#0#0#0#0	0#0#0#0#0#0#0	5#5#6#5#5#5#5	0#0#371#463#736#737#737	0#4#4#1#1#1#1	0#8#6#2#2#2#2	0#144#104#9#72#72#72	0#144#104#9#72#72#72	0#3#41#48#58#58#71	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	64584.246#64584.246#70665.12#70374.31#68331.875#70374.31#68331.875	3588.0137#3588.0137#3925.8398#3909.684#3796.2153#3909.684#3796.2153	1347.3357#1347.3357#1446.8698#1440.9155#1480.8766#1440.9155#1480.8766	0.4491119#0.4491119#0.4822899#0.48030517#0.49362552#0.48030517#0.49362552	47.934784#47.934784#48.84#48.84#46.142857#48.84#46.142857	testCoordKillForBackwardSupport.json
3791	3	0.9401755332946777	0.9269319931416066	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getMR.json
4354	8	0.2107626348733902	0.13016096191072352	1	1	2	2	2.65	1	1	47.0	108.91381072998047	0	1	1	0	0	0	0	0	0	0	0	0	4094.3713	227.46507	215.49323	0.07183108	19.0	getAvailableDependencyURIs.json
3050	27	0.0	6.174608894153206E-11	4	6	10	8	4.62	3	13	186.0	79.33678436279297	0	5	4	0	0	0	0	0	0	0	0	0	72909.15	4050.5083	1103.1172	0.36770573	66.09375	performBasicValidation.json
2630	8#8	3.1172067974694073E-4#2.78918188996613E-4	3.0012168806837013E-6#2.988120048088205E-6	0#0	0#0	0#0	2#2	3.12#3.12	1#1	7#7	97.0#97.0	104.23835754394531#104.23835754394531	0#0	3#3	2#2	0#511	0#1	0#2	0#8	0#8	0#29	0#0	0#0	0#0	13309.73#13309.73	739.42944#739.42944	529.5649#529.5649	0.17652163#0.17652163	25.133333#25.133333	storeOozieLauncherLog.json
