Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4115	29#25#36#36#36#36#41#41#41#41#43	0.00342771434225142#5.859886878170073E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	6.034583639584567E-11#8.723827962923916E-12#2.7593150311236296E-22#2.7593150311236296E-22#2.7593150311236296E-22#2.7593150311236296E-22#7.286087219813219E-22#1.2075634014427446E-21#6.664228110808164E-22#6.581057201413468E-22#1.446206477676437E-22	5#2#6#6#6#6#6#6#7#7#8	6#2#6#6#6#6#6#6#7#7#8	11#4#12#12#12#12#12#12#14#14#16	7#4#8#8#8#8#8#8#8#8#9	4.65#3.92#3.76#3.76#3.76#3.76#3.64#3.64#3.64#3.64#3.61	3#2#2#2#2#2#3#3#3#3#3	11#13#31#31#31#31#31#31#31#31#32	189.0#185.0#303.0#303.0#303.0#303.0#308.0#305.0#307.0#307.0#317.0	78.22724151611328#81.34302520751953#71.59468078613281#71.59468078613281#71.59468078613281#71.59468078613281#69.4027099609375#69.44181823730469#69.39618682861328#69.39618682861328#68.2164306640625	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	8#7#8#8#8#8#8#8#8#8#8	0#175#360#656#709#709#721#723#735#1118#1312	0#11#15#0#0#0#10#1#1#1#3	0#26#19#0#0#0#15#2#2#2#4	0#480#808#0#0#0#60#7#21#5#55	0#480#808#0#0#0#60#7#21#5#55	0#5#14#10#0#0#44#58#2#7#2	0#0#0#0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0#0#0#1	0#0#1#0#0#0#0#0#0#0#1	49210.67#44553.266#101956.95#101956.95#101956.95#101956.95#103639.414#104699.78#107475.65#107475.65#116239.54	2733.9263#2475.1814#5664.2754#5664.2754#5664.2754#5664.2754#5757.745#5816.6543#5970.869#5970.869#6457.752	1142.3905#1137.7031#1995.2437#1995.2437#1995.2437#1995.2437#2028.1685#2012.9734#2030.716#2030.716#2101.5059	0.38079682#0.37923437#0.6650812#0.6650812#0.6650812#0.6650812#0.67605615#0.6709911#0.67690533#0.67690533#0.700502	43.076927#39.160713#51.100002#51.100002#51.100002#51.100002#51.100002#52.0125#52.925003#52.925003#55.3125	onLocationChanged.json
1196	24	0.0035188309848308563	7.126145352261368E-9	2	2	4	3	3.05	1	14	161.0	83.2319564819336	0	0	3	0	0	0	0	0	0	0	0	0	32868.336	1826.0187	939.0953	0.31303176	35.0	prolongDueStart.json
2485	23	0.16067755222320557	0.20531440522394084	6	6	12	8	4.85	3	8	91.0	86.86071014404297	0	0	0	0	0	0	0	0	0	0	0	0	10693.501	594.0834	427.74002	0.14258	25.0	onStop.json
3773	4#4#4#4	0.6163482069969177#0.6163482069969177#0.6163482069969177#0.6163482069969177	0.8311439318103898#0.8311439318103898#0.8311439318103898#0.8311439318103898	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	0#0#0#0	17.0#17.0#17.0#17.0	126.4930648803711#126.4930648803711#126.4930648803711#126.4930648803711	0#0#0#0	0#0#0#0	0#0#0#0	0#314#367#367	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#10#0#0	0#0#0#0	0#0#0#0	0#0#0#0	365.29425#365.29425#365.29425#365.29425	20.294125#20.294125#20.294125#20.294125	66.41714#66.41714#66.41714#66.41714	0.022139046#0.022139046#0.022139046#0.022139046	5.5#5.5#5.5#5.5	getContentView.json
3350	8	0.16054360568523407	0.7744833419953937	1	1	2	2	3.12	1	2	32.0	111.30977630615234	0	1	0	0	0	0	0	0	0	0	0	0	1784.1296	99.11832	135.93369	0.045311227	13.125	setSecondaryProgress.json
3013	3	0.8483247756958008	0.9262742414754499	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDeadline.json
1198	3	0.00613663624972105	0.41380344204425146	0	0	0	1	1.89	0	2	27.0	128.31268310546875	0	1	0	0	0	0	0	0	0	0	0	0	1124.0017	62.44454	114.694046	0.03823135	9.8	getResultCountMessage.json
2824	16	2.1831502090208232E-4	1.986007186123596E-5	3	5	8	5	3.8	4	14	117.0	91.71150970458984	0	2	1	0	0	0	0	0	0	0	0	0	20663.094	1147.9497	595.23315	0.19841105	34.714287	getBranch.json
3422	9#9#9	0.002655996475368738#0.002655996475368738#0.002655996475368738	6.379841644228077E-5#6.379841644228077E-5#6.379841644228077E-5	1#1#1	1#1#1	2#2#2	2#2#2	2.27#2.27#2.27	1#1#1	8#8#8	86.0#86.0#86.0	103.28053283691406#103.28053283691406#103.28053283691406	0#0#0	1#1#1	3#3#3	0#16#16	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	14017.761#14017.761#14017.761	778.76447#778.76447#778.76447	441.11835#441.11835#441.11835	0.14703944#0.14703944#0.14703944	31.777777#31.777777#31.777777	scaleBitmapDown.json
3451	4#4#5#5#12#12#5#12#5#5	4.3031806126236916E-4#4.3031806126236916E-4#0.12664006650447845#0.06327179074287415#0.007832822389900684#0.010486974380910397#0.010990366339683533#0.006637940648943186#0.043155185878276825#0.043155185878276825	0.1056967828580472#0.1056967828580472#0.010192711747115798#0.005307340224977631#2.3798805654857747E-5#5.042650559404757E-5#0.004878486468811746#1.1484576988330284E-4#0.019528377747830703#0.019528377747830703	0#0#0#0#1#1#0#1#0#0	0#0#0#0#1#1#0#1#0#0	0#0#0#0#2#2#0#2#0#0	1#1#1#1#3#3#1#3#1#1	1.73#1.73#1.96#1.96#3.82#3.82#1.96#3.82#1.96#1.96	0#0#0#0#2#2#0#2#0#0	2#2#2#2#5#5#3#6#3#3	39.0#39.0#51.0#54.0#94.0#91.0#52.0#86.0#46.0#46.0	121.34304809570312#121.34304809570312#115.93038940429688#115.53934478759766#97.48497772216797#97.71112060546875#115.60777282714844#98.00498962402344#116.46694946289062#116.46694946289062	0#0#0#0#0#0#0#0#0#0	4#4#1#2#3#2#2#2#1#1	0#0#1#1#1#1#1#1#1#1	0#45#66#312#428#438#963#963#963#963	0#0#4#1#8#1#3#7#1#0	0#0#7#2#9#2#13#7#9#0	0#0#257#18#280#18#360#246#270#0	0#0#257#18#280#18#360#246#270#0	0#0#2#2#5#4#4#3#4#1	0#0#0#0#0#0#0#0#0#0	0#0#0#1#0#0#0#0#0#1	0#0#0#1#0#0#0#0#0#1	2682.2031#2682.2031#4764.5215#5107.4487#18952.01#18597.832#5645.5586#17575.975#4297.4116#4297.4116	149.01129#149.01129#264.69565#283.74716#1052.8894#1033.2129#313.64215#976.44305#238.74509#238.74509	178.81354#178.81354#252.66402#272.39728#524.98645#502.64413#268.83612#475.02634#227.89304#227.89304	0.059604514#0.059604514#0.08422134#0.09079909#0.17499548#0.16754805#0.08961204#0.15834211#0.07596435#0.07596435	15.0#15.0#18.857143#18.75#36.1#37.0#21.0#37.0#18.857143#18.857143	createForOkHttp.json
3593	7#7#7#7#7	0.4207422435283661#0.47527772188186646#0.47527772188186646#0.47527772188186646#0.47527772188186646	0.10141510479584778#0.10432756291981372#0.10432756291981372#0.10432756291981372#0.10432756291981372	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.81#1.81#1.81#1.81#1.81	0#0#0#0#0	2#2#2#2#2	46.0#45.0#45.0#45.0#45.0	111.48896026611328#111.67749786376953#111.67749786376953#111.67749786376953#111.67749786376953	0#0#0#0#0	1#1#1#1#1	2#2#2#2#2	0#63#134#187#187	0#1#0#0#0	0#2#0#0#0	0#16#0#0#0	0#16#0#0#0	0#7#10#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	3242.6401#3411.465#3411.465#3411.465#3411.465	180.14667#189.52583#189.52583#189.52583#189.52583	208.08385#200.67442#200.67442#200.67442#200.67442	0.069361284#0.06689148#0.06689148#0.06689148#0.06689148	15.583334#17.0#17.0#17.0#17.0	getVolumeSearchInstance.json
3957	3#3#3#3#3	0.8201846480369568#0.8201846480369568#0.8201846480369568#0.8201846480369568#0.8201846480369568	0.9248111885939164#0.9248111885939164#0.9248111885939164#0.9248111885939164#0.9248111885939164	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#498#506#551#1306	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#10#1#0#21	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5	getCollectionId.json
2824	3	0.7991188168525696	0.9160112806187561	0	0	0	1	0.0	0	0	12.0	133.59722900390625	0	1	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	onTransitionCancel.json
3013	3	0.8076196312904358	0.9369134714211684	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isRenewable.json
2893	4	0.525459885597229	0.7319378286446399	0	0	0	1	1.73	0	2	21.0	125.27178192138672	0	1	0	0	0	0	0	0	0	0	0	0	728.0	40.444443	84.0	0.028	8.666667	fromJson.json
3023	3#3	0.21308861672878265#0.21308861672878265	0.8109862848502665#0.8109862848502665	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#535	0#0	0#0	0#0	0#0	0#2	0#0	0#0	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setHttpLoggingEnabled.json
1198	3	0.12393312156200409	0.886813923920344	0	0	0	1	1.89	0	0	13.0	132.9956512451172	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	wasSearchAlreadyPerformed.json
3013	3	0.8398937582969666	0.9224682950450138	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getProlongData.json
3615	5#5#5#5#5#5	0.046919628977775574#0.046919628977775574#0.046919628977775574#0.046919628977775574#0.10396058112382889#0.10249244421720505	0.03354990871634194#0.03354990871634194#0.03354990871634194#0.03354990871634194#0.049600469573278405#0.04948978297914878	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.96#1.96#1.96#1.96#1.96#1.96	0#0#0#0#0#0	3#3#3#3#3#3	43.0#43.0#43.0#43.0#41.0#41.0	116.91962432861328#116.91962432861328#116.91962432861328#116.91962432861328#117.22176361083984#117.22176361083984	0#0#0#0#0#0	2#2#2#2#2#2	1#1#1#1#1#1	0#156#164#209#223#964	0#0#0#0#1#1	0#0#0#0#2#2	0#0#0#0#23#1	0#0#0#0#23#1	0#10#1#0#58#21	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	2741.7231#2741.7231#2741.7231#2741.7231#2463.7693#2463.7693	152.31795#152.31795#152.31795#152.31795#136.87607#136.87607	208.89319#208.89319#208.89319#208.89319#197.10155#197.10155	0.06963106#0.06963106#0.06963106#0.06963106#0.065700516#0.065700516	13.125#13.125#13.125#13.125#12.5#12.5	getResultById.json
