Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2954	22#22#22#21#21#12#8#8#11#14#14#15#15#18	0.05855700001120567#0.05855700001120567#0.05855700001120567#0.06370553374290466#0.06370553374290466#0.2790830731391907#0.36856889724731445#0.2540305256843567#0.32100236415863037#0.249855637550354#0.2238501012325287#0.20855455100536346#0.21311050653457642#0.00684298574924469	2.2769377727880443E-5#2.2769377727880443E-5#2.2769377727880443E-5#6.094020192969773E-5#6.094020192969773E-5#0.0011389677345361887#0.004507598692783951#0.004932152223389719#0.0013451111019086974#0.0016838370899199635#0.001687399517714217#8.121541152415244E-4#6.102991379872167E-4#1.0686010390871788E-6	4#4#4#3#3#2#1#1#2#3#3#3#3#3	7#7#7#7#7#3#1#1#2#3#3#3#3#3	11#11#11#10#10#5#2#2#4#6#6#6#6#6	7#7#7#7#7#4#2#2#3#4#4#4#4#4	3.41#3.41#3.41#3.49#3.49#2.56#2.4#2.4#2.41#2.37#2.37#2.29#2.29#2.1	4#4#4#4#4#2#1#1#1#1#1#1#1#1	7#7#7#7#7#5#6#6#6#6#6#6#6#9	121.0#121.0#121.0#115.0#115.0#76.0#59.0#59.0#73.0#79.0#79.0#84.0#85.0#120.0	85.55081176757812#85.55081176757812#85.55081176757812#86.66685485839844#86.66685485839844#98.68396759033203#107.14803314208984#107.10698699951172#100.53297424316406#95.98541259765625#95.98541259765625#94.47579193115234#94.37956237792969#89.3358154296875	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#0#0#0#0#0#0#0#0	3#3#3#2#2#2#2#2#2#2#2#3#3#4	0#0#0#79#557#557#557#557#587#638#638#638#638#1750	0#0#0#3#0#9#3#3#3#4#4#2#1#4	0#0#0#7#0#27#10#6#3#5#8#3#2#5	0#0#0#86#0#284#172#30#111#67#16#103#7#181	0#0#0#86#0#284#172#30#111#67#16#103#7#181	0#2#0#6#0#6#24#6#4#7#12#5#21#4	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	22053.586#22053.586#22053.586#16587.805#16587.805#8321.305#4539.4155#5032.922#8641.005#10019.168#10019.168#11399.57#11999.578#20101.658	1225.1992#1225.1992#1225.1992#921.5447#921.5447#462.2947#252.18976#279.60678#480.05582#556.6204#556.6204#633.30945#666.64325#1116.7588	660.59125#660.59125#660.59125#616.11847#616.11847#398.8425#302.6277#305.02557#383.09872#414.58627#414.58627#447.04196#455.39194#680.69104	0.22019708#0.22019708#0.22019708#0.20537283#0.20537283#0.1329475#0.10087589#0.10167519#0.12769957#0.13819543#0.13819543#0.14901398#0.15179731#0.22689702	33.384617#33.384617#33.384617#26.923077#26.923077#20.863636#15.000001#16.5#22.555555#24.166666#24.166666#25.5#26.35#29.53125	verifyPinForSignature.json
2397	7#7#7#10#10#11#11#16#15	0.1949666440486908#0.2721424698829651#0.18261435627937317#0.17750343680381775#0.17681580781936646#0.20800919830799103#0.2142278403043747#0.004687380976974964#0.005324974190443754	0.009194016155872954#0.006005410756573042#0.006700896714740306#0.00883173483653487#0.008935980952067208#0.004625371718540863#0.0034765846927612555#1.8019235879011649E-6#3.409863078703589E-6	1#1#1#2#2#2#2#2#2	1#1#1#2#2#2#2#2#2	2#2#2#4#4#4#4#4#4	2#2#2#3#3#3#3#3#3	2.56#2.56#2.56#2.53#2.53#2.41#2.41#2.0#2.07	1#1#1#1#1#1#1#1#1	5#6#6#6#6#6#6#10#9	54.0#56.0#56.0#62.0#62.0#67.0#68.0#113.0#108.0	109.90446472167969#109.66938018798828#109.62517547607422#103.0877685546875#103.0877685546875#101.05683135986328#100.940185546875#91.78643798828125#93.09355163574219	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1#1#1#1#1#2#2#4#4	0#0#0#81#81#81#81#1193#1256	0#1#3#4#2#2#1#6#0	0#2#6#5#4#3#2#7#1	0#47#30#55#4#83#7#255#33	0#47#30#55#4#83#7#255#33	0#24#6#7#12#5#21#4#1	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	4140.0#4519.777#5092.5503#6150.7427#6150.7427#7274.0845#7714.6226#18227.984#16190.812	230.0#251.09871#282.91946#341.70792#341.70792#404.1158#428.59015#1012.6658#899.4895	270.0#282.48605#284.89792#315.4227#315.4227#346.38498#354.24286#640.9841#609.53644	0.09#0.09416202#0.09496597#0.1051409#0.1051409#0.11546166#0.11808095#0.21366136#0.20317881	15.333334#16.0#17.875#19.5#19.5#21.0#21.777779#28.4375#26.5625	verifyAdminPin.json
2397	4#4#4#4#4	0.10407144576311111#0.1528318077325821#0.1528318077325821#0.0733054056763649#0.08059404045343399	0.6378933077052593#0.5152888026360191#0.5152888026360191#0.47407670315675265#0.412352305994837	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	21.0#21.0#21.0#22.0#23.0	125.27178192138672#125.15930938720703#125.15930938720703#124.81353759765625#124.48601531982422	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#81	0#1#0#2#1	0#2#0#4#2	0#33#0#17#7	0#33#0#17#7	0#24#0#28#21	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	554.4#472.102#472.102#550.4302#635.0652	30.800001#26.227888#26.227888#30.579454#35.2814	84.0#85.83672#85.83672#91.73836#97.70234	0.028#0.028612241#0.028612241#0.030579453#0.032567445	6.6000004#5.5#5.5#6.0#6.5	createReactivate2Command.json
2397	4#4#4#4#4	0.00740060955286026#0.03525499626994133#0.03525499626994133#0.017176464200019836#0.018998706713318825	0.31408731941624685#0.27978696894695176#0.27978696894695176#0.2451010636830531#0.20855096115114052	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	28.0#25.0#25.0#26.0#27.0	123.28931427001953#123.96263122558594#123.96263122558594#123.67467498779297#123.39956665039062	0#0#0#0#0	2#1#1#1#1	0#0#0#0#0	0#0#0#0#81	0#2#0#2#1	0#4#0#4#2	0#44#0#17#7	0#44#0#17#7	0#24#0#28#21	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	983.8791#756.3374#756.3374#856.5019#963.23724	54.65995#42.018745#42.018745#47.58344#53.51318	122.984886#108.0482#108.0482#114.20025#120.404655	0.04099496#0.03601607#0.03601607#0.03806675#0.040134884	8.0#7.0#7.0#7.5#8.0	createVerifyPw3Command.json
2316	3#3#3	0.27902454137802124#0.2954055666923523#0.31216323375701904	0.9363134526781116#0.9373061914006423#0.9224549223710006	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	11.0#11.0#12.0	134.26058959960938#134.26058959960938#133.59722900390625	0#0#0	0#0#0	0#0#0	0#0#0	0#1#1	0#2#2	0#2#7	0#2#7	0#12#21	0#0#0	0#0#0	0#0#0	146.16483#146.16483#186.80931	8.120268#8.120268#10.378295	36.541206#36.541206#41.51318	0.012180402#0.012180402#0.013837727	4.0#4.0#4.5	getOpenPgpCapabilities.json
2397	4#4#4#4#4	0.0016321024158969522#0.001742875319905579#0.001742875319905579#7.649742183275521E-4#8.476314833387733E-4	0.11773473387861814#0.09900240449523998#0.09900240449523998#0.0819901122044683#0.06501796407427995	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	35.0#35.0#35.0#36.0#37.0	121.90575408935547#121.90575408935547#121.90575408935547#121.69290161132812#121.4874496459961	0#0#0#0#0	2#2#2#2#2	0#0#0#0#0	0#0#0#0#81	0#1#0#2#1	0#2#0#4#2	0#10#0#17#7	0#10#0#17#7	0#24#0#28#21	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1604.7368#1604.7368#1604.7368#1776.2749#1956.5581	89.15205#89.15205#89.15205#98.68194#108.69767	160.47368#160.47368#160.47368#167.17882#173.91628	0.053491227#0.053491227#0.053491227#0.05572627#0.057972092	10.0#10.0#10.0#10.625#11.25	createPutDataCommand.json
2397	6#14	0.0#2.832830941770226E-4	0.0018154122838476574#7.613607370864799E-6	1#2	1#3	2#5	2#4	2.75#2.56	1#1	2#1	68.0#109.0	111.30072784423828#94.17039489746094	0#0	8#8	0#0	0#108	0#9	0#10	0#250	0#250	0#1	0#0	0#0	0#0	7007.0396#18220.639	389.27997#1012.2577	333.66855#587.7626	0.11122285#0.19592085	21.0#30.999998	create.json
2394	4	0.5139548182487488	0.8770924003313094	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getTransportType.json
2397	4#4#4	0.026284705847501755#0.026284705847501755#0.012183144688606262	0.44789421804823437#0.44789421804823437#0.38994832422375814	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#1	23.0#23.0#24.0	124.58238983154297#124.58238983154297#124.26470947265625	0#0#0	0#0#0	0#0#0	0#0#0	0#0#2	0#0#4	0#0#17	0#0#17	0#0#28	0#0#0	0#0#0	0#0#0	527.49554#527.49554#611.7016	29.305307#29.305307#33.98342	95.90828#95.90828#101.950264	0.031969428#0.031969428#0.03398342	5.5#5.5#6.0	createSelectSecureMessagingCertificateCommand.json
2397	4#4#4	0.032630108296871185#0.032630108296871185#0.014542786404490471	0.22900953318954104#0.22900953318954104#0.18924105085270984	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#1	27.0#27.0#28.0	123.47842407226562#123.47842407226562#123.21045684814453	0#0#0	1#1#1	0#0#0	0#0#0	0#0#2	0#0#4	0#0#17	0#0#17	0#0#28	0#0#0	0#0#0	0#0#0	770.8517#770.8517#874.04865	42.825092#42.825092#48.558258	118.59257#118.59257#124.86409	0.039530855#0.039530855#0.041621365	6.5#6.5#7.0	createInternalAuthForSecureMessagingCommand.json
