Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1836	26#10#5	0.0#0.0#0.0	1.9266096533432114E-19#6.730748927827347E-8#2.2832251276062136E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.07#1.6#1.96	0#0#0	20#7#4	276.0#115.0#91.0	79.40727233886719#99.64702606201172#112.35371398925781	0#0#0	5#5#5	9#5#2	0#287#1745	0#3#3	0#22#11	0#1219#325	0#1219#325	0#2#34	0#0#0	0#0#0	0#0#0	116777.695#19508.129#10718.146	6487.65#1083.7849#595.4526	1668.2528#667.8458#502.64413	0.5560843#0.22261527#0.16754805	70.0#29.210527#21.323528	executeSoundexTwoPersonNamesQuery.json
5287	3	0.8435350656509399	0.9050087624262108	0	0	0	1	1.89	0	1	13.0	133.18099975585938	0	0	0	0	0	0	0	0	0	0	0	0	202.37674	11.243153	44.97261	0.01499087	4.5	activate.json
2722	3	0.8886429071426392	0.925426444096806	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getNonCoded.json
5782	3#3	0.6232538223266602#0.6232538223266602	0.8600029527147738#0.8600029527147738	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#320	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setParser.json
697	8#8	0.0014319521142169833#8.39059823192656E-4	4.036176210449483E-5#2.461656646186101E-5	0#0	0#0	0#0	1#1	2.78#2.78	1#1	10#10	83.0#85.0	105.37683868408203#105.21939086914062	0#0	1#1	2#2	0#50	0#1	0#2	0#20	0#20	0#69	0#0	0#0	0#0	20177.21#21427.72	1120.9562#1190.429	444.67682#458.347	0.1482256#0.15278232	45.375#46.75	configXmlFailsWithMissingId.json
6141	3#3	0.6474575400352478#0.6474575400352478	0.876612340985295#0.876612340985295	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#679	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setConcept.json
1386	22	0.0	4.694760206519428E-10	0	0	0	1	1.37	0	22	166.0	84.89834594726562	0	0	7	0	0	0	0	0	0	0	0	0	45512.75	2528.486	976.5188	0.32550627	46.607143	validate_shouldPassValidationIfTheSpecimenSourceIsValid.json
6200	14#14#14#13#13#13#12#12	0.006829740013927221#0.006829740013927221#0.006829740013927221#0.08718395233154297#0.08718395233154297#0.08718395233154297#0.09758223593235016#0.09460034221410751	4.156925730148201E-5#4.156925730148201E-5#4.156925730148201E-5#1.8142327009204137E-4#1.8142327009204137E-4#1.8142327009204137E-4#0.0017259224821073147#0.0031095716661796047	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.64#1.64#1.64#1.85#1.85#1.85#1.73#1.73	0#0#0#0#0#0#0#0	14#14#14#8#8#8#8#8	104.0#104.0#104.0#91.0#91.0#91.0#79.0#77.0	95.4513931274414#95.4513931274414#95.4513931274414#97.25952911376953#97.25952911376953#97.25952911376953#99.52205657958984#99.761962890625	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3	0#76#144#171#738#2519#3153#3153	0#0#0#2#0#0#0#1	0#0#0#5#0#0#1#2	0#0#0#243#0#0#135#17	0#0#0#243#0#0#135#17	0#4#151#39#0#818#1175#521	0#0#0#0#0#1#0#0	0#0#0#0#0#1#0#0	0#0#0#0#0#1#0#0	21434.352#21434.352#21434.352#13419.486#13419.486#13419.486#13179.908#11536.85	1190.7974#1190.7974#1190.7974#745.52704#745.52704#745.52704#732.2171#640.9361	524.617#524.617#524.617#466.76474#466.76474#466.76474#387.64435#370.16632	0.17487234#0.17487234#0.17487234#0.15558824#0.15558824#0.15558824#0.12921478#0.123388775	40.857143#40.857143#40.857143#28.75#28.75#28.75#34.0#31.166666	getObsAtTopLevel_shouldGetBothChildAndParentObsAfterRemovingChildFromParentGrouping.json
4152	5#4	0.35670921206474304#0.7106873393058777	0.838231060443124#0.9183733790079609	0#0	0#0	0#0	1#1	1.96#1.73	0#0	2#1	23.0#17.0	121.18380737304688#126.77537536621094	0#0	1#1	0#0	0#0	0#0	0#1	0#33	0#33	0#3	0#0	0#0	0#0	996.6666#518.9867	55.37037#28.832594	92.0#62.907475	0.030666666#0.020969158	10.833333#8.25	unretireOrderType.json
4902	7#8#8#8#8#8	0.03493668884038925#0.039487387984991074#0.039487387984991074#0.039487387984991074#0.0352250374853611#0.07063376158475876	0.010606713997862232#0.0057984272921376015#0.0057984272921376015#0.0057984272921376015#0.009744817827339564#0.020265120355398073	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0	6#6#6#6#6#6	55.0#60.0#60.0#60.0#58.0#54.0	110.13679504394531#107.37741088867188#107.37741088867188#107.37741088867188#107.64752197265625#108.06900024414062	0#0#0#0#0#0	0#0#0#0#0#0	1#2#2#2#2#2	0#470#470#1855#1855#3061	0#3#3#0#1#2	0#5#5#0#2#4	0#48#0#0#17#14	0#48#0#0#17#14	0#1#1#1175#521#254	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	6207.2163#7093.6787#7093.6787#7093.6787#6195.842#5659.046	344.84534#394.09326#394.09326#394.09326#344.21344#314.39145	269.87897#302.66364#302.66364#302.66364#287.34338#264.97208	0.08995966#0.10088788#0.10088788#0.10088788#0.095781125#0.088324025	23.0#23.4375#23.4375#23.4375#21.5625#21.357141	getDefaultConceptMapType_shouldReturnTypeAsSetInGp.json
4093	5#5#5#5	0.3679753243923187#0.3679753243923187#0.3679753243923187#0.3257092833518982	0.2079135497058365#0.2079135497058365#0.2079135497058365#0.2920905994765825	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.96#1.96#1.96#1.96	0#0#0#0	4#4#4#4	32.0#32.0#32.0#30.0	118.82691955566406#118.82691955566406#118.82691955566406#119.31562042236328	0#0#0#0	0#0#0#0	1#1#1#1	0#0#1046#1048	0#0#0#1	0#0#0#2	0#0#0#17	0#0#0#17	0#4#1175#442	0#0#0#0	0#0#0#0	0#0#0#0	1718.9535#1718.9535#1718.9535#1400.0511	95.49741#95.49741#95.49741#77.78062	144.75398#144.75398#144.75398#131.76952	0.048251327#0.048251327#0.048251327#0.043923173	11.875#11.875#11.875#10.625	match_shouldIncludeBeanForOpenmrs1_10AndLater.json
5745	5#5#5#6#6#6	0.015431096777319908#0.015431096777319908#0.015431096777319908#0.026198722422122955#0.026198722422122955#0.026198722422122955	0.04686358742400494#0.04686358742400494#0.04686358742400494#0.05988833854402108#0.05988833854402108#0.05988833854402108	1#1#1#1#1#1	1#1#1#1#1#1	2#2#2#2#2#2	2#2#2#2#2#2	2.99#2.99#2.99#2.75#2.75#2.75	0#0#0#1#1#1	5#5#5#5#5#5	45.0#45.0#45.0#46.0#46.0#46.0	116.68762969970703#116.68762969970703#116.68762969970703#113.6197280883789#113.6197280883789#113.6197280883789	0#0#0#0#0#0	2#2#2#2#2#2	0#0#0#0#0#0	0#168#283#1550#2064#3792	0#0#0#2#0#0	0#0#0#3#0#0	0#0#0#8#0#0	0#0#0#8#0#0	0#3#0#242#818#93	0#0#0#0#1#0	0#0#0#0#1#0	0#0#0#0#1#0	3639.6226#3639.6226#3639.6226#3720.503#3720.503#3720.503	202.20125#202.20125#202.20125#206.69461#206.69461#206.69461	208.97353#208.97353#208.97353#213.61737#213.61737#213.61737	0.06965784#0.06965784#0.06965784#0.07120579#0.07120579#0.07120579	17.416668#17.416668#17.416668#17.416668#17.416668#17.416668	getPathForResource.json
6657	29#28#28#30	0.0#0.0#0.0#0.0	4.5734173762921534E-14#1.0282727094250307E-13#1.0282727094250307E-13#1.5679671552589556E-13	4#4#4#4	5#5#5#5	9#9#9#9	5#5#5#5	2.37#2.32#2.32#2.25	1#1#1#1	20#18#18#18	230.0#222.0#222.0#224.0	77.87434387207031#78.58177947998047#78.58177947998047#77.4174575805664	0#0#0#0	2#2#2#2	6#6#6#6	0#799#1195#2462	0#10#0#4	0#21#0#6	0#233#0#16	0#233#0#16	0#4#0#242	0#0#0#0	0#0#0#0	0#0#0#0	101442.27#96364.96#96364.96#97233.11	5635.6816#5353.609#5353.609#5401.8394	1335.6917#1300.4718#1300.4718#1312.1877	0.44523054#0.4334906#0.4334906#0.4373959	75.94737#74.1#74.1#74.1	service.json
