Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3041	7#7#4	0.4242168068885803#0.5087128281593323#0.5541263818740845	0.3040106707670186#0.2940666637286787#0.46223867896926574	1#1#0	1#1#0	2#2#0	2#2#1	2.56#2.56#2.0	1#1#0	2#2#1	35.0#35.0#24.0	112.54360961914062#112.54360961914062#124.1749038696289	0#0#0	0#0#0	0#0#0	0#75#851	0#1#0	0#2#3	0#11#89	0#11#89	0#9#1	0#0#0	0#0#0	0#0#0	1300.2797#1300.2797#622.35767	72.23776#72.23776#34.575424	162.53496#162.53496#103.72627	0.05417832#0.05417832#0.034575425	8.0#8.0#6.0	setTransactionComplete.json
3226	22#7#10#7	2.681794867385179E-4#0.515150785446167#0.07078547775745392#0.49401676654815674	4.824236474693027E-7#0.560665576068538#0.17758631702066888#0.5833179887288961	7#1#1#1	7#1#2#1	14#2#3#2	6#2#3#2	4.23#3.02#2.8#3.02	3#1#1#1	13#2#3#2	137.0#32.0#49.0#32.0	85.01680755615234#113.2991714477539#104.72284698486328#113.2991714477539	0#0#0#0	1#1#1#1	3#0#0#0	0#185#189#700	0#4#6#0	0#23#9#3	0#889#194#164	0#889#194#164	0#437#12#7	0#0#0#0	0#1#0#0	0#1#0#0	34431.293#1405.5415#3109.341#1405.5415	1912.8496#78.08564#172.74117#78.08564	765.13983#140.55415#230.32156#140.55415	0.2550466#0.046851385#0.07677385#0.046851385	45.0#10.0#13.5#10.0	enqueue.json
2475	15#15	2.3322574270423502E-4#3.556016308721155E-4	1.661106305928152E-5#2.3053918158625126E-5	1#1	2#2	3#3	3#3	2.29#2.29	1#1	12#12	111.0#109.0	93.44820404052734#93.54275512695312	0#0	2#2	1#1	0#1343	0#1	0#2	0#14	0#14	0#14	0#1	0#1	0#1	22062.328#20965.945	1225.6849#1164.7748	569.3504#559.09186	0.18978347#0.18636395	38.75#37.5	getOrAddCommandClass.json
2601	13	0.0	2.335903424006911E-7	0	0	0	1	1.69	0	12	117.0	95.45556640625	0	0	3	0	0	0	0	0	0	0	0	0	15046.117	835.8954	660.3312	0.22011039	22.785713	Alarm_DoorV1ResponseWithCcV2.json
3226	3	0.937305212020874	0.9002681514516183	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getIsSUC.json
2960	12#12	0.0#0.0	1.701621741153331E-9#1.701621741153331E-9	0#0	0#0	0#0	1#1	1.73#1.73	0#0	14#14	136.0#136.0	95.7984390258789#95.7984390258789	0#0	0#0	3#3	0#254	0#0	0#0	0#0	0#0	0#31	0#0	0#0	0#0	17628.29#17628.29	979.34937#979.34937	793.2731#793.2731	0.26442435#0.26442435	22.222221#22.222221	Alarm_Burglar_Event8.json
3226	3	0.35645654797554016	0.9195659409916508	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getMessageClassKey.json
1380	8#10	0.0#0.0	3.237909536571477E-14#6.652317108829569E-20	0#0	0#0	0#0	1#1	1.73#1.6	0#0	56#78	219.0#291.0	100.6907958984375#95.38436889648438	0#0	2#2	0#0	0#101	0#4	0#6	0#336	0#336	0#4	0#0	0#1	0#1	79825.5#150382.34	4434.75#8354.574	1095.0#1515.951	0.365#0.50531703	72.9#99.2	assertEndpointSomewhatEqual.json
3041	64#66#66	0.0#0.0#0.0	1.7594531436442925E-23#1.0457493429812741E-23#1.0103182878845684E-23	12#12#12	14#14#14	26#26#26	16#16#16	3.47#3.45#3.45	3#3#3	44#46#46	396.0#404.0#404.0	59.45033645629883#58.86612319946289#58.86612319946289	0#0#0	0#0#0	2#2#2	0#335#346	0#5#4	0#8#8	0#117#71	0#117#71	0#31#3	0#0#0	0#0#0	0#0#0	224031.86#240614.19#240614.19	12446.215#13367.455#13367.455	2410.6353#2450.7#2450.7	0.80354506#0.81689996#0.81689996	92.934784#98.18182#98.18182	doSecureStages.json
3226	3	0.8652061820030212	0.9312153396578401	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDataType.json
