Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
470	4	0.7624988555908203	0.6336951099849117	0	0	0	1	1.73	0	1	21.0	125.15930938720703	0	0	0	0	0	0	0	0	0	0	0	0	515.0203	28.61224	85.83672	0.028612241	6.0	dispatchReminders.json
239	3	0.7201700210571289	0.9131576584663857	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getReminderTargetId.json
515	3	0.7123958468437195	0.8330164511584162	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setPhMin.json
459	8#8	0.07380763441324234#0.03688561171293259	0.0057458083438722265#0.0051759432076952695	0#0	0#0	0#0	1#1	2.0#2.0	0#0	6#6	60.0#61.0	107.33320617675781#107.29145812988281	0#0	0#0	2#2	0#85	0#2	0#4	0#44	0#44	0#7	0#0	0#1	0#1	5860.7573#5661.8276	325.59763#314.546	305.24777#307.70804	0.101749256#0.10256935	19.2#18.4	testDeleteBotanicalInfo.json
459	8#8	0.06186060234904289#0.027462653815746307	0.006143129687695543#0.0056138648002654785	0#0	0#0	0#0	1#1	2.0#2.0	0#0	6#6	60.0#61.0	107.33320617675781#107.29145812988281	0#0	0#0	2#2	0#85	0#2	0#4	0#45	0#45	0#7	0#0	0#1	0#1	5860.7573#5661.8276	325.59763#314.546	305.24777#307.70804	0.101749256#0.10256935	19.2#18.4	testDeleteDiaryEntry.json
673	3#3	0.7283969521522522#0.6349117755889893	0.8472798914955638#0.8459469532966504	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#188	0#2	0#4	0#24	0#24	0#17	0#0	0#0	0#0	776.70044#776.70044	43.150024#43.150024	64.72504#64.72504	0.021575011#0.021575011	12.0#12.0	setLocation.json
673	7#7	0.15267379581928253#0.17162775993347168	0.5526860083151743#0.36863538707539534	0#0	0#0	0#0	1#1	1.98#1.98	0#0	3#3	34.0#37.0	113.38774108886719#112.69537353515625	0#0	0#1	1#1	0#194	0#3	0#6	0#78	0#78	0#41	0#0	0#0	0#0	2310.8726#3657.4773	128.3818#203.19318	144.42953#164.99898	0.04814318#0.05499966	16.0#22.166666	passwordAuthProvider.json
459	3	0.7134060859680176	0.8084036480131251	0	0	0	1	1.89	0	1	18.0	130.85629272460938	0	1	0	0	0	0	0	0	0	0	0	0	562.5922	31.255123	70.32403	0.023441343	8.0	getPlantFromName.json
459	5	0.334943950176239	0.7348273405286277	0	0	0	1	1.96	0	2	23.0	121.07132720947266	0	1	0	0	0	0	0	0	0	0	0	0	763.84467	42.435814	94.01165	0.031337216	8.125	deleteInternal.json
459	4	0.22577808797359467	0.19633472477226968	0	0	0	1	1.73	0	4	34.0	122.12659454345703	0	1	0	0	0	0	0	0	0	0	0	0	1525.1942	84.73301	153.8011	0.051267035	9.916666	responseMessageContains.json
673	3	0.6144517660140991	0.8309155754205546	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setCreatedOn.json
470	3	0.8211290240287781	0.9393861847671245	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getFrequency.json
576	26#26	0.0#0.0	1.720679358711308E-18#1.720679358711308E-18	0#0	0#0	0#0	1#1	1.44#1.44	0#0	32#32	257.0#257.0	79.62187194824219#79.62187194824219	0#0	0#0	9#9	0#117	0#0	0#0	0#0	0#0	0#217	0#0	0#0	0#0	100850.805#100850.805	5602.8223#5602.8223	1600.8064#1600.8064	0.5336021#0.5336021	63.0#63.0	shouldReturnErrorWhenRemoveAnotherUserImage.json
576	14#15#15#15	0.0#0.0#0.0#0.0	4.333942823681409E-10#2.5590826637254985E-11#1.524514650174761E-11#1.524514650174761E-11	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.81#1.77#1.77#1.77	0#0#0#0	16#16#16#16	149.0#162.0#164.0#164.0	92.82648468017578#91.16678619384766#91.0828628540039#91.0828628540039	0#0#0#0	0#0#0#0	5#6#6#6	0#82#90#117	0#2#1#0	0#3#2#0	0#118#6#0	0#118#6#0	0#2#5#217	0#0#0#0	0#1#0#0	0#1#0#0	37661.027#37706.305#37506.137#37506.137	2092.2793#2094.7947#2083.6743#2083.6743	869.1006#964.57983#980.2739#980.2739	0.2897002#0.32152662#0.32675797#0.32675797	43.333336#39.09091#38.26087#38.26087	shouldSavePlantImage.json
459	17	0.0	6.654952275964899E-10	0	0	0	1	1.7	0	23	162.0	89.52952575683594	0	0	4	0	0	0	0	0	0	0	0	0	33581.957	1865.6643	894.817	0.29827234	37.52941	shouldGetCountOfDiaryEntriesForSpecificPlant.json
459	17	4.969943547621369E-4	7.500557751102123E-9	0	0	0	1	1.7	0	25	151.0	89.95589447021484	0	0	5	0	0	0	0	0	0	0	0	0	20067.002	1114.8335	824.3742	0.2747914	24.342104	shouldReturnUserStats.json
459	7	0.08086121827363968	0.018497014446093633	0	0	0	1	1.98	0	5	52.0	110.53502655029297	0	0	1	0	0	0	0	0	0	0	0	0	3166.4446	175.91359	249.98245	0.08332749	12.666667	testGetEntryByNonExistentId.json
548	3	0.6787728667259216	0.8128042209960762	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setImageId.json
403	3	0.6545426249504089	0.8331425194962084	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setLastLogin.json
673	3	0.9293338060379028	0.934790415764494	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDiary.json
504	3	0.39706864953041077	0.9132614478047988	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDiaryEntryCount.json
459	11	0.0	2.8936220110891174E-8	0	0	0	1	1.92	0	16	123.0	97.82490539550781	0	0	2	0	0	0	0	0	0	0	0	0	16103.641	894.6467	704.53424	0.23484474	22.857143	testGetAllPlantsWithDefaultParams.json
470	4	0.31298431754112244	0.8414764511597654	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getName.json
459	9	0.009917332790791988	0.0013715698285639366	0	0	0	1	1.99	0	8	69.0	104.57514190673828	0	0	2	0	0	0	0	0	0	0	0	0	6365.301	353.6278	359.4523	0.119817436	17.708332	testCountUserImage.json
469	3	0.47357794642448425	0.8333848687992168	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setRepeatAfter.json
576	15#16	0.003942406736314297#5.877178045921028E-4	1.2908664699174536E-7#4.9980339964679114E-8	0#0	0#0	0#0	1#1	1.77#1.73	0#0	17#19	131.0#138.0	92.72236633300781#91.4061508178711	0#0	0#0	4#4	0#117	0#14	0#27	0#368	0#368	0#217	0#0	0#0	0#0	20650.982#26218.377	1147.2769#1456.5765	715.18555#753.40155	0.23839518#0.25113386	28.875#34.800003	shouldGetPlantById.json
459	6	0.32711708545684814	0.5182467463988699	0	0	0	1	1.89	0	3	30.0	116.4460220336914	0	0	0	0	0	0	0	0	0	0	0	0	963.17255	53.509586	129.65784	0.04321928	7.4285717	testDeleteReminderById.json
548	7	0.20742936432361603	0.4656434290826581	1	1	2	2	3.02	1	0	37.0	112.54422760009766	0	1	0	0	0	0	0	0	0	0	0	0	1625.1575	90.28653	162.51575	0.054171916	10.0	setUserCreator.json
673	4#4	0.4995006322860718#0.4995006322860718	0.6388942633042375#0.6388942633042375	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	22.0#22.0	124.71717071533203#124.71717071533203	0#0	1#1	0#0	0#125	0#0	0#0	0#0	0#0	0#34	0#0	0#0	0#0	876.1351#876.1351	48.67417#48.67417	93.45441#93.45441	0.03115147#0.03115147	9.375#9.375	getAllInternal.json
459	19	0.00113395182415843	2.0253686898463E-9	0	0	0	1	1.63	0	21	159.0	87.76737976074219	0	0	5	0	0	0	0	0	0	0	0	0	33195.867	1844.2148	888.00903	0.296003	37.38235	shouldGetDiaryEntryByIdSuccessfully.json
459	19#18	0.0#0.0	1.3681407019405682E-17#1.010449214845634E-16	2#2	2#2	4#4	3#3	2.42#2.48	1#1	33#31	232.0#221.0	84.75935363769531#85.90376281738281	0#0	1#1	5#5	0#56	0#0	0#1	0#62	0#62	0#40	0#0	0#0	0#0	112074.18#97830.26	6226.3433#5435.014	1449.5192#1376.569	0.48317304#0.4588563	77.31818#71.068184	createNewPlant.json
459	10	0.0033597007859498262	1.094540148888121E-4	0	0	0	1	1.96	0	9	84.0	101.69963836669922	0	0	3	0	0	0	0	0	0	0	0	0	8679.234	482.1797	450.03436	0.15001145	19.285715	testGetDiaryEntryStatsByPlantId.json
333	28#28	0.0#0.0	3.8726241922420094E-19#1.1313892217064553E-19	1#1	1#1	2#2	4#4	4.61#4.61	3#3	26#27	255.0#260.0	77.5068588256836#77.39378356933594	0#0	2#2	8#8	0#0	0#1	0#2	0#34	0#34	0#2	0#0	0#0	0#0	98867.04#104301.44	5492.6133#5794.5244	1671.4202#1708.1625	0.55714005#0.5693875	59.151516#61.060608	fetchInfoFromPartial.json
504	3	0.5101821422576904	0.8374062041969785	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setLatestVersion.json
