Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
264	3	0.1504833996295929	0.6333421262215924	0	0	0	1	1.89	0	1	18.0	130.7338104248047	0	0	0	0	0	0	0	0	0	0	0	0	432.0	24.0	72.0	0.024	6.0	MINUS.json
264	3	0.1504833996295929	0.6393447745596503	0	0	0	1	1.89	0	1	18.0	130.7338104248047	0	0	0	0	0	0	0	0	0	0	0	0	432.0	24.0	72.0	0.024	6.0	AFTER.json
2317	3#8#8#8#8#8	0.8099893927574158#0.4151836931705475#0.4151836931705475#0.41326913237571716#0.41326913237571716#0.41326913237571716	0.6170574803347323#0.014785692849229677#0.014602264935554492#0.015338860878613865#0.015338860878613865#0.015338860878613865	0#2#2#2#2#2	0#5#5#5#5#5	0#7#7#7#7#7	1#3#3#3#3#3	1.89#2.83#2.83#2.83#2.83#2.83	0#2#2#2#2#2	1#1#1#1#1#1	21.0#56.0#56.0#56.0#56.0#56.0	129.81976318359375#107.47197723388672#107.47197723388672#107.47197723388672#107.47197723388672#107.47197723388672	0#0#0#0#0#0	1#1#1#1#1#1	1#1#1#1#1#1	0#0#351#513#1409#1742	0#6#1#2#0#0	0#7#2#4#0#0	0#275#4#4#0#0	0#275#4#4#0#0	0#2#5#2#2#2	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	801.1428#3876.669#3876.669#3876.669#3876.669#3876.669	44.507935#215.3705#215.3705#215.3705#215.3705#215.3705	85.83672#272.04694#272.04694#272.04694#272.04694#272.04694	0.028612241#0.09068231#0.09068231#0.09068231#0.09068231#0.09068231	9.333334#14.25#14.25#14.25#14.25#14.25	skipLibraryAndImport.json
1882	3#3#3	0.062287647277116776#0.029021674767136574#0.029021674767136574	0.8126892982327893#0.7685302051675361#0.7685302051675361	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	19.0#19.0#19.0	130.57513427734375#130.57513427734375#130.57513427734375	0#0#0	0#0#0	0#0#0	0#974#1307	0#1#0	0#2#0	0#15#0	0#15#0	0#6#2	0#0#0	0#1#0	0#1#0	593.84735#593.84735#593.84735	32.99152#32.99152#32.99152	74.23092#74.23092#74.23092	0.024743639#0.024743639#0.024743639	8.0#8.0#8.0	ignoreLiterals.json
5056	5#5#5#5#5#5	0.21967022120952606#0.21967022120952606#0.21967022120952606#0.21967022120952606#0.21967022120952606#0.21967022120952606	0.5827494556524887#0.5827494556524887#0.5827494556524887#0.5827494556524887#0.5827494556524887#0.5827494556524887	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	2.99#2.99#2.99#2.99#2.99#2.99	1#1#1#1#1#1	1#1#1#1#1#1	28.0#28.0#28.0#28.0#28.0#28.0	119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531	0#0#0#0#0#0	1#1#1#1#1#1	1#1#1#1#1#1	0#47#1099#4482#4483#4483	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1452.1678#1452.1678#1452.1678#1452.1678#1452.1678#1452.1678	80.675995#80.675995#80.675995#80.675995#80.675995#80.675995	121.013985#121.013985#121.013985#121.013985#121.013985#121.013985	0.040337995#0.040337995#0.040337995#0.040337995#0.040337995#0.040337995	12.0#12.0#12.0#12.0#12.0#12.0	removeDysfunctionalRules.json
768	9#9#23#15	0.45435959100723267#0.45435959100723267#0.06171855330467224#0.14009618759155273	0.45278186826040345#0.45278186826040345#1.7475864754775908E-4#0.02572120309951156	1#1#3#2	1#1#3#2	2#2#6#4	2#2#5#3	2.51#2.51#4.81#2.72	1#1#3#1	3#3#9#6	41.0#41.0#112.0#71.0	107.86027526855469#107.86027526855469#85.72429656982422#95.90457153320312	0#0#0#0	1#1#1#1	1#1#4#2	0#0#396#408	0#0#14#3	0#0#14#14	0#0#563#358	0#0#563#358	0#1#7#3	0#0#0#0	0#0#0#0	0#0#0#0	3419.0464#3419.0464#32142.78#8618.611	189.94702#189.94702#1785.71#478.81174	182.8367#182.8367#607.74164#355.0	0.060945567#0.060945567#0.20258054#0.11833333	18.7#18.7#52.88889#24.277779	getResource.json
264	3	0.0359504371881485	0.7844428733473573	0	0	0	1	1.89	0	1	18.0	130.85629272460938	0	0	0	0	0	0	0	0	0	0	0	0	421.94415	23.441341	70.32403	0.023441343	6.0	expressions.json
1839	4#4#5#6#7	0.013343826867640018#0.013343826867640018#0.04321971908211708#0.08061732351779938#0.06207237392663956	0.32257413092905296#0.32257413092905296#0.24463090019617195#0.08585375753335528#0.045215414272141666	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.96#2.0#1.98	0#0#0#0#0	1#1#1#2#2	30.0#30.0#34.0#43.0#49.0	123.10436248779297#123.10436248779297#118.58592224121094#114.13744354248047#110.90109252929688	0#0#0#0#0	3#3#3#3#3	0#0#0#1#1	0#5#17#589#1689	0#0#1#2#2	0#0#1#3#3	0#0#34#81#50	0#0#34#81#50	0#0#3#2#2	0#0#0#0#0	0#0#0#1#0	0#0#0#1#0	1427.3037#1427.3037#1624.5073#2481.571#3168.6572	79.29465#79.29465#90.250404#137.86505#176.03651	127.43783#127.43783#151.62068#202.11891#232.98949	0.042479277#0.042479277#0.050540227#0.06737297#0.07766316	11.2#11.2#10.714286#12.277778#13.6	visitOuterClass.json
1803	4#6#6#6#6	0.4542304575443268#0.2934894859790802#0.2934894859790802#0.2928403317928314#0.2928403317928314	0.8424609598808184#0.7308510185581725#0.7308510185581725#0.7473843232838809#0.7473843232838809	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#2#2#2#2	1.73#2.98#2.98#2.98#2.98	0#1#1#1#1	1#1#1#1#1	18.0#26.0#26.0#26.0#26.0	126.33003997802734#117.14632415771484#117.14632415771484#117.14632415771484#117.14632415771484	0#0#0#0#0	1#1#1#1#1	0#1#1#1#1	0#0#0#0#0	0#3#0#1#0	0#4#0#2#0	0#56#0#9#0	0#56#0#9#0	0#2#1#2#0	0#0#0#0#0	0#1#0#0#0	0#1#0#0#0	502.57086#1138.3895#1138.3895#1138.3895#1138.3895	27.920603#63.243862#63.243862#63.243862#63.243862	68.53239#108.41805#108.41805#108.41805#108.41805	0.022844128#0.03613935#0.03613935#0.03613935#0.03613935	7.3333335#10.5#10.5#10.5#10.5	onSuppressedRuleViolation.json
264	3	0.17061235010623932	0.6878533077558485	0	0	0	1	1.89	0	1	18.0	130.7338104248047	0	0	0	0	0	0	0	0	0	0	0	0	432.0	24.0	72.0	0.024	6.0	NE.json
