Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2498	5	0.13203687965869904	0.7041102232631308	0	0	0	1	1.96	0	3	24.0	120.96249389648438	0	0	0	0	0	0	0	0	0	0	0	0	624.0	34.666668	96.0	0.032	6.5	onStop.json
4225	3#3#3#3	0.5451359748840332#0.5451359748840332#0.5451359748840332#0.6793904304504395	0.8578303282145986#0.8578303282145986#0.8578303282145986#0.864219994725721	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	1#1#1#0	16.0#16.0#16.0#15.0	131.60296630859375#131.60296630859375#131.60296630859375#131.9385528564453	0#0#0#0	0#0#0#0	0#0#0#0	0#161#1532#3585	0#0#0#2	0#0#0#4	0#0#0#35	0#0#0#35	0#0#38#5	0#0#0#0	0#0#1#0	0#0#1#0	335.04724#335.04724#335.04724#314.10678	18.613735#18.613735#18.613735#17.450377	60.91768#60.91768#60.91768#57.110325	0.020305892#0.020305892#0.020305892#0.019036775	5.5#5.5#5.5#5.5	getRecipients.json
2602	3	0.7438374757766724	0.8250073273446034	0	0	0	1	1.89	0	0	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	getBackupJobs.json
2557	13	0.12542469799518585	0.08802002584238816	2	2	4	2	5.47	2	3	59.0	99.20215606689453	0	0	0	0	0	0	0	0	0	0	0	0	4781.121	265.61783	307.35776	0.10245258	15.555556	registerCalendarSyncEnabledCallback.json
2569	4	0.15605328977108002	0.6181201785020145	0	0	0	1	2.0	0	1	25.0	124.1488037109375	0	2	0	0	0	0	0	0	0	0	0	0	1094.6053	60.81141	104.24813	0.034749378	10.5	putInt.json
2576	4#5	0.0503256730735302#0.1557912528514862	0.5150386724052811#0.34749145197338105	0#0	0#0	0#0	1#1	1.73#1.96	0#0	1#2	25.0#32.0	123.96263122558594#118.90116882324219	0#0	2#2	0#0	0#2	0#2	0#3	0#65	0#65	0#13	0#0	0#0	0#0	882.39355#1926.4745	49.021866#107.02636	108.0482#142.70181	0.03601607#0.04756727	8.166666#13.5	onCreatePreferences.json
4217	4#4#4#4#4	0.0#0.0#0.0#0.0#0.0	9.400971599773186E-4#0.0015515896193400878#0.0015515896193400878#0.0015515896193400878#0.002108521350915913	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	2#2#2#2#2	58.0#55.0#55.0#55.0#53.0	118.82865142822266#119.10482025146484#119.10482025146484#119.10482025146484#119.29743957519531	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1#153#1524#1660	0#1#0#0#1	0#2#0#0#2	0#4#0#0#7	0#4#0#0#7	0#6#0#38#32	0#0#0#0#1	0#1#0#1#1	0#1#0#1#1	3390.7695#3014.423#3014.423#3014.423#2711.154	188.37608#167.46796#167.46796#167.46796#150.61967	290.0#275.0#275.0#275.0#265.0	0.096666664#0.09166667#0.09166667#0.09166667#0.08833333	11.692308#10.961538#10.961538#10.961538#10.23077	shouldCheckForPositiveTry.json
4225	5#5#5	0.8232659101486206#0.8232659101486206#0.8232659101486206	0.6131858582120149#0.6131858582120149#0.6131858582120149	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	3#3#3	22.0#22.0#22.0	121.19861602783203#121.19861602783203#121.19861602783203	0#0#0	0#0#0	0#0#0	0#161#1532	0#0#0	0#0#0	0#0#0	0#0#0	0#0#38	0#0#0	0#0#1	0#0#1	733.90686#733.90686#733.90686	40.772602#40.772602#40.772602	91.73836#91.73836#91.73836	0.030579453#0.030579453#0.030579453	8.0#8.0#8.0	shouldEnableSync.json
4224	3#3#3	0.8378687500953674#0.8378687500953674#0.8378687500953674	0.8780806553645985#0.8780806553645985#0.8780806553645985	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	15.0#15.0#15.0	131.9385528564453#131.9385528564453#131.9385528564453	0#0#0	0#0#0	0#0#0	0#160#1531	0#0#0	0#0#0	0#0#0	0#0#0	0#0#38	0#0#0	0#0#1	0#0#1	314.10678#314.10678#314.10678	17.450377#17.450377#17.450377	57.110325#57.110325#57.110325	0.019036775#0.019036775#0.019036775	5.5#5.5#5.5	getSmsIds.json
2557	7#7	0.05575873702764511#0.0612085796892643	0.019171658656891032#0.041251534895750064	0#0	0#0	0#0	1#1	1.98#1.98	0#0	4#4	52.0#48.0	110.48055267333984#111.00830841064453	0#0	2#2	0#0	0#637	0#2	0#4	0#38	0#38	0#13	0#0	0#0	0#0	3359.7798#2715.9917	186.65443#150.88843	252.61502#228.2346	0.08420501#0.0760782	13.3#11.9	onViewCreated.json
4230	9#9#8#8#8	0.0#0.0#0.0#0.0#0.0	3.2587622861092903E-12#3.2587622861092903E-12#3.124364572916763E-11#3.2057570233263437E-11#1.786533377430242E-11	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.99#1.99#1.94#1.94#1.94	0#0#0#0#0	21#21#21#21#21	161.0#161.0#151.0#151.0#155.0	99.58139038085938#99.58139038085938#101.94236755371094#101.94236755371094#101.83203125	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#166#1537#1661#1748	0#0#0#1#1	0#0#1#2#2	0#0#48#7#33	0#0#48#7#33	0#0#38#3#2	0#0#0#0#0	0#0#1#1#0	0#0#1#1#0	35417.31#35417.31#35443.324#35443.324#40389.438	1967.6283#1967.6283#1969.0736#1969.0736#2243.8577	939.0953#939.0953#860.7664#860.7664#879.2259	0.31303176#0.31303176#0.28692213#0.28692213#0.2930753	37.714287#37.714287#41.17647#41.17647#45.9375	shouldLookupExistingPersonUsingGmailAsPrimaryEmail.json
2627	6#6#10#9#9#9	0.17539741098880768#0.17539741098880768#0.024622905999422073#0.059597671031951904#0.02653471566736698#0.025579633191227913	0.7065394307905616#0.7065394307905616#0.37679956803968934#0.49572109645087853#0.1669686841835759#0.16577487246972014	1#1#2#2#3#3	1#1#2#2#3#3	2#2#4#4#6#6	2#2#3#3#3#3	2.75#2.75#3.6#3.77#3.77#3.77	1#1#2#2#2#2	3#3#6#5#6#6	27.0#27.0#46.0#41.0#48.0#48.0	117.16641235351562#117.16641235351562#105.4879379272461#107.88294219970703#106.73635864257812#106.73635864257812	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#17#17#21#24#58	0#0#4#1#1#1	0#0#4#3#2#2	0#0#149#44#44#16	0#0#149#44#44#16	0#4#1#4#7#4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	936.00006#936.00006#3943.0386#2786.6406#4125.489#4125.489	52.000004#52.000004#219.0577#154.81337#229.19382#229.19382	108.0#108.0#198.80869#174.16504#217.13098#217.13098	0.036#0.036#0.06626956#0.058055013#0.072377#0.072377	8.666667#8.666667#19.833332#16.0#19.0#19.0	rescheduleJobs.json
4252	7#7#7#7#7#5#3	0.011351593770086765#0.011351593770086765#0.0178778488188982#0.0178778488188982#0.0178778488188982#0.008491333574056625#0.0072013516910374165	0.0015087247680000578#0.0015087247680000578#0.0026614848920748476#0.0026614848920748476#0.0026614848920748476#0.018697933086127626#0.16109249440585344	0#0#0#0#0#0#0	2#2#2#2#2#2#0	2#2#2#2#2#2#0	2#2#2#2#2#2#1	2.91#2.91#2.91#2.91#2.91#2.99#1.89	1#1#1#1#1#1#0	6#6#5#5#5#5#5	63.0#63.0#60.0#60.0#60.0#47.0#34.0	109.05691528320312#109.05691528320312#109.3565902709961#109.3565902709961#109.3565902709961#116.39852905273438#127.11396026611328	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#4#175#188#1559#1683#2056	0#0#1#0#0#0#1	0#0#2#0#0#2#4	0#0#18#0#0#89#70	0#0#18#0#0#89#70	0#6#2#0#38#1#6	0#0#0#0#0#0#0	0#0#1#0#1#0#0	0#0#1#0#1#0#0	4751.0625#4751.0625#4290.0#4290.0#4290.0#2398.5674#1540.5818	263.9479#263.9479#238.33333#238.33333#238.33333#133.25374#85.587875	317.7968#317.7968#300.0#300.0#300.0#220.92067#144.42953	0.10593227#0.10593227#0.1#0.1#0.1#0.07364022#0.04814318	14.95#14.95#14.299999#14.299999#14.299999#10.857143#10.666667	setupStrictMode.json
4252	3#3#3#3#3#7	0.0#0.0#0.0#0.0#0.0#0.021021107211709023	0.18128732949581858#0.19044978911790475#0.19044978911790475#0.19044978911790475#0.2342339510711144#0.026340885239895594	0#0#0#0#0#1	0#0#0#0#0#1	0#0#0#0#0#2	1#1#1#1#1#2	1.89#1.89#1.89#1.89#1.89#2.56	0#0#0#0#0#1	1#1#1#1#1#4	32.0#32.0#32.0#32.0#31.0#52.0	127.33940887451172#127.33940887451172#127.33940887451172#127.33940887451172#127.59430694580078#110.30502319335938	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	0#4#188#1559#1662#1695	0#1#0#0#1#6	0#2#0#0#2#8	0#12#0#0#10#186	0#12#0#0#10#186	0#6#0#38#3#32	0#0#0#0#0#1	0#0#0#1#0#1	0#0#0#1#0#1	1244.7153#1244.7153#1244.7153#1244.7153#1106.1605#4124.7104	69.15085#69.15085#69.15085#69.15085#61.45336#229.15057	138.3017#138.3017#138.3017#138.3017#131.68576#249.98245	0.046100564#0.046100564#0.046100564#0.046100564#0.043895252#0.08332749	9.0#9.0#9.0#9.0#8.400001#16.5	getPendingIntent.json
4218	5#5#5	0.7297718524932861#0.7297718524932861#0.7297718524932861	0.395572412651256#0.395572412651256#0.395572412651256	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	1#1#1	30.0#30.0#30.0	119.58580780029297#119.58580780029297#119.58580780029297	0#0#0	0#0#0	1#1#1	0#154#1525	0#0#0	0#0#0	0#0#0	0#0#0	0#0#38	0#0#0	0#0#1	0#0#1	1094.6053#1094.6053#1094.6053	60.81141#60.81141#60.81141	125.097755#125.097755#125.097755	0.041699253#0.041699253#0.041699253	8.75#8.75#8.75	testEmptyCursorShouldThrowNoSuchElementException.json
4230	5#5#5	0.2345753312110901#0.2345753312110901#0.2345753312110901	0.00222594356765862#0.00222594356765862#0.00222594356765862	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	6#6#6	55.0#55.0#55.0	115.53775024414062#115.53775024414062#115.53775024414062	0#0#0	0#0#0	0#0#0	0#166#1537	0#0#0	0#0#0	0#0#0	0#0#0	0#0#38	0#0#0	0#0#1	0#0#1	5149.887#5149.887#5149.887	286.10486#286.10486#286.10486	272.4808#272.4808#272.4808	0.090826936#0.090826936#0.090826936	18.9#18.9#18.9	shouldEncodeRFC2231.json
5194	5#5#5#5#5	0.47294071316719055#0.47294071316719055#0.47294071316719055#0.47294071316719055#0.47294071316719055	0.44744642910040816#0.44744642910040816#0.44744642910040816#0.44744642910040816#0.44744642910040816	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.96#1.96#1.96	0#0#0#0#0	1#1#1#1#1	29.0#29.0#29.0#29.0#29.0	119.33880615234375#119.33880615234375#119.33880615234375#119.33880615234375#119.33880615234375	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#54#940#1130#2501	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#3#12#0#38	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	1020.31464#1020.31464#1020.31464#1020.31464#1020.31464	56.684147#56.684147#56.684147#56.684147#56.684147	131.1833#131.1833#131.1833#131.1833#131.1833	0.043727767#0.043727767#0.043727767#0.043727767#0.043727767	7.777778#7.777778#7.777778#7.777778#7.777778	noThreadsAvailable.json
4393	7#7#7#10#10	0.5675240159034729#0.5675240159034729#0.5675240159034729#0.36825501918792725#0.3607789874076843	0.519455674240551#0.519455674240551#0.519455674240551#0.2545282792439228#0.26151363583379944	2#2#2#2#2	1#1#1#1#1	3#3#3#3#3	3#3#3#4#4	3.96#3.96#3.96#5.08#5.08	1#1#1#3#3	1#1#1#2#2	34.0#34.0#34.0#49.0#49.0	112.60082244873047#112.60082244873047#112.60082244873047#104.37589263916016#104.37589263916016	0#0#0#0#0	1#1#1#1#1	1#1#1#2#2	0#139#329#1700#1701	0#0#0#6#1	0#0#0#9#2	0#0#0#120#9	0#0#0#120#9	0#12#0#38#7	0#0#0#0#0	0#0#0#1#1	0#0#0#1#1	1743.0792#1743.0792#1743.0792#3533.406#3533.406	96.83774#96.83774#96.83774#196.30034#196.30034	153.8011#153.8011#153.8011#235.5604#235.5604	0.051267035#0.051267035#0.051267035#0.078520134#0.078520134	11.333334#11.333334#11.333334#15.0#15.0	userHasDonated.json
3520	4#4#4	1.0495020978851244E-4#1.0495020978851244E-4#0.0	0.001666013949956422#0.001666013949956422#9.460104629631712E-4	0#0#0	0#0#0	0#0#0	1#1#1	2.0#2.0#2.0	0#0#0	8#8#9	56.0#56.0#59.0	119.0589828491211#119.0589828491211#118.73976135253906	0#0#0	1#1#1	1#1#1	0#827#829	0#0#1	0#0#2	0#0#14	0#0#14	0#38#6	0#0#0	0#1#0	0#1#0	3278.777#3278.777#3660.6816	182.15428#182.15428#203.3712	277.435#277.435#295.0	0.092478335#0.092478335#0.09833334	11.818181#11.818181#12.40909	getAccessTokenPostData.json
5168	4#4#4#4#4#4#4#4	0.23904281854629517#0.23904281854629517#0.23904281854629517#0.22319844365119934#0.2180894911289215#0.2180894911289215#0.2180894911289215#0.2180894911289215	0.02089346329365693#0.02089346329365693#0.02089346329365693#0.022079817982326225#0.020868879264977828#0.020868879264977828#0.020868879264977828#0.020868879264977828	1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2	2#2#2#2#2#2#2#2	2.0#2.0#2.0#2.0#2.0#2.0#2.0#2.0	0#0#0#0#0#0#0#0	5#5#5#5#5#5#5#5	44.0#44.0#44.0#44.0#44.0#44.0#44.0#44.0	120.29654693603516#120.29654693603516#120.29654693603516#120.29654693603516#120.29654693603516#120.29654693603516#120.29654693603516#120.29654693603516	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	0#914#920#921#944#1104#2475#2594	0#0#0#1#1#0#0#0	0#0#0#2#2#0#0#0	0#0#0#9#16#0#0#0	0#0#0#9#16#0#0#0	0#12#6#31#13#0#38#13	0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0	0#0#0#0#0#0#1#0	2988.7866#2988.7866#2988.7866#2988.7866#2988.7866#2988.7866#2988.7866#2988.7866	166.0437#166.0437#166.0437#166.0437#166.0437#166.0437#166.0437#166.0437	209.21506#209.21506#209.21506#209.21506#209.21506#209.21506#209.21506#209.21506	0.06973835#0.06973835#0.06973835#0.06973835#0.06973835#0.06973835#0.06973835#0.06973835	14.285715#14.285715#14.285715#14.285715#14.285715#14.285715#14.285715#14.285715	updateBackupContactGroupLabelFromPref.json
