Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1902	9	0.0	1.4165235908016354E-12	0	0	0	1	1.89	0	22	168.0	99.33776092529297	0	0	4	0	0	0	0	0	0	0	0	0	63477.086	3526.505	984.14087	0.32804695	64.5	should_serialize_issues_from_different_external_rules.json
1089	13#13	0.0#0.0	2.351614358828294E-10#2.351614358828294E-10	0#0	0#0	0#0	1#1	2.46#2.46	1#1	30#30	155.0#155.0	94.047607421875#94.047607421875	0#0	0#0	2#2	0#253	0#0	0#0	0#0	0#0	0#18	0#0	0#0	0#0	29519.318#29519.318	1639.9622#1639.9622	865.6692#865.6692	0.2885564#0.2885564	34.1#34.1	fail_if_expirationDate_is_after_the_max_allowed_token_lifetime.json
3521	4#4#4#4#4#4#5	0.4411316514015198#0.43186408281326294#0.4411316514015198#0.4411316514015198#0.33995556831359863#0.33995556831359863#0.07678194344043732	0.6608389255631941#0.6320807539456639#0.6608389255631941#0.6608389255631941#0.7493964544264174#0.7493964544264174#0.5726523060145147	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.73#1.73#1.73#1.73#1.73#1.73#1.96	0#0#0#0#0#0#0	0#0#0#0#0#0#1	21.0#22.0#21.0#21.0#19.0#19.0#26.0	125.0554428100586#124.71717071533203#125.0554428100586#125.0554428100586#125.79222106933594#125.79222106933594#120.3299331665039	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#38#255#797#963#963	0#1#1#0#1#0#2	0#2#2#0#2#0#3	0#14#14#0#17#0#55	0#14#14#0#17#0#55	0#1#2#19#223#0#15	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	700.5474#747.63525#700.5474#700.5474#532.0#532.0#813.1354	38.9193#41.535294#38.9193#38.9193#29.555555#29.555555#45.174187	87.56843#93.45441#87.56843#87.56843#76.0#76.0#108.41805	0.029189477#0.03115147#0.029189477#0.029189477#0.025333334#0.025333334#0.03613935	8.0#8.0#8.0#8.0#7.0#7.0#7.5	before.json
2938	9#9#9#9#9#7#7#7	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.4834834642856301E-12#1.4834834642856301E-12#2.4906762180888025E-12#2.4906762180888025E-12#2.4825413890716307E-12#7.789874129481275E-11#7.774980634778603E-11#7.774980634778603E-11	1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2	2#2#2#2#2#2#2#2	1.66#1.66#1.66#1.66#1.66#1.81#1.81#1.81	0#0#0#0#0#0#0#0	32#32#32#32#32#26#26#26	164.0#164.0#162.0#162.0#162.0#142.0#142.0#142.0	99.12823486328125#99.12823486328125#99.212158203125#99.212158203125#99.212158203125#104.03152465820312#104.03152465820312#104.03152465820312	0#0#0#0#0#0#0#0	5#5#5#5#5#5#5#5	2#2#2#2#2#2#2#2	0#229#239#791#1076#1274#1787#2102	0#0#1#0#1#0#1#0	0#0#2#0#2#2#2#0	0#0#1#0#6#110#10#0	0#0#1#0#6#110#10#0	0#5#2#1#5#3#77#18	0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0	0#0#0#0#0#1#0#0	56243.215#56243.215#58137.855#58137.855#58137.855#43741.2#43741.2#43741.2	3124.623#3124.623#3229.8809#3229.8809#3229.8809#2430.0667#2430.0667#2430.0667	980.2739#980.2739#964.57983#964.57983#964.57983#835.3353#835.3353#835.3353	0.32675797#0.32675797#0.32152662#0.32152662#0.32152662#0.2784451#0.2784451#0.2784451	57.375#57.375#60.272724#60.272724#60.272724#52.36364#52.36364#52.36364	assertThatRuleIsUpdated.json
4409	31#32#32#32#32#32#32#33#32#32#32#32#32#17#18#18#18#18#18#20#20#20	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.1889721736915439E-14#3.8317676525036E-15#3.79349175687228E-15#3.8209171988129894E-15#3.818907429180773E-15#3.788519974316947E-15#5.207922021526661E-14#1.6197873631687344E-14#4.859840356694352E-14#1.0245547689274508E-13#1.0245547689274508E-13#3.7364667295866325E-15#3.7467299830374545E-15#1.6905623425903799E-10#2.107067531364816E-12#2.107067531364816E-12#2.553558678719262E-12#2.553558678719262E-12#2.553558678719262E-12#3.35090428988544E-17#3.3352116262545696E-17#4.845713827740658E-17	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.18#1.17#1.17#1.17#1.17#1.17#1.17#1.15#1.17#1.17#1.17#1.17#1.17#1.52#1.49#1.49#1.49#1.49#1.49#1.43#1.43#1.43	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	34#35#35#35#35#35#32#33#32#32#32#35#35#36#42#42#42#42#42#52#52#52	234.0#240.0#240.0#240.0#240.0#240.0#225.0#232.0#227.0#225.0#225.0#239.0#239.0#161.0#182.0#182.0#181.0#181.0#181.0#235.0#235.0#234.0	77.51496124267578#76.82833099365234#76.82833099365234#76.82833099365234#76.82833099365234#76.82833099365234#77.1248550415039#76.44805908203125#77.117919921875#77.20458221435547#77.20458221435547#76.830322265625#76.830322265625#89.30119323730469#87.62837219238281#87.62837219238281#87.65702056884766#87.65702056884766#87.65702056884766#84.43892669677734#84.43892669677734#84.47906494140625	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#3#3#3#3#3	0#119#125#266#318#506#548#598#601#702#760#763#1010#1010#1094#1354#2750#3569#3569#3633#3727#3915	0#1#1#1#1#1#3#1#2#1#0#3#2#11#2#0#1#0#0#3#1#1	0#1#2#2#2#2#6#1#5#2#0#6#4#37#3#0#2#0#0#4#2#2	0#33#12#9#1#10#91#42#43#17#0#85#16#899#97#0#7#0#0#222#4#7	0#33#12#9#1#10#91#42#43#17#0#85#16#899#97#0#7#0#0#222#4#7	0#2#3#5#2#5#4#4#3#61#9#19#4#3#2#0#19#0#0#5#10#198	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#1#0#0#0#0#0	0#1#1#1#1#1#1#1#1#0#0#0#1#1#1#0#1#0#0#1#0#0	193349.25#195098.42#195098.42#195098.42#195098.42#195098.42#151126.03#165718.8#175846.81#165734.45#165734.45#180684.0#180684.0#26491.217#32991.914#32991.914#34253.242#34253.242#34253.242#80388.17#80388.17#78035.98	10741.625#10838.801#10838.801#10838.801#10838.801#10838.801#8395.891#9206.6#9769.268#9207.47#9207.47#10038.0#10038.0#1471.7343#1832.8842#1832.8842#1902.9579#1902.9579#1902.9579#4466.01#4466.01#4335.332	1387.7926#1434.5472#1434.5472#1434.5472#1434.5472#1434.5472#1355.0328#1402.2994#1356.8427#1334.4159#1334.4159#1434.0#1434.0#934.98413#1079.3942#1079.3942#1073.4635#1073.4635#1073.4635#1435.5032#1435.5032#1424.4663	0.46259755#0.4781824#0.4781824#0.4781824#0.4781824#0.4781824#0.45167762#0.46743315#0.45228088#0.4448053#0.4448053#0.478#0.478#0.31166136#0.35979804#0.35979804#0.35782117#0.35782117#0.35782117#0.47850105#0.47850105#0.4748221	139.32143#136.0#136.0#136.0#136.0#136.0#111.52942#118.17647#129.6#124.200005#124.200005#126.0#126.0#28.333334#30.565216#30.565216#31.90909#31.90909#31.90909#55.999996#55.999996#54.782608	updateBeforeSelectedDate_with_conflict.json
3598	23#5#5#5#5	0.0#0.0#0.0#0.0#0.0	2.3184400620913812E-8#9.45391672867415E-7#9.45391672867415E-7#9.45391672867415E-7#9.45391672867415E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.35#1.96#1.96#1.96#1.96	0#0#0#0#0	38#15#15#15#15	182.0#107.0#107.0#107.0#107.0	84.86634826660156#112.23363494873047#112.23363494873047#112.23363494873047#112.23363494873047	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#332#1040#1040	0#2#0#0#1	0#22#0#0#2	0#853#0#0#112	0#853#0#0#112	0#19#19#0#15	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	127894.266#13716.985#13716.985#13716.985#13716.985	7105.237#762.05475#762.05475#762.05475#762.05475	855.48004#514.38696#514.38696#514.38696#514.38696	0.28516#0.17146233#0.17146233#0.17146233#0.17146233	149.5#26.666666#26.666666#26.666666#26.666666	verify_visit_call_when_visit_tree_with_depth_PROJECT_VIEW.json
3156	5#5#5#5#5#5	0.21663592755794525#0.34357205033302307#0.5303769707679749#0.5029094815254211#0.4698491394519806#0.4698491394519806	0.18166825546711707#0.2112066055487662#0.22210446100674117#0.22932774141264797#0.32564442570406316#0.32564442570406316	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.96#1.96#1.96#1.96#1.96#1.96	0#0#0#0#0#0	4#5#6#6#6#6	34.0#33.0#33.0#33.0#31.0#31.0	118.37519836425781#118.5968017578125#118.66690826416016#118.66690826416016#119.1451187133789#119.1451187133789	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	0#0#80#98#432#1009	0#1#2#1#1#0	0#2#4#2#2#0	0#32#66#15#17#0	0#32#66#15#17#0	0#14#13#6#223#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1749.9598#1891.297#2351.1213#2351.1213#1940.3062#1940.3062	97.21999#105.07205#130.61786#130.61786#107.794785#107.794785	157.89111#151.30376#149.27754#149.27754#136.16183#136.16183	0.052630372#0.050434586#0.04975918#0.04975918#0.04538728#0.04538728	11.083333#12.5#15.75#15.75#14.25#14.25	filter_on_projectUuids_if_projectUuid_is_empty_and_criteria_is_empty.json
2427	8	0.007492804899811745	0.0024534730655947717	1	1	2	2	2.83	1	4	65.0	106.6033706665039	0	2	1	0	0	0	0	0	0	0	0	0	6989.7393	388.31885	336.04514	0.112015046	20.800001	toFileBlocks.json
2891	5#5#5#5	0.025194821879267693#0.025194821879267693#0.025194821879267693#0.035475075244903564	0.08523547888512244#0.08523547888512244#0.08523547888512244#0.0796171943175142	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.96#1.96#1.96#1.96	0#0#0#0	6#6#6#6	40.0#40.0#40.0#40.0	117.8196792602539#117.8196792602539#117.8196792602539#117.8196792602539	0#0#0#0	0#0#0#0	0#0#0#0	0#333#333#2642	0#0#0#2	0#0#0#4	0#0#0#18	0#0#0#18	0#0#15#15	0#0#0#0	0#0#0#0	0#0#0#0	1976.5427#1976.5427#1976.5427#1976.5427	109.80793#109.80793#109.80793#109.80793	175.69269#175.69269#175.69269#175.69269	0.05856423#0.05856423#0.05856423#0.05856423	11.25#11.25#11.25#11.25	type_from_qualifier.json
2818	8#8#8#8#8#8#8	1.908417179947719E-4#1.8260686192661524E-4#1.9875806174241006E-4#1.915040338644758E-4#1.8651057325769216E-4#0.0#0.0	9.826367324988691E-7#9.731393513422493E-7#9.82030889135485E-7#9.851380021551524E-7#9.834697602118387E-7#4.615326682197687E-7#6.171570919097901E-7	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0	13#13#13#13#13#13#13	99.0#99.0#99.0#99.0#99.0#103.0#102.0	104.2440185546875#104.2440185546875#104.2440185546875#104.2440185546875#104.2440185546875#104.03805541992188#104.11714172363281	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	0#152#461#788#788#1344#2556	0#1#1#1#1#1#1	0#2#2#2#2#2#2	0#13#6#7#11#6#7	0#13#6#7#11#6#7	0#5#24#8#6#8#22	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#1#0#0#0#0#0	11392.882#11392.882#11392.882#11392.882#11392.882#12731.215#12106.665	632.93787#632.93787#632.93787#632.93787#632.93787#707.28973#672.5925	552.91125#552.91125#552.91125#552.91125#552.91125#575.2511#566.56805	0.18430375#0.18430375#0.18430375#0.18430375#0.18430375#0.19175036#0.18885602	20.605263#20.605263#20.605263#20.605263#20.605263#22.131578#21.368422	should_skip_highlighting_on_pr_when_file_status_is_SAME.json
2106	6#4#4	0.035014558583498#0.017010319977998734#0.017010319977998734	0.11358328715411255#0.024850011631105475#0.024850011631105475	0#0#0	0#0#0	0#0#0	1#1#1	2.0#1.73#1.73	0#0#0	5#6#6	41.0#43.0#43.0	114.6588134765625#120.76895904541016#120.76895904541016	0#0#0	0#0#0	0#0#0	0#787#1270	0#1#0	0#4#0	0#150#0	0#150#0	0#216#18	0#0#0	0#0#0	0#0#0	2681.605#2845.5227#2845.5227	148.97806#158.0846#158.0846	182.8367#199.6858#199.6858	0.060945567#0.06656194#0.06656194	14.666667#14.25#14.25	throw_IAE_if_type_is_invalid.json
