Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3319	11#6#6	0.5383947491645813#0.20930075645446777#0.1981966644525528	0.0737060867147868#0.0044471734125382#0.005797754711857484	0#0#0	0#0#0	0#0#0	2#1#1	3.17#2.0#2.0	1#0#0	5#8#8	55.0#58.0#57.0	102.63672637939453#112.35786437988281#112.5003890991211	0#0#0	0#0#0	2#2#2	0#1085#1906	0#2#1	0#9#2	0#166#7	0#166#7	0#162#104	0#0#0	0#0#0	0#0#0	6657.4585#5143.122#4786.4995	369.8588#285.729#265.91663	267.18896#284.59964#276.90494	0.08906299#0.094866544#0.092301644	24.916668#18.071428#17.285713	incompletelyQuotedKeyLeadsToPropertyException.json
3694	10#10#10	0.005181311629712582#0.011435812339186668#0.010980657301843166	6.265723141314842E-4#1.9970858706632426E-4#2.7293684092646853E-4	0#0#0	0#0#0	0#0#0	1#1#1	1.83#1.83#1.83	0#0#0	11#14#14	81.0#87.0#86.0	102.34565734863281#101.92417907714844#102.03418731689453	0#0#0	0#0#0	2#2#2	0#1463#2281	0#3#1	0#6#2	0#75#7	0#75#7	0#1190#104	0#0#0	0#0#0	0#0#0	15018.24#16994.31#15945.292	834.3467#944.12836#885.84955	397.45813#431.0151#421.99258	0.13248605#0.1436717#0.14066419	37.785717#39.428574#37.785717	getPropertyWithOptionalAndAutoGrow.json
498	7	0.004458166193217039	0.03749550210170262	0	0	0	2	2.56	1	3	51.0	110.35152435302734	0	0	1	0	0	0	0	0	0	0	0	0	3059.7993	169.98885	247.75703	0.08258568	12.349999	registerAllEndpoints.json
2293	5#5#5	0.16572071611881256#0.15467268228530884#0.1309475153684616	6.012521364829938E-4#8.003846386757074E-4#0.001412870109901076	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	10#10#10	70.0#69.0#67.0	114.38568878173828#114.51498413085938#114.7848892211914	0#0#0	0#0#0	1#1#1	0#151#1730	0#1#1	0#2#2	0#7#17	0#7#17	0#563#117	0#0#0	0#0#0	0#0#0	8015.669#7463.4185#6411.064	445.31494#414.63437#356.17023	340.0587#331.7075#314.92947	0.113352895#0.110569164#0.10497649	23.571428#22.5#20.357141	synthesizeWhenAttributeAliasForAttributeWithDifferentDefaultValue.json
4097	19#19#20#20#20#20	0.0#0.0#0.0#0.0#0.0#0.0	7.277122332371722E-12#7.228244808847585E-12#4.131019523735052E-13#4.1518146446330383E-13#3.9271038642281E-15#5.643949609648888E-15	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.46#1.46#1.43#1.43#1.43#1.43	0#0#0#0#0#0	25#25#27#27#37#37	180.0#180.0#194.0#194.0#216.0#215.0	86.85227966308594#86.85227966308594#85.56897735595703#85.56897735595703#84.97054290771484#85.01439666748047	0#0#0#0#0#0	0#0#0#0#0#0	6#6#6#6#6#6	0#120#401#467#1866#3556	0#1#1#1#8#1	0#2#1#2#16#2	0#7#130#32#330#7	0#7#130#32#330#7	0#8#10#2#1190#56	0#0#0#0#0#0	0#0#0#0#0#0	0#0#1#1#0#0	49042.664#49042.664#54125.348#54125.348#67003.195#64930.445	2724.5925#2724.5925#3006.9639#3006.9639#3722.3997#3607.247	1058.8757#1058.8757#1155.1141#1155.1141#1296.0#1285.1152	0.3529586#0.3529586#0.38503805#0.38503805#0.432#0.42837176	46.31579#46.31579#46.857143#46.857143#51.699997#50.524998	testMessageSentToChannel.json
4180	7#7#6#6#6	0.0697392001748085#0.06721595674753189#0.030240407213568687#0.05620511621236801#0.05268209055066109	0.019023186208719883#0.018888925150631022#0.032953115749521734#0.021740906564304815#0.028441180145451793	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.98#1.98#2.0#2.0#2.0	0#0#0#0#0	5#5#5#6#6	55.0#55.0#50.0#52.0#51.0	110.42328643798828#110.42328643798828#113.55261993408203#113.278564453125#113.44964599609375	0#0#0#0#0	0#0#0#0#0	1#1#0#0#0	0#53#185#1949#2508	0#1#1#1#1	0#2#3#2#2	0#5#45#36#7	0#5#45#36#7	0#18#7#1190#79	0#0#0#0#0	0#0#0#0#0	0#0#1#0#0	5661.6343#5661.6343#4885.4473#5435.9316#4983.156	314.53525#314.53525#271.41373#301.99622#276.84198	255.41208#255.41208#226.1781#238.41805#230.70166	0.08513736#0.08513736#0.0753927#0.07947268#0.07690056	22.166666#22.166666#21.6#22.800001#21.6	genericsBasedInjectionWithWildcardWithGenericExtendsMatch.json
6095	3#3#4#3#4	0.18097172677516937#0.18097172677516937#0.25578218698501587#0.18097172677516937#0.25578218698501587	0.7712288067796154#0.7712288067796154#0.7925939237867285#0.7712288067796154#0.7925939237867285	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.73#1.89#1.73	0#0#0#0#0	2#2#2#2#2	18.0#18.0#19.0#18.0#19.0	131.1385955810547#131.1385955810547#126.04888916015625#131.1385955810547#126.04888916015625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1195#1527#1532#1663	0#0#1#0#1	0#0#1#1#1	0#0#10#10#10	0#0#10#10#10	0#0#62#62#79	0#0#0#0#0	0#0#0#0#0	0#0#1#0#1	366.34354#366.34354#434.03845#366.34354#434.03845	20.352419#20.352419#24.113247#20.352419#24.113247	66.60792#66.60792#72.339745#66.60792#72.339745	0.022202639#0.022202639#0.024113249#0.022202639#0.024113249	5.5#5.5#6.0#5.5#6.0	getModifiers.json
6095	3#3#4#3#4	0.059562359005212784#0.059562359005212784#0.12986396253108978#0.059562359005212784#0.12986396253108978	0.7992590766281811#0.7992590766281811#0.8080992927348164#0.7992590766281811#0.8080992927348164	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.73#1.89#1.73	0#0#0#0#0	1#1#1#1#1	17.0#17.0#18.0#17.0#18.0	131.43582153320312#131.43582153320312#126.33003997802734#131.43582153320312#126.33003997802734	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1195#1527#1532#1663	0#0#1#0#1	0#0#1#1#1	0#0#10#10#10	0#0#10#10#10	0#0#62#62#79	0#0#0#0#0	0#0#0#0#0	0#0#1#0#1	345.99112#345.99112#411.19434#345.99112#411.19434	19.22173#19.22173#22.84413#19.22173#22.84413	62.907475#62.907475#68.53239#62.907475#68.53239	0.020969158#0.020969158#0.022844128#0.020969158#0.022844128	5.5#5.5#6.0#5.5#6.0	getGlobalErrorCount.json
6096	3#3#3#4	0.03150432929396629#0.005340437404811382#0.005340437404811382#0.02503911778330803	0.645615809391482#0.5628711231253091#0.5628711231253091#0.5646416149682502	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.73	0#0#0#0	1#1#1#1	23.0#25.0#25.0#26.0	129.4591827392578#128.91311645507812#128.91311645507812#123.94486236572266	0#0#0#0	2#2#2#2	0#0#0#0	0#27#1196#1664	0#1#0#1	0#2#0#1	0#6#0#10	0#6#0#10	0#4#0#79	0#0#0#0	0#0#0#0	0#0#0#1	828.0#858.3671#858.3671#986.6042	46.0#47.68706#47.68706#54.811344	92.0#102.18657#102.18657#108.41805	0.030666666#0.034062188#0.034062188#0.03613935	9.0#8.4#8.4#9.099999	matchStart.json
6084	22#23#23#23#23#19	0.0#0.0#0.0#0.0#0.0#2.1215227025095373E-4	6.2508909962957545E-9#6.4397763261350965E-9#6.4397763261350965E-9#2.83594112879906E-10#4.153736207264543E-10#1.9043265268573606E-8	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.15#1.35#1.35#1.35#1.35#1.46	0#0#0#0#0#0	17#17#17#23#23#21	165.0#166.0#166.0#182.0#181.0#153.0	85.34969329833984#84.56646728515625#84.56646728515625#84.05717468261719#84.11661529541016#88.14994049072266	0#0#0#0#0#0	0#0#0#0#0#0	6#6#6#6#6#4	0#41#1184#3853#5539#5541	0#1#0#6#1#1	0#1#0#12#2#6	0#6#0#92#7#226	0#6#0#92#7#226	0#10#0#1190#133#21	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	35932.723#37670.44#37670.44#42979.242#41074.395#30525.908	1996.2623#2092.8022#2092.8022#2387.7356#2281.911#1695.8838	895.3337#906.2656#906.2656#999.5173#988.1571#825.02454	0.29844457#0.30208853#0.30208853#0.3331724#0.3293857#0.27500817	40.13333#41.566666#41.566666#43.0#41.566666#37.0	resourceInjectionWithTwoProcessors.json
