Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4958	6#6#6#6#6#6#6#6#7	0.0#0.0#0.0#1.0923362424364313E-4#1.0923362424364313E-4#1.0923362424364313E-4#0.0#0.0#0.0	0.0013033649680973167#0.0013033649680973167#0.0013507437521743174#0.0026895217064187606#0.0026895217064187606#0.0026895217064187606#4.86294066554484E-4#2.2295347314951777E-4#2.4474176105832414E-4	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.98	0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2	64.0#64.0#64.0#61.0#61.0#61.0#68.0#72.0#73.0	111.615478515625#111.615478515625#111.615478515625#111.95191192626953#111.95191192626953#111.95191192626953#111.18132019042969#110.84709930419922#108.24232482910156	0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2	1#1#1#1#1#1#1#1#1	0#503#787#1159#1502#1952#2364#2379#4389	0#0#1#1#0#0#1#1#1	0#0#2#2#0#0#2#2#1	0#0#2#15#0#0#16#12#10	0#0#2#15#0#0#16#12#10	0#0#56#34#38#16#173#162#81	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0	5833.178#5833.178#5833.178#4733.97#4733.97#4733.97#6019.023#6564.469#6993.013	324.06546#324.06546#324.06546#262.99835#262.99835#262.99835#334.39017#364.69275#388.50073	328.2741#328.2741#328.2741#307.70804#307.70804#307.70804#356.85907#380.54895#388.50073	0.1094247#0.1094247#0.1094247#0.10256935#0.10256935#0.10256935#0.11895303#0.12684965#0.12950024	17.76923#17.76923#17.76923#15.384616#15.384616#15.384616#16.866667#17.25#18.0	activate.json
2958	4	0.7652435898780823	0.6518042776087457	0	0	0	1	1.73	0	1	20.0	125.41301727294922	0	1	0	0	0	0	0	0	0	0	0	0	664.2127	36.900707	81.74926	0.027249753	8.125	getKeyDataDir.json
2549	3	0.8425948023796082	0.9082681498604881	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDownloadPath.json
4029	7#7#7#7	0.308220773935318#0.308220773935318#0.308220773935318#0.2977682054042816	0.36356044474712707#0.36356044474712707#0.36356044474712707#0.37691890737581457	1#1#1#1	1#1#1#1	2#2#2#2	3#3#3#3	3.02#3.02#3.02#3.02	1#1#1#1	1#1#1#1	37.0#37.0#37.0#37.0	112.16112518310547#112.16112518310547#112.16112518310547#112.16112518310547	0#0#0#0	0#0#0#0	0#0#0#0	0#573#1023#1846	0#0#0#1	0#0#0#2	0#0#0#2	0#0#0#2	0#38#16#62	0#0#0#0	0#0#0#1	0#0#1#1	2385.048#2385.048#2385.048#2385.048	132.50267#132.50267#132.50267#132.50267	167.3718#167.3718#167.3718#167.3718	0.0557906#0.0557906#0.0557906#0.0557906	14.25#14.25#14.25#14.25	getExitCode.json
4774	3#3#3#3#3#3	0.6916726231575012#0.6916726231575012#0.6916726231575012#0.6916726231575012#0.6792229413986206#0.6792229413986206	0.7765319686849205#0.7765319686849205#0.7765319686849205#0.7765319686849205#0.7877593265754347#0.7877593265754347	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	1#1#1#1#1#1	18.0#18.0#18.0#18.0#18.0#18.0	130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938	0#0#0#0#0#0	1#1#1#1#1#1	0#0#0#0#0#0	0#319#1318#1768#2591#4040	0#0#0#0#1#0	0#0#0#0#2#0	0#0#0#0#1#0	0#0#0#0#1#0	0#0#38#16#62#5	0#0#0#0#0#0	0#0#0#0#1#0	0#0#0#1#1#0	562.5922#562.5922#562.5922#562.5922#562.5922#562.5922	31.255123#31.255123#31.255123#31.255123#31.255123#31.255123	70.32403#70.32403#70.32403#70.32403#70.32403#70.32403	0.023441343#0.023441343#0.023441343#0.023441343#0.023441343#0.023441343	8.0#8.0#8.0#8.0#8.0#8.0	getResource.json
2819	4	0.014828653074800968	0.2798833467922697	0	0	0	1	1.73	0	1	29.0	123.02798461914062	0	2	0	0	0	0	0	0	0	0	0	0	1538.9498	85.497215	129.32352	0.043107837	11.9	setBlobMetaToExtend.json
5033	3#3#3#3#3#3#3#3	0.753023087978363#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.8667901754379272#0.859980046749115	0.8456713896629948#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8349992529688732#0.8436905137233416	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	14.0#14.0#14.0#14.0#14.0#14.0#14.0#14.0	132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#65#578#1514#1577#2027#2409#2850	0#1#0#0#0#0#0#1	0#2#0#0#0#0#0#2	0#4#0#0#0#0#0#1	0#4#0#0#0#0#0#1	0#19#0#5#38#16#24#62	0#0#0#0#0#0#1#0	0#0#0#0#0#0#1#1	0#0#0#0#0#1#1#1	250.94739#250.94739#250.94739#250.94739#250.94739#250.94739#250.94739#250.94739	13.941522#13.941522#13.941522#13.941522#13.941522#13.941522#13.941522#13.941522	50.189476#50.189476#50.189476#50.189476#50.189476#50.189476#50.189476#50.189476	0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826	5.0#5.0#5.0#5.0#5.0#5.0#5.0#5.0	getThisComponentId.json
3498	7#7#7#7	3.8497691275551915E-4#3.8497691275551915E-4#3.8497691275551915E-4#0.0	7.714560346769818E-4#7.714560346769818E-4#7.714560346769818E-4#2.5784406279780246E-4	0#0#0#0	0#0#0#0	0#0#0#0	2#2#2#2	3.02#3.02#3.02#3.02	1#1#1#1	1#1#1#1	74.0#74.0#74.0#80.0	108.36378479003906#108.36378479003906#108.36378479003906#107.90849304199219	0#0#0#0	1#1#1#1	0#0#0#0	0#42#492#919	0#0#0#2	0#0#0#4	0#0#0#18	0#0#0#18	0#38#16#162	0#0#0#0	0#0#0#0	0#0#1#0	7988.4175#7988.4175#7988.4175#9007.63	443.80096#443.80096#443.80096#500.4239	363.1099#363.1099#363.1099#396.33572	0.121036634#0.121036634#0.121036634#0.1321119	22.0#22.0#22.0#22.727272	writeObject.json
5033	4#4#4#4	0.411611407995224#0.411611407995224#0.411611407995224#0.411611407995224	0.8021448794421091#0.8021448794421091#0.8021448794421091#0.8021448794421091	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.0#2.0#2.0#2.0	0#0#0#0	1#1#1#1	21.0#21.0#21.0#21.0	125.27178192138672#125.27178192138672#125.27178192138672#125.27178192138672	0#0#0#0	1#1#1#1	0#0#0#0	0#578#1577#2027	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#38#16	0#0#0#0	0#0#0#0	0#0#0#1	910.0#910.0#910.0#910.0	50.555557#50.555557#50.555557#50.555557	84.0#84.0#84.0#84.0	0.028#0.028#0.028#0.028	10.833333#10.833333#10.833333#10.833333	set_parallelism_hint.json
1621	4	0.2331111878156662	0.6104293392437159	0	0	0	1	1.73	0	1	24.0	124.1749038696289	0	2	0	0	0	0	0	0	0	0	0	0	1037.2627	57.625706	103.72627	0.034575425	10.0	matches.json
