Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1583	12#10	0.7648345232009888#0.8281863927841187	0.5516356253636272#0.4454042461532591	0#0	0#0	0#0	1#1	3.77#4.08	1#1	1#1	54.0#52.0	101.85333251953125#105.07329559326172	0#0	0#0	0#0	0#115	0#0	0#2	0#36	0#36	0#4	0#0	0#1	0#1	5174.5884#4657.4595	287.47714#258.74774	247.58797#235.22522	0.08252932#0.078408405	20.9#19.800001	getContainer.json
1989	6#6#6	0.2779969274997711#0.2779969274997711#0.337964802980423	0.2306740066350363#0.2306740066350363#0.12659483458542004	0#0#0	0#0#0	0#0#0	1#1#1	2.0#2.0#2.0	0#0#0	4#4#4	36.0#36.0#40.0	115.33509063720703#115.33509063720703#114.71296691894531	0#0#0	0#0#0	1#1#1	0#102#449	0#0#1	0#0#2	0#0#17	0#0#17	0#5#2	0#0#0	0#0#1	0#0#1	3250.9255#3250.9255#3867.6455	180.60698#180.60698#214.8692	160.53954#160.53954#180.94247	0.053513177#0.053513177#0.06031416	20.25#20.25#21.375	isCapableOfDealingWithStringArrays.json
1388	13	0.1153779923915863	0.004563965247562587	0	0	0	2	3.56	1	4	73.0	97.98388671875	0	0	1	0	0	0	0	0	0	0	0	0	8705.948	483.6638	388.50073	0.12950024	22.40909	shouldThrowProxyInvocationExceptionIfAnErrorOccurs.json
956	15	0.0	5.903027471231271E-11	0	0	0	1	1.6	0	26	162.0	91.31996154785156	0	0	4	0	0	0	0	0	0	0	0	0	34653.47	1925.1927	936.58026	0.31219342	37.0	shouldBeAbleToDeserializeAListOfDogs.json
2426	12#19#20#17#12	0.1413225680589676#0.013638943433761597#0.006276080850511789#0.003822486149147153#7.659902330487967E-4	0.017059059524409517#1.237492881661621E-6#1.854974224746433E-8#2.228436229404725E-8#1.1965685014416504E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	4.75#4.66#4.61#3.43#1.73	0#0#0#0#0	10#21#24#20#18	67.0#129.0#149.0#139.0#122.0	100.19085693359375#88.88301849365234#87.16779327392578#90.11241912841797#96.64668273925781	0#0#0#0#0	0#0#0#0#0	0#2#1#1#1	0#0#4#101#189	0#9#4#4#3	0#11#7#11#12	0#447#282#418#131	0#447#282#418#131	0#9#4#12#5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	6135.4805#23693.652#33225.18#32208.922#22111.51	340.86002#1316.314#1845.8433#1789.3845#1228.4172	340.86002#716.54193#849.36554#799.9294#673.8746	0.113620006#0.23884732#0.28312185#0.26664314#0.22462486	18.0#33.066666#39.117645#40.264706#32.8125	willSetMethodParametersWithDeserializationAndContinueStackAfterDeserialization.json
2653	6#6#6#6#6#6	0.03491834178566933#0.032465431839227676#0.025050893425941467#0.05885443836450577#0.027323439717292786#0.028397589921951294	0.003489179228753863#0.007267098325256433#0.007433159774483269#0.003333959814305096#0.006585747848517679#0.005122529448907239	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	4#4#4#4#4#4	58.0#54.0#54.0#58.0#55.0#56.0	112.30796813964844#112.72944641113281#112.72944641113281#112.30796813964844#112.68612670898438#112.54033660888672	0#0#0#0#0#0	1#1#1#1#0#0	1#1#1#1#1#1	0#24#29#665#665#665	0#1#2#2#2#1	0#2#4#4#4#2	0#13#50#99#91#8	0#13#50#99#91#8	0#1#18#12#2#9	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	3639.6829#3179.665#3179.665#3639.6829#2838.8828#3091.3408	202.2046#176.64806#176.64806#202.2046#157.71571#171.74115	287.34338#264.97208#264.97208#287.34338#267.18896#274.78586	0.095781125#0.088324025#0.088324025#0.095781125#0.08906299#0.091595285	12.666667#12.0#12.0#12.666667#10.625#11.25	registerCustomInjectionProcessor.json
2448	20#20#20#10	0.018941670656204224#0.01666445843875408#0.016697200015187263#0.002817328553646803	6.765073735199691E-6#3.2537433034092896E-6#2.833824264243152E-6#1.0968125312350515E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	4.64#4.64#4.64#1.83	0#0#0#0	25#25#25#17	124.0#127.0#127.0#96.0	88.34748077392578#88.1923828125#88.16244506835938#101.0052719116211	0#0#0#0	0#0#0#0	1#1#1#1	0#7#369#1071	0#1#1#6	0#2#2#23	0#39#2#372	0#39#2#372	0#6#15#50	0#0#0#0	0#0#0#0	0#0#0#0	21793.213#24934.385#25838.305#16131.103	1210.734#1385.2437#1435.4614#896.17236	676.96954#697.46533#701.4924#514.325	0.22565651#0.23248844#0.2338308#0.17144167	32.19231#35.75#36.833336#31.363636	whenRefererDontMatchAControllerShouldForwardToPage.json
1195	5	0.09025313705205917	0.1748826514066758	0	0	0	1	1.96	0	1	36.0	118.3675537109375	0	0	1	0	0	0	0	0	0	0	0	0	1778.8885	98.82714	158.12343	0.05270781	11.25	shouldThrowExceptionIfNoPropertiesWereSpecified.json
2617	3	0.825711727142334	0.7622694919928779	0	0	0	1	1.89	0	1	16.0	131.60296630859375	0	0	0	0	0	0	0	0	0	0	0	0	335.04724	18.613735	60.91768	0.020305892	5.5	getLocale.json
2363	4	0.19339612126350403	0.3590190303583851	0	0	0	1	1.73	0	2	29.0	123.1068344116211	0	0	0	0	0	0	0	0	0	0	0	0	955.32904	53.073837	127.377205	0.042459067	7.5	listAll.json
