Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1849	6#6#6#6	0.337964802980423#0.337964802980423#0.31725138425827026#0.27473753690719604	0.12659483458542004#0.12659483458542004#0.12385594072748726#0.04556161188748649	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.0#2.0#2.0#2.0	0#0#0#0	4#4#4#5	40.0#40.0#40.0#46.0	114.71296691894531#114.71296691894531#114.71296691894531#113.91609191894531	0#0#0#0	0#0#0#0	1#1#1#1	0#386#386#386	0#0#1#2	0#0#2#4	0#0#8#39	0#0#8#39	0#1#38#44	0#0#0#0	0#0#0#0	0#0#0#0	3867.6455#3867.6455#3867.6455#6643.6104	214.8692#214.8692#214.8692#369.08948	180.94247#180.94247#180.94247#210.90826	0.06031416#0.06031416#0.06031416#0.070302755	21.375#21.375#21.375#31.5	isCapableOfDealingWithStringArrays.json
1849	3#4	0.48182153701782227#0.572383463382721	0.9369187904118312#0.9376612568248505	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	12.0#13.0	133.59722900390625#128.335205078125	0#0	0#0	0#0	0#195	0#1	0#1	0#10	0#10	0#21	0#0	0#0	0#0	186.80931#233.02258	10.378295#12.945699	41.51318#46.604515	0.013837727#0.015534839	4.5#5.0	getControllerMethod.json
1849	13#14	0.1153779923915863#0.12573471665382385	0.004563965247562587#0.005466488253732704	0#0	0#0	0#0	2#2	3.56#3.52	1#1	4#4	73.0#74.0	97.98388671875#96.67789459228516	0#0	0#0	1#1	0#34	0#1	0#1	0#18	0#18	0#185	0#0	0#0	0#0	8705.948#9190.637	483.6638#510.59094	388.50073#396.45886	0.12950024#0.13215296	22.40909#23.181818	shouldThrowProxyInvocationExceptionIfAnErrorOccurs.json
1849	12#11#11#11#12#12#11#11#11	7.659902330487967E-4#0.002678783144801855#0.002678783144801855#3.5584825673140585E-4#1.8968802760355175E-4#1.0008064418798313E-4#2.3889911244623363E-4#2.8585034306161106E-4#2.475863147992641E-4	1.1965685014416504E-7#3.4003809300572116E-7#3.4003809300572116E-7#1.0111905573191236E-7#6.033765463033771E-9#1.7110413941404301E-9#5.868463370891882E-8#5.923161524254587E-8#5.986937458350402E-8	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.73#1.78#1.78#1.78#1.73#1.73#1.78#1.78#1.78	0#0#0#0#0#0#0#0#0	18#16#16#16#18#20#18#18#18	122.0#114.0#114.0#120.0#134.0#140.0#123.0#123.0#123.0	96.64668273925781#98.40894317626953#98.40894317626953#98.11309051513672#95.99491882324219#95.74214172363281#97.98468780517578#97.98468780517578#97.98468780517578	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#2#2#1#1#1	0#73#73#77#116#117#117#185#200	0#2#0#1#5#2#1#1#1	0#5#0#2#9#4#3#2#2	0#103#0#29#211#38#111#17#13	0#103#0#29#211#38#111#17#13	0#7#0#7#7#4#12#8#39	0#0#0#0#0#0#0#0#0	0#1#0#1#0#0#0#0#0	0#1#0#1#0#0#0#0#0	22111.51#19520.268#19520.268#21308.791#25971.205#28066.81#24049.148#24049.148#24049.148	1228.4172#1084.4594#1084.4594#1183.8218#1442.8447#1559.2672#1336.0638#1336.0638#1336.0638	673.8746#629.68604#629.68604#666.55066#763.85895#801.9089#683.2144#683.2144#683.2144	0.22462486#0.20989534#0.20989534#0.22218356#0.25461966#0.26730296#0.22773814#0.22773814#0.22773814	32.8125#31.0#31.0#31.96875#34.0#35.0#35.2#35.2#35.2	willSetMethodParametersWithDeserializationAndContinueStackAfterDeserialization.json
1849	10	0.00303289876319468	1.1018424217769786E-5	0	0	0	1	1.83	0	17	96.0	101.0052719116211	0	0	1	0	0	0	0	0	0	0	0	0	16131.103	896.17236	514.325	0.17144167	31.363636	whenRefererDontMatchAControllerShouldForwardToPage.json
1849	3#4	0.8945925831794739#0.874343991279602	0.9370029937641291#0.9301287077496432	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	12.0#13.0	133.59722900390625#128.335205078125	0#0	0#0	0#0	0#34	0#1	0#1	0#10	0#10	0#185	0#0	0#0	0#0	186.80931#233.02258	10.378295#12.945699	41.51318#46.604515	0.013837727#0.015534839	4.5#5.0	getLocale.json
1918	4#5#5#4	0.19258131086826324#0.27175477147102356#0.28998807072639465#0.04038343206048012	0.3566642610433402#0.37897339173056754#0.33474549326888553#0.35282806688915064	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.6#1.6#1.73	0#0#0#0	2#2#3#2	29.0#30.0#31.0#28.0	123.1068344116211#119.23677062988281#119.0662612915039#123.21045684814453	0#0#0#0	0#0#0#0	0#0#0#0	0#30#96#96	0#1#1#1	0#1#2#3	0#10#6#79	0#10#6#79	0#10#9#8	0#0#0#0	0#0#0#0	0#0#0#0	955.32904#1070.2635#1175.0603#998.9127	53.073837#59.459087#65.28113#55.49515	127.377205#133.78294#138.24239#124.86409	0.042459067#0.044594314#0.046080794#0.041621365	7.5#8.0#8.5#8.0	listAll.json
1849	7#9#8#8#8#8	0.01487070694565773#0.017022565007209778#0.023948734626173973#0.023948734626173973#0.012235162779688835#0.012165544554591179	4.5751347123883603E-4#8.987863326579575E-6#4.01832756393943E-5#4.01832756393943E-5#2.5734327337865175E-5#2.592974322842258E-5	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.89#1.94#1.94#1.94#1.94	0#0#0#0#0#0	12#16#16#16#16#16	68.0#93.0#84.0#84.0#86.0#86.0	108.57657623291016#102.77925109863281#105.31455993652344#105.31455993652344#105.1585693359375#105.1585693359375	0#0#0#0#0#0	0#0#0#0#0#0	1#2#1#1#1#1	0#70#70#72#77#116	0#3#1#0#1#2	0#4#3#0#2#4	0#170#79#0#8#14	0#170#79#0#8#14	0#11#11#0#6#26	0#0#0#0#0#0	0#1#0#0#1#0	0#1#0#0#1#0	5722.759#12185.451#10463.299#10463.299#10455.214#10455.214	317.93103#676.9695#581.2944#581.2944#580.8452#580.8452	364.31354#507.72714#450.03436#450.03436#463.7393#463.7393	0.12143785#0.16924238#0.15001145#0.15001145#0.15457976#0.15457976	15.708334#24.0#23.25#23.25#22.545456#22.545456	whenResultIsAnInputStreamShouldCreateAInputStreamDownload.json
1849	14#13	0.012644942849874496#0.004658941179513931	1.0438203984098703E-5#8.655261751698462E-6	3#3	1#1	4#4	3#3	3.58#3.69	2#2	8#6	102.0#101.0	94.45658874511719#95.70836639404297	0#0	0#4	5#4	0#52	0#1	0#3	0#98	0#98	0#2	0#0	0#0	0#0	14963.655#16840.525	831.3142#935.5847	581.4449#575.74445	0.19381496#0.19191481	25.735294#29.25	isValid.json
1255	15#6#6	0.0#0.060171086341142654#0.08513358980417252	1.10083944464089E-9#0.04065829440184101#0.03768590733229895	0#0#0	0#0#0	0#0#0	1#1#1	1.6#2.0#2.0	0#0#0	32#8#8	174.0#48.0#48.0	91.75127410888672#113.69478607177734#113.69478607177734	0#0#0	0#0#0	0#0#0	0#2#3	0#1#1	0#11#2	0#640#47	0#640#47	0#5#4	0#0#0	0#0#0	0#0#0	47971.984#5017.7827#5017.7827	2665.1104#278.76572#278.76572	862.0302#220.07819#220.07819	0.2873434#0.07335939#0.07335939	55.65#22.800001#22.800001	whenCtxPathAppearsInItsPlaceRefererShouldBeReturnedCorrectly.json
1849	3#4	0.5101956725120544#0.542590856552124	0.851281305927806#0.8531837404412745	0#0	0#0	0#0	1#1	1.89#1.73	0#0	1#1	17.0#18.0	131.28770446777344#126.19583892822266	0#0	1#1	0#0	0#34	0#1	0#1	0#10	0#10	0#185	0#0	0#0	0#0	474.65027#562.5922	26.36946#31.255123	64.72504#70.32403	0.021575011#0.023441343	7.3333335#8.0	setStatusCode.json
1560	4	0.9107400178909302	0.8774171362165604	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	1	0	0	0	0	0	0	0	0	0	0	285.55164	15.863979	57.110325	0.019036775	5.0	getResource.json
1849	3#4	0.1619783341884613#0.3984372019767761	0.9210466173888094#0.9253853224324409	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	12.0#13.0	133.59722900390625#128.335205078125	0#0	0#0	0#0	0#34	0#1	0#1	0#10	0#10	0#185	0#0	0#0	0#0	186.80931#233.02258	10.378295#12.945699	41.51318#46.604515	0.013837727#0.015534839	4.5#5.0	getMaxInactiveInterval.json
1849	5	0.5513266324996948	0.6131484333320162	0	0	0	1	1.96	0	3	25.0	120.43750762939453	0	0	0	0	0	0	0	0	0	0	0	0	796.4864	44.249245	106.19819	0.035399396	7.5	shouldSetCreatedStatus.json
1849	3#4	0.5034126043319702#0.5670020580291748	0.7066344095822508#0.7088801096655027	0#0	0#0	0#0	1#1	1.89#1.73	0#0	2#2	21.0#22.0	130.05470275878906#125.02987670898438	0#0	1#1	0#0	0#34	0#1	0#1	0#10	0#10	0#185	0#0	0#0	0#0	656.3576#762.6667	36.46431#42.370373	82.0447#88.0	0.027348233#0.029333333	8.0#8.666667	matches.json
1584	3#3	0.9673555493354797#0.9673555493354797	0.9330624457773848#0.9330624457773848	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#121	0#0	0#0	0#0	0#0	0#1	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getY.json
1764	4#4	0.765882134437561#0.765882134437561	0.9223753167355195#0.9223753167355195	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	13.0#13.0	128.335205078125#128.335205078125	0#0	0#0	0#0	0#47	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	233.02258#233.02258	12.945699#12.945699	46.604515#46.604515	0.015534839#0.015534839	5.0#5.0	isWithoutRoot.json
1849	6	0.036735665053129196	0.11162059227577759	1	1	2	2	2.75	1	5	44.0	113.98735046386719	0	1	0	0	0	0	0	0	0	0	0	0	3224.3948	179.13304	199.03673	0.06634557	16.199999	decapitalize.json
1828	3#3#3#3	0.05665724724531174#0.057564783841371536#0.2709335684776306#0.2709335684776306	0.15866379566559333#0.15424473405645373#0.4387131746336202#0.45239636283955764	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	3#3#1#1	33.0#33.0#24.0#24.0	127.01653289794922#127.01653289794922#128.92515563964844#128.92515563964844	0#0#0#0	1#1#1#1	0#0#0#0	0#319#422#422	0#1#1#1	0#2#2#2	0#6#44#1	0#6#44#1	0#15#15#30	0#0#0#0	0#0#0#0	0#0#0#0	1864.0424#1864.0424#955.78375#955.78375	103.55791#103.55791#53.0991#53.0991	147.16124#147.16124#101.950264#101.950264	0.049053747#0.049053747#0.03398342#0.03398342	12.666667#12.666667#9.375#9.375	findAllMethods.json
1849	4#4#4#4#4	0.06317969411611557#0.1951436549425125#0.1951436549425125#0.19493523240089417#0.20777611434459686	0.03817579624184177#0.19223750150520214#0.19223750150520214#0.185613782473635#0.18151564603580733	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	1#1#1#1#1	41.0#32.0#32.0#32.0#32.0	120.8366928100586#122.30536651611328#122.30536651611328#122.30536651611328#122.30536651611328	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#21#386#386#386	0#1#0#1#1	0#2#0#2#2	0#43#0#13#6	0#43#0#13#6	0#54#1#38#44	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	2463.7693#1578.911#1578.911#1578.911#1578.911	136.87607#87.71728#87.71728#87.71728#87.71728	197.10155#148.6034#148.6034#148.6034#148.6034	0.065700516#0.049534466#0.049534466#0.049534466#0.049534466	12.5#10.625#10.625#10.625#10.625	getFirstParameterFor.json
