Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
5237	4#4#4#4#4#4#5#6	0.22972525656223297#0.0451701357960701#0.0451701357960701#0.2675934433937073#0.2675934433937073#0.2602912187576294#0.2956339716911316#0.028478063642978668	0.5016770297646373#0.41346328565436113#0.41346328565436113#0.49250926718107585#0.49250926718107585#0.5421681211380323#0.24476570067433875#0.001772594891612325	0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#2	1#1#1#1#1#1#1#2	1.73#1.73#1.73#1.73#1.73#1.73#1.96#2.0	0#0#0#0#0#0#0#0	2#2#2#2#2#2#3#5	27.0#29.0#29.0#27.0#27.0#26.0#35.0#63.0	123.65223693847656#123.19084167480469#123.19084167480469#123.65223693847656#123.65223693847656#123.8484878540039#118.43518829345703#111.50994110107422	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	0#0#0#0#0#0#1#2	0#15#80#333#1377#1665#2676#4240	0#1#0#2#0#1#2#3	0#2#0#4#0#2#3#5	0#13#0#29#0#23#77#164	0#13#0#29#0#23#77#164	0#4#2#4#0#4#4#6	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1223.4032#1775.592#1775.592#1223.4032#1223.4032#1178.092#2107.0815#5769.183	67.96684#98.644005#98.644005#67.96684#67.96684#65.449554#117.06009#320.51016	114.694046#125.335915#125.335915#114.694046#114.694046#110.44612#156.08011#320.51016	0.03823135#0.04177864#0.04177864#0.03823135#0.03823135#0.036815375#0.052026704#0.10683672	10.666667#14.166666#14.166666#10.666667#10.666667#10.666667#13.5#18.0	createServerSocket.json
4329	4	0.2477460354566574	0.7265156066153324	0	0	0	1	2.0	0	0	21.0	125.27178192138672	0	1	0	0	0	0	0	0	0	0	0	0	1176.0	65.333336	84.0	0.028	14.0	setLastUpdatedTime.json
4018	4#4	0.7358835339546204#0.2228730469942093	0.8786787500982635#0.8813251064987647	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	15.0#15.0	127.27810668945312#127.27810668945312	0#0	0#0	0#0	0#26	0#2	0#4	0#41	0#41	0#6	0#0	0#0	0#0	342.66196#342.66196	19.036776#19.036776	57.110325#57.110325	0.019036775#0.019036775	6.0#6.0	getMaxInactiveInterval.json
5237	4#4#4#4#4#4#5#5#8	0.31315943598747253#0.06960290670394897#0.06960290670394897#0.307237833738327#0.307237833738327#0.20823940634727478#0.5063494443893433#0.09644990414381027#0.006379121448844671	0.45798728339326866#0.37166674742736316#0.37166674742736316#0.45429332233341607#0.45429332233341607#0.5921484563669108#0.332239786626514#0.017555549840410717#1.2616581196734668E-4	0#0#0#0#0#0#0#1#2	0#0#0#0#0#0#0#1#3	0#0#0#0#0#0#0#2#5	1#1#1#1#1#1#1#2#4	1.73#1.73#1.73#1.73#1.73#1.73#1.96#1.96#2.65	0#0#0#0#0#0#0#0#1	2#2#2#2#2#1#2#3#7	27.0#29.0#29.0#27.0#27.0#23.0#32.0#50.0#85.0	123.65223693847656#123.19084167480469#123.19084167480469#123.65223693847656#123.65223693847656#124.48601531982422#118.98002624511719#116.01688385009766#104.92218017578125	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#2#2	0#0#0#0#0#0#1#1#1	0#15#80#333#1377#1665#2676#4240#4240	0#1#0#2#0#1#2#2#5	0#2#0#4#0#2#3#4#7	0#13#0#29#0#25#88#120#199	0#13#0#29#0#25#88#120#199	0#4#2#4#0#4#4#2#6	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1223.4032#1775.592#1775.592#1223.4032#1223.4032#1042.1583#1792.0654#5753.414#15654.166	67.96684#98.644005#98.644005#67.96684#67.96684#57.897686#99.55919#319.63412#869.6759	114.694046#125.335915#125.335915#114.694046#114.694046#97.70234#140.55415#237.74438#425.0	0.03823135#0.04177864#0.04177864#0.03823135#0.03823135#0.032567445#0.046851385#0.07924813#0.14166667	10.666667#14.166666#14.166666#10.666667#10.666667#10.666667#12.75#24.2#36.833332	createMulticastSocket.json
5089	3	0.6481722593307495	0.7877619073682297	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setJndiName.json
2809	5#5#5	0.6147422194480896#0.6147422194480896#0.6147422194480896	0.9147647811479501#0.9147647811479501#0.9147647811479501	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.6#1.6	0#0#0	1#1#1	15.0#15.0#15.0	123.97615814208984#123.97615814208984#123.97615814208984	0#0#0	0#0#0	0#0#0	0#1247#2600	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	295.75943#295.75943#295.75943	16.43108#16.43108#16.43108	53.77444#53.77444#53.77444	0.017924814#0.017924814#0.017924814	5.5#5.5#5.5	cleanUp.json
5152	3#4	0.6892380118370056#0.7628490924835205	0.8523592312815312#0.9152876461595028	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	15.0#15.0	131.9385528564453#127.27810668945312	0#0	0#0	0#0	0#742	0#3	0#5	0#36	0#36	0#25	0#0	0#0	0#0	314.10678#342.66196	17.450377#19.036776	57.110325#57.110325	0.019036775#0.019036775	5.5#6.0	getEngine.json
3075	4#4#4	0.84772127866745#0.84772127866745#0.619749903678894	0.9316655601558407#0.9316655601558407#0.7784653550288477	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#1	13.0#13.0#19.0	128.335205078125#128.335205078125#125.79222106933594	0#0#0	0#0#0	0#0#0	0#79#1750	0#0#1	0#0#2	0#0#21	0#0#21	0#1#2	0#0#0	0#0#0	0#0#0	233.02258#233.02258#532.0	12.945699#12.945699#29.555555	46.604515#46.604515#76.0	0.015534839#0.015534839#0.025333334	5.0#5.0#7.0	isStarted.json
3075	3#3#3	0.7357984185218811#0.7357984185218811#0.5077357292175293	0.9155660477569564#0.9155660477569564#0.9251214603831575	0#0#0	0#0#0	0#0#0	1#1#1	0.0#0.0#0.0	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	1#1#1	0#0#0	0#79#1802	0#0#1	0#0#2	0#0#33	0#0#33	0#1#4	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	removeRequestListener.json
4329	3	0.5476778149604797	0.8449463826880761	0	0	0	1	1.89	0	0	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	create.json
4329	4	0.8278427720069885	0.8721503861469091	0	0	0	1	1.73	0	0	17.0	126.77537536621094	0	0	0	0	0	0	0	0	0	0	0	0	345.99112	19.22173	62.907475	0.020969158	5.5	getEndTime.json
4329	4	0.8067500591278076	0.9228761110453977	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getJobParameters.json
507	4	0.5999183058738708	0.858800067662875	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getStability.json
